source_headword	TE	example_TE
temple	దేవాలయం	ఆ దేవాలయం నది దగ్గర ఉంది.
temporarily	తాత్కాలికంగా	కార్యాలయం తాత్కాలికంగా మూసివేయబడింది.
tendency	ధోరణి	అతనికి ఆలస్యంగా వచ్చే ధోరణి ఉంది.
tension	ఉద్రిక్తత	చర్చ సమయంలో ఉద్రిక్తత పెరిగింది.
terms	నిబంధనలు	ఒప్పంద నిబంధనలు స్పష్టంగా ఉన్నాయి.
terribly	చాలా	ఆ బిడ్డ చాలా కలత చెందింది.
terrify	భయపెట్టు	పెద్ద శబ్దాలు కుక్కను భయపెడతాయి.
territory	భూభాగం	మ్యాప్ కొత్త భూభాగాన్ని చూపుతుంది.
terror	భయం	దాడి తర్వాత భయం వ్యాపించింది.
terrorism	ఉగ్రవాదం	ఉగ్రవాదం ప్రజా భద్రతకు ముప్పు కలిగిస్తుంది.
terrorist	ఉగ్రవాది	పోలీసులు నిన్న ఆ ఉగ్రవాదిని అరెస్టు చేశారు.
testing	పరీక్షించడం	ఉత్పత్తి పరీక్షించడం సోమవారం ప్రారంభమవుతుంది.
textbook	పాఠ్యపుస్తకం	ఆమె తన బయాలజీ పాఠ్యపుస్తకాన్ని మర్చిపోయింది.
theft	దొంగతనం	ఈ ప్రాంతంలో దొంగతనం పెరిగింది.
therapist	థెరపిస్ట్	ఆందోళనను నిర్వహించడంలో థెరపిస్ట్ అతనికి సహాయం చేశారు.
thesis	పరిశోధనా వ్యాసం	ఆమె పరిశోధనా వ్యాసం ఆన్‌లైన్ అభ్యాసాన్ని పరిశీలిస్తుంది.
thorough	సమగ్రమైన	ఒక సమగ్రమైన సమీక్షలో ఎలాంటి తప్పులు కనుగొనబడలేదు.
thoroughly	క్షుణ్ణంగా	గాయాన్ని క్షుణ్ణంగా శుభ్రం చేయండి.
thumb	బొటనవేలు	అతను ఆమోదం తెలపడానికి తన బొటనవేలును ఎత్తాడు.
timing	సమయం	కాల్ చేసిన సమయం ఖచ్చితంగా ఉంది.
tissue	టిష్యూ	ఆమె టిష్యూతో గ్లాస్‌ను తుడిచింది.
ton	టన్ను	ట్రక్ ఒక టన్ను ఇసుకను తీసుకువెళ్లింది.
tonne	టన్ను	సరుకు బరువు ఒక టన్ను ఉంది.
tournament	టోర్నమెంట్	టెన్నిస్ టోర్నమెంట్ రేపు ప్రారంభమవుతుంది.
trace	జాడ కనుక్కో	శాస్త్రవేత్తలు వైరస్ మూలం యొక్క జాడను కనుక్కోగలరు.
trading	ట్రేడింగ్	స్టాక్ ట్రేడింగ్ మధ్యాహ్నం ఆగిపోయింది.
tragedy	విషాదం	ఆ ప్రమాదం ఒక భయంకరమైన విషాదం.
tragic	విషాదకరమైన	ఆ ప్రమాదానికి విషాదకరమైన పరిణామాలు ఉన్నాయి.
trait	లక్షణం	సహనం అనేది ఒక ఉపయోగకరమైన లక్షణం.
transmit	వ్యాపింపజేయు	దోమలు వ్యాధిని వ్యాపింపజేయగలవు.
transportation	రవాణా	ఈరోజు ప్రజా రవాణా రద్దీగా ఉంది.
trap	బంధించు	ఈ పెట్టె కీటకాలను సురక్షితంగా బంధించగలదు.
treasure	నిధి	ఆ పాత పెట్టెలో నిధి ఉంది.
tribe	తెగ	ఆ తెగ తమ సంప్రదాయాలను కాపాడుకుంది.
trigger	ప్రేరేపించు	పొగ అలారం మోగేలా చేస్తుంది.
trillion	ట్రిలియన్	అప్పు ఒక ట్రిలియన్ డాలర్లకు చేరుకుంది.
troop	దళం	దళం సరిహద్దు వైపు కదిలింది.
tsunami	సునామీ	సునామీ తీరప్రాంత గృహాలను నాశనం చేసింది.
ultimate	అంతిమ	అంతిమ లక్ష్యం శాంతి.
unacceptable	ఆమోదయోగ్యం కాని	ఆలస్యం ప్రయాణికులకు ఆమోదయోగ్యం కాదు.
uncertainty	అనిశ్చితి	అనిశ్చితి పెట్టుబడిదారులను ఆందోళనకు గురిచేసింది.
undergo	చేయించుకొను	రోగి రేపు శస్త్రచికిత్స చేయించుకుంటాడు.
undertake	చేపట్టు	ఆ జట్టు ఒక సర్వేను చేపడుతుంది.
unfold	బయటపడు	డ్రామా నెమ్మదిగా బయటపడటం ప్రారంభమైంది.
unfortunate	దురదృష్టకరమైన	ఆ లోపం దురదృష్టకరమే అయినప్పటికీ సరిదిద్దదగినది.
unite	ఐక్యం చేయు	నాయకులు పార్టీని ఐక్యం చేయడానికి ప్రయత్నించారు.
unity	ఐక్యత	ఆ ప్రసంగం జాతీయ ఐక్యతకు పిలుపునిచ్చింది.
universal	సార్వత్రిక	ఈ యాప్ సార్వత్రిక డిజైన్‌ను ఉపయోగిస్తుంది.
urgent	అత్యవసర	ఆసుపత్రికి అత్యవసర కాల్ వచ్చింది.
usage	వాడుక	ఈ మార్గదర్శిని సరైన వాడుకను వివరిస్తుంది.
useless	పనికిరాని	విరిగిపోయిన ఛార్జర్ పనికిరాదు.
valid	చెల్లుబాటు అయ్యే	మీ పాస్‌పోర్ట్ ఇప్పటికీ చెల్లుబాటులో ఉంది.
variation	వ్యత్యాసం	ధరలలో చాలా వ్యత్యాసం ఉంది.
vertical	నిలువు	ఆ చార్ట్‌కు నిలువు అక్షం ఉంది.
viewpoint	దృక్కోణం	చర్చ తర్వాత ఆమె దృక్కోణం మారింది.
visa	వీసా	అతను విద్యార్థి వీసా కోసం దరఖాస్తు చేశాడు.
visible	కనిపించే	ఆ బోర్డు ఇక్కడి నుండి కనిపిస్తుంది.
voluntary	స్వచ్ఛంద	ఈ కోర్సులో స్వచ్ఛంద వర్క్‌షాప్‌లు ఉన్నాయి.
voting	ఓటింగ్	ముందస్తు ఓటింగ్ వచ్చే వారం ప్రారంభమవుతుంది.
wander	తిరుగు	పర్యాటకులు పాత మార్కెట్ గుండా తిరుగుతారు.
warming	వేడెక్కడం	గ్లోబల్ వార్మింగ్ సముద్ర మట్టాలను ప్రభావితం చేస్తుంది.
weekly	వారపు	జట్టు వారపు సమావేశాన్ని నిర్వహిస్తుంది.
weird	వింతైన	ఆ శబ్దం వింతగా అనిపించింది.
welfare	సంక్షేమం	ఈ కార్యక్రమం శిశు సంక్షేమానికి మద్దతు ఇస్తుంది.
wheat	గోధుమ	రైతు గోధుమలు పండిస్తాడు.
whoever	ఎవరైతే	ముందుగా వచ్చిన వారు బయట వేచి ఉండాలి.
widespread	విస్తృతమైన	ఈ తుఫాను విస్తృతమైన నష్టాన్ని కలిగించింది.
wisdom	జ్ఞానం	ఆమె నానమ్మ ఆచరణాత్మక జ్ఞానాన్ని పంచుకుంది.
withdraw	ఉపసంహరించుకొను	అతను తన దరఖాస్తును ఉపసంహరించుకోవాలని నిర్ణయించుకున్నాడు.
workforce	శ్రామిక శక్తి	శ్రామిక శక్తికి కొత్త నైపుణ్యాలు అవసరం.
workplace	పని చేసే ప్రదేశం	పని చేసే ప్రదేశంలో స్పష్టమైన భద్రతా నియమాలు ఉన్నాయి.
workshop	వర్క్‌షాప్	వర్క్‌షాప్ పది గంటలకు ప్రారంభమవుతుంది.
worm	పురుగు	మట్టిలో ఒక పురుగు కదిలింది.
wrist	మణికట్టు	ఆమె మణికట్టుకు గాయమైంది.
