source_headword	TE	example_TE
casual	సాధారణ	అతను పనికి సాధారణ దుస్తులు వేసుకున్నాడు.
cave	గుహ	హైకర్లు గుహలోకి ప్రవేశించారు.
certainty	ఖచ్చితత్వం	మనం ఖచ్చితంగా తెలుసుకోలేము.
certificate	సర్టిఫికేట్	ఆమెకు శిక్షణ సర్టిఫికేట్ లభించింది.
challenging	సవాలుతో కూడిన	ఆ కోర్సు సవాలుగా ఉన్నప్పటికీ ఉపయోగకరంగా ఉంది.
championship	ఛాంపియన్‌షిప్	మా జట్టు ఛాంపియన్‌షిప్ ఫైనల్‌కు చేరుకుంది.
charming	మనోహరమైన	ఆ పాత వీధి ఆకర్షణీయంగా కనిపించింది.
chase	వేట	కుక్క బంతిని వెంబడించింది.
cheek	చెంప	ఆమె చెంప మీద కన్నీరు కారింది.
cheer	ఉల్లాసం	ప్రజలు గట్టిగా కేరింతలు కొట్టడం ప్రారంభించారు.
choir	గాయక బృందం	గాయక బృందం అందంగా పాడింది.
chop	నరకడం	ఉల్లిపాయలను చిన్న ముక్కలుగా కోయండి.
circuit	సర్క్యూట్	రన్నర్ సర్క్యూట్‌ను పూర్తి చేశాడు.
civilization	నాగరికత	ప్రాచీన నాగరికత ఈ ప్రాంతాన్ని తీర్చిదిద్దింది.
clarify	స్పష్టం చేయడం	దయచేసి చివరి అంశాన్ని స్పష్టపరచండి.
classify	వర్గీకరించడం	శాస్త్రవేత్తలు జంతువులను జాతుల వారీగా వర్గీకరిస్తారు.
clerk	క్లర్క్	క్లర్క్ రసీదును ప్రింట్ చేశాడు.
cliff	కొండచరియ	ఆ దారి కొండచరియ దగ్గర ముగుస్తుంది.
clinic	క్లినిక్	క్లినిక్ ఉదయం ఎనిమిది గంటలకు తెరుచుకుంటుంది.
clip	క్లిప్	ఆమె కాగితానికి క్లిప్ పెట్టింది.
coincidence	యాదృచ్ఛికం	అతడిని అక్కడ కలవడం ఒక కాకతాళీయం.
collector	సేకరించే వ్యక్తి	సేకర్త అరుదైన నాణేలను కొనుగోలు చేశాడు.
colony	కాలని	చీమలు ఒక పెద్ద కాలనీని నిర్మించాయి.
colourful	రంగుల	మార్కెట్ ప్రకాశవంతంగా మరియు రంగులమయంగా ఉంది.
comic	హాస్య	ఆ హాస్య సన్నివేశం మమ్మల్ని నవ్వించింది.
commander	కమాండర్	కమాండర్ స్పష్టమైన ఆదేశాలు ఇచ్చాడు.
comparative	తులనాత్మక	వ్యాసం తులనాత్మక డేటాను ఉపయోగిస్తుంది.
completion	పూర్తి చేయడం	వంతెన నిర్మాణం పూర్తి కావస్తోంది.
compose	కూర్చు	అతను సినిమా కోసం సంగీతాన్ని స్వరపరుస్తాడు.
composer	సంగీత దర్శకుడు	స్వరకర్త ఒక కొత్త పాటను రాశాడు.
compound	సమ్మేళనం	ఆ సమ్మేళనంలో రెండు రసాయనాలు ఉన్నాయి.
comprehensive	సమగ్రమైన	గైడ్ సమగ్రమైన సూచనలను ఇస్తుంది.
comprise	కలిగి ఉండు	ఈ బృందంలో ఐదుగురు సభ్యులు ఉన్నారు.
compulsory	తప్పనిసరి	ఈ తరగతికి హాజరు తప్పనిసరి.
concrete	కాంక్రీట్	నేల కాంక్రీట్‌తో తయారు చేయబడింది.
confess	ఒప్పుకో	అతను తన తప్పును ఉపాధ్యాయుడికి ఒప్పుకున్నాడు.
confusion	గందరగోళం	ఆలస్యం గందరగోళానికి కారణమైంది.
consequently	ఫలితంగా	వర్షం కురిసింది, తత్ఫలితంగా మ్యాచ్ ఆగిపోయింది.
conservation	పరిరక్షణ	సంరక్షణ అరుదైన జంతువులను రక్షిస్తుంది.
considerable	గణనీయమైన	మరమ్మతుకు గణనీయమైన సమయం పట్టింది.
considerably	గణనీయంగా	ఈ సంవత్సరం ధరలు గణనీయంగా పెరిగాయి.
consistently	స్థిరంగా	ఆమె నిలకడగా బాగా రాణిస్తోంది.
conspiracy	కుట్ర	పోలీసులు ఆ కుట్రపై దర్యాప్తు చేశారు.
consult	సంప్రదించు	మందులు వాడే ముందు మీ వైద్యుడిని సంప్రదించండి.
consultant	సలహాదారు	సలహాదారు ఒక కొత్త వ్యూహాన్ని సూచించాడు.
consumption	వినియోగం	గత నెలలో ఇంధన వినియోగం తగ్గింది.
controversial	వివాదాస్పదమైన	విధానం వివాదాస్పదంగా మిగిలిపోయింది.
controversy	వివాదం	ఈ నిర్ణయం వివాదానికి దారితీసింది.
convenience	సౌలభ్యం	దుకాణం గొప్ప సౌకర్యాన్ని అందిస్తుంది.
convention	సాంప్రదాయం	వార్షిక సమావేశం సోమవారం ప్రారంభమవుతుంది.
conventional	సాంప్రదాయ	అతను ఒక సాంప్రదాయకమైన డిజైన్‌ను ఎంచుకున్నాడు.
convey	తెలియజేయు	ఆ సందేశం సానుభూతిని తెలియజేసింది.
convincing	నమ్మకమైన	ఆమె వివరణ నమ్మదగినదిగా ఉంది.
cope	ఎదుర్కొను	ఆమె ఒత్తిడిని తట్టుకోవడం నేర్చుకుంది.
corporation	కార్పొరేషన్	కార్పొరేషన్ ఒక కొత్త కార్యాలయాన్ని తెరిచింది.
corridor	నడవ	కారిడార్ ఇరుకుగా మరియు నిశ్శబ్దంగా ఉంది.
counter (long flat surface)	కౌంటర్	తాళాలు వంటగది కౌంటర్‌పై ఉన్నాయి.
coverage	కవరేజ్	వార్తల కవరేజ్ సాయంత్రమంతా కొనసాగింది.
crack	పగులు	గోడపై ఒక పగులు కనిపించింది.
craft	చేతిపని	ఆమె ఆన్‌లైన్‌లో చేతివృత్తుల వస్తువులను విక్రయిస్తుంది.
creativity	సృజనాత్మకత	సృజనాత్మకత సమస్యలను పరిష్కరించడంలో సహాయపడుతుంది.
critically	తీవ్రంగా	ఆ వ్యాసం అత్యంత కీలకమైనది.
cruise	క్రూయిజ్	వారు గ్రీస్‌కు క్రూయిజ్ బుక్ చేసుకున్నారు.
cue	సూచన	నటుడు తన సూచనను మిస్ అయ్యాడు.
curious	ఆసక్తిగా	పిల్లాడు అంతరిక్షం గురించి తెలుసుకోవాలని ఆసక్తిగా ఉన్నాడు.
curriculum	పాఠ్యాంశాలు	పాఠశాల తన విద్యాప్రణాళికను అప్‌డేట్ చేసింది.
cute	ముద్దుగా	కుక్కపిల్ల ముద్దుగా ఉంది.
dairy	పాడి	వ్యవసాయ క్షేత్రం పాడి ఉత్పత్తులను ఉత్పత్తి చేస్తుంది.
dare	ధైర్యం చేయు	దీన్ని ప్రయత్నించమని నేను నీకు సవాలు చేస్తున్నాను.
darkness	చీకటి	గది చీకటితో నిండిపోయింది.
database	డేటాబేస్	డేటాబేస్ కస్టమర్ రికార్డులను నిల్వ చేస్తుంది.
deadline	గడువు	గడువు శుక్రవారం.
deadly	ప్రాణాంతకమైన	పాముకు ప్రాణాంతకమైన విషం ఉంటుంది.
dealer	వ్యాపారి	కారు డీలర్ తగ్గింపును ఇచ్చాడు.
deck	డెక్	కుర్చీలు డెక్ మీద ఉన్నాయి.
defender	రక్షకుడు	డిఫెండర్ షాట్‌ను అడ్డుకున్నాడు.
delete	తొలగించు	పాత సందేశాన్ని తొలగించండి.
democracy	ప్రజాస్వామ్యం	ప్రజాస్వామ్యం స్వేచ్ఛా ఎన్నికల మీద ఆధారపడి ఉంటుంది.
democratic	ప్రజాస్వామ్య	ఓటు ప్రజాస్వామ్య నియమాలను అనుసరించింది.
demonstration	ప్రదర్శన	విద్యార్థులు ప్రదర్శనలో చేరారు.
depart	బయలుదేరు	రైలు మధ్యాహ్నం బయలుదేరుతుంది.
dependent	ఆధారపడిన	పిల్లవాడు పెద్దల మీద ఆధారపడి ఉంటాడు.
deposit	డిపాజిట్	ఆమె అపార్ట్‌మెంట్ కోసం డిపాజిట్ చెల్లించింది.
depression	నిరాశ	కుంగుబాటుకు వృత్తిపరమైన మద్దతు అవసరం.
derive	పొందు	అనేక పదాలు లాటిన్ నుండి ఉద్భవించాయి.
desperately	తీవ్రంగా	అతనికి తీవ్రంగా నీరు అవసరమైంది.
destruction	విధ్వంసం	తుఫాను విస్తృత వినాశనానికి కారణమైంది.
determination	పట్టుదల	ఆమె పట్టుదల కోచ్‌ను ఆకట్టుకుంది.
devote	అంకితం చేయు	ఆమె వారాంతాలను చదువుకోవడానికి కేటాయిస్తుంది.
differ	విభేదించు	వారి అభిప్రాయాలు తీవ్రంగా విభేదిస్తాయి.
disability	వైకల్యం	ఈ భవనానికి వైకల్యం ఉన్నవారికి ప్రవేశ సౌకర్యం ఉంది.
disabled	వికలాంగ	దివ్యాంగుడైన అథ్లెట్ పతకం సాధించాడు.
disagreement	అసమ్మతి	సమావేశం అసమ్మతితో ముగిసింది.
disappoint	నిరాశపరచు	ఫలితం అభిమానులను నిరాశపరచవచ్చు.
disappointment	నిరాశ	అతను తీవ్ర నిరాశను అనుభవించాడు.
discourage	నిరుత్సాహపరచు	యువ అభ్యాసకులను నిరుత్సాహపరచవద్దు.
disorder	రుగ్మత	డాక్టర్ నిద్ర రుగ్మతను నిర్ధారించారు.
distant	దూరమైన	పర్వతాలు దూరంగా కనిపించాయి.
distinct	స్పష్టమైన	ఆ రెండు శబ్దాలు విభిన్నమైనవి.
distinguish	వేరుచేసి చూపు	మీరు ఈ రంగులను గుర్తించగలరా?
distract	దృష్టి మళ్లించు	శబ్దం విద్యార్థుల దృష్టిని మళ్లించగలదు.
disturb	భంగం కలిగించు	దయచేసి రోగికి అంతరాయం కలిగించవద్దు.
dive	డైవ్	వారు రీఫ్ దగ్గర డైవ్ చేస్తారు.
diverse	వైవిధ్యమైన	ఈ నగరంలో విభిన్న సంస్కృతులు ఉన్నాయి.
diversity	వైవిధ్యం	మేము సాంస్కృతిక వైవిధ్యాన్ని జరుపుకుంటాము.
divorce	విడాకులు	విడాకులు అందరికీ కష్టంగా మారాయి.
dominant	ఆధిపత్యం	ఆధిపత్య జట్టు ఆటను నియంత్రించింది.
donation	విరాళం	స్వచ్ఛంద సంస్థకు విరాళం అందింది.
dot	చుక్క	సంఖ్య తర్వాత ఒక చుక్క పెట్టండి.
downtown	నగర కేంద్రం	మేము పని తర్వాత నగర కేంద్రంలో కలుసుకున్నాము.
dramatically	నాటకీయంగా	ధర నాటకీయంగా పడిపోయింది.
drought	కరువు	కరువు పంటలను దెబ్బతీసింది.
dull	మందకొడిగా	ఉపన్యాసం విసుగు పుట్టించేదిగా ఉంది.
dump	డంప్	ఇక్కడ చెత్తను పారవేయవద్దు.
duration	వ్యవధి	విమాన ప్రయాణ వ్యవధి మూడు గంటలు.
dynamic	చైతన్యవంతమైన	తరగతి గది చాలా చురుకుగా అనిపించింది.
economics	అర్థశాస్త్రం	ఆమె విశ్వవిద్యాలయంలో ఆర్థికశాస్త్రం చదువుతుంది.
economist	ఆర్థికవేత్త	ఆర్థికవేత్త నెమ్మదిగా వృద్ధిని అంచనా వేశారు.
editorial	సంపాదకీయ	ఆ సంపాదకీయం చట్టాన్ని విమర్శించింది.
efficiently	సమర్థవంతంగా	జట్టు సమర్థవంతంగా పనిచేసింది.
elbow	మోచేయి	అతనికి మోచేతికి గాయమైంది.
electronics	ఎలక్ట్రానిక్స్	ఆ దుకాణం ఎలక్ట్రానిక్స్ విక్రయిస్తుంది.
elegant	సొగసైన	ఆ దుస్తులు సొగసుగా ఉన్నాయి.
elementary	ప్రాథమిక	ఆ పుస్తకం ప్రాథమిక వ్యాకరణాన్ని వివరిస్తుంది.
eliminate	తొలగించు	జట్టు అనేక తప్పులను తొలగించింది.
embrace	స్వీకరించు	ఆమె కొత్త ఆలోచనను స్వీకరించింది.
emission	ఉద్గారం	కారు ఉద్గార స్థాయిలు పడిపోయాయి.
emotionally	భావోద్వేగపరంగా	అతను తన కుటుంబం గురించి భావోద్వేగంగా మాట్లాడాడు.
empire	సామ్రాజ్యం	ఆ సామ్రాజ్యం శతాబ్దాల పాటు కొనసాగింది.
enjoyable	ఆనందించదగిన	ఆ ప్రయాణం ఆనందించదగినది.
entertaining	వినోదాత్మక	ఆ ప్రదర్శన వినోదాత్మకంగా ఉంది.
entrepreneur	వ్యవస్థాపకుడు	వ్యాపారవేత్త ఒక కేఫ్‌ను తెరిచాడు.
envelope	ఎన్వలప్	ఉత్తరాన్ని కవరులో పెట్టండి.
equip	సన్నద్ధం చేయు	పాఠశాల ల్యాబ్‌ను సన్నద్ధం చేస్తుంది.
equivalent	సమానమైనది	ఇక్కడ ఒక డాలర్ సమానం కాదు.
era	శకం	ఆ ఆవిష్కరణ ఒక కొత్త యుగాన్ని ప్రారంభించింది.
erupt	బద్దలువు	అగ్నిపర్వతం త్వరలో బద్దలవ్వవచ్చు.
essentially	ముఖ్యంగా	ఆ రెండు పద్ధతులు ప్రాథమికంగా ఒకటే.
ethic	నైతికత	అతని పని నైతికత బలంగా ఉంది.
ethnic	జాతి	ఈ పండుగ జాతి సంప్రదాయాలను జరుపుకుంటుంది.
evaluation	మూల్యాంకనం	కోర్సులో తుది మూల్యాంకనం ఉంటుంది.
evident	స్పష్టమైన	అతని కంగారు స్పష్టంగా కనిపించింది.
evolution	పరిణామం	పరిణామం అనేక జీవసంబంధ మార్పులను వివరిస్తుంది.
evolve	పరిణామం చెందు	భాషలు కాలక్రమేణా పరిణామం చెందుతాయి.
exceed	మించు	డిమాండ్ సరఫరాను మించవచ్చు.
exception	మినహాయింపు	ఒక మినహాయింపు ఉంది.
excessive	అధిక	మితిమీరిన శబ్దం ఇరుగుపొరుగు వారికి అంతరాయం కలిగిస్తుంది.
exclude	మినహాయించు	జాబితా తాత్కాలిక కార్మికులను మినహాయిస్తుంది.
exhibit	ప్రదర్శన	మ్యూజియం అరుదైన ఛాయాచిత్రాలను ప్రదర్శిస్తుంది.
exit	నిష్క్రమణ	నిష్క్రమణ వేదిక వెనుక ఉంది.
exotic	అన్యదేశ	ఆ దుకాణం అరుదైన పండ్లను విక్రయిస్తుంది.
expansion	విస్తరణ	కంపెనీ విస్తరణకు ప్రణాళిక వేసింది.
expertise	నైపుణ్యం	ఆమె నైపుణ్యం ప్రాజెక్టును మెరుగుపరిచింది.
exploit	దోపిడీ చేయు	నేరస్థులు బలహీనమైన పాస్‌వర్డ్‌లను వాడుకుంటారు.
exposure	గురికావడం	సూర్యరశ్మికి గురికావడం వల్ల చర్మం దెబ్బతింటుంది.
extension	పొడిగింపు	గడువు పొడిగింపు అందరికీ సహాయపడింది.
extensive	విస్తృతమైన	లైబ్రరీలో విస్తృతమైన వనరులు ఉన్నాయి.
extensively	విస్తృతంగా	ఈ అంశం విస్తృతంగా అధ్యయనం చేయబడింది.
extract	సారం	వనిల్లా సారం రుచిని ఇస్తుంది.
fabric	వస్త్రం	ఆ వస్త్రం మృదువుగా అనిపిస్తుంది.
fabulous	అద్భుతమైన	భోజనం అద్భుతంగా ఉంది.
failed	విఫలమైన	విఫలమైన ప్రయత్నం మాకు ఒక పాఠం నేర్పింది.
fake	నకిలీ	ఆ వెబ్‌సైట్ నకిలీ టిక్కెట్లను విక్రయించింది.
fame	కీర్తి	కీర్తి అతని వ్యక్తిగత జీవితాన్ని మార్చేసింది.
fantasy	ఫాంటసీ	ఆ నవల ఒక కల్పన.
fare	ఛార్జీ	బస్సు ఛార్జీ పెరిగింది.
federal	సమాఖ్య	ఫెడరల్ ప్రభుత్వం నిధులను ప్రకటించింది.
fever	జ్వరం	పిల్లాడికి జ్వరం వచ్చింది.
firefighter	అగ్నిమాపక సిబ్బంది	అగ్నిమాపక సిబ్బంది కుక్కను రక్షించాడు.
firework	బాణసంచా	పార్కు పైన ఒక బాణసంచా పేలింది.
firm	దృఢమైన	పరుపు దృఢంగా ఉంది.
firmly	దృఢంగా	ఆమె తలుపును గట్టిగా మూసింది.
flavour	రుచి	సూప్ మంచి రుచిని కలిగి ఉంది.
fond	ఇష్టమైన	అతనికి జాజ్ సంగీతం అంటే ఇష్టం.
fool	మూర్ఖుడు	మూర్ఖుడిలా ప్రవర్తించకు.
forbid	నిషేధించు	ఇక్కడ పొగ త్రాగడాన్ని చట్టం నిషేధిస్తుంది.
forecast	సూచన	వాతావరణ సూచన వర్షాన్ని అంచనా వేస్తోంది.
format	ఆకృతి	సరైన ఫైల్ ఫార్మాట్‌ను ఉపయోగించండి.
formation	నిర్మాణం	మేఘాల ఏర్పాటు త్వరగా మారుతుంది.
formerly	గతంలో	ఈ భవనం గతంలో ఒక పాఠశాల.
fortunate	అదృష్టవంతమైన	మేము త్వరగా చేరుకోవడం మా అదృష్టం.
forum	వేదిక	ఈ వేదిక వాతావరణ విధానం గురించి చర్చించింది.
fossil	శిలాజం	రాయిలో శిలాజం కనుగొనబడింది.
foundation	పునాది	ఈ ఇంటికి బలమైన పునాది ఉంది.
founder	స్థాపకుడు	స్థాపకుడు అతిథులకు స్వాగతం పలికారు.
fraction	భిన్నం	విద్యార్థులలో ఒక చిన్న భాగం మాత్రమే వచ్చారు.
fragment	ముక్క	నేలమీద ఒక గాజు ముక్క పడి ఉంది.
framework	చట్రం	చట్టం స్పష్టమైన చట్రాన్ని సృష్టిస్తుంది.
fraud	మోసం	బ్యాంకు మోసాన్ని పసిగట్టింది.
freely	స్వేచ్ఛగా	పిల్లలు ఆరుబయట స్వేచ్ఛగా ఆడుకున్నారు.
frequent	తరచుగా	తరచుగా తీసుకునే విరామాలు ఏకాగ్రతను మెరుగుపరుస్తాయి.
fulfil	నెరవేర్చు	నా వాగ్దానాన్ని నెరవేరుస్తానని ఆశిస్తున్నాను.
full-time	పూర్తి సమయం	ఆమెకు పూర్తి సమయం పనిచేసే ఉద్యోగం ఉంది.
fundamentally	ప్రాథమికంగా	ఈ ప్రణాళిక ప్రాథమికంగా భిన్నంగా ఉంది.
furious	కోపంతో	ఆలస్యం అయినందుకు అతను చాలా కోపంగా ఉన్నాడు.
gaming	గేమింగ్	గేమింగ్ ప్రతిచర్య వేగాన్ని మెరుగుపరుస్తుంది.
gay	స్వలింగ సంపర్కుడు	అతను స్వలింగ సంపర్కుల హక్కులను సమర్థిస్తాడు.
gender	లింగం	ఈ సర్వేలో లింగం గురించి అడిగారు.
gene	జన్యువు	జన్యువు కంటి రంగును ప్రభావితం చేస్తుంది.
genetic	జన్యుపరమైన	ఈ వ్యాధికి జన్యుపరమైన కారణాలు ఉన్నాయి.
genius	మేధావి	ఆ యువ పియానిస్ట్ ఒక మేధావి.
genuine	అసలైన	ఆమె చిరునవ్వు నిజమైనదిగా అనిపించింది.
genuinely	నిజంగా	అతను నిజంగా సహాయం చేయాలనుకున్నాడు.
gesture	సంజ్ఞ	ఆమె స్నేహపూర్వక సంజ్ఞ చేసింది.
gig	ప్రదర్శన	ఆ బ్యాండ్ డౌన్‌టౌన్‌లో ప్రదర్శన ఇచ్చింది.
globalization	ప్రపంచీకరణ	ప్రపంచీకరణ స్థానిక వ్యాపారాలను ప్రభావితం చేస్తుంది.
globe	భూగోళం	భూగోళం ప్రతి ఖండాన్ని చూపుతుంది.
golden	బంగారు	సూర్యాస్తమయం బంగారు రంగులోకి మారింది.
goodness	మంచితనం	ఆమె మానవ మంచితనాన్ని నమ్ముతుంది.
gorgeous	అందమైన	తోట చాలా అందంగా ఉంది.
governor	గవర్నర్	గవర్నర్ బిల్లుపై సంతకం చేశారు.
graphic	గ్రాఫిక్	ఆ గ్రాఫిక్ చిత్రం వీక్షకులను దిగ్భ్రాంతికి గురిచేసింది.
graphics	గ్రాఫిక్స్	ఆ గేమ్‌లో సాధారణ గ్రాఫిక్స్ ఉన్నాయి.
greatly	గొప్పగా	మీ సలహా చాలా సహాయపడింది.
greenhouse	గ్రీన్‌హౌస్	టమోటాలు గ్రీన్‌హౌస్ లోపల పెరుగుతాయి.
grocery	కిరాణా	పని తర్వాత ఆమె కిరాణా వస్తువులను కొనుగోలు చేసింది.
guideline	మార్గదర్శకం	ఈ మార్గదర్శకం సురక్షితమైన అభ్యాసాన్ని వివరిస్తుంది.
habitat	ఆవాసం	అడవి పక్షులకు ఒక ఆవాసం.
harbour	ఓడరేవు	పడవ నౌకాశ్రయంలోకి ప్రవేశించింది.
