source_headword	ES-419	example_ES-419
appealing	atractivo	La oferta parece atractiva para los estudiantes.
appetite	el apetito	El ejercicio aumentó su apetito.
applaud	aplaudir	El público comenzó a aplaudir fuertemente.
applicable	aplicable	El descuento es aplicable hoy.
appoint	nombrar	La junta nombrará a un director.
appreciation	el aprecio	Ella expresó aprecio por su ayuda.
arbitrary	arbitrario	La fecha límite pareció arbitraria para el personal.
architectural	arquitectónico	La ciudad protege su herencia arquitectónica.
archive	el archivo	El archivo almacena fotografías antiguas.
arena	la arena	El debate se trasladó a la arena pública.
arguably	posiblemente	Esta es posiblemente su mejor novela.
arm	armar	Los guardas armarán el convoy.
array	la variedad	La tienda ofrece una variedad de herramientas.
articulate	articular	Ella puede articular ideas complejas claramente.
ash	la ceniza	La ceniza cubrió el auto después del incendio.
aspiration	la aspiración	Su aspiración es convertirse en cirujana.
aspire	aspirar	Muchos estudiantes aspiran a estudiar en el extranjero.
assassination	el asesinato	El asesinato cambió la política del país.
assault	la agresión	La agresión ocurrió cerca de la estación.
assemble	ensamblar	Los trabajadores ensamblan los muebles a mano.
assembly	la asamblea	La asamblea escolar comienza a las nueve.
assert	afirmar	Él intentó afirmar su autoridad.
assertion	la afirmación	Su afirmación sorprendió al panel.
assurance	la garantía	El gerente dio garantía de apoyo.
asylum	el asilo	La familia solicitó asilo en la frontera.
atrocity	la atrocidad	La película describió una atrocidad en tiempos de guerra.
attain	alcanzar	Pocos corredores alcanzan esa velocidad.
attendance	la asistencia	La asistencia mejoró después del anuncio.
attorney	el abogado	El abogado interrogó al testigo.
attribute	atribuir	Los científicos atribuyen el aumento a la contaminación.
audit	la auditoría	La auditoría encontró varios errores.
authentic	auténtico	El restaurante sirve comida regional auténtica.
authorize	autorizar	Solo los gerentes pueden autorizar reembolsos.
auto	el auto	La industria automotriz cambió rápidamente.
autonomy	la autonomía	La región quiere mayor autonomía.
availability	la disponibilidad	La disponibilidad de asientos es limitada.
await	esperar	Varios mensajes esperan tu respuesta.
backdrop	el telón de fondo	Las montañas formaron un paisaje espectacular.
backing	el respaldo	La propuesta obtuvo respaldo de los votantes.
backup	la copia de seguridad	El sistema crea una copia de seguridad diariamente.
bail	la fianza	El juez fijó la fianza al mediodía.
ballot	la boleta	Cada votante recibió una boleta.
banner	el cartel	El cartel colgaba sobre la entrada.
bare	desnudo	La habitación tenía las paredes vacías.
barrel	el barril	El barril estaba lleno de agua.
bass1	el bajo	El bajo sonó profundo y cálido.
battlefield	el campo de batalla	El antiguo campo de batalla se convirtió en un monumento.
bay	la bahía	El pueblo está junto a una bahía tranquila.
beam	la viga	Una viga de acero sostiene el techo.
beast	la bestia	La historia describe a una bestia feroz.
behalf	el nombre	Ella habló en nombre de su equipo.
beloved	amado	El amado profesor se jubiló hoy.
bench	el banco	Se sentaron en un banco de madera.
benchmark	el punto de referencia	La prueba se convirtió en un punto de referencia de la industria.
beneath	debajo	Los documentos estaban debajo de la carpeta.
beneficiary	el beneficiario	Su hijo fue el principal beneficiario.
betray	traicionar	No traiciones la confianza de tu amigo.
bind	vincular	El acuerdo vinculará a ambas empresas.
biography	la biografía	Su biografía vendió muchas copias.
bishop	el obispo	El obispo visitó la iglesia del pueblo.
bizarre	extraño	La película tuvo un final extraño.
blade	la hoja	La hoja cortó la cuerda.
blast	la explosión	La explosión rompió las ventanas cercanas.
bleed	sangrar	El corte empezó a sangrar mucho.
blend	mezclar	Mezcla la salsa hasta que quede suave.
bless	bendecir	El sacerdote bendecirá la casa.
blessing	la bendición	Tener apoyo fue una bendición.
boast	presumir	Le gusta presumir sobre el dinero.
bonus	el bono	Los empleados recibieron un bono por vacaciones.
boom	el auge	La ciudad experimentó un auge en la construcción.
bounce	rebotar	La pelota puede rebotar muy alto.
boundary	el límite	El río marca el límite.
bow1	inclinarse	El actor hizo una profunda reverencia.
breach	la violación	La filtración expuso datos privados.
breakdown	el desglose	El informe incluye un desglose de costos.
breakthrough	el avance	El descubrimiento fue un gran avance.
breed	criar	Estas aves se reproducen en primavera.
broadband	la banda ancha	La oficina necesita banda ancha más rápida.
browser	el navegador	Actualiza tu navegador antes de iniciar sesión.
brutal	brutal	El ataque fue brutal y repentino.
buck	el dólar	El boleto cuesta diez dólares.
buddy	el amigo	Su amigo esperó afuera.
buffer	el amortiguador	Los árboles crean una barrera contra el ruido.
bulk	el volumen	Compraron arroz a granel.
burden	la carga	La deuda se convirtió en una carga pesada.
bureaucracy	la burocracia	La burocracia retrasó el permiso.
burial	el entierro	El entierro se llevó a cabo al amanecer.
burst	reventar	La tubería puede reventar bajo presión.
cabinet	el gabinete	El gabinete aprobó el plan.
calculation	el cálculo	El cálculo tomó varios minutos.
canvas	el lienzo	El artista pintó sobre un gran lienzo.
capability	la capacidad	El dispositivo tiene capacidad inalámbrica.
capitalism	el capitalismo	El capitalismo dio forma a la economía moderna.
capitalist	capitalista	El sistema capitalista recompensa la inversión privada.
cargo	el cargamento	El barco llevaba cargamento médico.
carriage	el vagón	El vagón de tren estaba casi vacío.
carve	tallar	Él tallará la madera con cuidado.
casino	el casino	El casino abrió cerca del hotel.
casualty	la víctima	El accidente causó una víctima.
catalogue	el catálogo	El catálogo incluye todos los productos.
cater	atender	El restaurante puede atender grandes eventos.
cattle	el ganado	El ganado pastaba cerca del río.
caution	la precaución	Ten precaución en caminos helados.
cautious	cauteloso	Los inversores se mantienen cautelosos esta semana.
cease	cesar	La fábrica dejará de producir pronto.
cemetery	el cementerio	El cementerio tiene vista al mar.
chamber	la cámara	La cámara permaneció en silencio durante la votación.
chaos	el caos	El retraso causó caos en el aeropuerto.
characterize	caracterizar	Los expertos caracterizan el plan como arriesgado.
charm	el encanto	El pueblo tiene un encanto de antaño.
charter	la carta	La carta protege los derechos básicos.
chronic	crónico	Él sufre de dolor crónico de espalda.
chunk	el trozo	Corta el queso en un trozo.
circulate	circular	Por favor, circula la agenda hoy.
circulation	la circulación	La circulación del periódico cayó bruscamente.
citizenship	la ciudadanía	Ella solicitó la ciudadanía francesa.
civic	cívico	Líderes cívicos asistieron a la reunión.
civilian	el civil	Varias casas de civiles resultaron dañadas.
clarity	la claridad	El diagrama añadió claridad al informe.
clash	el enfrentamiento	El enfrentamiento comenzó después de la marcha.
classification	la clasificación	La clasificación depende del tamaño.
cling	aferrarse	La ropa mojada se pega a la piel.
clinical	clínico	El ensayo clínico comienza el próximo mes.
closure	el cierre	La familia quería un cierre después del caso.
cluster	el grupo	Un grupo de casas estaba cerca.
coalition	la coalición	La coalición perdió su mayoría.
coastal	costero	Pueblos costeros se prepararon para inundaciones.
cocktail	el cóctel	Ella pidió un cóctel de frutas.
cognitive	cognitivo	Las habilidades cognitivas mejoran con la práctica.
coincide	coincidir	El festival coincidirá con la graduación.
collaborate	colaborar	Los equipos colaboran en software.
collaboration	la colaboración	Su colaboración produjo buenos resultados.
collective	colectivo	La decisión fue un esfuerzo colectivo.
collision	la colisión	La colisión bloqueó la autopista.
colonial	colonial	El edificio tiene arquitectura colonial.
columnist	el columnista	El columnista criticó la política.
combat	el combate	Los soldados entrenaron para el combate.
commence	comenzar	La ceremonia comenzará al mediodía.
commentary	el comentario	El comentario del partido fue animado.
commentator	el comentarista	El comentarista explicó la decisión.
commerce	el comercio	El comercio en línea creció rápidamente.
commissioner	el comisionado	El comisionado anunció nuevas reglas.
commodity	el producto básico	El trigo es un producto básico importante.
communist	comunista	El partido comunista realizó una reunión.
companion	el compañero	Su perro es un compañero leal.
comparable	comparable	Las dos ciudades son comparables en tamaño.
compassion	la compasión	La enfermera mostró gran compasión.
compel	obligar	La evidencia puede obligar a dar una respuesta.
compelling	convincente	El documental presentó un caso convincente.
compensate	compensar	La empresa compensará a los clientes afectados.
compensation	la compensación	Los trabajadores exigieron una compensación justa.
competence	la competencia	La prueba mide la competencia profesional.
competent	competente	Ella es una ingeniera competente.
compile	compilar	Los investigadores compilan datos de hospitales.
complement	complementar	El vino complementará la comida.
complexity	la complejidad	El proyecto tiene una complejidad inesperada.
compliance	el cumplimiento	La auditoría comprobó el cumplimiento legal.
complication	la complicación	La cirugía tuvo una complicación.
comply	cumplir	Las empresas deben cumplir con las regulamentaciones.
composition	la composición	La composición incluye violín y piano.
compromise	el acuerdo	El acuerdo satisfizo a ambas partes.
compute	calcular	El programa puede calcular el total.
conceal	ocultar	Él intentó ocultar el daño.
concede	admitir	El ministro se negó a admitir la derrota.
conceive	concebir	Ellos no pudieron concebir un plan mejor.
conception	la concepción	La película cambió mi concepción de la historia.
concession	la concesión	La empresa ofreció una concesión.
condemn	condenar	Los líderes condenaron el ataque públicamente.
confer	conferir	El premio conferirá prestigio.
confession	la confesión	Su confesión sorprendió al tribunal.
configuration	la configuración	La configuración controla el acceso a la red.
confine	confinar	Las reglas confinan a los perros a esta área.
confirmation	la confirmación	Recibimos la confirmación por correo electrónico.
confront	confrontar	Ella decidió confrontar el problema.
confrontation	la confrontación	La confrontación terminó sin violencia.
congratulate	felicitar	Llamé para felicitar a mi hermana.
congregation	la congregación	La congregación cantó junta.
congressional	del congreso	La audiencia del congreso duró horas.
conquer	conquistar	El equipo espera conquistar el mercado.
conscience	la conciencia	Su conciencia no le permitiría mentir.
consciousness	la consciencia	El accidente afectó su consciencia.
consecutive	consecutivo	Ella ganó tres partidos consecutivos.
consensus	el consenso	El comité llegó a un consenso rápidamente.
consent	el consentimiento	Se requiere consentimiento por escrito.
conserve	conservar	Conservamos agua durante las sequías.
consistency	la consistencia	La consistencia es importante en el estudio de idiomas.
consolidate	consolidar	La empresa consolidará dos oficinas.
constituency	el distrito electoral	El candidato visitó cada distrito electoral.
constitute	constituir	Las mujeres constituyen la mitad del comité.
constitution	la constitución	La constitución garantiza la libertad de expresión.
constitutional	constitucional	El tribunal revisó los derechos constitucionales.
constraint	la restricción	La restricción presupuestaria limitó el proyecto.
consultation	la consulta	La consulta duró dos semanas.
contemplate	contemplar	Ella hizo una pausa para contemplar la oferta.
contempt	el desprecio	Él mostró desprecio por las reglas.
contend	competir	Varias empresas compiten por el contrato.
contender	el contendiente	Ella es una fuerte contendiente.
content2	contento	Él se sintió contento con el resultado.
contention	la disputa	La principal disputa tiene que ver con la financiación.
continually	continuamente	El sistema verifica continuamente si hay errores.
contractor	el contratista	El contratista reparó el techo.
contradiction	la contradicción	Su declaración contenía una contradicción.
contrary	contrario	La evidencia contraria cambió el caso.
contributor	el colaborador	Ella es una colaboradora habitual.
conversion	la conversión	La conversión transformó dólares en euros.
convict	condenar	El jurado puede condenar al sospechoso.
conviction	la condena	Su condena conmocionó al público.
cooperate	cooperar	Por favor, coopere con la investigación.
cooperative	cooperativo	El personal fue cooperativo y tranquilo.
coordinate	coordinar	Ellos coordinan las entregas todas las mañanas.
coordination	la coordinación	La buena coordinación ahorró tiempo.
coordinator	el coordinador	El coordinador asignó cada tarea.
cop	el policía	Un policía estaba parado afuera de la estación.
copper	el cobre	El tubo está hecho de cobre.
copyright	los derechos de autor	La imagen está protegida por derechos de autor.
correction	la corrección	El maestro hizo una corrección.
correlate	correlacionar	El alto estrés puede correlacionarse con enfermedades.
correlation	la correlación	El estudio encontró una fuerte correlación.
correspond	corresponder	Estos números corresponden a las etiquetas.
correspondence	la correspondencia	Su correspondencia duró años.
correspondent	el corresponsal	El corresponsal informó desde El Cairo.
corresponding	correspondiente	Cada botón tiene una luz correspondiente.
corrupt	corrupto	El funcionario corrupto aceptó dinero.
corruption	la corrupción	La corrupción debilitó la confianza del público.
costly	costoso	El error fue costoso para el equipo.
councillor	el concejal	El concejal respondió a las preguntas de los residentes.
counselling	el asesoramiento	Ella recibió asesoramiento después del accidente.
counsellor	el consejero	El consejero ayudó a los nuevos estudiantes.
counter (argue against)	refutar	Ella intentó refutar su argumento.
counterpart	el homólogo	Él conoció a su homólogo japonés.
countless	innumerable	Innumerables voluntarios se unieron a la búsqueda.
coup	el golpe de estado	El golpe de estado destituyó al presidente.
courtesy	la cortesía	Ella les agradeció su cortesía.
