source_headword	SL	example_SL
remainder	preostanek	Preostanek je šel v dobrodelne namene.
remains	ostanki	Ostanke so natančno pregledali.
remedy	pravno sredstvo	Zakon zagotavlja pravno sredstvo.
reminder	opomnik	E-pošta je bila koristen opomnik.
removal	odstranitev	Odstranitev ovir je pomagala trgovini.
render	povzročiti	Zaradi napake je postala pogodba neveljavna.
renew	obnoviti	Kmalu obnovite svoj potni list.
renowned	slaven	Slavna je po svojih raziskavah.
rental	najem	Najem vključuje zavarovanje.
replacement	zamenjava	Nadomestni del je prispel danes.
reportedly	domnevno	Minister je včeraj domnevno odstopil.
representation	zastopanost	Poštena zastopanost ostaja pomembna.
reproduce	razmnoževati se	Te rastline se hitro razmnožujejo.
reproduction	reprodukcija	Digitalna reprodukcija je izboljšala dostop.
republic	republika	V republiki so bile volitve.
resemble	spominjati na	Dizajna zelo spominjata drug na drugega.
reside	prebivati	Prebivajo blizu meje.
residence	rezidenca	Njegova uradna rezidenca je stražena.
residential	stanovanjski	Območje je večinoma stanovanjsko.
residue	ostanek	Čistilo je pustilo lepljiv ostanek.
resignation	odstop	Njen odstop je šokiral upravo.
resistance	odpor	Odpor do sprememb je bil močan.
respective	posamezen	Vrnili so se v svoje posamezne pisarne.
respectively	oziroma	Rezultata sta bila 80 oziroma 90.
restoration	obnova	Obnova stavbe je trajala več let.
restraint	zadržanost	Policija je pokazala zadržanost.
resume	nadaljevati	Pouk se bo nadaljeval naslednji teden.
retreat	umik	Vojska je začela umik.
retrieve	pridobiti	Pridobila je datoteko.
revelation	razkritje	Razkritje je uničilo njegov ugled.
revenge	maščevanje	Želel je maščevanje za žalitev.
reverse	razveljaviti	Sodišče je razveljavilo odločitev.
revival	oživitev	Mesto je doživelo gospodarsko oživitev.
revive	oživiti	Festival je pomagal oživiti lokalne tradicije.
revolutionary	revolucionaren	Izum je bil revolucionaren.
rhetoric	retorika	Njegova retorika je zvenela agresivno.
rifle	puška	Puška je bila varno shranjena.
riot	izgred	Izgred je trajal več ur.
rip	raztrgati	Previdno raztrgajte papir.
ritual	obred	Obred obeležuje žetev.
robust	robusten	Sistem je robusten.
rock	pretresti	Eksplozija je pretresla vas.
rod	palica	Zavesa visi na palici.
rotate	obračati	Počasi obračajte ročaj.
rotation	kolobarjenje	Kolobarjenje ščiti tla.
ruling	razsodba	Sodišče je izdalo razsodbo.
rumour	govorica	Govorica se je hitro razširila.
sack	odpustiti	Uprava bi lahko odpustila trenerja.
sacred	svet	Tempelj je svet.
sacrifice	žrtvovanje	Starši pogosto sprejemajo žrtvovanja.
saint	svetnik	Cerkev časti lokalnega svetnika.
sake	volja	Ostal je zaradi nje.
sanction	sankcija	Sankcija je vplivala na mednarodno trgovino.
say	beseda	Zaposleni so imeli besedo pri razporejanju.
scattered	raztresen	Raztreseni papirji so prekrili mizo.
sceptical	skeptičen	Ostala je skeptična glede trditve.
scope	obseg	Obseg projekta se je razširil.
screw	vijak	Previdno privijte vijak.
scrutiny	drobnogled	Dogovor se je znašel pod drobnogledom javnosti.
seal	zapreti	Zaprite ovojnico pred pošiljanjem.
secular	posveten	Šola sledi posvetnemu učnemu načrtu.
seemingly	na videz	Naloga je bila na videz preprosta.
segment	del	Zadnji del je bil krajši.
seize	zaseči	Policija je zasegla dokumente.
seldom	redko	Redko zamudi pouk.
selective	selektiven	Program je zelo selektiven.
senator	senator	Senator je podprl predlog zakona.
sensation	senzacija	Odkritje je povzročilo senzacijo.
sensitivity	občutljivost	Zadeva zahteva občutljivost.
sentiment	razpoloženje	Javno razpoloženje se je hitro spremenilo.
separation	ločitev	Ločitev je bila težka.
serial	serijski	Serijska številka manjka.
settlement	poravnava	Poravnava je končala spor.
set-up	postavitev	Postavitev je trajala celo jutro.
sexuality	spolnost	Tečaj obravnava identiteto in spolnost.
shareholder	delničar	Delničar je zaslišal upravo.
shatter	uničiti	Novica je uničila njegovo samozavest.
shed	ukiniti	Podjetje bo ukinilo delovna mesta.
sheer	sam	Sama velikost je vse presenetila.
shipping	pošiljanje	Stroški pošiljanja so se povečali.
shoot	fotografiranje	Fotografiranje se je končalo zgodaj.
shrink	skrčiti se	Majica se lahko skrči.
shrug	skomigniti	Malo je skomignila.
sigh	vzdihniti	Vzdihnil je od olajšanja.
simulate	simulirati	Programska oprema lahko simulira promet.
simulation	simulacija	Simulacija je napovedala poplave.
simultaneously	hkrati	Hkrati sta zazvonila dva alarma.
sin	greh	Ponos velja za greh.
situated	nahajajoč se	Hotel se nahaja v središču mesta.
sketch	skica	Naredila je hitro skico.
skip	izpustiti	Ne izpuščajte zajtrka.
slam	zaloputniti	Lahko zaloputne z vrati.
slap	udariti	Ne udarjaj po mizi.
slavery	suženjstvo	Suženjstvo je oblikovalo zgodovino regije.
slot	termin	Na spletu rezervirajte časovni termin.
smash	razbiti	Kozarec se je razbil na tleh.
snap	zlomiti se	Veja se je zlomila v vetru.
soak	namakati	Fižol namakajte čez noč.
soar	poskočiti	Cene goriva lahko poskočijo.
socialist	socialističen	Stranka podpira socialistične politike.
sole	edini	Bil je edini preživeli.
solely	izključno	Odločitev je bila izključno njegova.
solicitor	odvetnik	Odvetnik je pripravil pogodbo.
solidarity	solidarnost	Delavci so izrazili solidarnost.
solo	solo	Izdala je solo album.
sound	zanesljiv	Načrt je zanesljiv in praktičen.
sovereignty	suverenost	Sporazum je zaščitil nacionalno suverenost.
spam	vsiljena pošta	Vsiljena pošta je napolnila nabiralnik.
span	raztezati se	Most se razteza čez reko.
spark	sprožiti	Majhna opazka je sprožila razpravo.
specialized	specializiran	Klinika nudi specializirano oskrbo.
specification	specifikacija	Zasnova izpolnjuje vsako specifikacijo.
specimen	primerek	Primerek je bil varno shranjen.
spectacle	spektakel	Parada je bila živahen spektakel.
spectrum	spekter	Mnenja pokrivajo širok spekter.
spell	obdobje	Sušno obdobje je trajalo tedne.
sphere	sfera	Politika je vstopila v kulturno sfero.
spin	vrteti se	Kolesa so se začela vrteti.
spine	hrbtenica	Poškodba je prizadela njegovo hrbtenico.
spotlight	soj žarometov	Škandal ga je postavil v središče pozornosti.
spouse	zakonec	Njen zakonec se je udeležil obreda.
spy	vohun	Vohun je pošiljal kodirana sporočila.
squad	ekipa	Reševalna ekipa je prispela hitro.
squeeze	stisniti	Nežno stisnite ročaj.
stab	vbodna rana	Poročilo je opisalo vbodno rano.
stability	stabilnost	Politika je prinesla stabilnost.
stabilize	stabilizirati	Zdravilo ga je pomagalo stabilizirati.
stake	delež	Vlagatelji imajo tu svoj delež.
standing	ugled	Njen ugled v stranki je zrasel.
stark	oster	Rezultati so pokazali ostro nasprotje.
statistical	statističen	Študija je uporabila statistične metode.
steer	usmerjati	Poskušal je usmerjati razpravo.
stem	steblo	Steblo se je zlomilo v nevihti.
stereotype	stereotip	Film je izzval stereotip.
stimulus	spodbuda	Paket je zagotovil gospodarsko spodbudo.
stir	mešati	Počasi mešajte omako.
storage	shranjevanje	Objekt nudi varno shranjevanje.
straightforward	preprost	Navodila so bila preprosta.
strain	napetost	Dolga zamuda je povzročila napetost.
strand	pramen	Padel je pramen las.
strategic	strateški	Podjetje je izvedlo strateško naložbo.
strip (long narrow piece)	trak	Odrežite ozek trak papirja.
strip (remove clothes/a layer)	odstraniti	Previdno odstranite staro barvo.
strive	prizadevati si	Prizadevajo si za odličnost.
structural	strukturni	Most ima strukturno poškodbo.
stumble	spotakniti se	Spotaknil se je na stopnicah.
stun	osupniti	Novica lahko osupne ljudi.
submission	oddaja	Rok za oddajo je potekel.
subscriber	naročnik	Vsak naročnik prejema posodobitve.
subscription	naročnina	Naročnina se samodejno obnovi.
subsidy	subvencija	Subvencija je znižala stroške goriva.
substantial	znaten	Projekt potrebuje znatno financiranje.
substantially	znatno	Cena se je znatno povečala.
substitute	nadomestek	Uporabite mleko kot nadomestek.
substitution	zamenjava	Zamenjava je spremenila recept.
subtle	prefinjen	Slika ima prefinjene podrobnosti.
suburban	primestni	Preselili so se v primestno območje.
succession	zaporedje	Kriza je sledila zaporedju neuspehov.
successive	zaporedni	Zaporedne vlade so ignorirale težavo.
successor	naslednik	Naslednik bo začel v ponedeljek.
suck	sesati	Stroj lahko sesa prah.
sue	tožiti	Odločila se je tožiti podjetje.
suicide	samomor	Preprečevanje samomorov potrebuje trajnostno financiranje.
suite	suita	Hotelska suita je gledala na reko.
summit	vrh	Voditelji so se srečali na vrhu.
superb	odličen	Predstava je bila odlična.
superior	boljši	Novi model je boljši.
supervise	nadzorovati	Nadzorovala bo pripravnike.
supervision	nadzor	Otroci potrebujejo nadzor odraslih.
supervisor	nadzornik	Najprej vprašajte svojega nadzornika.
supplement	dodatek	Poročilo vključuje dodatek.
supportive	podpirajoč	Njena družina je bila podpirajoča.
supposedly	domnevno	Datoteka je bila domnevno izbrisana.
suppress	zatreti	Režim je poskušal zatreti proteste.
supreme	vrhovni	Vrhovno sodišče je obravnavalo primer.
surge	sunek	Nenaden sunek je poškodoval opremo.
surgical	kirurški	Bolnik potrebuje kirurško zdravljenje.
surplus	presežek	Skladišče ima presežek.
surrender	predati se	Vojaki so se strinjali s predajo.
surveillance	nadzor	Nadzorne kamere so posnele vhod.
suspension	prekinitev	Prekinitev je trajala dva tedna.
suspicion	sum	Njegovo vedenje je vzbudilo sum.
suspicious	sumljiv	Paket je izgledal sumljivo.
sustain	podpirati	Projekt lahko podpira lokalna delovna mesta.
swing	nihati	Vrata so začela nihati.
sword	meč	Meč je visel na steni.
symbolic	simboličen	Gesta je bila simbolična.
syndrome	sindrom	Sindrom vpliva na spomin.
synthesis	sinteza	Poglavje ponuja sintezo.
systematic	sistematičen	Pregled je bil sistematičen.
tactic	taktika	Taktika je hitro propadla.
tactical	taktičen	Ekipa je naredila taktično spremembo.
taxpayer	davkoplačevalec	Davkoplačevalski denar je financiral most.
tempt	mikati	Ponudba lahko mika vlagatelje.
tenant	najemnik	Najemnik je najemnino plačal zgodaj.
tender	nežen	Nasmehnila se je z nežnim nasmehom.
tenure	mandat	Njegov mandat je trajal šest let.
terminal	terminalen	Bolnik je imel terminalno bolezen.
terminate	prekiniti	Podjetje lahko odpove pogodbo.
terrain	teren	Teren je bil težak.
terrific	čudovit	Razgled je bil čudovit.
testify	pričati	Strinjala se je s pričanjem.
testimony	pričevanje	Njegovo pričevanje je bilo podrobno.
texture	tekstura	Tkanina ima grobo teksturo.
thankfully	na srečo	Na srečo ni bil nihče poškodovan.
theatrical	teatralen	Govor je zvenel teatralno.
theology	teologija	Na univerzi je študiral teologijo.
theoretical	teoretičen	Model je zgolj teoretičen.
thereafter	zatem	Zatem so se pravila spremenila.
thereby	s tem	Sprememba je zmanjšala stroške in s tem ohranila delovna mesta.
thoughtful	premišljen	Njen odgovor je bil premišljen.
thought-provoking	spodbuden za razmišljanje	Članek je bil spodbuden za razmišljanje.
thread	nit	Nit se je zlahka pretrgala.
threshold	prag	Glasovanje je preseglo prag.
thrilled	navdušen	Bila je navdušena nad novico.
thrive	uspevati	Mala podjetja lahko tukaj uspevajo.
tide	plima	Plima je hitro narasla.
tighten	zategniti	Trdno zategnite pokrov.
timber	les	Hiša uporablja lokalni les.
timely	pravočasen	Opozorilo je bilo pravočasno.
tobacco	tobak	Prodaja tobaka je upadla.
tolerance	strpnost	Politika spodbuja strpnost.
tolerate	prenašati	Ne moremo prenašati zlorabe.
toll	davek	Nevihta je terjala velik davek.
top	preseči	Prodaja lahko preseže lanski rekord.
torture	mučenje	Sporazum absolutno prepoveduje mučenje.
