source_headword	NO	example_NO
magnitude	et omfang	Omfanget av skadene var tydelig.
mainland	et fastland	Fergen forbinder øyene med fastlandet.
mainstream	en mainstream	Ideen ble en del av mainstream-politikken.
maintenance	et vedlikehold	Regelmessig vedlikehold forhindrer havarier.
mandate	et mandat	Presidenten hevdet å ha et sterkt mandat.
mandatory	obligatorisk	Oppmøte er obligatorisk for praktikanter.
manifest	vise seg	Symptomene kan vise seg etter flere uker.
manipulate	manipulere	Ikke manipuler undersøkelsesresultatene.
manipulation	en manipulasjon	Datamanipulasjonen ble oppdaget.
manuscript	et manuskript	Forlaget aksepterte manuskriptet hennes.
march	marsjere	Demonstrantene vil marsjere til sentrum.
marginal	marginal	Endringen hadde marginale fordeler.
marine	marin	Marint liv trenger rent vann.
marketplace	en markedsplass	Den nettbaserte markedsplassen utvidet seg raskt.
mask	en maske	Arbeiderne må bruke maske.
massacre	en massakre	Massakren sjokkerte hele regionen.
mathematical	matematisk	Den matematiske modellen forutså etterspørselen.
mature	moden	De fullvoksne trærne gir skygge.
maximize	maksimere	Oppdateringen vil maksimere batterilevetiden.
meaningful	meningsfull	De hadde en meningsfull samtale.
meantime	en mellomtid	I mellomtiden, vent utenfor.
medieval	middelaldersk	Slottet har middelalderske murer.
meditation	en meditasjon	Daglig meditasjon beroliger sinnet hennes.
melody	en melodi	Melodien festet seg i hodet mitt.
memo	et notat	Notatet forklarte retningslinjene.
memoir	en memoar	Memoaren hennes beskriver eksil i barndommen.
memorial	et minnesmerke	Minnesmerket hedrer lokale soldater.
mentor	en mentor	Mentoren hennes gjennomgikk forslaget.
merchant	en kjøpmann	Kjøpmannen solgte silke og krydder.
mercy	en barmhjertighet	Dommeren viste barmhjertighet.
mere	blott	Et blott blikk avslørte feilen.
merely	bare	Hun gjentok bare instruksjonene.
merge	fusjonere	De to selskapene vil fusjonere.
merger	en fusjon	Fusjonen skapte en større bank.
merit	en fortjeneste	Forslaget har en tydelig fortjeneste.
methodology	en metodikk	Studien forklarer sin metodikk.
midst	en midte	De jobbet midt i kaoset.
migration	en migrasjon	Sesongbasert migrasjon påvirker lokale jobber.
militant	militant	Den militante gruppen avviste forhandlinger.
militia	en milits	Militsen kontrollerte veien.
mill	en mølle	Den gamle møllen ble et museum.
minimal	minimal	Planen krever minimal innsats.
minimize	minimere	Vi må minimere unødvendig risiko.
mining	en gruvedrift	Gruvedrift skadet elvedalen.
ministry	et departement	Departementet kunngjorde nye regler.
minute2	ørsmå	En bitteliten sprekk dukket opp i glasset.
miracle	et mirakel	Bedringen hans virket som et mirakel.
misery	en elendighet	Flyktningene utholdt år med elendighet.
misleading	villedende	Det villedende diagrammet forvirret leserne.
missile	et missil	Missiltesten økte spenningen.
mob	en mobb	Den sinte mobben blokkerte trafikken.
mobility	en mobilitet	Bedre busser forbedrer mobiliteten i byene.
mobilize	mobilisere	Ledere mobiliserer frivillige raskt.
moderate	moderat	Kandidaten har moderate synspunkter.
modification	en modifikasjon	Designet trenger én modifikasjon.
momentum	et moment	Kampanjen skjøt raskt fart.
monk	en munk	Munken levde i stillhet.
monopoly	et monopol	Firmaet hadde et monopol.
morality	en moral	Kurset undersøker offentlig moral.
motive	et motiv	Politiet stilte spørsmål ved motivet hans.
motorist	en bilist	Bilisten stoppet på rødt lys.
municipal	kommunal	Kommunale tjenester ble forbedret i år.
mutual	gjensidig	De kom frem til en gjensidig avtale.
namely	nemlig	Ett problem gjenstår, nemlig finansiering.
nationwide	landsdekkende	Streiken forårsaket landsdekkende forsinkelser.
naval	marin	Marinebasen stengte i fjor.
neglect	forsømme	Ikke forsøm grunnleggende sikkerhet.
neighbouring	nabo-	Nabobyer delte sykehuset.
nest	et rede	Fuglen bygde et rede.
net	netto	Nettoprofitten steg kraftig.
newsletter	et nyhetsbrev	Nyhetsbrevet ankommer hver fredag.
niche	en nisje	Selskapet fant en lønnsom nisje.
noble	edel	Hennes edle gest imponerte alle.
nod	nikke	Vennligst nikk hvis du forstår.
nominate	nominere	De vil nominere en ny leder.
nomination	en nominasjon	Nominasjonen hennes overrasket komiteen.
nominee	en nominert	Den nominerte svarte på vanskelige spørsmål.
nonetheless	likevel	Likevel gikk planen fremover.
non-profit	ideell	Hun jobber for en ideell klinikk.
nonsense	et tull	Det ryktet er komplett tull.
noon	en formiddag	Møtet starter klokken tolv.
notable	bemerkelsesverdig	Rapporten viste bemerkelsesverdige fremskritt.
notably	spesielt	Spesielt falt kostnadene i mai.
notify	varsle	Vennligst varsle personalet før du drar.
notorious	beryktet	Veien er beryktet for ulykker.
novel	nyskapende	De foreslo en nyskapende løsning.
nursery	en barnehage	Barnehagen tar seg av småbarn.
objection	en innvending	Advokaten kom med en innvending.
oblige	å forplikte	Regler forplikter sjåfører til å stoppe.
obsess	å henge seg opp i	Ikke heng deg opp i små feil.
obsession	en besettelse	Hans besettelse skadet arbeidet hans.
occasional	sporadisk	Sporadiske forsinkelser må forventes.
occurrence	en hendelse	En slik hendelse er sjelden.
odds	en sannsynlighet	Sannsynligheten for suksess forbedret seg.
offering	et tilbud	Universitetet utvidet sitt tilbud.
offspring	et avkom	Reven beskyttet sitt avkom.
operational	operativ	Det nye systemet er operativt.
opt	å velge	Mange studenter velger nettbaserte klasser.
optical	optisk	Den optiske linsen trenger rengjøring.
optimism	en optimisme	Optimismen kom tilbake etter kunngjøringen.
oral	muntlig	Den muntlige eksamenen starter i morgen.
organizational	organisatorisk	Organisatoriske endringer begynte umiddelbart.
orientation	en opplæring	Workshopen dekket orientering for ansatte.
originate	å stamme fra	Mange tradisjoner stammer fra landsbyer.
outbreak	et utbrudd	Utbruddet spredte seg over byen.
outing	en utflukt	Klassen nøt en utflukt til museet.
outlet	et utsalg	Utsalget selger rabatterte klær.
outlook	en utsikt	De økonomiske utsiktene forblir usikre.
outrage	et raseri	Beslutningen forårsaket offentlig raseri.
outsider	en utenforstående	Som en utenforstående la hun merke til problemer.
overlook	å overse	Ikke overse mindre detaljer.
overly	overdrevent	Instruksjonene var overdrevent komplekse.
oversee	å ha tilsyn med	Hun vil ha tilsyn med prosjektet.
overturn	å omgjøre	Retten kan omgjøre kjennelsen.
overwhelm	å overvelde	For mye informasjon kan overvelde elever.
overwhelming	overveldende	Bevisene var overveldende.
pad	en beskytter	Bruk beskytteren for å beskytte knærne.
parameter	et parameter	Juster ett parameter av gangen.
parental	foreldre-	Foreldrestøtte forbedret oppmøtet.
parish	en menighet	Menigheten organiserte en veldedighetsmiddag.
parliamentary	parlamentarisk	Den parlamentariske debatten varte i timevis.
partial	delvis	Rapporten ga et delvis svar.
partially	delvis	Vinduet var delvis åpent.
passing	en bortgang	Hennes bortgang var brå.
passive	passiv	Passive investorer aksepterte jevn avkastning.
pastor	en pastor	Pastoren besøkte familien.
patch	en lapp	Jakken trenger en liten lapp.
patent	et patent	Selskapet søkte om et patent.
pathway	en vei	Veien fører til sertifisering.
patrol	en patrulje	Politiet patruljerer området om natten.
patron	en mesen	Museet takket sin mesen.
peak	en topp	Etterspørselen nådde en topp om vinteren.
peasant	en småbonde	Småbonden eide lite land.
peculiar	merkelig	Rommet hadde en merkelig lukt.
persist	å vedvare	Symptomene kan vedvare i flere dager.
persistent	vedvarende	En vedvarende hoste trenger oppmerksomhet.
personnel	et personale	Personalregisteret er konfidensielt.
petition	en underskriftskampanje	Underskriftskampanjen samlet tusenvis av signaturer.
philosopher	en filosof	Filosofen stilte spørsmål ved vanlige antakelser.
philosophical	filosofisk	Diskusjonen ble filosofisk.
physician	en lege	Legen bestilte blodprøver.
pioneer	en pioner	Hun ble en pioner innen medisin.
pipeline	en rørledning	Rørledningen frakter gass under jorden.
pirate	en pirat	Piratskipet dukket opp utenfor kysten.
pit	en grop	Arbeiderne gravde en dyp grop.
plea	en bønn	Hans bønn om hjelp ble ignorert.
plead	å erklære	Den mistenkte vil erklære seg skyldig.
pledge	å love	De lover støtte til reformer.
plug	å plugge	Plugg kabelen i stikkontakten.
plunge	å stupe	Prisene kan stupe etter skandalen.
pole	en stang	Flagget hang fra en stang.
poll	en meningsmåling	Meningsmålingen viste endrede meninger.
pond	en dam	Ender krysset den frosne dammen.
pop	å sprekke	Ballonger sprekker nær skarpe gjenstander.
portfolio	en portefølje	Porteføljen hennes inkluderer flere oppstartsselskaper.
portray	å skildre	Filmen vil skildre livet på landet.
postpone	å utsette	De bestemte seg for å utsette høringen.
post-war	etterkrigs-	Etterkrigsboliger var akutt nødvendig.
practitioner	en utøver	Utøveren forklarte behandlingen.
preach	å preke	Presten vil preke på søndag.
precedent	en presedens	Kjennelsen satte en viktig presedens.
precision	en presisjon	Maskinen skjærer med presisjon.
predator	et rovdyr	Rovdyret ventet nær elven.
predecessor	en forgjenger	Hennes forgjenger etterlot detaljerte notater.
predominantly	overveiende	Området er overveiende boligområde.
pregnancy	et svangerskap	Et svangerskap krever regelmessig medisinsk oppfølging.
prejudice	en fordom	Kampanjen utfordret rasemessige fordommer.
preliminary	foreløpig	Foreløpige resultater ser lovende ut.
premier	en statsminister	Statsministeren talte til parlamentet i dag.
premise	et premiss	Argumentet hviler på et falskt premiss.
premium	en overpris	Kundene betalte en overpris for hastighet.
prescribe	å foreskrive	Leger foreskriver antibiotika forsiktig.
prescription	en resept	Resepten utløper neste måned.
presently	for øyeblikket	Hun er for øyeblikket utilgjengelig.
preservation	en bevaring	Bevaring beskytter historiske bygninger.
preside	å lede	Dommeren vil lede rettssaken.
presidency	et presidentskap	Presidentskapet hans varte i åtte år.
presidential	president-	Presidentvalget trakk til seg oppmerksomhet.
prestigious	prestisjetung	Hun vant et prestisjetungt stipend.
presumably	antagelig	Kontoret er antagelig stengt i dag.
presume	å anta	Vi antar at dokumentene er ekte.
prevail	å seire	Sunn fornuft bør seire.
prevalence	en utbredelse	Utbredelsen av astma økte.
prevention	en forebygging	Forebygging er billigere enn reparasjon.
