source_headword	MY	example_MY
amusing	ရယ်စရာကောင်းသော	ဇာတ်လမ်းသည် ရယ်စရာကောင်းပြီး ပေါ့ပါးသည်။
analyst	လေ့လာဆန်းစစ်သူ	လေ့လာဆန်းစစ်သူသည် အရောင်းဒေတာကို ပြန်လည်သုံးသပ်ခဲ့သည်။
ancestor	ဘိုးဘေး	ကျွန်ုပ်၏ဘိုးဘေးသည် ဤရွာအနီးတွင် နေထိုင်ခဲ့သည်။
animation	အန်နီမေးရှင်း	ကာတွန်းကားက သင်ခန်းစာကို ပိုမိုရှင်းလင်းစေသည်။
annually	နှစ်စဉ်	ပွဲတော်ကို နှစ်စဉ် ကျင်းပသည်။
anticipate	ကြိုတင်မျှော်မှန်းသည်	မနက်ဖြန်တွင် ယာဉ်ကြောပိတ်ဆို့မှုများပြားမည်ဟု ကျွန်ုပ်တို့ မျှော်လင့်ထားသည်။
anxiety	စိုးရိမ်ပူပန်မှု	စိုးရိမ်ပူပန်မှုက အိပ်စက်ခြင်းကို ခက်ခဲစေနိုင်သည်။
apology	တောင်းပန်ခြင်း	သူမသည် ရိုးသားစွာ တောင်းပန်ခဲ့သည်။
applicant	လျှောက်ထားသူ	လျှောက်ထားသူသည် ကိုယ်ရေးရာဇဝင်အသစ်ကို ပေးပို့ခဲ့သည်။
appropriately	သင့်လျော်စွာ	အင်တာဗျူးအတွက် သင့်လျော်စွာ ဝတ်စားဆင်ယင်ပါ။
arrow	မြား	မြှားသည် ထွက်ပေါက်ကို ညွှန်ပြသည်။
artwork	အနုပညာလက်ရာ	ပြတိုက်သည် ဒေသခံ အနုပညာလက်ရာများကို ပြသထားသည်။
aside	ဘေးဖယ်၍	သူမသည် ဘေးသို့ဖယ်ပြီး သူ့ကို ဖြတ်သွားခွင့်ပေးခဲ့သည်။
asset	ပိုင်ဆိုင်မှု	အတွေ့အကြုံသည် တန်ဖိုးရှိသော ပိုင်ဆိုင်မှုတစ်ခုဖြစ်သည်။
assign	တာဝန်ပေးသည်	ဆရာက ယနေ့ အိမ်စာများ ပေးခဲ့သည်။
assistance	အကူအညီ	အကူအညီအတွက် ဝန်ထမ်းများကို မေးမြန်းပါ။
assumption	ယူဆချက်	ထိုယူဆချက် မှားနိုင်သည်။
assure	သေချာစေသည်	တံခါးသော့ခတ်ထားကြောင်း သင့်ကို ကျွန်ုပ်အာမခံပါသည်။
astonishing	အံ့သြဖွယ်ကောင်းသော	ချောက်ကမ်းပါးမှ မြင်ကွင်းသည် အံ့သြဖွယ်ကောင်းသည်။
attachment	ပူးတွဲချက်	အီးမေးလ်တွင် ပူးတွဲဖိုင် ပါဝင်သည်။
auction	လေလံ	ပန်းချီကားကို လေလံပွဲတွင် ရောင်းချခဲ့သည်။
audio	အသံ	အသံဖမ်းယူမှုသည် ရှင်းလင်းစွာ ကြားရသည်။
automatic	အလိုအလျောက်	တံခါးတွင် အလိုအလျောက်သော့ခတ်သည့်စနစ် ပါရှိသည်။
automatically	အလိုအလျောက်	မီးများသည် အလိုအလျောက်ပွင့်လာသည်။
awareness	အသိပညာ	ကမ်ပိန်းသည် လူထုအသိပညာကို မြှင့်တင်ပေးခဲ့သည်။
awkward	အနေခက်သော	တိတ်ဆိတ်နေမှုကြောင့် အနေခက်သွားသည်။
badge	တံဆိပ်	ဧည့်သည်များသည် တံဆိပ်ကို တပ်ဆင်ထားရမည်။
balanced	မျှတသော	မျှတသော အစားအစာတွင် ဟင်းသီးဟင်းရွက်များ ပါဝင်သည်။
ballet	ဘဲလေးအက	သူမသည် ကျောင်းဆင်းပြီးနောက် ဘဲလေးအက သင်ယူသည်။
balloon	ပူဖောင်း	ပူဖောင်းသည် စားပွဲအထက်တွင် လွင့်နေသည်။
barely	မဆိုသလောက်	သူသည် ကြေညာချက်ကို သီသီလေး ကြားလိုက်ရသည်။
bargain	တန်သောအရောင်းအဝယ်	ထိုအပေါ်အင်္ကျီသည် တကယ် ဈေးသက်သာသော အရာဖြစ်သည်။
basement	မြေအောက်ခန်း	သေတ္တာများသည် မြေအောက်ခန်းထဲတွင် ရှိသည်။
basket	ခြင်းတောင်း	သူမသည် ပန်းသီးများကို ခြင်းတောင်းထဲသို့ ထည့်လိုက်သည်။
bat	လင်းနို့	လင်းနို့သည် ဂူထဲမှ ပျံထွက်သွားသည်။
beneficial	အကျိုးရှိသော	ပုံမှန်လေ့ကျင့်ခန်းလုပ်ခြင်းသည် ကျန်းမာရေးအတွက် အကျိုးရှိသည်။
beside	ဘေးတွင်	မီးအိမ်သည် ဆိုဖာဘေးတွင် ရှိသည်။
besides	ထို့အပြင်	သင်္ချာအပြင် သူသည် ဓာတုဗေဒကိုလည်း လေ့လာသည်။
bias	ဘက်လိုက်မှု	ဆောင်းပါးသည် ထင်ရှားသော ဘက်လိုက်မှုကို ပြသခဲ့သည်။
bid	စျေးပြိုင်ကမ်းလှမ်းမှု	ကုမ္ပဏီသည် ပိုမြင့်သော ဈေးကို ပေးခဲ့သည်။
biological	ဇီဝဗေဒဆိုင်ရာ	ဇီဝဗေဒဆိုင်ရာ စစ်ဆေးမှုက ရလဒ်ကို အတည်ပြုခဲ့သည်။
blanket	စောင်	ကလေးသည် စောင်ခြုံပြီး အိပ်ပျော်သွားသည်။
blow	ထိုးနှက်ချက်	ပြင်းထန်သော ရိုက်နှက်မှုက ပြတင်းပေါက်ကို ကွဲစေခဲ့သည်။
bold	ရဲရင့်သော	ခေါင်းစဉ်သည် စာလုံးမည်းများကို အသုံးပြုထားသည်။
bombing	ဗုံးကြဲတိုက်ခိုက်မှု	ဗုံးခွဲမှုကြောင့် အဆောက်အအုံများစွာ ပျက်စီးခဲ့သည်။
booking	ကြိုတင်စာရင်းသွင်းခြင်း	ကျွန်တော် ဟိုတယ် ကြိုတင်စာရင်းပေးခြင်းကို အတည်ပြုခဲ့သည်။
boost	မြှင့်တင်သည်	အနိုင်ရရှိမှုက အသင်း၏ ယုံကြည်မှုကို မြှင့်တင်ပေးခဲ့သည်။
bound	သေချာပေါက်ဖြစ်မည့်	ချောထုပ်ကို ကြိုးဖြင့် ချည်နှောင်ထားသည်။
brick	အုတ်	နံရံကို အုတ်ဖြင့် ပြုလုပ်ထားသည်။
briefly	အကျဉ်းချုံး၍	သူမသည် နေ့လယ်စာစားပြီးနောက် ခဏတာ စကားပြောခဲ့သည်။
broadcaster	အသံလွှင့်သူ	အသံလွှင့်သူသည် မြို့တော်ဝန်ကို အင်တာဗျူးခဲ့သည်။
broadly	ကျယ်ကျယ်ပြန့်ပြန့်	အစီအစဉ်နှစ်ခုသည် အကြမ်းဖျင်းအားဖြင့် ဆင်တူသည်။
bug	ချို့ယွင်းချက်	အမှားအယွင်းတစ်ခုကြောင့် အက်ပ် ရပ်တန့်သွားသည်။
cabin	အခန်းငယ်	ကျွန်ုပ်တို့သည် သေးငယ်သော သစ်လုံးအိမ်လေးတွင် တည်းခိုခဲ့ကြသည်။
canal	တူးမြောင်း	လှေများသည် တူးမြောင်းတစ်လျှောက် ဖြည်းညှင်းစွာ သွားလာနေကြသည်။
candle	ဖယောင်းတိုင်	ဖယောင်းတိုင်သည် စားပွဲပေါ်တွင် လင်းနေသည်။
carbon	ကာဗွန်	သစ်ပင်များသည် လေထဲမှ ကာဗွန်ကို စုပ်ယူကြသည်။
casual	သာမန်	သူသည် အလုပ်သို့ ပေါ့ပေါ့ပါးပါး အဝတ်အစားများ ဝတ်ဆင်သွားသည်။
cave	ဂူ	တောင်တက်သမားများသည် လှိုဏ်ဂူထဲသို့ ဝင်ရောက်ခဲ့ကြသည်။
certainty	သေချာမှု	ကျွန်ုပ်တို့သည် သေချာမှုဖြင့် မသိနိုင်ပါ။
certificate	လက်မှတ်	သူမသည် သင်တန်းဆင်းလက်မှတ်တစ်ခု ရရှိခဲ့သည်။
challenging	စိန်ခေါ်မှုဖြစ်စေသော	သင်တန်းသည် စိန်ခေါ်မှုရှိသော်လည်း အသုံးဝင်သည်။
championship	ဗိုလ်လုပွဲ	ကျွန်ုပ်တို့အသင်းသည် ချန်ပီယံ ဗိုလ်လုပွဲသို့ ရောက်ရှိခဲ့သည်။
charming	ဆွဲဆောင်မှုရှိသော	လမ်းဟောင်းလေးသည် ဆွဲဆောင်မှုရှိပုံပေါ်သည်။
chase	လိုက်ဖမ်းသည်	ခွေးသည် ဘောလုံးကို လိုက်ဖမ်းခဲ့သည်။
cheek	ပါး	သူမပါးပြင်ပေါ်သို့ မျက်ရည်တစ်ပေါက် ကျဆင်းလာသည်။
cheer	အားပေးသည်	လူအုပ်ကြီးသည် ကျယ်လောင်စွာ အားပေးကြွေးကြော်လာကြသည်။
choir	ဓမ္မတေးသံစုံကျူးအဖွဲ့	သံပြိုင်တေးဆိုအဖွဲ့သည် လှပစွာ သီဆိုခဲ့သည်။
chop	ခုတ်ထစ်သည်	ကြက်သွန်နီများကို အတုံးသေးသေးလေးများဖြစ်အောင် ခုတ်ထစ်ပါ။
circuit	ဆားကစ်	အပြေးသမားသည် ပတ်လမ်းကို ပြီးစီးခဲ့သည်။
civilization	ယဉ်ကျေးမှုအဖွဲ့အစည်း	ရှေးဟောင်းယဉ်ကျေးမှုသည် ဤဒေသကို ပုံဖော်ခဲ့သည်။
clarify	ရှင်းလင်းပြောပြသည်	ကျေးဇူးပြု၍ နောက်ဆုံးအချက်ကို ရှင်းလင်းစွာပြောပါ။
classify	ခွဲခြားသတ်မှတ်သည်	သိပ္ပံပညာရှင်များသည် တိရစ္ဆာန်များကို မျိုးစိတ်အလိုက် အမျိုးအစားခွဲခြားကြသည်။
clerk	စာရေး	စာရေးသည် ငွေရပြေစာကို ပရင့်ထုတ်ပေးခဲ့သည်။
cliff	ချောက်ကမ်းပါး	လမ်းသည် ချောက်ကမ်းပါးအနီးတွင် ဆုံးသွားသည်။
clinic	ဆေးခန်း	ဆေးခန်းကို နံနက် ရှစ်နာရီတွင် ဖွင့်သည်။
clip	ကလစ်	သူမသည် စက္ကူတွင် ကလစ်ကို ညှပ်လိုက်သည်။
coincidence	တိုက်ဆိုင်မှု	သူနဲ့ အဲဒီမှာ ဆုံတာ တိုက်ဆိုင်မှုတစ်ခုပါ။
collector	စုဆောင်းသူ	စုဆောင်းသူက ရှားပါးဒင်္ဂါးပြားများကို ဝယ်ယူခဲ့သည်။
colony	ကိုလိုနီ	ပုရွက်ဆိတ်များသည် အုံကြီးတစ်ခုကို တည်ဆောက်ခဲ့ကြသည်။
colourful	အရောင်အသွေးစုံလင်သော	ဈေးသည် တောက်ပပြီး အရောင်အသွေးစုံလင်သည်။
comic	ဟာသ	ရယ်စရာကောင်းတဲ့ ဇာတ်ဝင်ခန်းက ကျွန်တော်တို့ကို ရယ်မောစေခဲ့တယ်။
commander	တပ်မှူး	တပ်မှူးက ရှင်းလင်းသော အမိန့်များကို ပေးခဲ့သည်။
comparative	နှိုင်းယှဉ်ချက်	စာစီစာကုံးသည် နှိုင်းယှဉ်ချက်အချက်အလက်များကို အသုံးပြုထားသည်။
completion	ပြီးစီးမှု	တံတားသည် ပြီးစီးရန် နီးကပ်နေပြီဖြစ်သည်။
compose	ဖွဲ့စည်းသည်	သူသည် ရုပ်ရှင်အတွက် တေးဂီတကို ရေးစပ်မည်ဖြစ်သည်။
composer	တေးရေးဆရာ	တေးရေးဆရာသည် သီချင်းအသစ်တစ်ပုဒ်ကို ရေးသားခဲ့သည်။
compound	ဒြပ်ပေါင်း	ထိုဒြပ်ပေါင်းတွင် ဓာတုဗေဒပစ္စည်း နှစ်မျိုး ပါဝင်သည်။
comprehensive	ပြည့်စုံသော	လမ်းညွှန်က ပြည့်စုံသော ညွှန်ကြားချက်များကို ပေးထားသည်။
comprise	ပါဝင်ဖွဲ့စည်းသည်	အဖွဲ့တွင် အဖွဲ့ဝင် ငါးဦး ပါဝင်ဖွဲ့စည်းထားသည်။
compulsory	မဖြစ်မနေ	ဤအတန်းအတွက် တက်ရောက်ရန် မဖြစ်မနေ လိုအပ်ပါသည်။
concrete	ကွန်ကရစ်	ကြမ်းပြင်ကို ကွန်ကရစ်ဖြင့် ပြုလုပ်ထားသည်။
confess	ဝန်ခံသည်	သူက ဆရာ့ကို အမှားဝန်ခံခဲ့တယ်။
confusion	ရှုပ်ထွေးမှု	နှောင့်နှေးမှုက ရှုပ်ထွေးမှုကို ဖြစ်စေခဲ့သည်။
consequently	ထို့ကြောင့်	မိုးရွာခဲ့သည်၊ ထို့ကြောင့် ပွဲရပ်နားခဲ့ရသည်။
conservation	ထိန်းသိမ်းစောင့်ရှောက်ရေး	ထိန်းသိမ်းစောင့်ရှောက်ရေးသည် ရှားပါးတိရစ္ဆာန်များကို ကာကွယ်ပေးသည်။
considerable	သတိပြုလောက်သော	ပြုပြင်ခြင်းအတွက် အချိန်များစွာ ယူခဲ့ရသည်။
considerably	သိသိသာသာ	ယခုနှစ်တွင် စျေးနှုန်းများ သိသာစွာ တက်လာသည်။
consistently	တသမတ်တည်း	သူမသည် တသမတ်တည်း ကောင်းမွန်စွာ စွမ်းဆောင်နိုင်ခဲ့သည်။
conspiracy	ပူးပေါင်းကြံစည်မှု	ရဲတပ်ဖွဲ့က ပူးပေါင်းကြံစည်မှုကို စုံစမ်းစစ်ဆေးခဲ့သည်။
consult	တိုင်ပင်ဆွေးနွေးသည်	ဆေးမသောက်မီ သင့်ဆရာဝန်နှင့် တိုင်ပင်ပါ။
consultant	အကြံပေး	အတိုင်ပင်ခံက မဟာဗျူဟာအသစ်တစ်ခုကို အကြံပြုခဲ့သည်။
consumption	သုံးစွဲမှု	ပြီးခဲ့သည့်လက စွမ်းအင်သုံးစွဲမှု ကျဆင်းခဲ့သည်။
controversial	အငြင်းပွားဖွယ်ဖြစ်သော	ထိုမူဝါဒသည် အငြင်းပွားဖွယ်ဖြစ်နေဆဲဖြစ်သည်။
controversy	အငြင်းပွားမှု	အဆိုပါ ဆုံးဖြတ်ချက်က အငြင်းပွားမှုများ ဖြစ်စေခဲ့သည်။
convenience	အဆင်ပြေမှု	စတိုးဆိုင်သည် အလွန်အဆင်ပြေမှုပေးသည်။
convention	ညီလာခံ	နှစ်ပတ်လည် ညီလာခံကို တနင်္လာနေ့တွင် စတင်မည်ဖြစ်သည်။
conventional	သမားရိုးကျ	သူက ရိုးရာဒီဇိုင်းကို ရွေးချယ်ခဲ့သည်။
convey	ဖော်ပြသည်	သတင်းစကားသည် ကိုယ်ချင်းစာတရားကို ဖော်ပြခဲ့သည်။
convincing	ယုံကြည်လောက်သော	သူမ၏ ရှင်းပြချက်သည် ယုံကြည်လောက်သည်။
cope	ဖြေရှင်းသည်	သူမသည် စိတ်ဖိစီးမှုများကို ရင်ဆိုင်ဖြေရှင်းတတ်လာသည်။
corporation	ကော်ပိုရေးရှင်း	ကော်ပိုရေးရှင်းက ရုံးခွဲအသစ်တစ်ခု ဖွင့်လိုက်တယ်။
corridor	စင်္ကြံ	စင်္ကြံလမ်းက ကျဉ်းမြောင်းပြီး တိတ်ဆိတ်နေတယ်။
counter (long flat surface)	ကောင်တာ	သော့တွေက မီးဖိုချောင် ကောင်တာပေါ်မှာ ရှိတယ်။
coverage	လွှမ်းခြုံမှု	သတင်းဖော်ပြမှုက တစ်ညနေလုံး ကြာမြင့်ခဲ့သည်။
crack	အက်ကွဲကြောင်း	နံရံတွင် အက်ကြောင်းတစ်ခု ပေါ်လာသည်။
craft	လက်မှုပညာ	သူမသည် လက်လုပ် လက်မှုပညာပစ္စည်းများကို အွန်လိုင်းတွင် ရောင်းချသည်။
creativity	တီထွင်ဖန်တီးမှု	ဖန်တီးနိုင်စွမ်းသည် ပြဿနာများကို ဖြေရှင်းရန် ကူညီပေးသည်။
critically	ဝေဖန်ပိုင်းခြား၍	ထိုဆောင်းပါးသည် အလွန်အရေးကြီးပါသည်။
cruise	အပျော်စီးသင်္ဘော	သူတို့က ဂရိနိုင်ငံကို အပျော်စီးသင်္ဘောခရီးစဉ်တစ်ခု ကြိုတင်စာရင်းသွင်းခဲ့ကြတယ်။
cue	အရိပ်အမြွက်	သရုပ်ဆောင်သည် သူ၏ အရိပ်အမြွက်ကို လွတ်သွားခဲ့သည်။
curious	သိချင်သော	ကလေးလေးက အာကာသအကြောင်း သိချင်စိတ်ပြင်းပြနေခဲ့တယ်။
curriculum	သင်ရိုးညွှန်းတမ်း	ကျောင်းသည် ၎င်း၏ သင်ရိုးညွှန်းတမ်းကို အဆင့်မြှင့်တင်ခဲ့သည်။
cute	ချစ်စရာကောင်းသော	ခွေးကလေးက ချစ်စရာကောင်းနေတယ်။
dairy	နို့ထွက်ပစ္စည်း	ခြံက နို့ထွက်ပစ္စည်းများ ထုတ်လုပ်သည်။
dare	ရဲဝံ့သည်	အဲဒါကို စမ်းကြည့်ဖို့ မင်းကို ငါ စိန်ခေါ်တယ်။
darkness	အမှောင်ထု	အခန်းထဲမှာ အမှောင်ထုဖုံးလွှမ်းသွားတယ်။
database	ဒေတာဘေ့စ်	ဒေတာဘေ့စ်သည် ဖောက်သည်မှတ်တမ်းများကို သိမ်းဆည်းထားသည်။
deadline	နောက်ဆုံးရက်	နောက်ဆုံးသတ်မှတ်ရက်မှာ သောကြာနေ့ဖြစ်သည်။
deadly	သေစေနိုင်သော	မြွေတွင် သေစေနိုင်သော အဆိပ်ရှိသည်။
dealer	အရောင်းကိုယ်စားလှယ်	ကားအရောင်းကိုယ်စားလှယ်က လျှော့စျေးပေးခဲ့သည်။
deck	ကုန်းပတ်	ကုလားထိုင်များသည် ကုန်းပတ်ပေါ်တွင် ရှိသည်။
defender	ကာကွယ်သူ	နောက်တန်းကစားသမားက ဘောလုံးကန်သွင်းမှုကို ကာကွယ်ခဲ့သည်။
delete	ဖျက်ရန်	စာဟောင်းကို ဖျက်ပါ။
democracy	ဒီမိုကရေစီ	ဒီမိုကရေစီသည် လွတ်လပ်သော ရွေးကောက်ပွဲများအပေါ် မူတည်သည်။
democratic	ဒီမိုကရေစီကျသော	မဲပေးခြင်းသည် ဒီမိုကရေစီ စည်းမျဉ်းများကို လိုက်နာခဲ့သည်။
demonstration	ဆန္ဒပြမှု	ကျောင်းသားများသည် ဆန္ဒပြပွဲတွင် ပါဝင်ခဲ့ကြသည်။
depart	ထွက်ခွာသည်	ရထားသည် မွန်းတည့်ချိန်တွင် ထွက်ခွာမည်။
dependent	မှီခိုသော	ကလေးသည် လူကြီးများအပေါ် မှီခိုနေရသည်။
deposit	စပေါ်ငွေ	သူမသည် တိုက်ခန်းအတွက် စပေါ်ငွေ ပေးခဲ့သည်။
depression	စိတ်ကျရောဂါ	စိတ်ကျရောဂါသည် ကျွမ်းကျင်သူ၏ အကူအညီ လိုအပ်သည်။
derive	ရယူသည်	စကားလုံးများစွာသည် လက်တင်ဘာသာစကားမှ ဆင်းသက်လာသည်။
desperately	အပူတပြင်း	သူ ရေကို အသည်းအသန် လိုအပ်နေခဲ့သည်။
destruction	ဖျက်ဆီးခြင်း	မုန်တိုင်းကြောင့် ကြီးမားသော ပျက်စီးဆုံးရှုံးမှုများ ဖြစ်ပေါ်ခဲ့သည်။
determination	ဆုံးဖြတ်ချက်	သူမ၏ စိတ်ပိုင်းဖြတ်မှုက နည်းပြကို သဘောကျစေခဲ့သည်။
devote	မြှုပ်နှံသည်	သူမသည် စနေတနင်္ဂနွေများကို စာသင်မှုအတွက် မြှုပ်နှံထားသည်။
differ	ကွဲပြားသည်	သူတို့၏ ထင်မြင်ချက်များသည် ပြင်းထန်စွာ ကွဲပြားကြသည်။
disability	မသန်စွမ်းမှု	အဆောက်အအုံတွင် မသန်စွမ်းသူများအတွက် ဝင်ပေါက် ရှိသည်။
disabled	ပိတ်ထားသည်	မသန်စွမ်း အားကစားသမားသည် ဆုတံဆိပ်တစ်ခု ရရှိခဲ့သည်။
disagreement	သဘောထားကွဲလွဲမှု	အစည်းအဝေးသည် သဘောထားကွဲလွဲမှုဖြင့် ပြီးဆုံးသွားသည်။
disappoint	စိတ်ပျက်စေသည်	ရလဒ်သည် ပရိသတ်များကို စိတ်ပျက်စေနိုင်သည်။
disappointment	စိတ်ပျက်မှု	သူသည် ပြင်းပြင်းထန်ထန် စိတ်ပျက်ခြင်းကို ခံစားခဲ့ရသည်။
discourage	စိတ်ဓာတ်ကျစေသည်	လူငယ်လေ့လာသူများကို စိတ်ဓာတ်မကျစေပါနှင့်။
disorder	ရောဂါ	ဆရာဝန်က အိပ်စက်ခြင်းဆိုင်ရာ ရောဂါကို ရှာဖွေတွေ့ရှိခဲ့သည်။
distant	အလှမ်းဝေးသော	တောင်များသည် အဝေးမှ လှမ်းမြင်ရသည်။
distinct	ထင်ရှားသော	အသံနှစ်ခုသည် ကွဲပြားသည်။
distinguish	ခွဲခြားသည်	ဤအရောင်များကို သင် ခွဲခြားနိုင်ပါသလား။
distract	အာရုံလွှဲသည်	ဆူညံသံသည် ကျောင်းသားများကို အာရုံလွှဲနိုင်သည်။
disturb	နှောင့်ယှက်သည်	လူနာကို အနှောင့်အယှက် မပေးပါနှင့်။
dive	ရေငုပ်ခြင်း	သူတို့သည် သန္တာကျောက်တန်းအနီးတွင် ရေငုပ်ကြလိမ့်မည်။
diverse	ကွဲပြားခြားနားသော	မြို့တွင် ကွဲပြားစုံလင်သော ယဉ်ကျေးမှုများ ရှိသည်။
diversity	မတူကွဲပြားမှု	ကျွန်ုပ်တို့သည် ယဉ်ကျေးမှု ကွဲပြားစုံလင်မှုကို ကျင်းပကြသည်။
divorce	ကွာရှင်းခြင်း	ကွာရှင်းခြင်းသည် လူတိုင်းအတွက် ခက်ခဲခဲ့သည်။
dominant	လွှမ်းမိုးသော	ကြီးစိုးသော အသင်းက ကစားပွဲကို ထိန်းချုပ်ခဲ့သည်။
donation	လှူဒါန်းခြင်း	ပရဟိတအဖွဲ့သည် အလှူငွေတစ်ခု လက်ခံရရှိခဲ့သည်။
dot	အစက်	ဂဏန်းပြီးနောက် အစက်တစ်ခု ချပါ။
downtown	မြို့ထဲ	အလုပ်ဆင်းပြီးနောက် မြို့လယ်ခေါင်တွင် ကျွန်ုပ်တို့ တွေ့ဆုံခဲ့ကြသည်။
dramatically	သိသိသာသာ	စျေးနှုန်းသည် သိသိသာသာ ကျဆင်းသွားသည်။
drought	မိုးခေါင်ခြင်း	မိုးခေါင်ခြင်းကြောင့် သီးနှံများ ပျက်စီးခဲ့သည်။
dull	ပျင်းစရာကောင်းသော	ဟောပြောပို့ချချက်သည် ငြီးငွေ့ဖွယ်ကောင်းခဲ့သည်။
dump	စွန့်ပစ်သည်	ဤနေရာတွင် အမှိုက် မစွန့်ပစ်ပါနှင့်။
duration	ကြာချိန်	လေယာဉ်စီးချိန် ကြာချိန်မှာ သုံးနာရီဖြစ်သည်။
dynamic	သွက်လက်သော	စာသင်ခန်းသည် တက်ကြွနေသည်ဟု ခံစားရသည်။
economics	ဘောဂဗေဒ	သူမသည် တက္ကသိုလ်တွင် ဘောဂဗေဒကို လေ့လာသည်။
economist	ဘောဂဗေဒပညာရှင်	ဘောဂဗေဒပညာရှင်က တိုးတက်မှု နှေးကွေးမည်ဟု ခန့်မှန်းခဲ့သည်။
editorial	အယ်ဒီတာအာဘော်	အယ်ဒီတာ့အာဘော်သည် ဥပဒေကို ဝေဖန်ခဲ့သည်။
efficiently	ထိရောက်စွာ	အဖွဲ့သည် ထိရောက်စွာ အလုပ်လုပ်ခဲ့သည်။
elbow	တံတောင်ဆစ်	သူ သူ့တံတောင်ဆစ်ကို ထိခိုက်မိသွားတယ်။
electronics	အီလက်ထရွန်းနစ်	ထိုဆိုင်က အီလက်ထရောနစ်ပစ္စည်းများကို ရောင်းချသည်။
elegant	သပ်ရပ်လှပသော	ထိုဂါဝန်က ပြေပြစ်တင့်တယ်ပုံပေါ်သည်။
elementary	အခြေခံကျသော	ထိုစာအုပ်က အခြေခံကျသော သဒ္ဒါကို ရှင်းပြထားသည်။
eliminate	ဖယ်ရှားသည်	အသင်းသည် အမှားများစွာကို ဖယ်ရှားခဲ့သည်။
embrace	လက်ခံသည်	သူမသည် အကြံဉာဏ်သစ်ကို လက်ခံယုံကြည်ခဲ့သည်။
emission	ထုတ်လွှတ်မှု	ကားအိတ်ဇော ထုတ်လွှတ်မှုပမာဏများ ကျဆင်းသွားသည်။
emotionally	စိတ်ခံစားမှုအရ	သူက သူ့မိသားစုအကြောင်း စိတ်ခံစားမှုပြင်းပြစွာဖြင့် ပြောခဲ့သည်။
empire	အင်ပါယာ	အင်ပါယာသည် ရာစုနှစ်ပေါင်းများစွာ တည်တံ့ခဲ့သည်။
enjoyable	ပျော်စရာကောင်းသော	ခရီးစဉ်က ပျော်စရာကောင်းခဲ့သည်။
