source_headword	NO	example_NO
dynamic	en dynamikk	Klasserommet føltes dynamisk.
economics	økonomi	Hun studerer økonomi på universitetet.
economist	en økonom	Økonomen spådde langsommere vekst.
editorial	redaksjonell	Lederartikkelen kritiserte loven.
efficiently	effektivt	Laget jobbet effektivt.
elbow	en albue	Han skadet albuen sin.
electronics	elektronikk	Butikken selger elektronikk.
elegant	elegant	Kjolen så elegant ut.
elementary	elementær	Boken forklarer grunnleggende grammatikk.
eliminate	eliminere	Laget eliminerte flere feil.
embrace	omfavne	Hun omfavnet den nye ideen.
emission	et utslipp	Bilutslippene falt.
emotionally	følelsesmessig	Han snakket følelsesmessig om familien sin.
empire	et imperium	Imperiet varte i århundrer.
enjoyable	hyggelig	Turen var hyggelig.
entertaining	underholdende	Showet var underholdende.
entrepreneur	en gründer	Gründeren åpnet en kafé.
envelope	en konvolutt	Legg brevet i en konvolutt.
equip	utstyre	Skolen skal utstyre laboratoriet.
equivalent	en ekvivalent	En dollar er ikke tilsvarende her.
era	en epoke	Oppdagelsen startet en ny æra.
erupt	bryte ut	Vulkanen kan ha utbrudd snart.
essentially	i hovedsak	De to metodene er i hovedsak identiske.
ethic	en etikk	Arbeidsmoralen hans er sterk.
ethnic	etnisk	Festivalen feirer etniske tradisjoner.
evaluation	en evaluering	Kurset inkluderer en sluttevaluering.
evident	åpenbar	Hans nervøsitet var tydelig.
evolution	en evolusjon	Evolusjonen forklarer mange biologiske endringer.
evolve	utvikle	Språk utvikler seg over tid.
exceed	overskride	Etterspørselen kan overstige tilbudet.
exception	et unntak	Det er ett unntak.
excessive	overdreven	Overdreven støy forstyrrer naboene.
exclude	ekskludere	Listen utelukker midlertidig ansatte.
exhibit	en utstilling	Museet skal stille ut sjeldne fotografier.
exit	en utgang	Utgangen er bak scenen.
exotic	eksotisk	Butikken selger eksotisk frukt.
expansion	en utvidelse	Selskapet planla en utvidelse.
expertise	ekspertise	Hennes ekspertise forbedret prosjektet.
exploit	utnytte	Kriminelle utnytter svake passord.
exposure	en eksponering	Soleksponering kan skade huden.
extension	en forlengelse	Fristutsettelsen hjalp alle.
extensive	omfattende	Biblioteket har omfattende ressurser.
extensively	utførlig	Emnet ble studert inngående.
extract	et utdrag	Vaniljeekstrakt gir smak.
fabric	et stoff	Stoffet føles mykt.
fabulous	fabelaktig	Måltidet var fabelaktig.
failed	mislykket	Det mislykkede forsøket lærte oss noe.
fake	falsk	Nettstedet solgte falske billetter.
fame	berømmelse	Berømmelse forandret privatlivet hans.
fantasy	en fantasi	Romanen er en fantasi.
fare	en billettpris	Bussbilletten økte i pris.
federal	føderal	Den føderale regjeringen kunngjorde finansiering.
fever	en feber	Barnet har feber.
firefighter	en brannmann	Brannmannen reddet hunden.
firework	et fyrverkeri	Et fyrverkeri eksploderte over parken.
firm	fast	Madrassen er fast.
firmly	bestemt	Hun lukket døren bestemt.
flavour	en smak	Suppen har en fyldig smak.
fond	kjærlig	Han er glad i jazz.
fool	en tosk	Ikke oppfør deg som en tosk.
forbid	forby	Loven forbyr røyking her.
forecast	et varsel	Værmeldingen spår regn.
format	et format	Bruk riktig filformat.
formation	en formasjon	Skyformasjoner endrer seg raskt.
formerly	tidligere	Bygningen var tidligere en skole.
fortunate	heldig	Vi var heldige som ankom tidlig.
forum	et forum	Forumet diskuterte klimapolitikk.
fossil	et fossil	Fossilet ble funnet i stein.
foundation	en stiftelse	Huset har et sterkt fundament.
founder	en grunnlegger	Grunnleggeren ønsket gjestene velkommen.
fraction	en brøkdel	Bare en brøkdel av studentene kom.
fragment	et fragment	Et glassfragment lå på gulvet.
framework	et rammeverk	Loven skaper et tydelig rammeverk.
fraud	en svindel	Banken oppdaget svindel.
freely	fritt	Barna lekte fritt ute.
frequent	hyppig	Hyppige pauser forbedrer fokuset.
fulfil	oppfylle	Jeg håper å oppfylle løftet mitt.
full-time	heltid	Hun har en fulltidsjobb.
fundamentally	fundamentalt	Planen er grunnleggende annerledes.
furious	rasende	Han var rasende over forsinkelsen.
gaming	en spilling	Gaming kan forbedre reaksjonsevnen.
gay	homofil	Han støtter homofiles rettigheter.
gender	et kjønn	Undersøkelsen spurte om kjønn.
gene	et gen	Genet påvirker øyenfargen.
genetic	genetisk	Sykdommen har genetiske årsaker.
genius	et geni	Den unge pianisten er et geni.
genuine	ekte	Smilet hennes virket ekte.
genuinely	oppriktig	Han ønsket oppriktig å hjelpe.
gesture	en gest	Hun gjorde en vennlig gest.
gig	en spillejobb	Bandet spilte en konsert i sentrum.
globalization	en globalisering	Globalisering påvirker lokale bedrifter.
globe	en globus	Globusen viser alle kontinenter.
golden	gyllen	Solnedgangen ble gyllen.
goodness	en godhet	Hun tror på menneskets godhet.
gorgeous	nydelig	Hagen så nydelig ut.
governor	en guvernør	Guvernøren signerte lovforslaget.
graphic	grafisk	Det grafiske bildet sjokkerte seerne.
graphics	en grafikk	Spillet har enkel grafikk.
greatly	i stor grad	Rådene dine hjalp i stor grad.
greenhouse	et drivhus	Tomater vokser i drivhuset.
grocery	en dagligvarebutikk	Hun kjøpte dagligvarer etter jobb.
guideline	en retningslinje	Retningslinjen forklarer sikker praksis.
habitat	et habitat	Skogen er et levested for fugler.
harbour	en havn	Båten kjørte inn i havnen.
headquarters	et hovedkvarter	Selskapets hovedkvarter flyttet til sentrum.
