source_headword	SL	example_SL
intriguing	intriganten	Podatki so razkrili intriganten vzorec.
investigator	preiskovalec	Preiskovalec je zaslišal vsako pričo.
invisible	neviden	Plin je neviden in nevaren.
invoke	sklicevati se	Odvetnik se je poskušal sklicevati na precedens.
involvement	vpletenost	Njegova vpletenost je ostala nejasna.
ironic	ironičen	Ironičen komentar je vse nasmejal.
ironically	ironično	Ironično, pot je trajala dlje.
irony	ironija	Ironija je bila vsem očitna.
irrelevant	nepomemben	Ta podrobnost je tukaj nepomembna.
isolation	izolacija	Izolacija lahko škoduje duševnemu zdravju.
judicial	sodni	Sodna revizija se začne v ponedeljek.
junction	križišče	Na križišču zavijte levo.
jurisdiction	pristojnost	Sodišče ima omejeno pristojnost.
just	pravičen	Sodnik je sprejel pravično odločitev.
justification	utemeljitev	Potrebujemo jasno utemeljitev za porabo.
kidnap	ugrabiti	Kriminalci so poskušali ugrabiti diplomata.
kidney	ledvica	Njeno delovanje ledvic se je izboljšalo.
kingdom	kraljestvo	Kraljestvo se je razširilo pod njegovo vladavino.
lad	fant	Mladi fant je nosil torbe.
landlord	najemodajalec	Najemodajalec je popravil ogrevanje.
landmark	znamenitost	Stolp je postal mestna znamenitost.
lap	naročje	Otrok ji je sedel v naročju.
large-scale	obsežen	Mesto je načrtovalo obsežna popravila.
laser	laser	Laser je izmeril razdaljo.
latter	slednji	Slednja možnost se zdi varnejša.
lawn	trata	Otroci so se igrali na trati.
lawsuit	tožba	Podjetje se je poravnalo glede tožbe.
layout	postavitev	Postavitev strani je videti bolj jasna.
leak	puščanje	Puščanje cevi je poplavilo kuhinjo.
leap	skok	Prodaja je naredila nenaden skok.
legacy	zapuščina	Njena zapuščina je oblikovala univerzo.
legendary	legendaren	Legendarni pevec se je vrnil na oder.
legislation	zakonodaja	Nova zakonodaja ščiti najemnike.
legislative	zakonodajni	Zakonodajni odbor se je sestal danes.
legislature	zakonodajalec	Zakonodajalec je odobril proračun.
legitimate	legitimen	Izrazili so legitimne pomisleke.
lengthy	dolgotrajen	Dolgotrajna razprava je odložila glasovanje.
lesbian	lezbičen	Lezbična aktivistka je govorila na forumu.
lesser	manjši	Izberite manjše tveganje.
lethal	smrtonosen	Kemikalija je lahko smrtonosna.
liable	odgovoren	Vozniki so odgovorni za škodo.
liberal	liberalen	Podpira liberalne socialne politike.
liberation	osvoboditev	Osvoboditev je spremenila prihodnost države.
liberty	svoboda	Zakon ščiti osebno svobodo.
license	licencirati	Država bi lahko izdala dovoljenja za nove klinike.
lifelong	vseživljenjski	Tam je stkala vseživljenjska prijateljstva.
likelihood	verjetnost	Verjetnost dežja se je povečala.
limb	okončina	Poškodovana okončina se je počasi celila.
linear	linearen	Graf prikazuje linearen trend.
line-up	zasedba	Festivalska zasedba vključuje lokalne skupine.
linger	zadrževati se	Vonj se lahko zadrži več ur.
listing	oglas	Oglas za stanovanje je bil videti natančen.
literacy	pismenost	Programi opismenjevanja odraslih so se razširili.
liver	jetra	Jetra filtrirajo škodljive snovi.
lobby	avla	Avla je bila po poldnevu polna.
log	dnevnik	Sistem vodi dnevni zapis.
logic	logika	Logika njegovega argumenta je padla.
long-standing	dolgoleten	Rešili so dolgoletni spor.
long-time	dolgoleten	Je dolgoletna prostovoljka.
loom	zgrinjati se	Temni oblaki se zgrinjajo nad dolino.
loop	zanka	Pot tvori zanko.
loyalty	zvestoba	Njegova zvestoba je navdušila ekipo.
machinery	stroji	Tovarna je namestila nove stroje.
magical	čaroben	Vrt je bil ponoči videti čaroben.
magistrate	sodnik	Sodnik je obravnaval primer.
magnetic	magneten	Magnetno polje je vplivalo na kompas.
magnitude	obseg	Obseg škode je bil jasen.
mainland	celina	Trajekt povezuje otoke s celino.
mainstream	prevladujoč	Ideja je vstopila v prevladujočo politiko.
maintenance	vzdrževanje	Redno vzdrževanje preprečuje okvare.
mandate	mandat	Predsednik je trdil, da ima močan mandat.
mandatory	obvezen	Udeležba je za pripravnike obvezna.
manifest	pokazati se	Simptomi se lahko pokažejo po nekaj tednih.
manipulate	manipulirati	Ne manipulirajte z rezultati ankete.
manipulation	manipulacija	Manipulacija s podatki je bila odkrita.
manuscript	rokopis	Založnik je sprejel njen rokopis.
march	korakati	Protestniki bodo korakali po središču mesta.
marginal	obroben	Sprememba je imela obrobne koristi.
marine	morski	Morsko življenje potrebuje čisto vodo.
marketplace	tržnica	Spletna tržnica se je hitro razširila.
mask	maska	Delavci morajo nositi masko.
massacre	pokol	Pokol je šokiral celotno regijo.
mathematical	matematičen	Matematični model je napovedal povpraševanje.
mature	zrel	Odrasla drevesa dajejo senco.
maximize	maksimizirati	Posodobitev bo maksimizirala življenjsko dobo baterije.
meaningful	smiseln	Imela sta smiseln pogovor.
meantime	vmesni čas	Medtem počakajte zunaj.
medieval	srednjeveški	Grad ima srednjeveške zidove.
meditation	meditacija	Dnevna meditacija umirja njen um.
melody	melodija	Melodija mi je ostala v glavi.
memo	dopis	Dopis je pojasnil pravilnik.
memoir	spomini	Njeni spomini opisujejo izgnanstvo v otroštvu.
memorial	spomenik	Spomenik slavi lokalne vojake.
mentor	mentor	Njen mentor je pregledal predlog.
merchant	trgovec	Trgovec je prodajal svilo in začimbe.
mercy	milost	Sodnik je pokazal milost.
mere	zgolj	Goli pogled je razkril napako.
merely	samo	Zgolj ponovila je navodila.
merge	združiti se	Dve podjetji se bosta združili.
merger	združitev	Združitev je ustvarila večjo banko.
merit	vrednost	Predlog ima jasno vrednost.
methodology	metodologija	Študija pojasnjuje svojo metodologijo.
midst	sredina	Delali so sredi kaosa.
migration	migracija	Sezonska migracija vpliva na lokalna delovna mesta.
militant	militanten	Militantna skupina je zavrnila pogajanja.
militia	milica	Milica je nadzorovala cesto.
mill	mlin	Stari mlin je postal muzej.
minimal	minimalen	Načrt zahteva minimalen trud.
minimize	zmanjšati	Zmanjšati moramo nepotrebno tveganje.
mining	rudarstvo	Rudarstvo je poškodovalo rečno dolino.
ministry	ministrstvo	Ministrstvo je objavilo nova pravila.
minute2	droben	Na steklu se je pojavila drobna razpoka.
miracle	čudež	Njegovo okrevanje se je zdelo kot čudež.
misery	beda	Begunci so pretrpeli leta bede.
misleading	zavajajoč	Zavajajoč grafikon je zmedel bralce.
missile	izstrelek	Preizkus rakete je povečal napetosti.
mob	drhal	Jezna množica je blokirala promet.
mobility	mobilnost	Boljši avtobusi izboljšujejo urbano mobilnost.
mobilize	mobilizirati	Voditelji hitro mobilizirajo prostovoljce.
moderate	zmeren	Kandidat ima zmerna stališča.
modification	sprememba	Dizajn potrebuje eno spremembo.
momentum	zagon	Kampanja je hitro dobila zagon.
monk	menih	Menih je živel v tišini.
monopoly	monopol	Podjetje je imelo monopol.
morality	morala	Tečaj preučuje javno moralo.
motive	motiv	Policija je izprašala njegov motiv.
motorist	voznik	Voznik se je ustavil pri rdeči luči.
municipal	občinski	Komunalne storitve so se letos izboljšale.
mutual	vzajemen	Dosegla sta obojestranski dogovor.
namely	in sicer	Ostaja ena težava, in sicer financiranje.
nationwide	po vsej državi	Stavka je povzročila zamude po vsej državi.
naval	pomorski	Pomorska baza se je zaprla lani.
neglect	zanemariti	Ne zanemarite osnovne varnosti.
neighbouring	sosednji	Sosednja mesta so si delila bolnišnico.
nest	gnezdo	Ptica je zgradila gnezdo.
net	neto	Neto dobiček je močno narasel.
newsletter	glasilo	E-novice prispejo vsak petek.
niche	niša	Podjetje je našlo donosno nišo.
noble	plemenit	Njena plemenita gesta je navdušila vse.
nod	prikimati	Prosim, prikimajte, če razumete.
nominate	imenovati	Predlagali bodo novega predsednika.
nomination	nominacija	Njena nominacija je presenetila odbor.
nominee	nominiranec	Kandidat je odgovoril na težka vprašanja.
nonetheless	kljub temu	Kljub temu se je načrt premaknil naprej.
non-profit	neprofiten	Dela v neprofitni kliniki.
nonsense	nesmisel	Te govorice so popoln nesmisel.
noon	poldne	Sestanek se začne opoldne.
notable	opazen	Poročilo je pokazalo opazen napredek.
notably	opazno	Opazno je, da so stroški maja padli.
notify	obvestiti	Prosimo, obvestite osebje pred odhodom.
notorious	razvpit	Cesta je razvpita po nesrečah.
novel	nov	Predlagali so novo rešitev.
nursery	jasli	Jasli skrbijo za dojenčke.
objection	ugovor	Odvetnik je vložil ugovor.
oblige	obvezovati	Pravila obvezujejo voznike, da ustavijo.
obsess	obsedati	Ne obremenjujte se z majhnimi napakami.
obsession	obsesija	Njegova obsesija je škodovala njegovemu delu.
occasional	občasen	Pričakujejo se občasne zamude.
occurrence	dogodek	Tak dogodek je redek.
odds	možnosti	Možnosti za uspeh so se izboljšale.
offering	ponudba	Univerza je razširila svojo ponudbo.
offspring	potomec	Lisica je ščitila svoje potomce.
operational	operativen	Nov sistem je operativen.
opt	odločiti se	Mnogi študenti se odločijo za spletni pouk.
optical	optičen	Optično lečo je treba očistiti.
optimism	optimizem	Optimizem se je vrnil po objavi.
oral	usten	Ustni izpit se začne jutri.
organizational	organizacijski	Organizacijske spremembe so se začele takoj.
orientation	usmerjanje	Delavnica je zajemala uvajanje zaposlenih.
originate	izvirati	Mnoge tradicije izvirajo iz podeželskih vasi.
outbreak	izbruh	Izbruh se je razširil po mestu.
outing	izlet	Razred je užival v izletu v muzej.
outlet	prodajalna	Prodajalna prodaja oblačila s popustom.
outlook	obeti	Gospodarski obeti ostajajo negotovi.
outrage	ogorčenje	Odločitev je povzročila javno ogorčenje.
outsider	zunanji opazovalec	Kot zunanja opazovalka je opazila težave.
overlook	spregledati	Ne spreglejte manjših podrobnosti.
overly	pretirano	Navodila so bila pretirano zapletena.
oversee	nadzorovati	Ona bo nadzorovala projekt.
overturn	razveljaviti	Sodišče lahko razveljavi razsodbo.
overwhelm	preobremeniti	Preveč informacij lahko preobremeni učence.
overwhelming	prepričljiv	Dokazi so bili prepričljivi.
pad	blazinica	Uporabite blazinico za zaščito kolen.
parameter	parameter	Prilagajajte po en parameter naenkrat.
parental	starševski	Starševska podpora je izboljšala prisotnost.
parish	župnija	Župnija je organizirala dobrodelno večerjo.
parliamentary	parlamentaren	Parlamentarna razprava je trajala ure.
partial	delen	Poročilo je dalo delen odgovor.
partially	delno	Okno je bilo delno odprto.
passing	smrt	Njena smrt je bila nenadna.
passive	pasiven	Pasivni vlagatelji so sprejeli stalne donose.
pastor	pastor	Pastor je obiskal družino.
patch	zaplata	Jakna potrebuje majhno zaplato.
patent	patent	Podjetje je vložilo patent.
pathway	pot	Pot vodi do certifikacije.
patrol	patruljirati	Policija ponoči patruljira po območju.
patron	pokrovitelj	Muzej se je zahvalil svojemu pokrovitelju.
peak	vrhunec	Povpraševanje je doseglo zimski vrhunec.
peasant	kmet	Kmet je imel malo zemlje.
peculiar	nenavaden	Soba je imela nenavaden vonj.
persist	vztrajati	Simptomi lahko vztrajajo več dni.
persistent	trdovraten	Trdovraten kašelj zahteva pozornost.
personnel	osebje	Kadrovske evidence so zaupne.
petition	peticija	Peticija je zbrala na tisoče podpisov.
philosopher	filozof	Filozof je podvomil v splošne predpostavke.
philosophical	filozofski	Razprava je postala filozofska.
physician	zdravnik	Zdravnik je naročil krvne preiskave.
pioneer	pionir	Postala je pionirka v medicini.
pipeline	cevovod	Cevovod prenaša plin pod zemljo.
pirate	gusar	Gusarska ladja se je pojavila blizu obale.
pit	jama	Delavci so izkopali globoko jamo.
plea	prošnja	Njegova prošnja za pomoč je bila prezrta.
plead	izreči se	Osumljenec se bo izrekel za krivega.
pledge	obljubiti	Obljubljajo podporo reformam.
plug	priključiti	Priključite kabel v vtičnico.
plunge	strmoglaviti	Cene lahko strmoglavijo po škandalu.
pole	drog	Zastava je visela na drogu.
poll	anketa	Anketa je pokazala spreminjanje mnenj.
pond	ribnik	Race so prečkale zamrznjen ribnik.
pop	počiti	Baloni počijo blizu ostrih predmetov.
portfolio	portfelj	Njen portfelj vključuje več startupov.
portray	prikazati	Film bo prikazal podeželsko življenje.
postpone	preložiti	Odločili so se preložiti zaslišanje.
post-war	povojen	Povojna stanovanja so bila nujno potrebna.
practitioner	strokovnjak	Strokovnjak je pojasnil zdravljenje.
preach	pridigati	Duhovnik bo pridigal v nedeljo.
precedent	precedens	Razsodba je postavila pomemben precedens.
precision	natančnost	Stroj reže z natančnostjo.
predator	plenilec	Plenilec je čakal blizu reke.
predecessor	predhodnik	Njen predhodnik je pustil podrobne zapiske.
predominantly	pretežno	Območje je pretežno stanovanjsko.
pregnancy	nosečnost	Nosečnost zahteva redno zdravstveno nego.
prejudice	predsodek	Kampanja je izzvala rasne predsodke.
preliminary	preliminaren	Preliminarni rezultati so videti obetavni.
premier	premier	Premier je danes nagovoril parlament.
premise	premisa	Argument temelji na lažni premisi.
premium	premija	Kupci so za hitrost plačali premijo.
prescribe	predpisati	Zdravniki previdno predpisujejo antibiotike.
prescription	recept	Recept poteče prihodnji mesec.
presently	trenutno	Trenutno je nedosegljiva.
preservation	ohranjanje	Ohranjanje ščiti zgodovinske stavbe.
preside	predsedovati	Sodnik bo predsedoval sojenju.
presidency	predsedovanje	Njegovo predsedovanje je trajalo osem let.
presidential	predsedniški	Predsedniške volitve so pritegnile pozornost.
prestigious	prestižen	Dobila je prestižno štipendijo.
presumably	domnevno	Pisarna je danes domnevno zaprta.
presume	domnevati	Domnevamo, da so dokumenti pristni.
prevail	prevladati	Zdrava pamet bi morala prevladati.
prevalence	razširjenost	Razširjenost astme se je povečala.
prevention	preprečevanje	Preprečevanje je cenejše od popravila.
