source_headword	ID	example_ID
lawyer	pengacara	Pengacara itu menelepon saya.
lazy	malas	Jangan malas.
lead1	memimpin	Pemimpin yang baik memimpin dengan contoh.
leader	pemimpin	Dia pemimpin tim.
learning	pembelajaran	Pembelajaran membutuhkan waktu.
least	paling sedikit;terkecil	Pilih yang paling murah.
lecture	kuliah;ceramah	Kuliah dimulai pukul sepuluh.
lemon	lemon	Tambahkan lemon ke teh.
lend	meminjamkan	Bisakah Anda meminjamkan saya lima dolar?
less	lebih sedikit	Makan lebih sedikit gula.
level	tingkat	Level ini mudah.
lifestyle	gaya hidup	Dia memiliki gaya hidup sehat.
lift	mengangkat;lift	Angkat kotak dengan hati-hati.
light	menyalakan	Nyalakan lilin dengan hati-hati.
light (not heavy)	ringan	Tas ini ringan.
likely	kemungkinan besar	Kemungkinan besar hujan besok.
link	tautan	Kirimkan tautan itu kepada saya.
listener	pendengar	Jadilah pendengar yang baik.
lock	mengunci;kunci	Kunci pintu.
lorry	truk	Truk itu membawa kotak-kotak.
lost	tersesat;hilang	Kami tersesat.
loud	keras;nyaring	Musiknya keras.
loudly	dengan keras	Tolong jangan berbicara keras.
lovely	indah;menyenangkan	Betapa indahnya taman itu!
low	rendah	Kursi itu rendah.
luck	keberuntungan	Semoga beruntung dalam tes Anda.
lucky	beruntung	Anda beruntung hari ini.
mail	surat;pos	Saya mendapat surat pagi ini.
major	utama;besar	Ini masalah besar.
male	jantan;laki-laki	Burung jantan itu berwarna cerah.
manage	mengelola;mampu	Bisakah Anda menangani tugas ini?
manager	manajer	Manajer itu sibuk.
manner	cara;sikap	Berbicaralah dengan sikap sopan.
mark	menandai;nilai	Tandai jawaban Anda dengan jelas.
marry	menikah	Mereka akan menikah pada bulan Juni.
material	bahan	Bahan ini terasa lembut.
mathematics	matematika	Matematika adalah mata pelajaran favorit saya.
maths	matematika	Matematika sulit bagi saya.
matter	masalah;penting	Itu tidak penting.
may modal	boleh;mungkin	Anda boleh pergi sekarang.
media	media	Media meliput cerita itu.
medical	medis	Dia membutuhkan bantuan medis.
medicine	obat	Minum obat ini setelah makan siang.
memory	ingatan;memori	Ingatan saya baik.
mention	menyebut	Jangan sebut nama saya.
metal	logam	Gerbang itu terbuat dari logam.
method	metode	Metode ini bekerja dengan baik.
middle	tengah	Berdirilah di tengah.
might modal	mungkin	Mungkin hujan nanti.
mind	pikiran	Saya berubah pikiran.
mine (belongs to me)	milik saya	Buku ini milik saya.
mirror	cermin	Lihatlah ke cermin.
missing	hilang	Kunci saya hilang.
mobile	ponsel	Ponsel saya ada di meja.
monkey	monyet	Monyet itu memanjat pohon.
moon	bulan	Bulan itu terang.
mostly	sebagian besar	Kelas itu sebagian besar tenang.
motorcycle	sepeda motor	Dia mengendarai sepeda motor.
movement	gerakan	Saya melihat gerakan di pepohonan.
musical	musikal;berkaitan dengan musik	Ini film musikal.
musician	musisi	Musisi itu memainkan gitar.
myself	diri saya sendiri	Saya membuat ini sendiri.
narrow	sempit	Jalan itu sempit.
national	nasional	Ini hari libur nasional.
nature	alam	Saya mencintai alam.
nearly	hampir	Kita hampir sampai.
necessary	perlu	Apakah ini perlu?
neck	leher	Leher saya sakit.
neither	tidak satu pun	Tidak satu pun jawaban benar.
nervous	gugup	Dia merasa gugup.
network	jaringan	Jaringan sedang mati.
noise	kebisingan;suara bising	Saya mendengar suara keras.
noisy	berisik	Jalan itu berisik.
none	tidak ada	Tidak ada dari mereka yang datang.
normal	normal	Ini normal.
normally	biasanya	Saya biasanya bangun pagi.
notice	memperhatikan;pemberitahuan	Apakah Anda memperhatikan tanda itu?
novel	novel	Dia menulis novel.
nowhere	tidak ada tempat	Tidak ada tempat untuk duduk.
nut	kacang	Kacang itu keras.
ocean	samudra;lautan	Samudra itu dalam.
offer	menawarkan;tawaran	Saya menerima tawaran itu.
officer	petugas;perwira	Petugas memeriksa tiket saya.
oil	minyak	Tambahkan minyak ke wajan.
onto	ke atas	Letakkan itu ke atas rak.
opportunity	kesempatan	Ini kesempatan yang baik.
option	pilihan	Pilih pilihan terbaik.
ordinary	biasa	Itu hari biasa.
organization	organisasi	Organisasi itu membantu siswa.
organize	mengatur;mengorganisasi	Tolong atur file-file itu.
original	asli;awal	Simpan kuitansi asli.
ourselves	diri kami sendiri	Kami memasak makan malam sendiri.
oven	oven	Oven itu panas.
owner	pemilik	Pemilik membuka toko.
pack	mengemas;pak	Kemas tas Anda sekarang.
pain	rasa sakit	Saya merasakan sakit di punggung.
painter	pelukis;tukang cat	Tukang cat menyelesaikan dinding.
palace	istana	Istana itu tua.
pants	celana	Celana ini terlalu panjang.
parking	parkir;tempat parkir	Parkir sulit di sini.
particular	tertentu	Saya membutuhkan buku tertentu.
pass	memberikan;melewati	Berikan garam kepada saya.
passenger	penumpang	Setiap penumpang membutuhkan tiket.
patient	pasien;sabar	Bersabarlah dengan anak-anak.
pattern	pola;motif	Pola ini sederhana.
peace	perdamaian;ketenangan	Kita semua menginginkan perdamaian.
penny	koin kecil	Saya menemukan koin kecil.
per	per;setiap	Tiket berharga sepuluh dolar per orang.
per cent	persen	Lima persen itu kecil.
perform	tampil;melakukan	Grup itu akan tampil malam ini.
perhaps	mungkin	Mungkin dia di rumah.
permission	izin	Minta izin dahulu.
personality	kepribadian	Dia memiliki kepribadian ramah.
pet	hewan peliharaan	Hewan peliharaan saya adalah kucing.
petrol	bensin	Mobil itu membutuhkan bensin.
physical	fisik	Latihan fisik membantu kesehatan.
physics	fisika	Fisika sulit.
pick	memilih;memetik	Pilih satu kartu.
pilot	pilot	Pilot berbicara dengan jelas.
planet	planet	Bumi adalah planet.
plastic	plastik	Botol ini plastik.
plate	piring	Letakkan makanan di piring.
platform	platform;peron	Tunggu di peron dua.
pleased	senang	Saya senang bertemu Anda.
pocket	saku	Tiket ada di saku saya.
polite	sopan	Bersikap sopan kepada semua orang.
pollution	polusi	Polusi merusak samudra.
pop	pop	Saya suka musik pop.
population	populasi;penduduk	Populasi sedang meningkat.
position	posisi;kedudukan	Ubah posisi Anda.
possession	milik;harta	Cincin ini milik saya.
possibility	kemungkinan	Ada kemungkinan hujan.
poster	poster	Tempelkan poster di dinding.
power	daya;kekuatan	Komputer membutuhkan daya.
predict	memprediksi	Kami tidak dapat memprediksi cuaca.
president	presiden	Presiden memberikan pidato.
prevent	mencegah	Cuci tangan untuk mencegah penyakit.
print	mencetak	Cetak dokumen itu.
printer	printer;mesin cetak	Printer itu rusak.
prison	penjara	Dia masuk penjara.
prize	hadiah;penghargaan	Dia memenangkan hadiah.
process	proses	Proses itu membutuhkan waktu.
produce	menghasilkan	Pertanian menghasilkan makanan.
professional	profesional	Dia penari profesional.
professor	profesor	Profesor itu menjawab pertanyaan.
profile	profil	Perbarui profil Anda.
program	program	Program itu mulai sekarang.
progress	kemajuan	Kami membuat kemajuan hari ini.
promise	berjanji;janji	Tepati janji Anda.
pronounce	mengucapkan	Tolong ucapkan kata ini.
protect	melindungi	Lindungi mata Anda.
provide	menyediakan	Mereka menyediakan air gratis.
pub	pub;bar	Kami bertemu di pub.
public	publik;umum	Taman itu untuk umum.
publish	menerbitkan	Mereka menerbitkan majalah.
pull	menarik	Tarik pintu itu.
purpose	tujuan	Apa tujuannya?
push	mendorong;menekan	Tekan tombol itu.
quality	kualitas	Kualitasnya tinggi.
quantity	jumlah;kuantitas	Periksa jumlahnya.
queen	ratu	Ratu melambaikan tangan.
quietly	dengan tenang;pelan	Bicaralah pelan.
race (competition)	lomba;balapan	Lomba dimulai segera.
railway	rel kereta api;jalur kereta	Jalur kereta ditutup.
raise	mengangkat;menaikkan	Angkat tangan Anda.
rate	tarif;tingkat	Tarif hotel itu tinggi.
rather	agak	Saya agak lelah.
reach	mencapai;meraih	Bisakah Anda meraih rak itu?
react	bereaksi	Bagaimana dia bereaksi?
realize	menyadari	Saya menyadari kesalahan saya.
receive	menerima	Apakah Anda menerima pesan saya?
recent	baru-baru ini;terkini	Ini foto terbaru.
recently	baru-baru ini	Saya baru saja pindah ke sini.
reception	resepsionis;penerimaan	Acara penerimaan pada hari Senin.
recipe	resep	Resep ini mudah.
recognize	mengenali	Saya mengenali lagu itu.
recommend	merekomendasikan	Saya merekomendasikan buku ini.
record	catatan;merekam	Simpan catatan pembayaran.
recording	rekaman	Rekaman itu terdengar jelas.
recycle	mendaur ulang	Daur ulang kertas dan plastik.
reduce	mengurangi	Kurangi panasnya.
refer	merujuk	Rujuk ke halaman dua.
refuse1	menolak	Saya menolak berbohong.
region	wilayah;daerah	Wilayah ini dingin.
regular	tetap;teratur	Dia pelanggan tetap.
relationship	hubungan	Hubungan mereka kuat.
remove	melepas;menghapus	Lepaskan sepatu Anda.
repair	memperbaiki	Perbaiki sepeda hari ini.
replace	mengganti	Ganti baterai lama.
reply	membalas	Tolong balas segera.
reporter	reporter;wartawan	Reporter itu mencatat.
request	permintaan	Saya membuat permintaan.
research	penelitian;meneliti	Kami meneliti sejarah lokal.
researcher	peneliti	Peneliti memeriksa data.
respond	menanggapi;merespons	Tolong tanggapi hari ini.
response	tanggapan	Tanggapannya cepat.
rest (remaining part)	sisa	Makan sisanya nanti.
rest (sleep/relax)	istirahat	Anda perlu istirahat.
review	meninjau;mengulas	Tinjau catatan Anda malam ini.
ring1	cincin	Dia memakai cincin emas.
ring2	menelepon;berdering	Telepon saya setelah makan siang.
rise	naik;meningkat	Harga naik setiap tahun.
rock (stone)	batu	Batu itu berat.
