source_headword	ES-419	example_ES-419
notably	notablemente	Notablemente, los costos cayeron en mayo.
notify	notificar	Por favor avisa al personal antes de salir.
notorious	notorio	El camino es notorio por los accidentes.
novel	novedoso	Propusieron una solución novedosa.
nursery	la guardería	La guardería cuida a los bebés.
objection	la objeción	El abogado presentó una objeción.
oblige	obligar	Las reglas obligan a los conductores a detenerse.
obsess	obsesionarse	No te obsesiones con pequeños errores.
obsession	la obsesión	Su obsesión dañó su trabajo.
occasional	ocasional	Se esperan retrasos ocasionales.
occurrence	el suceso	Tal suceso es raro.
odds	las probabilidades	Las probabilidades de éxito mejoraron.
offering	la oferta	La universidad expandió su oferta.
offspring	la cría	El zorro protegió a su cría.
operational	operativo	El nuevo sistema está operativo.
opt	optar	Muchos estudiantes optan por clases en línea.
optical	óptico	El lente óptico necesita limpieza.
optimism	el optimismo	El optimismo regresó después del anuncio.
oral	oral	El examen oral comienza mañana.
organizational	organizacional	Los cambios organizacionales comenzaron de inmediato.
orientation	la orientación	El taller cubrió la orientación de los empleados.
originate	originar	Muchas tradiciones se originan en pueblos rurales.
outbreak	el brote	El brote se propagó por toda la ciudad.
outing	la excursión	La clase disfrutó de una excursión al museo.
outlet	la tienda de descuentos	La tienda de descuentos vende ropa rebajada.
outlook	el panorama	El panorama económico sigue siendo incierto.
outrage	la indignación	La decisión causó indignación pública.
outsider	el forastero	Como forastera, ella notó problemas.
overlook	pasar por alto	No pases por alto los detalles menores.
overly	excesivamente	Las instrucciones eran excesivamente complejas.
oversee	supervisar	Ella supervisará el proyecto.
overturn	revocar	El tribunal puede revocar el fallo.
overwhelm	abrumar	Demasiada información puede abrumar a los estudiantes.
overwhelming	abrumador	La evidencia era abrumadora.
pad	la almohadilla	Usa la almohadilla para proteger las rodillas.
parameter	el parámetro	Ajusta un parámetro a la vez.
parental	parental	El apoyo de los padres mejoró la asistencia.
parish	la parroquia	La parroquia organizó una cena benéfica.
parliamentary	parlamentario	El debate parlamentario duró horas.
partial	parcial	El informe dio una respuesta parcial.
partially	parcialmente	La ventana estaba parcialmente abierta.
passing	el fallecimiento	Su fallecimiento fue repentino.
passive	pasivo	Los inversores pasivos aceptaron rendimientos constantes.
pastor	el pastor	El pastor visitó a la familia.
patch	el parche	La chaqueta necesita un parche pequeño.
patent	la patente	La empresa presentó una patente.
pathway	el camino	El camino conduce a la certificación.
patrol	patrullar	La policía patrulla la zona de noche.
patron	el mecenas	El museo agradeció a su mecenas.
peak	el pico	La demanda alcanzó un pico invernal.
peasant	el campesino	El campesino poseía poca tierra.
peculiar	peculiar	La habitación tenía un olor peculiar.
persist	persistir	Los síntomas pueden persistir por días.
persistent	persistente	Una tos persistente necesita atención.
personnel	el personal	Los registros del personal son confidenciales.
petition	la petición	La petición reunió miles de firmas.
philosopher	el filósofo	El filósofo cuestionó suposiciones comunes.
philosophical	filosófico	La discusión se volvió filosófica.
physician	el médico	El médico ordenó análisis de sangre.
pioneer	el pionero	Ella se convirtió en una pionera en la medicina.
pipeline	la tubería	La tubería transporta gas bajo tierra.
pirate	el pirata	El barco pirata apareció en alta mar.
pit	el pozo	Los trabajadores cavaron un foso profundo.
plea	la súplica	Su súplica de ayuda fue ignorada.
plead	declararse	El sospechoso se declarará culpable.
pledge	prometer	Ellos prometen apoyo para las reformas.
plug	enchufar	Enchufa el cable en el tomacorriente.
plunge	desplomarse	Los precios pueden desplomarse después del escándalo.
pole	el mástil	La bandera colgaba de un mástil.
poll	la encuesta	La encuesta mostró opiniones cambiantes.
pond	el estanque	Los patos cruzaron el estanque congelado.
pop	reventar	Los globos revientan cerca de objetos afilados.
portfolio	el portafolio	Su portafolio incluye varias empresas emergentes.
portray	retratar	La película retratará la vida rural.
postpone	posponer	Decidieron posponer la audiencia.
post-war	de la posguerra	Se necesitaban con urgencia viviendas de la posguerra.
practitioner	el profesional	El profesional explicó el tratamiento.
preach	predicar	El ministro predicará el domingo.
precedent	el precedente	El fallo sentó un precedente importante.
precision	la precisión	La máquina corta con precisión.
predator	el depredador	El depredador esperó cerca del río.
predecessor	el predecesor	Su predecesor dejó notas detalladas.
predominantly	predominantemente	El área es predominantemente residencial.
pregnancy	el embarazo	El embarazo requiere atención médica regular.
prejudice	el prejuicio	La campaña desafió el prejuicio racial.
preliminary	preliminar	Los resultados preliminares parecen prometedores.
premier	el primer ministro	El primer ministro se dirigió al parlamento hoy.
premise	la premisa	El argumento se basa en una premisa falsa.
premium	el precio especial	Los clientes pagaron un precio especial por la velocidad.
prescribe	recetar	Los médicos recetan antibióticos con cuidado.
prescription	la receta médica	La receta médica vence el próximo mes.
presently	actualmente	Ella no está disponible por el momento.
preservation	la preservación	La preservación protege los edificios históricos.
preside	presidir	El juez presidirá el juicio.
presidency	la presidencia	Su presidencia duró ocho años.
presidential	presidencial	La elección presidencial llamó la atención.
prestigious	prestigioso	Ella ganó una prestigiosa beca.
presumably	presumiblemente	La oficina presumiblemente está cerrada hoy.
presume	presumir	Presumimos que los documentos son genuinos.
prevail	prevalecer	El sentido común debería prevalecer.
prevalence	la prevalencia	La prevalencia del asma aumentó.
prevention	la prevención	La prevención es más barata que la reparación.
