source_headword	SL	example_SL
deteriorate	poslabšati se	Njegovo zdravje se je začelo poslabševati.
devastate	opustošiti	Potres lahko opustoši obalna mesta.
devil	hudič	Otrok je narisal nasmejanega hudiča.
devise	snovati	Inženirji snujejo varnejše transportne sisteme.
diagnose	diagnosticirati	Zdravniki bolezen diagnosticirajo s krvnimi preiskavami.
diagnosis	diagnoza	Diagnoza je pojasnila njene simptome.
dictate	narekovati	Pogodba bo narekovala plačilne pogoje.
dictator	diktator	Diktator je nadziral medije.
differentiate	razlikovati	Ali lahko razlikujete dejstvo od mnenja?
dignity	dostojanstvo	Vsi si zaslužijo dostojanstvo pri delu.
dilemma	dilema	Vodja se je soočil z resno dilemo.
dimension	dimenzija	Problem ima politično dimenzijo.
diminish	zmanjšati se	Bolečina bi se morala počasi zmanjševati.
dip	spustiti se	Temperature se lahko spustijo pod ničlo.
diplomat	diplomat	Diplomat se je srečal s tujimi voditelji.
diplomatic	diplomatski	Diplomatski pogovori so se nadaljevali čez noč.
directory	imenik	Poiščite njegovo številko v imeniku.
disastrous	katastrofalen	Katastrofalna poplava je uničila več mostov.
discard	zavreči	Ne zavrzite uporabnih zapisov.
discharge	odpustiti	Bolnišnica ga bo odpustila jutri.
disclose	razkritti	Uradniki so zavrnili razkritje številk.
disclosure	razkritje	Razkritje je šokiralo upravni odbor.
discourse	diskurz	Javni diskurz je postal vljudnejši.
discretion	diskretnost	Uporabite svojo diskretnost pri občutljivih primerih.
discrimination	diskriminacija	Zakon prepoveduje diskriminacijo pri zaposlovanju.
dismissal	odpustitev	Njegova odpustitev je povzročila jezo javnosti.
displace	razseliti	Vojna bi lahko razselila tisoče.
disposal	odlaganje	Odlaganje odpadkov ostaja lokalni problem.
dispose	odložiti	Podjetje mora varno odložiti kemikalije.
dispute	spor	Spor je trajal več mesecev.
disrupt	motiti	Hrup lahko moti koncentracijo.
disruption	motnja	Stavka je povzročila velike motnje.
dissolve	raztopiti se	Sladkor se bo raztopil v vročem čaju.
distinction	razlika	Razlika med njimi je pomembna.
distinctive	prepoznaven	Ima prepoznaven glas.
distort	popačiti	Ogledalo lahko popači vaš odsev.
distress	stiska	Klic je povzročil resno stisko.
disturbing	vznemirljiv	Dokumentarec je prikazal vznemirljive prizore.
divert	preusmeriti	Policija je morala preusmeriti promet.
divine	božanski	Kapela ima božansko vzdušje.
doctrine	doktrina	Stranka je zavrnila staro doktrino.
documentation	dokumentacija	Pred zagonom izpolnite dokumentacijo.
domain	domena	Spletno mesto uporablja varno domeno.
dominance	prevlada	Prevlada ekipe je trajala desetletje.
donor	darovalec	Darovalec je danes daroval kri.
dose	odmerek	Vzemite en odmerek po zajtrku.
drain	odteči	Voda bo odtekla v reko.
drift	viti se	Dim se je začel viti čez cesto.
driving	gonilni	Dež je bil gonilni dejavnik pri zamudah.
drown	utoniti	Nikoli ne plavajte tam, kjer lahko zaradi tokov utonete.
dual	dvojen	Naprava ima dvojno funkcijo.
dub	poimenovati	Kritiki mesto imenujejo kulturna prestolnica.
dumb	neumen	To je bila neumna napaka.
duo	duo	Komični duo je bil na turneji po Evropi.
eager	vnet	Študenti so bili vneti za začetek.
earnings	zaslužek	Zaslužek podjetja se je močno povečal.
ease	olajšati	Nova cesta bo olajšala promet.
echo	odmevati	Njen glas je odmeval po dvorani.
ecological	ekološki	Ekološki vpliv ostaja negotov.
educator	pedagog	Pedagog je zasnoval nov tečaj.
effectiveness	učinkovitost	Študija je merila učinkovitost cepiva.
efficiency	učinkovitost	Boljša programska oprema je izboljšala učinkovitost.
ego	ego	Njegov ego je povzročal težave v službi.
elaborate	zapleten	Za zapleten kostum so bili potrebni tedni.
electoral	volilni	Volilni sistem se je lani spremenil.
elevate	dvigniti	Nagrada bo dvignila njen profil.
eligible	upravičen	Samo prebivalci so upravičeni do popustov.
elite	elita	Elita je trenirala na zasebni akademiji.
embark	odpraviti se	Odpravili se bodo na dolgo potovanje.
embarrassment	zadrega	Nasmehnil se je, da bi skril svojo zadrego.
embassy	veleposlaništvo	Veleposlaništvo je izdalo nov potovalni nasvet.
embed	pridružiti se	Novinar se bo pridružil enoti.
embody	utelešati	Zdi se, da kip uteleša pogum.
emergence	pojav	Pojav telefonov je spremenil vsakdanje življenje.
empirical	empiričen	Članek se zanaša na empirične dokaze.
empower	opolnomočiti	Izobraževanje lahko opolnomoči lokalne skupnosti.
enact	sprejeti	Parlament je glasoval za sprejetje reforme.
encompass	obsegati	Tečaj bo obsegal sodobno zgodovino.
encouragement	spodbuda	Njena spodbuda mu je pomagala nadaljevovati.
encouraging	spodbuden	Zgodnji rezultati so videti spodbudni.
endeavour	prizadevanje	Reševanje je bilo težavno prizadevanje.
endless	neskončen	Puščava se je zdela neskončna.
endorse	podpreti	Sindikat je zavrnil podporo kandidatu.
endorsement	podpora	Njegova podpora je okrepila njeno kampanjo.
endure	prenesti	Rastline lahko prenesejo ostre zime.
enforce	uveljavljati	Policija uveljavlja omejitev hitrosti.
enforcement	uveljavljanje	Strožje uveljavljanje je zmanjšalo nezakonito odlaganje odpadkov.
engagement	angažiranost	Angažiranost študentov se je ta semester izboljšala.
engaging	privlačen	Govorec je imel privlačen govor.
enquire	pozanimati se	Prosimo, pozanimajte se na recepciji.
enrich	obogatiti	Potovanja lahko obogatijo vaše razumevanje.
enrol	vpisati se	Študenti se morajo vpisati pred septembrom.
ensue	slediti	Po objavi bi lahko sledil kaos.
enterprise	podjetje	Podjetje zaposluje lokalne umetnike.
enthusiast	navdušenec	Vsak kolesarski navdušenec pozna to pot.
entitle	dati pravico	Vstopnica vam bo dala pravico do vstopa.
entity	subjekt	Podjetje je ločen pravni subjekt.
epidemic	epidemija	Epidemija se je razširila po več regijah.
equality	enakost	Gibanje se je borilo za enakost.
equation	enačba	Enačba vsebuje dve neznanki.
erect	postaviti	Delavci bodo postavili novo ograjo.
escalate	stopnjevati se	Konflikt bi se lahko hitro stopnjeval.
essence	bistvo	Pesem zajame bistvo otroštva.
establishment	establišment	Establišment je nasprotoval reformi.
eternal	večen	Obljubila sta si večno prijateljstvo.
evacuate	evakuirati	Gasilci so prebivalcem pomagali pri varni evakuaciji.
evoke	vzbuditi	Pesem lahko vzbudi močne spomine.
evolutionary	evolucijski	Fosil kaže evolucijsko spremembo.
exaggerate	pretiravati	Ne pretiravajte o svojih izkušnjah.
excellence	odličnost	Šola nagrajuje akademsko odličnost.
exceptional	izjemen	Pokazala je izjemno spretnost.
excess	odvečen	Odvečna voda je poplavila klet.
exclusion	izključenost	Socialna izključenost škoduje mladim.
exclusive	ekskluziven	Klub ponuja ekskluziven dostop.
exclusively	izključno	To sobo izključno uporablja osebje.
execute	izvesti	Ekipa bo previdno izvedla načrt.
execution	izvedba	Izvedba strategije je trajala mesece.
exert	uporabiti	Uporabiti morate več pritiska.
exile	izgnanstvo	Pisatelj je živel v izgnanstvu.
expenditure	izdatki	Javni izdatki so se lani povečali.
experimental	eksperimentalen	Zdravljenje je še vedno eksperimentalno.
expire	poteči	Moj potni list bo kmalu potekel.
explicit	izrecen	Navodila so bila izrecna.
explicitly	izrecno	Pravila izrecno prepovedujejo kajenje.
exploitation	izkoriščanje	Poročilo je razkrilo izkoriščanje delavcev.
explosive	eksploziven	Eksplozivna naprava je bila varno odstranjena.
extremist	skrajnež	Ekstremistična skupina je izgubila podporo.
facilitate	olajšati	Aplikacija bo olajšala učenje na daljavo.
faction	frakcija	Ena frakcija je nasprotovala vodji.
faculty	fakulteta	Fakulteta je odobrila predlog.
fade	zbledeti	Barva bo na soncu zbledela.
fairness	poštenost	Poštenost je pomembna v vsakem tekmovanju.
fatal	smrtonosen	Nesreča je povzročila smrtonosne poškodbe.
fate	usoda	Nihče ni vedel za njegovo usodo.
favourable	ugoden	Ocena je bila ugodna.
feat	podvig	Plezanje na tisti vrh je bil podvig.
feminist	feminističen	Feministično gibanje je spremenilo javno razpravo.
fibre	vlaknina	Ta kruh vsebuje dodatne vlaknine.
fierce	silovit	Silovita nevihta je poškodovala strehe.
film-maker	filmski ustvarjalec	Filmski ustvarjalec je nato odgovarjal na vprašanja.
filter	filter	Filter odstranjuje prah iz zraka.
fine	globa	Podjetje je plačalo globo.
firearm	strelno orožje	Policist je našel ukradeno strelno orožje.
fit	prileganje	Novi čevlji se popolnoma prilegajo.
fixture	stalna oprema	Svetilka je stalna oprema.
flaw	napaka	Načrt ima eno resno napako.
flawed	pomanjkljiv	Pomanjkljiva študija je dala napačne rezultate.
flee	zbežati	Družine so morale zbežati pred spopadi.
fleet	flota	Letalska družba je obnovila svojo floto.
flesh	meso	Trn mu je predrl meso.
flexibility	prožnost	Delo na daljavo ponuja večjo prožnost.
flourish	cveteti	Mala podjetja lahko tukaj uspevajo.
fluid	tekočina	Po vadbi pijte veliko tekočine.
footage	posnetek	Posnetek je prikazal trčenje.
foreigner	tujec	Obrazec sprašuje, ali ste tujec.
forge	stkal	Poskušali so stkati novo zavezništvo.
formula	formula	Formula je rešila problem.
formulate	oblikovati	Znanstveniki oblikujejo novo teorijo.
forth	naprej	Reka je nesla čoln naprej.
forthcoming	prihajajoči	Prihajajoče poročilo bo vse pojasnilo.
foster	spodbujati	Program pomaga spodbujati neodvisnost.
fragile	krhek	S krhko vazo je treba ravnati previdno.
franchise	franšiza	Restavracija je postala globalna franšiza.
frankly	iskreno	Iskreno, potrebujemo več časa.
frustrated	zafrustriran	Delavci so bili razočarani zaradi zamude.
frustrating	frustrirajoč	Počasna povezava je bila frustrirajoča.
frustration	frustracija	Frustracija je med sestankom naraščala.
functional	funkcionalen	Stara kuhinja je še vedno funkcionalna.
fundraising	zbiranje sredstev	Zbiranje sredstev se začne naslednji teden.
funeral	pogreb	Pogreb je bil v petek.
gallon	galona	Rezervoar drži eno galono.
gambling	igre na srečo	Igre na srečo so zakonsko omejene.
gathering	srečanje	Srečanje se je mirno končalo.
gaze	pogled	Za kratek čas je zadržala njegov pogled.
gear	oprema	Pred plezanjem spakirajte varnostno opremo.
generic	generičen	Generična različica stane manj.
genocide	genocid	Genocid je pustil globoko nacionalno travmo.
glance	pogled	Bežno je pogledal.
glimpse	bežen pogled	Ujel sem bežen pogled na morje.
glorious	veličasten	Ekipa je uživala v veličastni zmagi.
glory	slava	Sanjala je o olimpijski slavi.
governance	upravljanje	Dobro upravljanje zahteva transparentnost.
grace	dostojanstvo	Poraz je sprejela z dostojanstvom.
grasp	dojeti	Koncepta ni uspel dojeti.
grave (for dead person)	grob	Grob je bil prekrit s cvetjem.
grave (serious)	resen	Situacija ostaja resna.
gravity	gravitacija	Gravitacija vleče predmete proti Zemlji.
grid	mreža	Zemljevid uporablja preprosto mrežo.
grief	žalost	Žalost je spremenila vso njegovo družino.
grin	nasmeh	Fant se je široko nasmehnil.
grind	mleti	Delavci vsako jutro meljejo zrna.
grip	prijem	Ohranite čvrst prijem na vrvi.
gross	bruto	Bruto dohodek je močno narasel.
guerrilla	gverila	Gverilski borci so se skrivali v hribih.
guidance	smernice	Vodnik nudi praktične smernice.
guilt	krivda	Po laganju je čutila krivdo.
gut	instinkt	Pri težkih izbirah zaupajte svojemu instinktu.
hail	slaviti	Vaščani slavijo zdravnika kot heroja.
halfway	na pol poti	Ustavili smo se na pol poti v hrib.
halt	zaustavitev	Vlak se je nenadoma ustavil.
handful	peščica	Peščica prostovoljcev je ostala pozno.
handling	rokovanje	Pravilno rokovanje preprečuje poškodbe.
handy	priročen	To orodje je priročno za popravila.
harassment	nadlegovanje	Podjetje je raziskalo pritožbe zaradi nadlegovanja.
hardware	strojna oprema	Trgovina prodaja računalniško strojno opremo.
harmony	harmonija	Zbor je pel v popolni harmoniji.
harsh	strog	Sodnik je izrekel strogo kazen.
harvest	žetev	Žetev se začne septembra.
haunt	preganjati	Spomin ga je še naprej preganjal.
hazard	nevarnost	Led je resna nevarnost na cesti.
heighten	povečati	Govor bi lahko povečal napetosti.
heritage	dediščina	Grad je del lokalne dediščine.
hierarchy	hierarhija	Pisarniška hierarhija je jasno opredeljena.
high-profile	odmeven	Odmevno sojenje je pritegnilo novinarje.
hint	namig	Dala mi je koristen namig.
homeland	domovina	Vrnil se je v svojo domovino.
hopeful	poln upanja	Zdravniki so polni upanja glede okrevanja.
horizon	obzorje	Sonce je izginilo pod obzorjem.
horn	hupa	Avtomobilska hupa je vse prebudila.
hostage	talec	Talec se je vrnil domov.
hostile	sovražen	Množica je postala sovražna.
hostility	sovražnost	Odprta sovražnost je končala pogajanja.
humanitarian	humanitaren	Humanitarna misija je dostavila hrano.
humanity	človeštvo	Človeštvo se sooča s skupnimi izzivi.
humble	skromen	Tudi po uspehu je ostala skromna.
hydrogen	vodik	Vodik zelo hitro gori.
identification	identifikacija	Na vhodu je potrebna identifikacija.
ideological	ideološki	Spor je imel ideološke korenine.
ideology	ideologija	Njegova ideologija je oblikovala vsak govor.
idiot	idiot	Nikogar ne imenujte idiot.
ignorance	nevednost	Nevednost lahko širi strah.
imagery	prispodobe	Pesem uporablja žive prispodobe.
immense	ogromen	Projekt je zahteval ogromen trud.
imminent	neizbežen	Nevihta se je zdela neizbežna.
implementation	izvajanje	Izvajanje zakona je bilo počasno.
imprison	zapreti	Režim je poskušal zapreti kritike.
imprisonment	zaporna kazen	Njegova zaporna kazen je trajala pet let.
inability	nezmožnost	Njena nezmožnost osredotočanja je zaskrbela učitelje.
inadequate	neustrezen	Zavetišče je imelo neustrezno ogrevanje.
inappropriate	neprimeren	Njegova šala je bila neprimerna.
incidence	pogostost	Pogostost gripe se je povečala.
inclined	nagnjen	Nagnjena je k strinjanju.
inclusion	vključenost	Šola spodbuja vključenost.
