source_headword	DA	example_DA
literacy	en læse- og skrivefærdighed	Programmer for voksnes læse- og skrivefærdigheder blev udvidet.
liver	en lever	Leveren filtrerer skadelige stoffer.
lobby	en lobby	Lobbyen var overfyldt efter middag.
log	en log	Systemet fører en daglig log.
logic	en logik	Logikken i hans argument fejlede.
long-standing	langvarig	De løste en langvarig tvist.
long-time	mangeårig	Hun er en mangeårig frivillig.
loom	trække op	Mørke skyer trækker op over dalen.
loop	en sløjfe	Stien danner en sløjfe.
loyalty	en loyalitet	Hans loyalitet imponerede holdet.
machinery	et maskineri	Fabrikken installerede nyt maskineri.
magical	magisk	Haven så magisk ud om natten.
magistrate	en dommer	Dommeren hørte sagen.
magnetic	magnetisk	Det magnetiske felt påvirkede kompasset.
magnitude	et omfang	Omfanget af skaderne var tydeligt.
mainland	et fastland	Færgen forbinder øerne med fastlandet.
mainstream	en mainstream	Ideen kom ind i mainstream-politik.
maintenance	en vedligeholdelse	Regelmæssig vedligeholdelse forhindrer nedbrud.
mandate	et mandat	Præsidenten hævdede at have et stærkt mandat.
mandatory	obligatorisk	Fremmøde er obligatorisk for praktikanter.
manifest	vise sig	Symptomer kan vise sig efter uger.
manipulate	manipulere	Manipulér ikke undersøgelsesresultaterne.
manipulation	en manipulation	Datamanipulationen blev opdaget.
manuscript	et manuskript	Forlaget accepterede hendes manuskript.
march	marchere	Demonstranterne vil marchere til centrum.
marginal	marginal	Ændringen havde marginale fordele.
marine	marin	Havlivet har brug for rent vand.
marketplace	en markedsplads	Online markedspladsen udvidede sig hurtigt.
mask	en maske	Arbejderne skal bære en maske.
massacre	en massakre	Massakren chokerede hele regionen.
mathematical	matematisk	Den matematiske model forudsagde efterspørgslen.
mature	fuldvoksen	De fuldvoksne træer giver skygge.
maximize	maksimere	Opdateringen vil maksimere batterilevetiden.
meaningful	meningsfuld	De havde en meningsfuld samtale.
meantime	en mellemtid	I mellemtiden, vent udenfor.
medieval	middelalderlig	Slottet har middelalderlige mure.
meditation	en meditation	Daglig meditation beroliger hendes sind.
melody	en melodi	Melodien blev i mit hoved.
memo	et notat	Notatet forklarede politikken.
memoir	en erindring	Hendes erindringer beskriver barndommens eksil.
memorial	et mindesmærke	Mindesmærket ærer lokale soldater.
mentor	en mentor	Hendes mentor gennemgik forslaget.
merchant	en købmand	Købmanden solgte silke og krydderier.
mercy	en barmhjertighed	Dommeren viste barmhjertighed.
mere	blot	Et blot blik afslørede fejlen.
merely	blot	Hun gentog blot instruktionerne.
merge	fusionere	De to virksomheder vil fusionere.
merger	en fusion	Fusionen skabte en større bank.
merit	en fortjeneste	Forslaget har en tydelig fortjeneste.
methodology	en metodologi	Studiet forklarer sin metodologi.
midst	en midte	De arbejdede midt i kaosset.
migration	en migration	Sæsonbestemt migration påvirker lokale job.
militant	militant	Den militante gruppe afviste forhandlinger.
militia	en milits	Militsen kontrollerede vejen.
mill	en mølle	Den gamle mølle blev til et museum.
minimal	minimal	Planen kræver minimal indsats.
minimize	minimere	Vi skal minimere unødvendig risiko.
mining	en minedrift	Minedrift beskadigede floddalen.
ministry	et ministerium	Ministeriet annoncerede nye regler.
minute2	lillebitte	En lillebitte revne kom til syne i glasset.
miracle	et mirakel	Hans bedring virkede som et mirakel.
misery	en elendighed	Flygtningene udholdt år med elendighed.
misleading	vildledende	Det vildledende diagram forvirrede læserne.
missile	et missil	Missiltesten øgede spændingerne.
mob	en mob	Den vrede mob blokerede trafikken.
mobility	en mobilitet	Bedre busser forbedrer mobiliteten i byerne.
mobilize	mobilisere	Ledere mobiliserer frivillige hurtigt.
moderate	moderat	Kandidaten har moderate synspunkter.
modification	en modifikation	Designet har brug for én modifikation.
momentum	et momentum	Kampagnen fik hurtigt momentum.
monk	en munk	Munken levede i stilhed.
monopoly	et monopol	Firmaet havde et monopol.
morality	en moral	Kurset undersøger offentlig moral.
motive	et motiv	Politiet stillede spørgsmålstegn ved hans motiv.
motorist	en bilist	Bilisten stoppede ved rødt lys.
municipal	kommunal	Kommunale tjenester blev forbedret i år.
mutual	gensidig	De indgik en gensidig aftale.
namely	nemlig	Et problem resterer, nemlig finansiering.
nationwide	landsdækkende	Strejken forårsagede landsdækkende forsinkelser.
naval	flåde-	Flådebasen lukkede sidste år.
neglect	forsømme	Forsøm ikke grundlæggende sikkerhed.
neighbouring	nabo-	Nabobyer delte hospitalet.
nest	en rede	Fuglen byggede en rede.
net	netto	Nettooverskuddet steg markant.
newsletter	et nyhedsbrev	Nyhedsbrevet ankommer hver fredag.
niche	en niche	Virksomheden fandt en rentabel niche.
noble	ædel	Hendes ædle gestus imponerede alle.
nod	nikke	Nik venligst, hvis du forstår.
nominate	nominere	De vil nominere en ny formand.
nomination	en nomination	Hendes nomination overraskede udvalget.
nominee	en nomineret	Den nominerede besvarede svære spørgsmål.
nonetheless	alligevel	Alligevel gik planen fremad.
non-profit	almennyttig	Hun arbejder for en almennyttig klinik.
nonsense	noget sludder	Det rygte er rent sludder.
noon	en middag	Mødet starter klokken tolv.
notable	bemærkelsesværdig	Rapporten viste bemærkelsesværdige fremskridt.
notably	især	Bemærkelsesværdigt faldt omkostningerne i maj.
notify	give besked	Giv venligst personalet besked før du går.
notorious	berygtet	Vejen er berygtet for ulykker.
novel	nyskabende	De foreslog en nyskabende løsning.
nursery	en vuggestue	Vuggestuen tager sig af småbørn.
objection	en indvending	Advokaten kom med en indvending.
oblige	at forpligte	Regler forpligter chauffører til at stoppe.
obsess	at være besat	Hæng dig ikke i små fejl.
obsession	en besættelse	Hans besættelse skadede hans arbejde.
occasional	lejlighedsvis	Lejlighedsvise forsinkelser kan forventes.
occurrence	en hændelse	En sådan hændelse er sjælden.
odds	en sandsynlighed	Sandsynligheden for succes blev forbedret.
offering	et tilbud	Universitetet udvidede sit tilbud.
offspring	et afkom	Ræven beskyttede sit afkom.
operational	operationel	Det nye system er operationelt.
opt	at vælge	Mange studerende vælger online klasser.
optical	optisk	Den optiske linse trænger til rengøring.
optimism	en optimisme	Optimismen vendte tilbage efter meddelelsen.
oral	mundtlig	Den mundtlige eksamen starter i morgen.
organizational	organisatorisk	Organisatoriske ændringer begyndte med det samme.
orientation	en orientering	Workshoppen dækkede medarbejderorientering.
originate	at stamme fra	Mange traditioner stammer fra landsbyer.
outbreak	et udbrud	Udbruddet spredte sig over byen.
outing	en udflugt	Klassen nød en udflugt til museet.
outlet	et udsalg	Udsalget sælger rabatteret tøj.
outlook	en udsigt	De økonomiske udsigter forbliver usikre.
outrage	en forargelse	Beslutningen vakte offentlig forargelse.
outsider	en udenforstående	Som udenforstående bemærkede hun problemer.
overlook	at overse	Overse ikke mindre detaljer.
overly	overdrevent	Instruktionerne var overdrevent komplekse.
oversee	at føre tilsyn med	Hun vil føre tilsyn med projektet.
overturn	at omstøde	Retten kan omstøde kendelsen.
overwhelm	at overvælde	For meget information kan overvælde elever.
overwhelming	overvældende	Beviserne var overvældende.
pad	en pude	Brug puden for at beskytte knæene.
parameter	en parameter	Juster en parameter ad gangen.
parental	forældre-	Forældrestøtte forbedrede fremmødet.
parish	et sogn	Sognet arrangerede en velgørenhedsmiddag.
parliamentary	parlamentarisk	Den parlamentariske debat varede i timevis.
partial	delvis	Rapporten gav et delvist svar.
partially	delvist	Vinduet stod delvist åbent.
passing	en bortgang	Hendes bortgang var pludselig.
passive	passiv	Passive investorer accepterede et stabilt afkast.
pastor	en præst	Præsten besøgte familien.
patch	en lap	Jakken har brug for en lille lap.
patent	et patent	Virksomheden søgte om et patent.
pathway	en vej	Vejen fører til certificering.
patrol	en patrulje	Politiet patruljerer området om natten.
patron	en mæcen	Museet takkede sin mæcen.
peak	et højdepunkt	Efterspørgslen nåede et højdepunkt om vinteren.
peasant	en bonde	Bonden ejede kun lidt jord.
peculiar	ejendommelig	Rummet havde en mærkelig lugt.
persist	at vedvare	Symptomerne kan vedvare i flere dage.
persistent	vedvarende	En vedvarende hoste kræver opmærksomhed.
personnel	et personale	Personalemapper er fortrolige.
petition	en underskriftsindsamling	Underskriftsindsamlingen samlede tusindvis af underskrifter.
philosopher	en filosof	Filosoffen satte spørgsmålstegn ved almindelige antagelser.
philosophical	filosofisk	Diskussionen blev filosofisk.
physician	en læge	Lægen bestilte blodprøver.
pioneer	en pioner	Hun blev en pioner inden for medicin.
pipeline	en rørledning	Rørledningen transporterer gas under jorden.
pirate	en pirat	Piratskibet dukkede op ud for kysten.
pit	et hul	Arbejderne gravede et dybt hul.
plea	en bøn	Hans bøn om hjælp blev ignoreret.
plead	at erklære	Den mistænkte vil erklære sig skyldig.
pledge	at love	De lover støtte til reformer.
plug	at tilslutte	Sæt kablet i stikkontakten.
plunge	at styrtdykke	Priserne kan styrtdykke efter skandalen.
pole	en stang	Flaget hang fra en stang.
poll	en meningsmåling	Meningsmålingen viste ændrede holdninger.
pond	en dam	Ænderne krydsede den frosne dam.
pop	at springe	Balloner springer i nærheden af skarpe genstande.
portfolio	en portefølje	Hendes portefølje omfatter flere startups.
portray	at skildre	Filmen vil skildre livet på landet.
postpone	at udskyde	De besluttede at udskyde høringen.
post-war	efterkrigs-	Der var hårdt brug for efterkrigsboliger.
practitioner	en udøver	Udøveren forklarede behandlingen.
preach	at prædike	Præsten vil prædike på søndag.
precedent	en præcedens	Kendelsen dannede en vigtig præcedens.
precision	en præcision	Maskinen skærer med præcision.
predator	et rovdyr	Rovdyret ventede nær floden.
predecessor	en forgænger	Hendes forgænger efterlod detaljerede noter.
predominantly	overvejende	Området er overvejende et boligkvarter.
pregnancy	en graviditet	En graviditet kræver regelmæssig lægebehandling.
prejudice	en fordom	Kampagnen udfordrede racemæssige fordomme.
preliminary	foreløbig	De foreløbige resultater ser lovende ud.
premier	en premierminister	Premierministeren talte til parlamentet i dag.
premise	en præmis	Argumentet hviler på en falsk præmis.
premium	en overpris	Kunderne betalte en overpris for hastighed.
prescribe	at udskrive	Læger udskriver antibiotika forsigtigt.
prescription	en recept	Recepten udløber i næste måned.
presently	i øjeblikket	Hun er i øjeblikket utilgængelig.
preservation	en bevaring	Bevaring beskytter historiske bygninger.
preside	at lede	Dommeren vil lede retssagen.
presidency	et præsidentskab	Hans præsidentskab varede i otte år.
presidential	præsident-	Præsidentvalget tiltrak sig opmærksomhed.
prestigious	prestigefyldt	Hun vandt et prestigefyldt stipendium.
presumably	formodentlig	Kontoret er formodentlig lukket i dag.
presume	at antage	Vi antager, at dokumenterne er ægte.
prevail	at sejre	Sund fornuft bør sejre.
prevalence	en udbredelse	Udbredelsen af astma steg.
prevention	en forebyggelse	Forebyggelse er billigere end reparation.
