source_headword	ID	example_ID
everyday	sehari-hari; harian	Ini bahasa Inggris sehari-hari.
everywhere	di mana-mana	Bunga tumbuh di mana-mana.
evidence	bukti	Buktinya jelas.
exact	tepat; persis	Berikan nomor yang tepat.
exactly	tepat; persis	Itu tepat sekali.
excellent	sangat baik; luar biasa	Pekerjaan Anda sangat baik.
except	kecuali	Semua orang datang kecuali saya.
exist	ada; wujud	Apakah alamat ini ada?
expect	mengharapkan; memperkirakan	Saya memperkirakan hujan besok.
experience	pengalaman; mengalami	Saya punya pengalaman dengan anak-anak.
experiment	eksperimen; percobaan	Eksperimen itu berhasil dengan baik.
expert	ahli; pakar	Mintalah bantuan ahli.
explanation	penjelasan	Penjelasannya jelas.
express	menyatakan; mengungkapkan	Tolong nyatakan pendapat Anda.
expression	ungkapan; ekspresi	Ungkapan ini umum.
extreme	ekstrem; sangat berat	Panasnya ekstrem.
extremely	sangat; amat	Ini sangat dingin.
factor	faktor	Biaya adalah satu faktor.
factory	pabrik	Pabrik itu tutup pukul lima.
fail	gagal	Saya tidak gagal.
fair	adil; wajar	Harganya adil.
fan	kipas; penggemar	Nyalakan kipas.
farming	pertanian; bertani	Pertanian adalah kerja berat.
fashion	mode; fesyen	Mode berubah setiap tahun.
fear	ketakutan; takut	Ketakutan bisa menghentikan orang.
feature	fitur; ciri	Telepon ini memiliki fitur berguna.
feed	memberi makan	Beri makan kucing sekarang.
female	perempuan; betina	Atlet perempuan itu menang.
fiction	fiksi; cerita rekaan	Dia membaca fiksi pada malam hari.
field	ladang; bidang	Ladang itu hijau.
fight	berkelahi; bertarung	Mereka terlalu sering berkelahi.
figure	gambar; angka; tokoh	Lihat gambar itu.
finally	akhirnya	Akhirnya kami tiba di rumah.
finger	jari	Jari saya sakit.
firstly	pertama; pertama-tama	Pertama-tama, baca pertanyaannya.
fishing	memancing	Memancing populer di sini.
fit	pas; cocok	Sepatu ini pas.
fix	memperbaiki; menetapkan	Perbaiki kursi yang rusak.
flu	flu; selesma	Saya terkena flu.
flying	terbang; penerbangan	Terbang itu cepat.
focus	fokus; memusatkan perhatian	Fokus pada tugas ini.
following	berikut; berikutnya	Baca kalimat berikut.
foreign	asing; luar negeri	Dia berbicara bahasa asing.
forest	hutan	Hutan itu tenang.
fork	garpu	Gunakan garpu.
formal	resmi; formal	Surat ini resmi.
fortunately	untungnya	Untungnya, tidak ada yang terluka.
forward	maju; ke depan	Bergerak maju perlahan.
fresh	segar; baru	Roti itu segar.
