source_headword	TA	example_TA
verify	சரிபார்த்தல்	தயவுசெய்து உங்கள் மின்னஞ்சல் முகவரியைச் சரிபார்க்கவும்.
verse	கவிதை வரி	அவள் கவிதையிலிருந்து ஒரு வரியை மேற்கோள் காட்டினாள்.
versus	எதிராக	விவாதம் தனியுரிமைக்கும் பாதுகாப்பிற்கும் இடையிலானதாக இருந்தது.
vessel	கப்பல்	கப்பல் கடல் வழியாக தானியங்களை ஏற்றிச் சென்றது.
veteran	அனுபவசாலி	அனுபவசாலி புதிய ஊழியர்களுக்கு பயிற்சி அளித்தார்.
viable	சாத்தியமான	இந்த முன்மொழிவு நிதி ரீதியாக சாத்தியமானது.
vibrant	துடிப்பான	நகரத்தில் ஒரு துடிப்பான கலை காட்சி உள்ளது.
vice	தீய பழக்கம்	பேராசை அவனது மிகப்பெரிய தீய பழக்கமாக இருந்தது.
vicious	கொடூரமான	அந்தக் கொடூரமான தாக்குதல் நகரத்தை அதிர்ச்சியில் ஆழ்த்தியது.
villager	கிராமவாசி	ஒரு கிராமவாசி எங்களை நதிக்கு வழிகாட்டினார்.
violate	மீறுதல்	நிறுவனம் பாதுகாப்பு விதிகளை மீறக்கூடும்.
violation	மீறல்	ஆய்வாளர் ஒரு கடுமையான விதிமீறலைப் புகாரளித்தார்.
virtue	நற்பண்பு	பொறுமை என்பது ஒரு முக்கியமான நற்பண்பாகும்.
vocal	வெளிப்படையான	அவள் அந்த முடிவைக் குறித்து வெளிப்படையாகப் பேசினாள்.
vow	சபதம் செய்தல்	அவர் வேலையை முடிப்பதாக சபதம் செய்தார்.
vulnerability	பாதிப்பு	தணிக்கை ஒரு பாதுகாப்பு குறைபாட்டை வெளிப்படுத்தியது.
vulnerable	பாதிப்படையக்கூடிய	அதிக வெப்பத்தின் போது குழந்தைகள் எளிதில் பாதிக்கப்படக்கூடியவர்களாக உள்ளனர்.
ward	வார்டு	நோயாளி வேறொரு வார்டுக்கு மாற்றப்பட்டார்.
warehouse	கிடங்கு	அக்கிடங்கில் உதிரி பாகங்கள் சேமிக்கப்பட்டுள்ளன.
warfare	போர் முறை	நவீன போர் முறை தொழில்நுட்பத்தை நம்பியுள்ளது.
warrant	உத்தரவு	போலீசார் தேடுதல் உத்தரவைக் காட்டினர்.
warrior	போர்வீரன்	போர்வீரன் கிராமத்தைப் பாதுகாத்தான்.
weaken	பலவீனப்படுத்துதல்	காயம் அவனது பிடியை பலவீனப்படுத்தியது.
weave	முடைதல்	அவள் கூடைகள் முடையக் கற்றுக்கொண்டாள்.
weed	களை	கற்களுக்கு இடையே ஒரு களை முளைத்திருந்தது.
well	கிணறு	கிராமத்துக் கிணறு வறண்டு போனது.
well-being	நல்வாழ்வு	நல்வாழ்வுக்கு தூக்கம் மிகவும் முக்கியமானது.
whatsoever	எவ்விதமான	அவர் எவ்விதமான ஆர்வமும் காட்டவில்லை.
whereby	இதன் மூலம்	குடும்பங்கள் மேல்முறையீடு செய்யக்கூடிய ஒரு அமைப்பை இந்தச் சட்டம் உருவாக்கியது.
whilst	அதேவேளையில்	அவன் ஓய்வெடுக்கும் போது அவள் வேலை செய்தாள்.
whip	படபடத்தல்	காற்றில் கொடிகள் படபடக்கும்.
wholly	முற்றிலும்	அந்த முடிவு முற்றிலும் எதிர்பாராதது.
widen	அகலப்படுத்துதல்	நகரம் சாலையை அகலப்படுத்த திட்டமிட்டுள்ளது.
widow	விதவை	அந்த விதவை பள்ளிக்கு அருகில் வசிக்கிறார்.
width	அகலம்	கதவின் அகலத்தை அளவிடவும்.
willingness	விருப்பம்	அவள் உதவ முன்வந்த விதம் அனைவரையும் கவர்ந்தது.
wipe	துடைத்தல்	ஒரு துணியால் திரையைத் துடைக்கவும்.
wit	புத்திசாலித்தனம்	அவனது புத்திசாலித்தனம் பேச்சை கலகலப்பாக்கியது.
withdrawal	திரும்பப் பெறுதல்	நிதி திரும்பப் பெறப்பட்டதால் திட்டம் தாமதமானது.
workout	உடற்பயிற்சி	உடற்பயிற்சி நாற்பது நிமிடங்கள் நீடித்தது.
worship	வழிபாடு	அதிகாலையில் மக்கள் வழிபாட்டிற்காகக் கூடினர்.
worthwhile	பயனுள்ள	அந்தப் பயணம் பயனுள்ளதாக இருந்தது.
worthy	தகுதியான	இந்த அறக்கட்டளை ஆதரவளிக்கத் தகுதியானது.
yell	கத்துதல்	ஊழியர்களைப் பார்த்துக் கத்த வேண்டாம்.
yield	விளைச்சல்	இந்தப் பருவத்தில் பண்ணையின் விளைச்சல் மேம்பட்டது.
youngster	இளைஞர்	அந்த இளைஞர் பல கேள்விகளைக் கேட்டார்.
