source_headword	ES-419	example_ES-419
threshold	el umbral / el límite	La votación cruzó el umbral.
thrilled	emocionado / encantado	Ella estaba emocionada por la noticia.
thrive	prosperar	Las pequeñas empresas pueden prosperar aquí.
tide	la marea	La marea subió rápidamente.
tighten	apretar / ajustar	Aprieta la tapa firmemente.
timber	la madera	La casa usa madera local.
timely	oportuno	La advertencia fue oportuna.
tobacco	el tabaco	Las ventas de tabaco disminuyeron.
tolerance	la tolerancia	La política fomenta la tolerancia.
tolerate	tolerar	No podemos tolerar el abuso.
toll	el peaje / el costo / el precio	La tormenta cobró un alto precio.
top	superar / encabezar	Las ventas pueden superar el récord del año pasado.
torture	la tortura	El tratado prohíbe la tortura absolutamente.
