source_headword	SK	example_SK
introduction	úvod; predstavenie	Úvod bol krátky.
invent	vynájsť; vymyslieť	Deti môžu vymyslieť novú hru.
invention	vynález	Vynález šetrí čas.
invitation	pozvanie	Dostal som pozvanie.
invite	pozvať	Pozvi aj svojho kamaráta.
involve	zahŕňať; zapojiť	Práca zahŕňa cestovanie.
item	položka; vec	Vyber jednu vec.
itself	samo	Stroj sa sám vypol.
jam	džem	Natri džem na chlieb.
jazz	džez	Džez dnes večer znie dobre.
jewellery	šperky	Šperky má v škatuli.
joke	vtip	Povedz mi vtip.
journalist	novinár	Novinár položil otázku.
jump	skočiť	Skoč cez čiaru.
kid	dieťa	Dieťa sa smeje.
kill	zabiť	Nezabíjaj ten hmyz.
king	kráľ	Kráľ žil v paláci.
knee	koleno	Bolí ma koleno.
knife	nôž	Použi ostrý nôž.
knock	zaklopať	Zaklop, kým vojdeš.
knowledge	znalosť; vedomosti	Vedomosti rastú cvičením.
lab	laboratórium	Laboratórium je zatvorené.
lady	dáma; žena	Tá dáma sa na nás usmiala.
lake	jazero	Jazero je pokojné.
lamp	lampa	Rozsvieť lampu.
laptop	notebook	Môj notebook je nový.
last1 (taking time)	trvať	Film trval dve hodiny.
laughter	smiech	Počuli sme vonku smiech.
law	zákon	Zákon sa včera zmenil.
lawyer	právnik	Právnik mi zavolal.
lazy	lenivý	Nebuď lenivý.
lead1	viesť	Dobrý vodca vedie príkladom.
leader	vodca; vedúci	Je vedúca tímu.
learning	učenie	Učenie si vyžaduje čas.
least	najmenej	Vyber najmenej drahú možnosť.
lecture	prednáška	Prednáška sa začína o desiatej.
lemon	citrón	Daj citrón do čaju.
lend	požičať	Môžeš mi požičať päť dolárov?
less	menej	Jedz menej cukru.
level	úroveň	Táto úroveň je ľahká.
lifestyle	životný štýl	Má zdravý životný štýl.
lift	zdvihnúť; výťah	Zdvihni škatuľu opatrne.
light	rozsvietiť	Rozsvieť svetlo opatrne.
light (not heavy)	ľahký	Táto taška je ľahká.
likely	pravdepodobný; pravdepodobne	Zajtra bude pravdepodobne pršať.
link	odkaz	Pošli mi odkaz.
listener	poslucháč	Buď dobrý poslucháč.
lock	zamknúť; zámok	Zamkni dvere.
lorry	nákladné auto	Nákladné auto viezlo škatule.
lost	stratený; zablúdený	Zablúdili sme.
loud	hlasný	Hudba je hlasná.
loudly	nahlas	Nehovor tak nahlas, prosím.
lovely	krásny; milý	To je krásna záhrada!
low	nízky	Stolička je nízka.
luck	šťastie	Veľa šťastia pri teste.
lucky	šťastný; mať šťastie	Dnes máš šťastie.
mail	pošta; list	Dnes ráno som dostal poštu.
major	veľký; dôležitý	To je veľký problém.
male	mužský; samec	Samec vtáka je farebný.
manage	zvládnuť; riadiť	Zvládneš túto úlohu?
manager	manažér; vedúci	Vedúci je zaneprázdnený.
manner	spôsob; správanie	Hovor zdvorilým spôsobom.
mark	označiť; známka	Označ svoju odpoveď jasne.
marry	oženiť sa; vydať sa	Vezmú sa v júni.
material	materiál	Tento materiál je mäkký.
mathematics	matematika	Matematika je môj obľúbený predmet.
maths	matematika	Matematika je pre mňa ťažká.
matter	záležitosť; záležať	Na tom nezáleží.
may modal	smiete; môcť	Teraz môžeš ísť.
media	médiá	Médiá o príbehu informovali.
medical	lekársky	Potrebuje lekársku pomoc.
medicine	liek	Vezmi si tento liek po obede.
memory	spomienka; pamäť	Mám dobrú pamäť.
mention	spomenúť	Nespomínaj moje meno.
metal	kov	Brána je z kovu.
method	metóda	Táto metóda funguje dobre.
middle	stred	Stoj v strede.
might modal	možno; môcť	Neskôr môže pršať.
mind	myseľ; názor	Zmenil som názor.
mine (belongs to me)	môj; moja	Táto kniha je moja.
mirror	zrkadlo	Pozri sa do zrkadla.
missing	chýbajúci; stratený	Moje kľúče sú stratené.
mobile	mobilný telefón	Môj mobilný telefón je na stole.
monkey	opica	Opica vyliezla na strom.
moon	mesiac	Mesiac je jasný.
mostly	väčšinou	Trieda bola väčšinou tichá.
motorcycle	motocykel	Jazdí na motocykli.
movement	pohyb	Videl som pohyb v stromoch.
musical	muzikál; hudobný	To je hudobný film.
musician	hudobník	Hudobník hral na gitare.
myself	sám seba; ja sám	Urobil som to sám.
narrow	úzky	Cesta je úzka.
national	národný	Toto je národný sviatok.
nature	príroda	Milujem prírodu.
nearly	takmer; skoro	Sme skoro tam.
necessary	nutný; nevyhnutný	Je to nutné?
neck	krk; šija	Bolí ma krk.
neither	ani jeden	Ani jedna odpoveď nie je správna.
nervous	nervózny	Cíti sa nervózna.
network	sieť	Sieť nefunguje.
noise	hluk; zvuk	Počul som hlasný zvuk.
noisy	hlučný	Ulica je hlučná.
none	žiadny; nikto	Nikto z nich neprišiel.
normal	normálny	To je normálne.
normally	zvyčajne	Zvyčajne vstávam skoro.
notice	všimnúť si; oznámenie	Všimol si si tabuľu?
novel	román	Napísala román.
nowhere	nikde	Nikde nebolo miesto na sedenie.
nut	orech	Orech je tvrdý.
ocean	oceán	Oceán je hlboký.
offer	ponúknuť; ponuka	Prijal som ponuku.
officer	policajt; dôstojník	Policajt skontroloval môj lístok.
oil	olej	Daj olej na panvicu.
onto	na; hore na	Polož to na policu.
opportunity	príležitosť	To je dobrá príležitosť.
option	možnosť; alternatíva	Vyber najlepšiu možnosť.
ordinary	obyčajný	Bol to obyčajný deň.
organization	organizácia	Organizácia pomáha študentom.
organize	usporiadať; organizovať	Usporiadaj súbory, prosím.
original	pôvodný; originálny	Nechaj si pôvodný doklad.
ourselves	my sami; seba	Uvarili sme večeru sami.
oven	rúra	Rúra je horúca.
owner	majiteľ	Majiteľ otvoril obchod.
pack	baliť; balík	Zbaľ si tašku hneď.
pain	bolesť	Cítim bolesť v chrbte.
painter	maliar	Maliar dokončil stenu.
palace	palác	Palác je starý.
pants	nohavice	Tieto nohavice sú príliš dlhé.
parking	parkovanie	Parkovanie je tu ťažké.
particular	určitý; zvláštny	Potrebujem určitú knihu.
pass	podať; prejsť	Podaj mi soľ.
passenger	cestujúci	Každý cestujúci potrebuje lístok.
patient	pacient; trpezlivý	Buď trpezlivý s deťmi.
pattern	vzor; vzorec	Tento vzor je jednoduchý.
peace	mier; pokoj	Všetci chceme mier.
penny	malá minca	Našiel som malú mincu.
per	za; na	Lístok stojí desať dolárov na osobu.
per cent	percento	Päť percent je málo.
perform	vystupovať; vykonať	Kapela vystupuje dnes večer.
perhaps	možno	Možno je doma.
permission	povolenie	Najprv požiadaj o povolenie.
personality	osobnosť	Má priateľskú osobnosť.
pet	domáce zviera	Moje domáce zviera je mačka.
petrol	benzín	Auto potrebuje benzín.
physical	fyzický	Fyzické cvičenie pomáha zdraviu.
physics	fyzika	Fyzika je ťažká.
pick	vybrať; zbierať	Vyber jednu kartu.
pilot	pilot	Pilot hovoril jasne.
planet	planéta	Zem je planéta.
plastic	plast; plastový	Fľaša je z plastu.
plate	tanier	Daj jedlo na tanier.
platform	nástupište; platforma	Čakaj na nástupišti dva.
pleased	potešený; rád	Rád ťa spoznávam.
pocket	vrecko	Lístok je v mojom vrecku.
polite	zdvorilý	Buď zdvorilý ku všetkým.
pollution	znečistenie	Znečistenie škodí moru.
pop	pop; popová hudba	Mám rád popovú hudbu.
population	populácia; obyvateľstvo	Populácia rastie.
position	poloha; pozícia	Zmeň svoju polohu.
possession	majetok	Tento prsteň je môj majetok.
possibility	možnosť	Je tu možnosť dažďa.
poster	plagát	Zaves plagát na stenu.
power	elektrina; sila	Počítač potrebuje elektrinu.
predict	predpovedať	Nemôžeme predpovedať počasie.
president	prezident	Prezident predniesol prejav.
prevent	zabrániť	Umy si ruky, aby si zabránil chorobe.
print	tlačiť	Vytlač dokument.
printer	tlačiareň	Tlačiareň je pokazená.
prison	väzenie	Skončil vo väzení.
prize	cena	Vyhrala cenu.
process	proces	Proces trvá dlho.
produce	produkovať; vyrábať	Farmy produkujú jedlo.
professional	profesionálny; odborník	Je profesionálna tanečnica.
professor	profesor	Profesor odpovedal na otázku.
profile	profil	Aktualizuj svoj profil.
program	program	Program sa začína teraz.
progress	pokrok	Dnes sme urobili pokrok.
promise	sľúbiť; sľub	Dodrž svoj sľub.
pronounce	vysloviť	Vyslov toto slovo, prosím.
protect	chrániť	Chráň si oči.
provide	poskytnúť; dať	Poskytujú vodu zadarmo.
pub	krčma; bar	Stretli sme sa v krčme.
public	verejný	Park je verejný.
publish	publikovať; vydať	Vydávajú časopis.
pull	ťahať	Potiahni dvere.
purpose	účel	Aký je účel?
push	tlačiť; stlačiť	Stlač tlačidlo.
quality	kvalita	Kvalita je vysoká.
quantity	množstvo	Skontroluj množstvo.
queen	kráľovná	Kráľovná zamávala.
quietly	ticho	Hovor ticho.
race (competition)	pretek; súťaž	Pretek sa čoskoro začne.
railway	železnica	Železnica je zatvorená.
raise	zdvihnúť; zvýšiť	Zdvihni ruku.
rate	cena; sadzba	Cena hotela je vysoká.
rather	dosť; radšej	Som dosť unavený.
reach	dosiahnuť; dočiahnuť	Dočiahneš na policu?
react	reagovať	Ako reagovala?
realize	uvedomiť si	Uvedomil som si chybu.
receive	obdržať; dostať	Dostal si moju správu?
recent	nedávny; nový	To je nový obrázok.
recently	nedávno	Nedávno som sa sem presťahoval.
reception	recepcia; prijatie	Recepcia je v pondelok.
recipe	recept	Tento recept je jednoduchý.
recognize	spoznať; rozpoznať	Spoznávam tú pieseň.
recommend	odporučiť	Odporúčam túto knihu.
record	záznam; nahrať	Ulož záznam platby.
recording	nahrávka	Nahrávka znie jasne.
recycle	recyklovať	Recykluj papier a plast.
reduce	znížiť	Zníž teplotu.
refer	odkazovať; odkázať	Odkáž na druhú stranu.
refuse1	odmietnuť	Odmietam klamať.
region	región; oblasť	Táto oblasť je studená.
regular	pravidelný; stály	Je stála zákazníčka.
relationship	vzťah	Ich vzťah je silný.
remove	odstrániť; vyzuť	Vyzuj si topánky.
repair	opraviť	Oprav dnes bicykel.
replace	nahradiť; vymeniť	Vymeň starú batériu.
reply	odpovedať	Odpovedz rýchlo, prosím.
reporter	reportér	Reportér si robil poznámky.
request	žiadosť	Podal som žiadosť.
research	výskum; skúmať	Skúmame miestnu históriu.
researcher	výskumník	Výskumník skontroloval údaje.
respond	odpovedať; reagovať	Odpovedz dnes, prosím.
response	odpoveď; reakcia	Odpoveď bola rýchla.
rest (remaining part)	zvyšok	Zjedz zvyšok neskôr.
rest (sleep/relax)	odpočívať; odpočinok	Potrebuješ odpočinok.
review	prejsť; recenzia	Prejdi si dnes večer poznámky.
ring1	prsteň	Má na sebe zlatý prsteň.
ring2	zavolať	Zavolaj mi po obede.
rise	stúpať; nárast	Ceny každý rok stúpajú.
rock (stone)	kameň	Kameň je ťažký.
