source_headword	DA	example_DA
surrender	overgive sig	Soldaterne indvilligede i at overgive sig.
surveillance	en overvågning	Overvågningskameraer optog indgangen.
suspension	en suspendering	Suspenderingen varede i to uger.
suspicion	en mistanke	Hans opførsel vakte mistanke.
suspicious	mistænkelig	Pakken så mistænkelig ud.
sustain	opretholde	Projektet kan opretholde lokale arbejdspladser.
swing	svinge	Døren begyndte at svinge.
sword	et sværd	Sværdet hang på væggen.
symbolic	symbolsk	Gestussen var symbolsk.
syndrome	et syndrom	Syndromet påvirker hukommelsen.
synthesis	en syntese	Kapitlet tilbyder en syntese.
systematic	systematisk	Gennemgangen var systematisk.
tactic	en taktik	Taktikken mislykkedes hurtigt.
tactical	taktisk	Holdet foretog en taktisk ændring.
taxpayer	en skatteyder	Skatteydernes penge finansierede broen.
tempt	friste	Tilbuddet kan friste investorer.
tenant	en lejer	Lejeren betalte husleje tidligt.
tender	øm	Hun gav et ømt smil.
tenure	en embedsperiode	Hans embedsperiode varede i seks år.
terminal	uhelbredelig	Patienten havde en uhelbredelig sygdom.
terminate	opsige	Virksomheden kan opsige kontrakten.
terrain	et terræn	Terrænet var vanskeligt.
terrific	fantastisk	Udsigten var fantastisk.
testify	vidne	Hun indvilligede i at vidne.
testimony	et vidneudsagn	Hans vidneudsagn var detaljeret.
texture	en tekstur	Stoffet har en ru tekstur.
thankfully	heldigvis	Heldigvis kom ingen til skade.
theatrical	teatralsk	Talen lød teatralsk.
theology	en teologi	Han studerede teologi på universitetet.
theoretical	teoretisk	Modellen er rent teoretisk.
thereafter	derefter	Derefter ændrede reglerne sig.
thereby	dermed	Ændringen reducerede omkostningerne og reddede dermed arbejdspladser.
thoughtful	gennemtænkt	Hendes svar var gennemtænkt.
thought-provoking	tankevækkende	Artiklen var tankevækkende.
thread	en tråd	Tråden knækkede let.
threshold	en tærskel	Afstemningen krydsede tærsklen.
thrilled	begejstret	Hun var begejstret over nyheden.
thrive	trives	Små virksomheder kan trives her.
tide	et tidevand	Tidevandet steg hurtigt.
tighten	stramme	Stram låget godt.
timber	et tømmer	Huset bruger lokalt tømmer.
timely	betimelig	Advarslen kom i rette tid.
tobacco	en tobak	Tobakssalget faldt.
tolerance	en tolerance	Politikken opmuntrer til tolerance.
tolerate	tolerere	Vi kan ikke tolerere misbrug.
toll	en pris	Stormen krævede en høj pris.
top	slå	Salget kan slå sidste års rekord.
torture	en tortur	Traktaten forbyder tortur absolut.
