source_headword	NO	example_NO
discourse	en diskurs	Offentlig diskurs ble mer høflig.
discretion	et skjønn	Bruk skjønn i sensitive saker.
discrimination	en diskriminering	Loven forbyr diskriminering ved ansettelser.
dismissal	en avskjedigelse	Avskjedigelsen hans forårsaket offentlig sinne.
displace	å fortrenge	Krigen kan fortrenge tusenvis.
disposal	en avhending	Avfallshåndtering er fortsatt et lokalt problem.
dispose	å kvitte seg med	Selskapet må kvitte seg med kjemikalier på en trygg måte.
dispute	en tvist	Tvisten varte i måneder.
disrupt	å forstyrre	Støy kan forstyrre konsentrasjonen.
disruption	en forstyrrelse	Streiken forårsaket stor forstyrrelse.
dissolve	å løse opp	Sukker vil løse seg opp i varm te.
distinction	en forskjell	Forskjellen mellom dem er viktig.
distinctive	særegen	Hun har en særegen stemme.
distort	å forvrenge	Speilet kan forvrenge speilbildet ditt.
distress	en nød	Samtalen forårsaket alvorlig nød.
disturbing	urovekkende	Dokumentaren viste urovekkende scener.
divert	å omdirigere	Politiet måtte omdirigere trafikken.
divine	guddommelig	Kapellet har en guddommelig atmosfære.
doctrine	en lære	Partiet forkastet den gamle læren.
documentation	en dokumentasjon	Fullfør dokumentasjonen før lansering.
domain	et domene	Nettstedet bruker et sikkert domene.
dominance	en dominans	Lagets dominans varte i et tiår.
donor	en donor	Donoren ga blod i dag.
dose	en dose	Ta en dose etter frokost.
drain	å drenere	Vannet vil drenere ut i elven.
drift	å drive	Røyken begynte å drive over veien.
driving	drivende	Regn var den drivende faktoren bak forsinkelsene.
drown	å drukne	Svøm aldri der strømmer kan drukne deg.
dual	dobbel	Enheten har en dobbel funksjon.
dub	å kalle	Kritikere kaller byen en kulturhovedstad.
dumb	dum	Det var en dum feil.
duo	en duo	Komiduoen turnerte i Europa.
eager	ivrig	Studentene var ivrige etter å begynne.
earnings	en inntjening	Selskapets inntekter steg kraftig.
ease	å lette	Den nye veien vil lette trafikken.
echo	å gi ekko	Stemmen hennes ga ekko i hallen.
ecological	økologisk	Den økologiske påvirkningen er fortsatt usikker.
educator	en lærer	Læreren designet et nytt kurs.
effectiveness	en effektivitet	Studien målte vaksinens effektivitet.
efficiency	en effektivitet	Bedre programvare forbedret effektiviteten.
ego	et ego	Hans ego forårsaket problemer på jobben.
elaborate	forseggjort	Det forseggjorte kostymet tok uker.
electoral	valgmessig	Valgsystemet endret seg i fjor.
elevate	å heve	Prisen vil heve profilen hennes.
eligible	kvalifisert	Bare innbyggere er kvalifiserte for rabatter.
elite	en elite	Eliten trente ved et privat akademi.
embark	å begi seg ut	De vil begi seg ut på en lang reise.
embarrassment	en forlegenhet	Han lo for å skjule forlegenheten sin.
embassy	en ambassade	Ambassaden utstedte nye reiseråd.
embed	å bygge inn	Journalisten vil bli bygd inn i enheten.
embody	å legemliggjøre	Statuen ser ut til å legemliggjøre mot.
emergence	en fremvekst	Fremveksten av telefoner endret dagliglivet.
empirical	empirisk	Artikkelen bygger på empirisk bevis.
empower	å styrke	Utdanning kan styrke lokalsamfunn.
enact	å vedta	Parlamentet stemte for å vedta reformen.
encompass	å omfatte	Kurset vil omfatte moderne historie.
encouragement	en oppmuntring	Hennes oppmuntring hjalp ham med å fortsette.
encouraging	oppmuntrende	De tidlige resultatene ser oppmuntrende ut.
endeavour	en innsats	Redningen var en vanskelig innsats.
endless	uendelig	Ørkenen virket uendelig.
endorse	å støtte	Fagforeningen nektet å støtte kandidaten.
endorsement	en støtte	Hans støtte ga kampanjen hennes et løft.
endure	å tåle	Planter kan tåle harde vintre.
enforce	å håndheve	Politiet håndhever fartsgrensen.
enforcement	en håndhevelse	Strengere håndhevelse reduserte ulovlig dumping.
engagement	et engasjement	Studentenes engasjement ble bedre dette semesteret.
engaging	engasjerende	Taleren ga et engasjerende foredrag.
enquire	å forhøre seg	Vennligst forhør deg i resepsjonen.
enrich	å berike	Reise kan berike forståelsen din.
enrol	å melde seg på	Studenter må melde seg på før september.
ensue	å følge	Kaos kan følge etter kunngjøringen.
enterprise	en bedrift	Bedriften ansetter lokale kunstnere.
enthusiast	en entusiast	Hver sykkelentusiast kjenner denne ruten.
entitle	å gi rett til	Billetten vil gi deg rett til inngang.
entity	en enhet	Selskapet er en egen juridisk enhet.
epidemic	en epidemi	Epidemien spredte seg over flere regioner.
equality	en likestilling	Bevegelsen kjempet for likestilling.
equation	en ligning	Ligningen inneholder to ukjente.
erect	å reise	Arbeiderne vil reise et nytt gjerde.
escalate	å eskalere	Konflikten kan eskalere raskt.
essence	en essens	Diktet fanger barndommens essens.
establishment	et etablissement	Etablissementet motsatte seg reformen.
eternal	evig	De lovet hverandre evig vennskap.
evacuate	å evakuere	Brannmenn hjalp beboerne med å evakuere trygt.
evoke	å fremkalle	Sangen kan fremkalle sterke minner.
evolutionary	evolusjonær	Fossilet viser en evolusjonær endring.
exaggerate	å overdrive	Ikke overdriv erfaringen din.
excellence	en fortreffelighet	Skolen belønner akademisk fortreffelighet.
exceptional	eksepsjonell	Hun viste eksepsjonell dyktighet.
excess	et overskudd	Overskuddsvannet oversvømte kjelleren.
exclusion	en ekskludering	Sosial ekskludering skader unge mennesker.
exclusive	eksklusiv	Klubben tilbyr eksklusiv tilgang.
exclusively	utelukkende	Dette rommet brukes utelukkende av ansatte.
execute	å utføre	Teamet vil utføre planen nøye.
execution	en utførelse	Utførelsen av strategien tok måneder.
exert	å utøve	Du må utøve mer press.
exile	et eksil	Forfatteren levde i eksil.
expenditure	en utgift	Offentlige utgifter økte i fjor.
experimental	eksperimentell	Behandlingen er fortsatt eksperimentell.
expire	å utløpe	Passet mitt vil utløpe snart.
explicit	eksplisitt	Instruksjonene var eksplisitte.
explicitly	eksplisitt	Reglene forbyr eksplisitt røyking.
exploitation	en utnyttelse	Rapporten avslørte utnyttelse av arbeidere.
explosive	eksplosiv	Den eksplosive enheten ble trygt fjernet.
extremist	en ekstremist	Ekstremistgruppen mistet støtte.
facilitate	å tilrettelegge	Appen vil tilrettelegge for fjernundervisning.
faction	en fraksjon	Én fraksjon motsatte seg lederen.
faculty	et fakultet	Fakultetet godkjente forslaget.
fade	å falme	Malingen vil falme i sollys.
fairness	en rettferdighet	Rettferdighet er viktig i enhver konkurranse.
fatal	fatal	Ulykken forårsaket fatale skader.
fate	en skjebne	Ingen visste hans skjebne.
favourable	gunstig	Anmeldelsen var gunstig.
feat	en bragd	Å klatre den toppen var en bragd.
feminist	feministisk	Den feministiske bevegelsen endret den offentlige debatten.
fibre	en fiber	Dette brødet inneholder ekstra fiber.
fierce	voldsom	Den voldsomme stormen skadet tak.
film-maker	en filmskaper	Filmskaperen svarte på spørsmål i etterkant.
filter	et filter	Filteret fjerner støv fra luften.
fine	en bot	Selskapet betalte en bot.
firearm	et skytevåpen	Betjenten fant et stjålet skytevåpen.
fit	en passform	De nye skoene har en perfekt passform.
fixture	et fast inventar	Lampen er et fast inventar.
flaw	en feil	Designet har én alvorlig feil.
flawed	mangelfull	Den mangelfulle studien ga falske resultater.
flee	flykte	Familiene måtte flykte fra kampene.
fleet	en flåte	Flyselskapet fornyet flåten sin.
flesh	et kjøtt	Tornen stakk hull på kjøttet hans.
flexibility	en fleksibilitet	Hjemmekontor gir mer fleksibilitet.
flourish	blomstre	Små bedrifter kan blomstre her.
fluid	en væske	Drikk rikelig med væske etter trening.
footage	et opptak	Opptaket viste krasjet.
foreigner	en utlending	Skjemaet spør om du er en utlending.
forge	inngå	De prøvde å inngå en ny allianse.
formula	en formel	Formelen løste problemet.
formulate	formulere	Forskere formulerer en ny teori.
forth	fram	Elven førte båten fram.
forthcoming	kommende	Den kommende rapporten vil forklare alt.
foster	fremme	Programmet bidrar til å fremme uavhengighet.
fragile	skjør	Den skjøre vasen krever forsiktig håndtering.
franchise	en franchise	Restauranten ble en global franchise.
frankly	ærlig talt	Ærlig talt trenger vi mer tid.
frustrated	frustrert	Arbeiderne følte seg frustrerte over forsinkelsen.
frustrating	frustrerende	Den trege tilkoblingen var frustrerende.
frustration	en frustrasjon	Frustrasjonen vokste under møtet.
functional	funksjonell	Det gamle kjøkkenet er fortsatt funksjonelt.
fundraising	en pengeinnsamling	Pengeinnsamlingen begynner neste uke.
funeral	en begravelse	Begravelsen fant sted på fredag.
gallon	en gallon	Tanken rommer en gallon.
gambling	et pengespill	Pengespill er begrenset ved lov.
gathering	en samling	Samlingen endte fredelig.
gaze	et blikk	Hun holdt blikket hans et øyeblikk.
gear	et utstyr	Pakk sikkerhetsutstyret før du klatrer.
generic	generisk	Den generiske versjonen koster mindre.
genocide	et folkemord	Folkemordet etterlot et dypt nasjonalt traume.
glance	et blikk	Han kastet et raskt blikk.
glimpse	et glimt	Jeg fikk et glimt av havet.
glorious	strålende	Laget nøt en strålende seier.
glory	en ære	Hun drømte om olympisk ære.
governance	en styring	God styring krever åpenhet.
grace	en verdighet	Hun godtok tapet med verdighet.
grasp	forstå	Han klarte ikke å forstå konseptet.
grave (for dead person)	en grav	Graven var dekket med blomster.
grave (serious)	alvorlig	Situasjonen er fortsatt alvorlig.
gravity	en tyngdekraft	Tyngdekraften trekker gjenstander mot jorden.
grid	et rutenett	Kartet bruker et enkelt rutenett.
grief	en sorg	Sorgen forandret hele familien hans.
grin	et glis	Gutten ga et bredt glis.
grind	male	Arbeiderne maler bønnene hver morgen.
grip	et grep	Hold et fast grep om tauet.
gross	brutto	Bruttoinntekten steg kraftig.
guerrilla	en gerilja	Geriljakrigere gjemte seg i åsene.
guidance	en veiledning	Guiden gir praktisk veiledning.
guilt	en skyldfølelse	Hun følte skyldfølelse etter å ha løyet.
gut	en magefølelse	Stol på magefølelsen i vanskelige valg.
hail	hylle	Landsbyboerne hyller legen som en helt.
halfway	halvveis	Vi stoppet halvveis oppe i bakken.
halt	en stopp	Toget kom til en brå stopp.
handful	en håndfull	En håndfull frivillige ble igjen til sent.
handling	en håndtering	Riktig håndtering forhindrer skade.
handy	praktisk	Dette verktøyet er praktisk for reparasjoner.
harassment	en trakassering	Selskapet etterforsket klager på trakassering.
hardware	en maskinvare	Butikken selger maskinvare.
harmony	en harmoni	Koret sang i perfekt harmoni.
harsh	streng	Dommeren ga en streng straff.
harvest	en innhøsting	Innhøstingen begynner i september.
haunt	hjemsøke	Minnet fortsatte å hjemsøke ham.
hazard	en fare	Is er en alvorlig fare på veien.
heighten	øke	Talen kan øke spenningen.
heritage	en arv	Slottet er en del av den lokale arven.
hierarchy	et hierarki	Kontorhierarkiet er tydelig definert.
high-profile	høyt profilert	Den høyt profilerte rettssaken tiltrakk seg journalister.
hint	et hint	Hun ga meg et nyttig hint.
homeland	et hjemland	Han vendte tilbake til hjemlandet sitt.
hopeful	håpefull	Legene er håpefulle med tanke på bedring.
horizon	en horisont	Solen forsvant under horisonten.
horn	et horn	Bilhornet vekket alle.
hostage	et gissel	Gisselet kom hjem.
hostile	fiendtlig	Mengden ble fiendtlig.
hostility	en fiendtlighet	Åpen fiendtlighet avsluttet samtalene.
humanitarian	humanitær	Den humanitære operasjonen leverte mat.
humanity	en menneskehet	Menneskeheten står overfor felles utfordringer.
humble	ydmyk	Hun forble ydmyk etter suksessen.
hydrogen	et hydrogen	Hydrogen brenner veldig lett.
identification	en legitimasjon	Legitimasjon kreves ved inngangen.
ideological	ideologisk	Tvisten hadde ideologiske røtter.
ideology	en ideologi	Hans ideologi formet hver tale.
idiot	en idiot	Ikke kall noen for en idiot.
ignorance	en uvitenhet	Uvitenhet kan spre frykt.
imagery	et bildespråk	Diktet bruker levende bildespråk.
immense	enorm	Prosjektet krevde en enorm innsats.
imminent	overhengende	En storm virket overhengende.
implementation	en implementering	Implementeringen av loven gikk tregt.
imprison	fengsle	Regimet prøvde å fengsle kritikere.
imprisonment	en fengselstraff	Hans fengselstraff varte i fem år.
inability	en manglende evne	Hennes manglende evne til å fokusere bekymret lærerne.
inadequate	utilstrekkelig	Tilfluktsrommet hadde utilstrekkelig oppvarming.
inappropriate	upassende	Vitsen hans var upassende.
incidence	en forekomst	Forekomsten av influensa økte.
inclined	tilbøyelig	Hun er tilbøyelig til å være enig.
inclusion	en inkludering	Skolen fremmer inkludering.
