source_headword	MY	example_MY
leaflet	လက်ကမ်းစာစောင်	လက်ကမ်းစာစောင်သည် ဝန်ဆောင်မှုအကြောင်းကို ရှင်းပြထားသည်။
legend	ဒဏ္ဍာရီ	ဒဏ္ဍာရီသည် ဖုံးကွယ်ထားသောမြို့အကြောင်းကို ပြောပြသည်။
lens	မှန်ဘီလူး	ကင်မရာမှန်ဘီလူးကို ဂရုတစိုက် သန့်ရှင်းပါ။
lifetime	တစ်သက်တာ	သူသည် တစ်သက်တာလုံး ငွေစုခဲ့သည်။
lighting	အလင်းရောင်	ကောင်းမွန်သောအလင်းရောင်က အခန်းကို ပိုမိုကောင်းမွန်စေသည်။
likewise	အလားတူပင်	သူမပြုံးပြပြီး သူကလည်း အလားတူပင် လုပ်ခဲ့သည်။
limitation	ကန့်သတ်ချက်	စီမံကိန်းတွင် ကန့်သတ်ချက်တစ်ခုရှိသည်။
literally	တကယ်ကို	သူမသည် ဘတ်စ်ကားဆီသို့ တကယ်ကို ပြေးသွားခဲ့သည်။
literary	စာပေဆိုင်ရာ	ပွဲတော်သည် စာပေဆိုင်ရာလက်ရာကို ဂုဏ်ပြုသည်။
litre	လီတာ	နွားနို့တစ်လီတာ ဝယ်ပါ။
litter	အမှိုက်	အမှိုက်မပစ်ပါနဲ့။
logo	အမှတ်တံဆိပ်	အမှတ်တံဆိပ်သည် စာမျက်နှာတိုင်းတွင် ပေါ်နေသည်။
lottery	ထီ	သူသည် ထီဆုအသေးလေးတစ်ခု ပေါက်ခဲ့သည်။
loyal	သစ္စာရှိသော	ခွေးသည် ၎င်း၏ပိုင်ရှင်အပေါ် သစ္စာရှိသည်။
lyric	သီချင်းစာသား	သီချင်းစာသားသည် အဓိကအကြောင်းအရာကို ထပ်ခါတလဲလဲ ဖော်ပြသည်။
magnificent	ခမ်းနားထည်ဝါသော	နန်းတော်သည် ခမ်းနားထည်ဝါပုံပေါ်သည်။
make-up	မိတ်ကပ်	သူမသည် ရိုးရှင်းသော မိတ်ကပ်ကို လိမ်းထားသည်။
making	ဖန်တီးမှု	ရုပ်ရှင်ဖန်တီးမှုသည် ခက်ခဲခဲ့သည်။
manufacture	ထုတ်လုပ်သည်	စက်ရုံသည် ဖုန်းများကို ထုတ်လုပ်မည်ဖြစ်သည်။
manufacturing	ကုန်ထုတ်လုပ်မှု	ကုန်ထုတ်လုပ်မှုအလုပ်အကိုင်များသည် ဒေသတွင်း၌ တိုးပွားလာသည်။
marathon	မာရသွန်ပြေးပွဲ	သူမသည် မာရသွန်ပြေးပွဲကို ပြီးဆုံးခဲ့သည်။
margin	ဘေးအနားသတ်	ဘေးအနားသတ်တွင် မှတ်စုများကို ရေးပါ။
marker	မာကာပင်	အညွှန်းအတွက် မာကာပင်ကို သုံးပါ။
martial	သိုင်းပညာဆိုင်ရာ	သူသည် သိုင်းပညာကို လေ့လာသည်။
mate	သူငယ်ချင်း	ကျွန်တော့်ကျောင်းနေဖက်ဟောင်းက မနေ့က ဖုန်းဆက်ခဲ့သည်။
mayor	မြို့တော်ဝန်	မြို့တော်ဝန်သည် စာကြည့်တိုက်ကို ဖွင့်လှစ်ခဲ့သည်။
mechanic	စက်ပြင်ဆရာ	စက်ပြင်ဆရာသည် ဘတ်စ်ကားကို ပြင်ဆင်ခဲ့သည်။
mechanical	စက်ပိုင်းဆိုင်ရာ	နာရီတွင် စက်ပိုင်းဆိုင်ရာချို့ယွင်းချက်တစ်ခုရှိသည်။
mechanism	ယန္တရား	သော့ခတ်သည့်ယန္တရားသည် ရိုးရှင်းပါသည်။
medal	ဆုတံဆိပ်	သူမသည် ရွှေတံဆိပ်တစ်ခု ရရှိခဲ့သည်။
medication	ဆေးဝါး	ဆေးကို ရေနှင့် သောက်ပါ။
membership	အသင်းဝင်ခြင်း	အားကစားခန်းမ အသင်းဝင်ခြင်းသည် အွန်လိုင်းတွင် ကုန်ကျစရိတ်သက်သာသည်။
memorable	အမှတ်ရစရာကောင်းသော	ခရီးစဉ်သည် အမှတ်ရစရာကောင်းခဲ့သည်။
metaphor	တင်စားချက်	ကဗျာသည် အားကောင်းသော တင်စားချက်ကို အသုံးပြုထားသည်။
miner	သတ္တုတွင်းလုပ်သား	သတ္တုတွင်းလုပ်သားသည် မြေအောက်တွင် အလုပ်လုပ်ခဲ့သည်။
miserable	ဆင်းရဲဒုက္ခရောက်သော	မိုးရွာသဖြင့် ပျော်ပွဲစားထွက်ခြင်းမှာ စိတ်ပျက်စရာဖြစ်ခဲ့သည်။
mode	စနစ်	ကင်မရာကို ညဘက်စနစ်သို့ ပြောင်းပါ။
modest	သင့်တင့်သော	သူတို့သည် သင့်တင့်သော အိမ်တစ်လုံးတွင် နေထိုင်ကြသည်။
monster	ဘီလူး	ဇာတ်လမ်းတွင် ကြောက်စရာကောင်းသော ဘီလူးတစ်ကောင် ပါဝင်သည်။
monthly	လစဉ်	ကျွန်ုပ်တို့သည် အိမ်လခကို လစဉ်ပေးသည်။
monument	အထိမ်းအမှတ်ကျောက်တိုင်	အထိမ်းအမှတ်ကျောက်တိုင်သည် မြစ်နားတွင် ရှိသည်။
moreover	ထို့ပြင်	ထို့ပြင် အစီအစဉ်သည် ငွေကုန်ကြေးကျ သက်သာစေသည်။
mortgage	အိမ်ရာချေးငွေ	သူတို့သည် အိမ်ရာချေးငွေ လျှောက်ထားခဲ့ကြသည်။
mosque	ဗလီ	ဗလီသည် ဈေးအနီးတွင် ရှိသည်။
motion	ရွေ့လျားမှု	အာရုံခံကိရိယာသည် ရွေ့လျားမှုကို ထောက်လှမ်းပေးသည်။
motivate	စိတ်အားထက်သန်စေသည်	ချီးကျူးမှုသည် ကျောင်းသားများကို စိတ်အားထက်သန်စေနိုင်သည်။
motivation	စိတ်အားထက်သန်မှု	သူမ၏ စိတ်အားထက်သန်မှုမှာ ဆက်လက် အားကောင်းနေဆဲဖြစ်သည်။
moving	စိတ်လှုပ်ရှားဖွယ်ကောင်းသော	မိန့်ခွန်းသည် စိတ်လှုပ်ရှားဖွယ်ကောင်းခဲ့သည်။
myth	ဒဏ္ဍာရီ	ဒဏ္ဍာရီသည် တောင်၏အမည်ကို ရှင်းပြထားသည်။
naked	ကိုယ်တုံးလုံး	ကလေးသည် ရေချိုးပြီးနောက် ကိုယ်တုံးလုံးဖြစ်နေသည်။
nasty	ဆိုးရွားသော	ဒဏ်ရာမှာ ဆိုးရွားပုံရသည်။
navigation	လမ်းညွှန်မှု	အက်ပ်သည် လမ်းညွှန်မှုကို ပိုမိုကောင်းမွန်စေသည်။
nearby	အနီးအနားရှိ	အနီးအနားရှိ ကော်ဖီဆိုင်သည် စောစောဖွင့်သည်။
necessity	မရှိမဖြစ်လိုအပ်ချက်	သန့်ရှင်းသောရေသည် မရှိမဖြစ်လိုအပ်ချက်တစ်ခုဖြစ်သည်။
negotiate	ညှိနှိုင်းသည်	သူတို့သည် စာချုပ်ကို မနက်ဖြန်တွင် ညှိနှိုင်းကြမည်။
negotiation	ညှိနှိုင်းမှု	ညှိနှိုင်းမှုသည် မနက်ခင်းတစ်လျှောက်လုံး ကြာမြင့်ခဲ့သည်။
neutral	ဘက်မလိုက်သော	တရားသူကြီးသည် ဘက်မလိုက်ဘဲ နေခဲ့သည်။
newly	အသစ်တဖန်	အသစ်ဆေးသုတ်ထားသော တံခါးသည် တောက်ပနေသည်။
norm	ပုံမှန်အခြေအနေ	အဝေးမှအလုပ်လုပ်ခြင်းသည် ပုံမှန်အခြေအနေဖြစ်လာသည်။
notebook	မှတ်စုစာအုပ်	မှတ်စုများကို သင့်မှတ်စုစာအုပ်တွင် ရေးပါ။
novelist	ဝတ္ထုရေးဆရာ	ဝတ္ထုရေးဆရာသည် သူမ၏စာအုပ်ကို လက်မှတ်ရေးထိုးပေးခဲ့သည်။
nowadays	ယခုခေတ်တွင်	ယခုခေတ်တွင် လူအများစုသည် အွန်လိုင်းမှ အလုပ်လုပ်ကြသည်။
nursing	သူနာပြုပညာ	သူမသည် သူနာပြုပညာကို သင်ယူနေသည်။
nutrition	အာဟာရ	ကောင်းမွန်သော အာဟာရသည် ကျန်းမာရေးကို အထောက်အကူပြုသည်။
obesity	အဝလွန်ခြင်း	အဝလွန်ခြင်းသည် ကျန်းမာရေးအန္တရာယ်များကို တိုးစေသည်။
observer	လေ့လာစောင့်ကြည့်သူ	လေ့လာစောင့်ကြည့်သူသည် ရလဒ်များကို မှတ်တမ်းတင်ခဲ့သည်။
obstacle	အတားအဆီး	လဲကျနေသောသစ်ပင်သည် အတားအဆီးတစ်ခု ဖြစ်ခဲ့သည်။
occupation	အလုပ်အကိုင်	ကျေးဇူးပြု၍ သင့်အလုပ်အကိုင်ကို ဤနေရာတွင် ရေးပါ။
occupy	နေရာယူသည်	မိသားစုသည် တိုက်ခန်းတွင် နေရာယူမည်ဖြစ်သည်။
offender	ပြစ်မှုကျူးလွန်သူ	ပြစ်မှုကျူးလွန်သူသည် တရားရုံးတွင် တောင်းပန်ခဲ့သည်။
ongoing	ဆက်လက်ဖြစ်ပေါ်နေသော	စုံစမ်းစစ်ဆေးမှုမှာ ဆက်လက်ဖြစ်ပေါ်နေသည်။
openly	ပွင့်ပွင့်လင်းလင်း	သူမသည် သူမ၏ အကြောက်တရားများအကြောင်းကို ပွင့်ပွင့်လင်းလင်း ပြောဆိုခဲ့သည်။
opera	အော်ပရာ	ကျွန်ုပ်တို့သည် မီလန်တွင် အော်ပရာတစ်ပွဲကို ကြည့်ခဲ့သည်။
operator	အော်ပရေတာ	အော်ပရေတာသည် ဖုန်းခေါ်ဆိုမှုကို ချိတ်ဆက်ပေးခဲ့သည်။
optimistic	အကောင်းမြင်သော	သူမသည် အနာဂတ်အတွက် အကောင်းမြင်သည်။
orchestra	တီးဝိုင်း	တီးဝိုင်းသည် ညင်သာစွာ တီးခတ်ခဲ့သည်။
organic	သဘာဝအော်ဂဲနစ်	သူတို့သည် သဘာဝအော်ဂဲနစ် ဟင်းသီးဟင်းရွက်များကို ဝယ်ယူခဲ့ကြသည်။
outfit	ဝတ်စုံ	သူမ၏ဝတ်စုံသည် အခမ်းအနားနှင့် လိုက်ဖက်သည်။
output	ထုတ်ကုန်	စက်၏ ထုတ်ကုန်များလာသည်။
outstanding	ထူးချွန်သော	သူ၏ စွမ်းဆောင်ရည်သည် ထူးချွန်သည်။
overcome	ကျော်လွှားသည်	သူတို့သည် ပြဿနာများကို အတူတကွ ကျော်လွှားကြသည်။
overnight	ညတွင်းချင်း	ပါဆယ်ထုပ်သည် ညတွင်းချင်း ရောက်လာသည်။
overseas	နိုင်ငံခြား	သူသည် နိုင်ငံခြားတွင် အလုပ်ရှာတွေ့ခဲ့သည်။
ownership	ပိုင်ဆိုင်မှု	မြေယာပိုင်ဆိုင်မှု ပြောင်းလဲသွားသည်။
oxygen	အောက်ဆီဂျင်	အပင်များသည် အောက်ဆီဂျင်ကို ထုတ်လုပ်ပေးသည်။
packet	အထုပ်	အထုပ်ကို ဂရုတစိုက်ဖွင့်ပါ။
palm	လက်ဝါး	အကြွေစေ့ကို သင့်လက်ဝါးတွင် ကိုင်ထားပါ။
panic	အထိတ်တလန့်ဖြစ်ခြင်း	လူအုပ်ကြားတွင် အထိတ်တလန့်ဖြစ်ခြင်း ပျံ့နှံ့သွားသည်။
parade	စီတန်းလှည့်လည်ပွဲ	စီတန်းလှည့်လည်ပွဲသည် မွန်းတည့်ချိန်တွင် စတင်ခဲ့သည်။
parallel	မျဉ်းပြိုင်	လမ်းများသည် မျဉ်းပြိုင် သွားနေသည်။
participation	ပါဝင်မှု	အတန်းထဲတွင် ပါဝင်မှု တိုးတက်လာသည်။
partnership	မိတ်ဖက်	မိတ်ဖက်ဖြစ်ခြင်းက ကုမ္ပဏီနှစ်ခုစလုံးကို အထောက်အကူပြုခဲ့သည်။
part-time	အချိန်ပိုင်း	သူမသည် အချိန်ပိုင်းအလုပ်တစ်ခုကို ရှာတွေ့ခဲ့သည်။
passionate	စိတ်အားထက်သန်သော	သူသည် ဂီတကို စိတ်အားထက်သန်သည်။
password	စကားဝှက်	လုံခြုံသော စကားဝှက်တစ်ခုကို ရွေးချယ်ပါ။
patience	သည်းခံခြင်း	ကလေးငယ်များကို သင်ကြားရန် သည်းခံခြင်း လိုအပ်သည်။
pause	ခဏရပ်သည်	ဗီဒီယိုကို ယခု ခဏရပ်ပါ။
peer	ရွယ်တူ	ရွယ်တူများ၏ ဖိအားပေးမှုက သူ၏ ရွေးချယ်မှုကို လွှမ်းမိုးခဲ့သည်။
penalty	ပြစ်ဒဏ်	ကစားသမားသည် ပြစ်ဒဏ်တစ်ခု ရရှိခဲ့သည်။
perceive	သဘောပေါက်သည်	လူတို့သည် အန္တရာယ်ကို ကွဲပြားစွာ သဘောပေါက်ကြသည်။
perception	အမြင်	အန္တရာယ်အပေါ် သူ၏အမြင် ပြောင်းလဲသွားသည်။
permanently	အမြဲတမ်း	စတိုးဆိုင်ကို အမြဲတမ်း ပိတ်လိုက်သည်။
pill	ဆေးပြား	နံနက်စာစားပြီးနောက် ဆေးတစ်ပြား သောက်ပါ။
pity	သနားစရာ	၎င်းမှာ သနားစရာကောင်းပါသည်။
placement	နေရာချထားမှု	ဆိုဖာ နေရာချထားမှုသည် အရေးကြီးပါသည်။
portion	အပိုင်းအစ	ထမင်း အနည်းငယ်မျှသာ တည်ခင်းပါ။
potentially	ဖြစ်နိုင်ခြေရှိသော	ဤအပြောင်းအလဲသည် အသုံးဝင်နိုင်ခြေရှိသည်။
precede	ဦးဆောင်သည်	တိမ်မည်းများသည် မိုးမရွာမီ အရင်ဖြစ်ပေါ်လေ့ရှိသည်။
precious	တန်ဖိုးကြီးသော	လက်စွပ်သည် တန်ဖိုးကြီးသည်။
precise	တိကျသော	ညွှန်ကြားချက်များသည် တိကျပါသည်။
precisely	တိကျစွာ	အကွာအဝေးကို တိကျစွာ တိုင်းတာပါ။
predictable	ခန့်မှန်းနိုင်သော	ဇာတ်သိမ်းကို ခန့်မှန်းနိုင်ပါသည်။
preference	ဦးစားပေးမှု	သူမသည် လက်ဖက်ရည်ကို ပိုမိုနှစ်သက်ကြောင်း ဖော်ပြခဲ့သည်။
pride	ဂုဏ်ယူမှု	ပြီးဆုံးသွားပြီးနောက် သူ ဂုဏ်ယူမှုကို ခံစားခဲ့ရသည်။
primarily	အဓိကအားဖြင့်	သင်တန်းသည် အဓိကအားဖြင့် အွန်လိုင်းတွင်ဖြစ်သည်။
principal	ကျောင်းအုပ်ကြီး	ကျောင်းအုပ်ကြီးသည် ကျောင်းသားသစ်များကို နှုတ်ဆက်ခဲ့သည်။
prior	ကြိုတင်	ကျွန်ုပ်တို့သည် ကြိုတင် ခွင့်ပြုချက် လိုအပ်ပါသည်။
probability	ဖြစ်နိုင်ခြေ	မိုးရွာရန် ဖြစ်နိုင်ခြေ မြင့်မားသည်။
probable	ဖြစ်နိုင်သော	ယနေ့ည မိုးရွာရန် ဖြစ်နိုင်သည်။
proceed	ရှေ့ဆက်သည်	ကျေးဇူးပြု၍ နောက်အခန်းသို့ ရှေ့ဆက်ပါ။
programming	ပရိုဂရမ်ရေးဆွဲခြင်း	ပရိုဂရမ်ရေးဆွဲခြင်းသည် လေ့ကျင့်ရန် လိုအပ်သည်။
progressive	တိုးတက်သော	မူဝါဒသည် ၎င်း၏အချိန်အတွက် တိုးတက်မှုရှိခဲ့သည်။
prohibit	တားမြစ်သည်	စည်းမျဉ်းများသည် ဆေးလိပ်သောက်ခြင်းကို တားမြစ်ထားသည်။
promising	အလားအလာကောင်းသော	ရလဒ်များသည် အလားအလာကောင်းပုံရသည်။
promotion	ရာထူးတိုးခြင်း	သူမသည် အလုပ်တွင် ရာထူးတိုးခဲ့သည်။
prompt	လျင်မြန်သော	လျင်မြန်သော တုံ့ပြန်မှုက အချိန်ကို သက်သာစေခဲ့သည်။
proportion	အချိုးအစား	ကြီးမားသော အချိုးအစားဖြင့် ထောက်ခံမဲပေးခဲ့ကြသည်။
protein	ပရိုတင်း	ပဲများတွင် ပရိုတင်း ပါဝင်သည်။
protester	ဆန္ဒပြသူ	ဆန္ဒပြသူသည် ဆိုင်းဘုတ်တစ်ခုကို ကိုင်ဆောင်ထားသည်။
psychological	စိတ်ပိုင်းဆိုင်ရာ	မတော်တဆမှုသည် စိတ်ပိုင်းဆိုင်ရာ ဖိစီးမှုကို ဖြစ်စေခဲ့သည်။
publicity	လူသိရှင်ကြားဖြစ်ခြင်း	ပွဲသည် လူသိရှင်ကြားဖြစ်ခဲ့သည်။
publishing	စာအုပ်ထုတ်ဝေခြင်း	သူမသည် စာအုပ်ထုတ်ဝေရေးတွင် အလုပ်လုပ်သည်။
punk	ပန့်ခ်	ထိုနေရာတွင် ပန့်ခ်ဂီတသည် ရေပန်းစားလာခဲ့သည်။
purely	သီးသန့်	ရွေးချယ်မှုသည် လက်တွေ့ကျမှုသီးသန့်ဖြစ်သည်။
pursuit	လိုက်လံရှာဖွေခြင်း	သူသည် တရားမျှတမှုကို ဆက်လက်ရှာဖွေခဲ့သည်။
puzzle	ပဟေဠိ	ပဟေဠိအတွက် တစ်နာရီကြာခဲ့သည်။
questionnaire	မေးခွန်းလွှာ	ကျေးဇူးပြု၍ မေးခွန်းလွှာကို ဖြည့်စွက်ပါ။
racial	လူမျိုးရေးဆိုင်ရာ	အစီရင်ခံစာတွင် လူမျိုးရေးမညီမျှမှုအကြောင်း ဆွေးနွေးထားသည်။
racism	လူမျိုးရေးခွဲခြားမှု	လူမျိုးရေးခွဲခြားမှုသည် အသိုင်းအဝိုင်းများကို ထိခိုက်စေသည်။
racist	လူမျိုးရေးခွဲခြားသော	မှတ်ချက်သည် လူမျိုးရေးခွဲခြားသောအရာဖြစ်သည်။
radiation	ရေဒီယိုသတ္တိကြွမှု	ရေဒီယိုသတ္တိကြွမှုသည် ဆဲလ်များကို ပျက်စီးစေနိုင်သည်။
rail	လက်ရန်း	လှေကားပေါ်ရှိ လက်ရန်းကို ကိုင်ထားပါ။
random	ကျပန်း	ကွန်ပျူတာသည် ကျပန်းဂဏန်းတစ်ခုကို ရွေးချယ်ခဲ့သည်။
rat	ကြွက်	အမှိုက်ပုံးများအနောက်သို့ ကြွက်တစ်ကောင် ပြေးသွားသည်။
rating	အဆင့်သတ်မှတ်ချက်	ဟိုတယ်တွင် အဆင့်သတ်မှတ်ချက်မြင့်မားသည်။
reasonably	အတော်အသင့်	အခန်းသည် အတော်အသင့် သန့်ရှင်းနေသည်။
