simplified	UZ	example_UZ	KK	example_KK	AZ	example_AZ
身体	tana; sog'liq	Uning sog'lig'i yaxshi.	дене; денсаулық	Оның денсаулығы жақсы.	bədən; sağlamlıq	Onun sağlamlığı yaxşıdır.
生病	kasal bo'lmoq	U kasal bo'lib qoldi.	ауырып қалу	Ол ауырып қалды.	xəstələnmək	O xəstələndi.
生日	tug'ilgan kun	Bugun mening tug'ilgan kunim.	туған күн	Бүгін менің туған күнім.	ad günü	Bu gün mənim ad günümdür.
时间	vaqt	Menda vaqt yo'q.	уақыт	Менде уақыт жоқ.	vaxt	Mənim vaxtım yoxdur.
事情	ish; masala	Mening qiladigan ishim bor.	іс; мәселе	Менің істейтін ісім бар.	iş; məsələ	Mənim görüləcək işim var.
手表	qo'l soati	Bu qo'l soati yangi.	қолсағат	Бұл қолсағат жаңа.	qol saatı	Bu qol saatı yenidir.
手机	mobil telefon	Mobil telefonim stol ustida.	ұялы телефон	Ұялы телефоным үстелдің үстінде.	mobil telefon	Mobil telefonum stolun üstündədir.
送	yubormoq; sovg'a qilmoq	Men senga bitta kitob sovg'a qilaman.	жіберу; сыйлау	Мен саған бір кітап сыйлаймын.	göndərmək; hədiyyə etmək	Mən sənə bir kitab hədiyyə edirəm.
所以	shuning uchun	Bugun yomg'ir yog'yapti, shuning uchun men bormayman.	сондықтан	Бүгін жаңбыр жауып тұр, сондықтан мен бармаймын.	ona görə; buna görə	Bu gün yağış yağır, ona görə getmirəm.
它	u; bu	Bu mening mushugim.	ол	Бұл менің мысығым.	o	Bu mənim pişiyimdir.
踢足球	futbol o'ynamoq	Ular futbol o'ynaydi.	футбол ойнау	Олар футбол ойнайды.	futbol oynamaq	Onlar futbol oynayırlar.
题	savol; mavzu	Bu savol to'g'ri emas.	сұрақ; тақырып	Бұл сұрақ дұрыс емес.	sual; mövzu	Bu sual düzgün deyil.
跳舞	raqsga tushmoq	U raqsga tushishni yaxshi ko'radi.	би билеу	Ол би билегенді ұнатады.	rəqs etmək	O rəqs etməyi xoşlayır.
外	tashqari	U eshik tashqarisida.	сырт; сыртында	Ол есіктің сыртында.	çöl; xaric	O qapının çölündədir.
完	tugatmoq; tugamoq	Men tugatdim.	аяқтау; біту	Мен аяқтадым.	bitirmək; bitmək	Mən bitirdim.
玩	o'ynamoq; dam olmoq	Bola o'ynayapti.	ойнау	Бала ойнап жатыр.	oynamaq	Uşaq oynayır.
晚上	kechqurun; tun	Kechqurun men kino ko'raman.	кеш; түн	Кешке мен кино көремін.	axşam; gecə	Axşam filmə baxıram.
为什么	nima uchun	Nega bormayapsan?	неге	Неге бармайсың?	niyə	Niyə getmirsən?
问	so'ramoq	Men o'qituvchidan so'rayman.	сұрау	Мен мұғалімнен сұраймын.	soruşmaq	Mən müəllimdən soruşuram.
问题	savol; muammo	Menda bitta savol bor.	сұрақ; мәселе	Менде бір сұрақ бар.	sual; problem	Mənim bir sualım var.
西瓜	tarvuz	Men tarvuz yeyman.	қарбыз	Мен қарбыз жеймін.	qarpız	Mən qarpız yeyirəm.
希望	umid qilmoq; umid	Sen kelasan deb umid qilaman.	үміттену; үміт	Сен келеді деп үміттенемін.	ümid etmək; ümid	Ümid edirəm ki, sən gələcəksən.
洗	yuvmoq	Men kiyim yuvaman.	жуу	Мен киім жуамын.	yumaq	Mən paltar yuyuram.
向	tomonga	U men tomonga yuradi.	қарай	Ол маған қарай жүреді.	tərəfə	O mənə tərəf yeriyir.
小时	soat	Men ikki soat o'qiyman.	сағат	Мен екі сағат оқимын.	saat	Mən iki saat oxuyuram.
笑	kulmoq; jilmaymoq	U jilmaydi.	күлу; жымию	Ол жымиды.	gülmək; gülümsəmək	O gülümsədi.
新	yangi	Bu yangi kitob.	жаңа	Бұл жаңа кітап.	yeni	Bu yeni kitabdır.
姓	familiya	Familiyangiz nima?	тегі	Тегіңіз қандай?	soyad	Sizin soyadınız nədir?
休息	dam olmoq	Men dam olmoqchiman.	демалу	Мен демалғым келеді.	istirahət etmək	Mən istirahət etmək istəyirəm.
雪	qor	Bugun qor yog'yapti.	қар	Бүгін қар жауып тұр.	qar	Bu gün qar yağır.
颜色	rang	Menga bu rang yoqadi.	түс	Маған бұл түс ұнайды.	rəng	Mən bu rəngi xoşlayıram.
眼睛	ko'z	Uning ko'zlari katta.	көз	Оның көздері үлкен.	göz	Onun gözləri böyükdür.
羊肉	qo'y go'shti	Men qo'y go'shti yemayman.	қой еті	Мен қой етін жемеймін.	qoyun əti	Mən qoyun əti yemirəm.
药	dori	U dori ichadi.	дәрі	Ол дәрі ішеді.	dərman	O dərman içir.
要	xohlamoq; kerak	Men suv ichmoqchiman.	қалау; керек	Мен су ішкім келеді.	istəmək; lazım olmaq	Mən su içmək istəyirəm.
也	ham	Men ham boraman.	де	Мен де барамын.	də	Mən də gedirəm.
已经	allaqachon	Men allaqachon yetib keldim.	әлдеқашан	Мен әлдеқашан жеттім.	artıq	Mən artıq çatmışam.
一起	birga	Biz birga boramiz.	бірге	Біз бірге барамыз.	birlikdə	Biz birlikdə gedirik.
意思	ma'no; fikr	Bu ieroglifning ma'nosi nima?	мағына; ой	Бұл иероглифтің мағынасы қандай?	məna; fikir	Bu işarənin mənası nədir?
阴	bulutli; tund	Bugun havo bulutli.	бұлтты; түнерген	Бүгін күн бұлтты.	buludlu	Bu gün hava buludludur.
因为	chunki	Yomg'ir yog'ayotgani uchun men bormayman.	өйткені	Жаңбыр жауып тұрғандықтан, мен бармаймын.	çünki	Yağış yağdığı üçün getmirəm.
游泳	suzmoq	Men suza olaman.	жүзу	Мен жүзе аламын.	üzmək	Mən üzə bilirəm.
右边	o'ng tomon	Do'kon o'ng tomonda.	оң жақ	Дүкен оң жақта.	sağ tərəf	Mağaza sağ tərəfdədir.
鱼	baliq	Men baliq yeyman.	балық	Мен балық жеймін.	balıq	Mən balıq yeyirəm.
元	yuan; pul birligi	Bu stakan o'n yuan turadi.	юань; ақша бірлігі	Бұл кесе он юань тұрады.	yuan; pul vahidi	Bu fincan on yuandır.
远	uzoq	Aeroport uzoq.	алыс	Әуежай алыс.	uzaq	Hava limanı uzaqdır.
运动	sport; mashq	Menga mashq qilish yoqadi.	спорт; жаттығу	Маған жаттығу жасау ұнайды.	idman; məşq	Mən idman etməyi xoşlayıram.
再	yana; keyin	Men ertaga yana kelaman.	қайта; тағы	Мен ертең тағы келемін.	yənə; yenidən	Mən sabah yenə gələcəyəm.
早上	ertalab	Ertalab men choy ichaman.	таңертең	Таңертең мен шай ішемін.	səhər	Səhər mən çay içirəm.
张	yassi narsalar uchun hisob so'zi	Men bitta chipta sotib oldim.	жалпақ заттарға арналған есептік сөз	Мен бір билет сатып алдым.	yastı əşyalar üçün say sözü	Mən bir bilet aldım.
丈夫	er; turmush o'rtog'i	Uning eri shifokor.	күйеу; жұбай	Оның күйеуі дәрігер.	ər; həyat yoldaşı	Onun əri həkimdir.
找	qidirmoq	Men bitta do'st qidiryapman.	іздеу	Мен бір досымды іздеп жүрмін.	axtarmaq	Mən bir dost axtarıram.
着	davomiy holat yuklamasi	Eshik ochiq.	жалғасқан күй шылауы	Есік ашық тұр.	davam edən vəziyyət hissəciyi	Qapı açıqdır.
真	haqiqatan; chin	Bu kitob haqiqatan yaxshi.	шынымен; шын	Бұл кітап шынымен жақсы.	həqiqətən; gerçək	Bu kitab həqiqətən yaxşıdır.
正在	hozir davom etayotgan ish-harakat	U televizor ko'ryapti.	қазір болып жатқан	Ол теледидар көріп отыр.	hal-hazırda davam edən hərəkət	O televizora baxır.
知道	bilmoq	Men bilmayman.	білу	Мен білмеймін.	bilmək	Mən bilmirəm.
准备	tayyorlamoq; tayyorgarlik	Men imtihonga tayyorlanyapman.	дайындау; дайындық	Мен емтиханға дайындалып жатырмын.	hazırlamaq; hazırlıq	Mən imtahana hazırlaşıram.
自行车	velosiped	Velosipedim yangi.	велосипед	Велосипедім жаңа.	velosiped	Velosipedim yenidir.
走	yurmoq; bormoq	Men piyoda uyga boraman.	жүру; бару	Мен жаяу үйге барамын.	yerimək; getmək	Mən piyada evə gedirəm.
最	eng	U eng baland.	ең	Ол бәрінен биік.	ən	O hamıdan hündürdür.
左边	chap tomon	Maktab chap tomonda.	сол жақ	Мектеп сол жақта.	sol tərəf	Məktəb sol tərəfdədir.
