source_headword	NO	example_NO
array	et utvalg	Butikken tilbyr et utvalg av verktøy.
articulate	formulere	Hun kan formulere komplekse ideer tydelig.
ash	en aske	Aske dekket bilen etter brannen.
aspiration	en ambisjon	Hennes ambisjon er å bli kirurg.
aspire	strebe	Mange studenter streber etter å studere i utlandet.
assassination	et attentat	Attentatet forandret landets politikk.
assault	et overfall	Overfallet skjedde i nærheten av stasjonen.
assemble	montere	Arbeiderne monterer møblene for hånd.
assembly	en samling	Skolesamlingen starter klokken ni.
assert	hevde	Han prøvde å hevde sin autoritet.
assertion	en påstand	Påstanden hennes overrasket panelet.
assurance	en forsikring	Lederen ga en forsikring om støtte.
asylum	et asyl	Familien søkte om asyl på grensen.
atrocity	en grusomhet	Filmen beskrev en krigsgrusomhet.
attain	oppnå	Få løpere oppnår den hastigheten.
attendance	et oppmøte	Oppmøtet ble bedre etter kunngjøringen.
attorney	en advokat	Advokaten avhørte vitnet.
attribute	tilskrive	Forskere tilskriver økningen til forurensning.
audit	en revisjon	Revisjonen fant flere feil.
authentic	autentisk	Restauranten serverer autentisk regional mat.
authorize	godkjenne	Bare ledere kan godkjenne refusjoner.
auto	en bil	Bilindustrien endret seg raskt.
autonomy	en autonomi	Regionen ønsker større autonomi.
availability	en tilgjengelighet	Tilgjengeligheten av seter er begrenset.
await	vente på	Flere meldinger venter på ditt svar.
backdrop	et bakteppe	Fjellene dannet et dramatisk bakteppe.
backing	en støtte	Forslaget fikk støtte fra velgerne.
backup	en sikkerhetskopi	Systemet lager en sikkerhetskopi daglig.
bail	en kausjon	Dommeren fastsatte kausjon ved middagstid.
ballot	en stemmeseddel	Hver velger fikk en stemmeseddel.
banner	et banner	Banneret hang over inngangen.
bare	bar	Rommet hadde bare vegger.
barrel	en tønne	Tønnen var full av vann.
bass1	en bass	Bassen hørtes dyp og varm ut.
battlefield	en slagmark	Den gamle slagmarken ble et minnesmerke.
bay	en bukt	Landsbyen ligger ved en stille bukt.
beam	en bjelke	En stålbjelke støtter taket.
beast	et udyr	Historien beskriver et grusomt udyr.
behalf	en vegne	Hun snakket på vegne av teamet sitt.
beloved	elsket	Den elskede læreren gikk av med pensjon i dag.
bench	en benk	De satt på en trebenk.
benchmark	en målestokk	Testen ble en målestokk for bransjen.
beneath	under	Dokumentene lå under mappen.
beneficiary	en begunstiget	Sønnen hennes var hovedbegunstiget.
betray	forråde	Ikke forråd vennens tillit.
bind	binde	Avtalen vil binde begge selskaper.
biography	en biografi	Hans biografi solgte mange eksemplarer.
bishop	en biskop	Biskopen besøkte landsbykirken.
bizarre	bisarr	Filmen hadde en bisarr slutt.
blade	et blad	Bladet kuttet tauet.
blast	en eksplosjon	Eksplosjonen knuste vinduer i nærheten.
bleed	blø	Kuttet begynte å blø kraftig.
blend	blande	Bland sausen til den er jevn.
bless	velsigne	Presten vil velsigne huset.
blessing	en velsignelse	Det å ha støtte var en velsignelse.
boast	skryte	Han liker å skryte av penger.
bonus	en bonus	De ansatte fikk en feriebonus.
boom	en boom	Byen opplevde en byggeboom.
bounce	sprette	Ballen kan sprette veldig høyt.
boundary	en grense	Elven markerer grensen.
bow1	bukke	Skuespilleren ga et dypt bukk.
breach	et brudd	Bruddet eksponerte private data.
breakdown	en oversikt	Rapporten inkluderer en kostnadsoversikt.
breakthrough	et gjennombrudd	Oppdagelsen var et stort gjennombrudd.
breed	hekke	Disse fuglene hekker om våren.
broadband	et bredbånd	Kontoret trenger raskere bredbånd.
browser	en nettleser	Oppdater nettleseren din før du logger inn.
brutal	brutal	Angrepet var brutalt og plutselig.
buck	en dollar	Billetten koster ti dollar.
buddy	en kompis	Kompisen hans ventet utenfor.
buffer	en buffer	Trærne skaper en støydemper.
bulk	et stort parti	De kjøpte ris i løsvekt.
burden	en byrde	Gjelden ble en tung byrde.
bureaucracy	et byråkrati	Byråkratiet forsinket tillatelsen.
burial	en begravelse	Begravelsen fant sted ved daggry.
burst	sprekke	Røret kan sprekke under trykk.
cabinet	et kabinett	Kabinettet godkjente planen.
calculation	en beregning	Beregningen tok flere minutter.
canvas	et lerret	Kunstneren malte på et stort lerret.
capability	en kapasitet	Enheten har trådløs kapasitet.
capitalism	en kapitalisme	Kapitalismen formet den moderne økonomien.
capitalist	kapitalistisk	Det kapitalistiske systemet belønner private investeringer.
cargo	en last	Skipet bar medisinsk last.
carriage	en vogn	Togvognen var nesten tom.
carve	skjære	Han vil skjære i treet forsiktig.
casino	et kasino	Kasinoet åpnet i nærheten av hotellet.
casualty	et offer	Krasjen forårsaket ett offer.
catalogue	en katalog	Katalogen lister opp alle produktene.
cater	levere mat til	Restauranten kan levere mat til store arrangementer.
cattle	et kveg	Kveget beitet nær elven.
caution	en forsiktighet	Vis forsiktighet på isete veier.
cautious	forsiktig	Investorer forblir forsiktige denne uken.
cease	opphøre	Fabrikken vil opphøre produksjonen snart.
cemetery	en kirkegård	Kirkegården har utsikt over havet.
chamber	et kammer	Kammeret var stille under avstemningen.
chaos	et kaos	Forsinkelsen forårsaket kaos på flyplassen.
characterize	karakterisere	Eksperter karakteriserer planen som risikabel.
charm	en sjarm	Byen har gammeldags sjarm.
charter	et charter	Charteret beskytter grunnleggende rettigheter.
chronic	kronisk	Han lider av kroniske ryggsmerter.
chunk	en bit	Skjær osten i en bit.
circulate	sirkulere	Vennligst sirkuler dagsordenen i dag.
circulation	et opplag	Avisens opplag falt kraftig.
citizenship	et statsborgerskap	Hun søkte om fransk statsborgerskap.
civic	kommunal	Kommunale ledere deltok på møtet.
civilian	en sivil	Flere sivile hjem ble skadet.
clarity	en klarhet	Diagrammet ga klarhet til rapporten.
clash	et sammenstøt	Sammenstøtet begynte etter marsjen.
classification	en klassifisering	Klassifiseringen avhenger av størrelsen.
cling	klamre seg til	Våte klær klamrer seg til huden.
clinical	klinisk	Den kliniske studien starter neste måned.
closure	en avslutning	Familien ønsket en avslutning etter saken.
cluster	en klynge	En klynge med hus sto i nærheten.
coalition	en koalisjon	Koalisjonen mistet flertallet.
coastal	kystnær	Kystlandsbyer forberedte seg på flom.
cocktail	en cocktail	Hun bestilte en fruktcocktail.
cognitive	kognitiv	Kognitive ferdigheter forbedres med praksis.
coincide	sammenfalle	Festivalen vil sammenfalle med eksamen.
collaborate	samarbeide	Teamene samarbeider om programvare.
collaboration	et samarbeid	Deres samarbeid ga sterke resultater.
collective	kollektiv	Beslutningen var en kollektiv innsats.
collision	en kollisjon	Kollisjonen blokkerte motorveien.
colonial	kolonial	Bygningen har kolonial arkitektur.
columnist	en spaltist	Spaltisten kritiserte politikken.
combat	en kamp	Soldater trente for kamp.
commence	begynne	Seremonien begynner klokken tolv.
commentary	en kommentar	Kampkommentaren var livlig.
commentator	en kommentator	Kommentatoren forklarte avgjørelsen.
commerce	en handel	Netthandelen vokste raskt.
commissioner	en kommissær	Kommissæren kunngjorde nye regler.
commodity	en råvare	Hvete er en viktig råvare.
communist	kommunistisk	Det kommunistiske partiet holdt et møte.
companion	en følgesvenn	Hunden hennes er en lojal følgesvenn.
comparable	sammenlignbar	De to byene er sammenlignbare i størrelse.
compassion	en medfølelse	Sykepleieren viste stor medfølelse.
compel	tvinge frem	Bevisene kan tvinge frem et svar.
compelling	overbevisende	Dokumentaren la frem en overbevisende sak.
compensate	kompensere	Selskapet vil kompensere berørte kunder.
compensation	en kompensasjon	Arbeiderne krevde rettferdig kompensasjon.
competence	en kompetanse	Testen måler yrkeskompetanse.
competent	kompetent	Hun er en kompetent ingeniør.
compile	samle inn	Forskere samler inn data fra sykehus.
complement	utfylle	Vinen vil utfylle måltidet.
complexity	en kompleksitet	Prosjektet har uventet kompleksitet.
compliance	en etterlevelse	Revisjonen sjekket juridisk etterlevelse.
complication	en komplikasjon	Operasjonen hadde en komplikasjon.
comply	overholde	Selskaper må overholde forskriftene.
composition	en komposisjon	Komposisjonen inkluderer fiolin og piano.
compromise	et kompromiss	Kompromisset tilfredsstilte begge sider.
compute	beregne	Programmet kan beregne totalen.
conceal	skjule	Han prøvte å skjule skaden.
concede	innrømme	Ministeren nektet å innrømme nederlag.
conceive	forestille seg	De kunne ikke forestille seg en bedre plan.
conception	en oppfatning	Filmen endret min oppfatning av historien.
concession	en innrømmelse	Selskapet tilbød én innrømmelse.
condemn	fordømme	Ledere fordømmer angrepet offentlig.
confer	tildele	Prisen vil tildele prestisje.
confession	en tilståelse	Tilståelsen hans overrasket retten.
configuration	en konfigurasjon	Konfigurasjonen styrer nettverkstilgangen.
confine	begrense	Reglene begrenser hunder til dette området.
confirmation	en bekreftelse	Vi mottok bekreftelse på e-post.
confront	konfrontere	Hun bestemte seg for å konfrontere problemet.
confrontation	en konfrontasjon	Konfrontasjonen endte uten vold.
congratulate	gratulere	Jeg ringte for å gratulere søsteren min.
congregation	en menighet	Menigheten sang sammen.
congressional	kongress-	Kongresshøringen varte i timevis.
conquer	erobre	Teamet håper å erobre markedet.
conscience	en samvittighet	Samvittigheten hans tillot ikke løgner.
consciousness	en bevissthet	Ulykken påvirket bevisstheten hans.
consecutive	påfølgende	Hun vant tre kamper på rad.
consensus	en konsensus	Komiteen oppnådde raskt konsensus.
consent	et samtykke	Skriftlig samtykke er påkrevd.
conserve	spare	Vi sparer vann under tørke.
consistency	en kontinuitet	Kontinuitet er viktig i språkstudier.
consolidate	slå sammen	Selskapet vil slå sammen to kontorer.
constituency	en valgkrets	Kandidaten besøkte hver valgkrets.
constitute	utgjøre	Kvinner utgjør halvparten av komiteen.
constitution	en grunnlov	Grunnloven garanterer ytringsfrihet.
constitutional	grunnlovsmessig	Retten gjennomgikk grunnlovsmessige rettigheter.
constraint	en begrensning	Budsjettbegrensning begrenset prosjektet.
consultation	en konsultasjon	Konsultasjonen varte i to uker.
contemplate	overveie	Hun tok en pause for å overveie tilbudet.
contempt	en forakt	Han viste forakt for reglene.
contend	kjempe	Flere firmaer kjemper om kontrakten.
contender	en utfordrer	Hun er en sterk utfordrer.
content2	fornøyd	Han følte seg fornøyd med resultatet.
contention	et stridspunkt	Hovedstridspunktet gjelder finansiering.
continually	kontinuerlig	Systemet ser kontinuerlig etter feil.
contractor	en entreprenør	Entreprenøren reparerte taket.
contradiction	en selvmotsigelse	Uttalelsen hans inneholdt en selvmotsigelse.
contrary	motstridende	De motstridende bevisene endret saken.
contributor	en bidragsyter	Hun er en fast bidragsyter.
conversion	en konvertering	Konverteringen endret dollar til euro.
convict	dømme	Juryen kan dømme den mistenkte.
conviction	en domfellelse	Domfellelsen hans sjokkerte publikum.
cooperate	samarbeide	Vennligst samarbeid med etterforskningen.
cooperative	samarbeidsvillig	Personalet var samarbeidsvillige og rolige.
coordinate	koordinere	De koordinerer leveranser hver morgen.
coordination	en koordinering	God koordinering sparte tid.
coordinator	en koordinator	Koordinatoren tildelte hver oppgave.
cop	en politimann	En politimann sto utenfor stasjonen.
copper	kobber	Røret er laget av kobber.
copyright	en opphavsrett	Bildet er beskyttet av opphavsrett.
correction	en rettelse	Læreren gjorde én rettelse.
correlate	korrelere	Høyt stress kan korrelere med sykdom.
correlation	en korrelasjon	Studien fant en sterk korrelasjon.
correspond	tilsvare	Disse tallene tilsvarer etikettene.
correspondence	en korrespondanse	Korrespondansen deres varte i årevis.
correspondent	en korrespondent	Korrespondenten rapporterte fra Kairo.
corresponding	tilsvarende	Hver knapp har et tilsvarende lys.
corrupt	korrupt	Den korrupte tjenestemannen tok imot penger.
corruption	en korrupsjon	Korrupsjon svekket offentlig tillit.
costly	kostbar	Feilen var kostbar for laget.
councillor	et kommunestyremedlem	Kommunestyremedlemmet svarte på innbyggernes spørsmål.
counselling	en rådgivning	Hun fikk rådgivning etter ulykken.
counsellor	en rådgiver	Rådgiveren hjalp nye studenter.
counter (argue against)	imøtegå	Hun prøvde å imøtegå argumentet hans.
counterpart	en motpart	Han møtte sin japanske motpart.
countless	utallig	Utallige frivillige deltok i søket.
coup	et statskupp	Statskuppet avsatte presidenten.
courtesy	en høflighet	Hun takket dem for deres høflighet.
