source_headword	NO	example_NO
raid	en razzia	Politiet gjennomførte en razzia ved daggry.
rally	en demonstrasjon	Tilhengere deltok på demonstrasjonen i sentrum.
ranking	en rangering	Universitetet forbedret rangeringen sin.
rape	en voldtekt	Voldtektssaker krever nøye etterforskning.
ratio	et forhold	Klassen har et lavt lærerforhold.
rational	rasjonell	Beslutningen hennes var rasjonell.
ray	en stråle	En solstråle kom inn.
readily	beredvillig	Han aksepterte tilbudet beredvillig.
realization	en erkjennelse	Erkjennelsen endret planene hennes.
realm	et rike	Dette spørsmålet tilhører et annet rike.
rear	bakre	Bruk den bakre inngangen i dag.
reasoning	et resonnement	Resonnementet hans var tydelig.
reassure	å berolige	Legen prøvde å berolige henne.
rebel	en opprører	Opprørslederen slapp unna fangenskap.
rebellion	et opprør	Opprøret tok slutt etter forhandlinger.
recipient	en mottaker	Mottakeren signerte skjemaet.
reconstruction	en gjenoppbygging	Gjenoppbyggingen begynte etter flommen.
recount1	å gjenfortelle	Hun kan gjenfortelle hendelser tydelig.
referendum	en folkeavstemning	Folkeavstemningen delte landet.
reflection	en refleksjon	Essayet krevde dypere refleksjon.
reform	en reform	Reformen forbedret offentlige tjenester.
refuge	en tilflukt	Familien søkte tilflukt i utlandet.
refusal	et avslag	Avslaget hennes overrasket komiteen.
regain	å gjenvinne	Han jobbet hardt for å gjenvinne tillit.
regardless	uansett	De fortsatte uansett kritikk.
regime	et regime	Regimet begrenset ytringsfriheten.
regulator	en regulator	Regulatoren bøtela selskapet.
regulatory	regulatorisk	Regulatorisk godkjenning tok måneder.
rehabilitation	en rehabilitering	Rehabilitering hjalp ham å gå igjen.
reign	en regjeringstid	Kongens regjeringstid varte i flere tiår.
rejection	en avvisning	Avvisningen skadet selvtilliten hennes.
relevance	en relevans	Dataene har begrenset relevans.
reliability	en pålitelighet	Pålitelighet er viktig i nødsystemer.
reluctant	motvillig	Han var motvillig til å snakke.
remainder	en rest	Resten gikk til veldedighet.
remains	levninger	Levningene ble nøye undersøkt.
remedy	et botemiddel	Loven gir et botemiddel.
reminder	en påminnelse	E-posten var en nyttig påminnelse.
removal	en fjerning	Fjerningen av barrierer hjalp handelen.
render	å gjøre	Feilen gjorde kontrakten ugyldig.
renew	å fornye	Forny passet ditt snart.
renowned	anerkjent	Hun er anerkjent for sin forskning.
rental	en leie	Leien inkluderer forsikring.
replacement	en erstatning	Erstatningsdelen ankom i dag.
reportedly	angivelig	Ministeren gikk angivelig av i går.
representation	en representasjon	Rettferdig representasjon er fortsatt viktig.
reproduce	å formere seg	Disse plantene formerer seg raskt.
reproduction	en reproduksjon	Digital reproduksjon forbedret tilgangen.
republic	en republikk	Republikken avholdt valg.
resemble	å ligne	De to designene ligner hverandre veldig.
reside	å bo	De bor nær grensen.
residence	en bolig	Hans offisielle bolig er bevoktet.
residential	bolig-	Området er for det meste et boligområde.
residue	en rest	Rengjøringsmiddelet etterlot en klebrig rest.
resignation	en oppsigelse	Oppsigelsen hennes sjokkerte styret.
resistance	en motstand	Motstanden mot forandring var sterk.
respective	respektive	De returnerte til sine respektive kontorer.
respectively	henholdsvis	Poengsummene var henholdsvis 80 og 90.
restoration	en restaurering	Restaureringen av bygningen tok flere år.
restraint	en tilbakeholdenhet	Politiet viste tilbakeholdenhet.
resume	å gjenoppta	Undervisningen gjenopptas neste uke.
retreat	en tilbaketrekning	Hæren begynte en tilbaketrekning.
retrieve	å hente	Hun hentet filen.
revelation	en avsløring	Avsløringen skadet ryktet hans.
revenge	en hevn	Han ønsket hevn for fornærmelsen.
reverse	å omgjøre	Retten omgjorde beslutningen.
revival	en oppblomstring	Byen opplevde en økonomisk oppblomstring.
revive	å gjenopplive	Festivalen bidro til å gjenopplive lokale tradisjoner.
revolutionary	revolusjonerende	Oppfinnelsen var revolusjonerende.
rhetoric	en retorikk	Retorikken hans hørtes aggressiv ut.
rifle	et gevær	Geværet ble oppbevart trygt.
riot	et opprør	Opprøret varte i flere timer.
rip	å rive	Riv papiret forsiktig.
ritual	et ritual	Ritualet markerer innhøstingen.
robust	robust	Systemet er robust.
rock	å ryste	Eksplosjonen rystet landsbyen.
rod	en stang	Gardinet henger fra en stang.
rotate	å rotere	Roter håndtaket sakte.
rotation	en rotasjon	Vekselbruk beskytter jorda.
ruling	en kjennelse	Retten avsa en kjennelse.
rumour	et rykte	Ryktet spredte seg raskt.
sack	å gi sparken	Styret kan gi treneren sparken.
sacred	hellig	Tempelet er hellig.
sacrifice	et offer	Foreldre gjør ofte ofre.
saint	en helgen	Kirken hedrer en lokal helgen.
sake	en skyld	Han ble for hennes skyld.
sanction	en sanksjon	Sanksjonen påvirket internasjonal handel.
say	en medbestemmelse	De ansatte hadde medbestemmelse i planleggingen.
scattered	spredt	Spredte papirer dekket skrivebordet.
sceptical	skeptisk	Hun forble skeptisk til påstanden.
scope	et omfang	Prosjektets omfang ble utvidet.
screw	en skrue	Stram skruen forsiktig.
scrutiny	en granskning	Avtalen møtte offentlig granskning.
seal	å forsegle	Forsegl konvolutten før du sender den.
secular	sekulær	Skolen følger en sekulær læreplan.
seemingly	tilsynelatende	Oppgaven var tilsynelatende enkel.
segment	et segment	Det siste segmentet var kortere.
seize	å beslaglegge	Politiet beslagla dokumentene.
seldom	sjelden	Hun går sjelden glipp av en time.
selective	selektiv	Programmet er svært selektivt.
senator	en senator	Senatoren støttet lovforslaget.
sensation	en sensasjon	Oppdagelsen forårsaket en sensasjon.
sensitivity	en følsomhet	Saken krever følsomhet.
sentiment	en stemning	Den offentlige stemningen snudde raskt.
separation	en separasjon	Separasjonen var vanskelig.
serial	serie-	Serienummeret mangler.
settlement	et forlik	Forliket avsluttet tvisten.
set-up	et oppsett	Oppsettet tok hele morgenen.
sexuality	en seksualitet	Kurset diskuterer identitet og seksualitet.
shareholder	en aksjonær	En aksjonær stilte spørsmål til styret.
shatter	knuse	Nyheten knuste selvtilliten hans.
shed	kvitte seg med	Selskapet vil kvitte seg med arbeidsplasser.
sheer	blotte	Den blotte størrelsen overrasket alle.
shipping	en frakt	Fraktkostnadene økte.
shoot	et opptak	Fotoopptaket sluttet tidlig.
shrink	krympe	Skjorten kan krympe.
shrug	trekke på skuldrene	Hun trakk lett på skuldrene.
sigh	sukke	Han sukket av lettelse.
simulate	simulere	Programvaren kan simulere trafikk.
simulation	en simulering	Simuleringen spådde flom.
simultaneously	samtidig	To alarmer ringte samtidig.
sin	en synd	Stolthet regnes som en synd.
situated	beliggende	Hotellet er beliggende i sentrum.
sketch	en skisse	Hun laget en rask skisse.
skip	hoppe over	Ikke hopp over frokosten.
slam	smelle	Han kan smelle igjen døren.
slap	slå	Ikke slå i bordet.
slavery	et slaveri	Slaveriet formet regionens historie.
slot	en tidsluke	Bestill en tidsluke på nettet.
smash	knuse	Glasset knuste på gulvet.
snap	knekke	Grenen knakk i vinden.
soak	bløtlegge	Bløtlegg bønnene over natten.
soar	stige	Drivstoffprisene kan stige kraftig.
socialist	sosialistisk	Partiet støtter sosialistisk politikk.
sole	eneste	Han var den eneste overlevende.
solely	utelukkende	Beslutningen var utelukkende hans.
solicitor	en advokat	Advokaten forberedte kontrakten.
solidarity	en solidaritet	Arbeiderne uttrykte solidaritet.
solo	solo	Hun ga ut et soloalbum.
sound	fornuftig	Planen er fornuftig og praktisk.
sovereignty	en suverenitet	Traktaten beskyttet nasjonal suverenitet.
spam	en søppelpost	Søppelpost fylte innboksen.
span	spenne over	Broen spenner over elven.
spark	utløse	En liten bemerkning utløste debatt.
specialized	spesialisert	Klinikken tilbyr spesialisert omsorg.
specification	en spesifikasjon	Designet oppfyller hver spesifikasjon.
specimen	en prøve	Prøven ble lagret trygt.
spectacle	et skue	Paraden var et livlig skue.
spectrum	et spekter	Meningene dekker et bredt spekter.
spell	en periode	Tørkeperioden varte i ukevis.
sphere	en sfære	Politikken gikk inn i den kulturelle sfæren.
spin	spinne	Hjulene begynte å spinne.
spine	en ryggrad	Skaden påvirket ryggraden hans.
spotlight	et rampelys	Skandalen satte ham i rampelyset.
spouse	en ektefelle	Ektefellen hennes deltok på seremonien.
spy	en spion	Spionen sendte kodede meldinger.
squad	et lag	Redningslaget ankom raskt.
squeeze	klemme	Klem håndtaket forsiktig.
stab	stikke	Rapporten beskrev et stikksår.
stability	en stabilitet	Politikken brakte stabilitet.
stabilize	stabilisere	Medisinen bidro til å stabilisere ham.
stake	en andel	Investorer har en andel her.
standing	en anseelse	Hennes anseelse i partiet økte.
stark	skarp	Resultatene viste en skarp kontrast.
statistical	statistisk	Studien brukte statistiske metoder.
steer	styre	Han prøvde å styre debatten.
stem	en stilk	Stilken brakk i stormen.
stereotype	en stereotypi	Filmen utfordret en stereotypi.
stimulus	en stimulans	Pakken ga økonomisk stimulans.
stir	røre	Rør sakte i sausen.
storage	en oppbevaring	Anlegget tilbyr sikker oppbevaring.
straightforward	enkel	Instruksjonene var enkle.
strain	en påkjenning	Den lange forsinkelsen forårsaket en påkjenning.
strand	en lokk	En hårlokk falt.
strategic	strategisk	Selskapet gjorde en strategisk investering.
strip (long narrow piece)	en stripe	Klipp en smal stripe papir.
strip (remove clothes/a layer)	fjerne	Fjern den gamle malingen forsiktig.
strive	strebe	De streber etter fortreffelighet.
structural	strukturell	Broen har strukturelle skader.
stumble	snuble	Han snublet i trappen.
stun	sjokkere	Nyheten kan sjokkere folk.
submission	en innlevering	Fristen for innlevering gikk ut.
subscriber	en abonnent	Hver abonnent mottar oppdateringer.
subscription	et abonnement	Abonnementet fornyes automatisk.
subsidy	en subsidie	Subsidien senket drivstoffkostnadene.
substantial	betydelig	Prosjektet trenger betydelig finansiering.
substantially	betydelig	Prisen økte betydelig.
substitute	en erstatning	Bruk melk som en erstatning.
substitution	en utskifting	Utskiftingen endret oppskriften.
subtle	subtil	Maleriet har subtile detaljer.
suburban	forstads	De flyttet til et forstadsområde.
succession	en rekke	Krisen fulgte en rekke feil.
successive	påfølgende	Påfølgende regjeringer ignorerte problemet.
successor	en etterfølger	Etterfølgeren starter på mandag.
suck	suge	Maskinen kan suge støv.
sue	saksøke	Hun bestemte seg for å saksøke selskapet.
suicide	et selvmord	Forebygging av selvmord krever vedvarende finansiering.
suite	en suite	Hotellsuiten hadde utsikt over elven.
summit	et toppmøte	Ledere møttes på toppmøtet.
superb	strålende	Forestillingen var strålende.
superior	overlegen	Den nye modellen er overlegen.
supervise	ha oppsyn med	Hun vil ha oppsyn med lærlingene.
supervision	et tilsyn	Barn trenger tilsyn av voksne.
supervisor	en leder	Spør lederen din først.
supplement	et tillegg	Rapporten inkluderer et tillegg.
supportive	støttende	Familien hennes var støttende.
supposedly	visstnok	Filen ble visstnok slettet.
suppress	undertrykke	Regimet prøvde å undertrykke protester.
supreme	øverste	Høyesterett behandlet saken.
surge	en overspenning	En plutselig overspenning skadet utstyret.
surgical	kirurgisk	Pasienten trenger kirurgisk behandling.
surplus	et overskudd	Lageret har et overskudd.
surrender	overgi seg	Soldatene gikk med på å overgi seg.
surveillance	en overvåking	Overvåkingskameraer registrerte inngangen.
suspension	en suspensjon	Suspensjonen varte i to uker.
suspicion	en mistanke	Oppførselen hans vakte mistanke.
suspicious	mistenkelig	Pakken så mistenkelig ut.
sustain	opprettholde	Prosjektet kan opprettholde lokale arbeidsplasser.
swing	svinge	Døren begynte å svinge.
sword	et sverd	Sverdet hang på veggen.
symbolic	symbolsk	Gesten var symbolsk.
syndrome	et syndrom	Syndromet påvirker hukommelsen.
synthesis	en syntese	Kapittelet tilbyr en syntese.
systematic	systematisk	Gjennomgangen var systematisk.
tactic	en taktikk	Taktikken mislyktes raskt.
tactical	taktisk	Laget gjorde en taktisk endring.
taxpayer	en skattebetaler	Skattebetalernes penger finansierte broen.
tempt	friste	Tilbudet kan friste investorer.
tenant	en leietaker	Leietakeren betalte husleien tidlig.
tender	øm	Hun ga et ømt smil.
tenure	en funksjonstid	Funksjonstiden hans varte i seks år.
terminal	uhelbredelig	Pasienten hadde en uhelbredelig sykdom.
terminate	si opp	Selskapet kan si opp kontrakten.
terrain	et terreng	Terrenget var vanskelig.
terrific	fantastisk	Utsikten var fantastisk.
testify	vitne	Hun gikk med på å vitne.
testimony	et vitnemål	Vitnemålet hans var detaljert.
texture	en tekstur	Stoffet har en grov tekstur.
thankfully	heldigvis	Heldigvis ble ingen skadet.
theatrical	teatralsk	Talen hørtes teatralsk ut.
theology	en teologi	Han studerte teologi på universitetet.
theoretical	teoretisk	Modellen er rent teoretisk.
thereafter	deretter	Deretter ble reglene endret.
thereby	dermed	Endringen reduserte kostnadene, og reddet dermed arbeidsplasser.
thoughtful	gjennomtenkt	Svaret hennes var gjennomtenkt.
thought-provoking	tankevekkende	Artikkelen var tankevekkende.
thread	en tråd	Tråden røk lett.
threshold	en terskel	Avstemningen krysset terskelen.
thrilled	begeistret	Hun ble begeistret over nyheten.
thrive	trives	Små bedrifter kan trives her.
tide	et tidevann	Tidevannet steg raskt.
tighten	stramme	Stram lokket godt.
timber	et tømmer	Huset bruker lokalt tømmer.
timely	betimelig	Advarselen kom i rett tid.
tobacco	en tobakk	Tobakkssalget gikk ned.
tolerance	en toleranse	Politikken oppmuntrer til toleranse.
tolerate	tolerere	Vi kan ikke tolerere misbruk.
toll	en pris	Stormen krevde en høy pris.
top	overgå	Salget kan overgå fjorårets rekord.
torture	en tortur	Traktaten forbyr tortur absolutt.
