source_headword	SK	example_SK
whole	celý	Zjedol som celé jablko.
whose	čí	Čí telefón je to?
wide	široký	Cesta je široká.
wild	divoký	Divoké zvieratá žijú tu.
wind1	vietor	Vietor je silný.
winner	víťaz	Víťaz sa usmial.
wish	prianie; priať si	Niečo si želaj.
wood	drevo	Stolička je z dreva.
wooden	drevený	Drevená škatuľa je ťažká.
working	pracovný	Pracovný deň sa skončil.
worried	ustaraný; znepokojený	Dnes som ustaraný.
worry	robiť si starosti	Nerob si teraz starosti.
worse	horší	Táto bolesť je horšia.
worst	najhorší	To bol najhorší deň.
wow	páni	Páni, to je úžasné!
yet	ešte; už	Už sme tam?
yours	tvoj; váš	Táto kniha je tvoja.
zero	nula	Odpočítaj do nuly.
