simplified	SR	example_SR
双	пар; двострук	Купио сам пар кожних ципела.
水平	ниво; мерило	Његов ниво кинеског је висок.
司机	возач	Возач нас чека код врата.
太阳	сунце	Данас је сунце јако.
特别	нарочито; посебан	Ова емисија је нарочито занимљива.
疼	болети; болан	Боли ме нога.
提高	повисити; побољшати	Више вежбе може да побољша ниво кинеског.
体育	спорт; физичко васпитање	Волим час спорта.
甜	сладак	Ово пиће је преслатко.
条	бројач за дуге предмете; комад	Купио сам сукњу.
同事	колега	Мој колега је веома заузет.
同意	слагати се	Слажем се са твојом одлуком.
头发	коса	Њена коса је дуга.
突然	изненадан; изненада	Он је изненада отишао.
图书馆	библиотека	Библиотека данас није отворена.
腿	нога	После пењања на планину боле ме ноге.
完成	довршити; завршити	Већ сам завршио домаћи.
碗	чинија	На столу су две чиније.
万	десет хиљада; много	Овај град има десет хиљада људи.
忘记	заборавити	Не заборави да понесеш пасош.
为	за; због	Срећан сам због тебе.
为了	ради; како би	Ради испита он понавља сваки дан.
位	учтив бројач за људе	Овај учитељ је веома познат.
文化	култура	Желим да разумем кинеску културу.
西	запад	Банка је западно од школе.
习惯	навика; навићи се	Навикао сам да вежбам ујутру.
洗手间	тоалет; ве-це	Тоалет је десно.
洗澡	туширати се; купати се	Туширам се увече.
夏	лето	Лето је веома вруће.
先	прво; раније	Ти прво једи.
相信	веровати	Верујем да ће он доћи.
香蕉	банана	Купио сам три банане.
像	личити на; бити као	Овај облак личи на птицу.
向	према; смер	Молим вас, идите лево.
小心	пажљив; пазити	Пада киша; пази на путу.
校长	директор школе	Директор школе је у канцеларији.
新闻	вести	Тата сваког дана гледа вести.
新鲜	свеж	Ово воће је веома свеже.
信用卡	кредитна картица	Могу ли да платим кредитном картицом?
行李箱	кофер	Мој кофер је тежак.
熊猫	панда	Деца воле да гледају панде.
需要	требати; бити потребно	Потребна ми је твоја помоћ.
选择	изабрати; избор	Коју кошуљу бираш?
要求	захтевати; тражити	Учитељ тражи да пажљиво пишемо домаћи.
爷爷	деда по оцу; деда	Деда сваког дана иде у парк.
一直	стално; непрекидно	Он те већ дуго чека.
一定	сигурно; свакако	Сигурно ћу доћи.
一共	укупно	Колико укупно коштају ове књиге?
一会儿	мало времена; тренутак	Молим вас, сачекајте ме мало.
一样	исти; једнак	Ове две шоље су исте величине.
以前	раније; пре	Раније сам живео у Пекингу.
一般	обичан; просечан	Храна у овом ресторану је просечна.
一边	једна страна; док	Он слуша музику док пише домаћи.
音乐	музика	Волим кинеску музику.
银行	банка	Банка је поред велике продавнице.
饮料	пиће	Ово пиће има добар укус.
应该	требати; требало би	Требало би више да се одмараш.
影响	утицај; утицати	Време ће утицати на утакмицу.
用	користити	Користим рачунар за писање домаћег.
游戏	игра	Деца играју игре.
有名	познат	Овај ресторан је веома познат.
又	опет; поново	Он је данас опет закаснио.
遇到	срести; наићи на	Срео сам учитеља на улици.
元	јуан; новчана јединица	Овај речник кошта педесет јуана.
愿意	хтети; бити спреман	Да ли си спреман да учествујеш?
月亮	месец	Месец је вечерас сјајан.
越	што више... то више...	Што више учим кинески, то постаје занимљивији.
站	станица; стајати	Он стоји код врата.
张	бројач за равне предмете; лист	Молим вас, дајте ми карту.
长	расти	Деца брзо расту.
着急	бринути се; бити нервозан	Не брини, лифт ће ускоро доћи.
照顾	бринути се за	Она се брине за болесну баку.
照片	фотографија	Ова фотографија добро изгледа.
照相机	фотоапарат	Користим фотоапарат за фотографисање.
283:只	само	Пијем само једну шољу чаја.
284:只	бројач за животиње	Под столом је мачка.
只有…才…	само ако... онда...	Само ако пажљиво поновиш градиво, добро ћеш проћи на испиту.
中间	средина; између	Сто је на средини собе.
中文	кинески језик; кинеско писмо	Учим кинески сваки дан.
终于	напокон	Напокон смо стигли.
种	врста; тип	Коју врсту пића волиш?
重要	важан	Пасош је веома важан.
周末	викенд	Желим да идем у парк за викенд.
主要	главни; основни	Његов главни хоби је музика.
注意	обратити пажњу; пазити	Молим вас, обратите пажњу на учитеља.
自己	сам; себе	Желим сам да напишем домаћи.
自行车	бицикл	Мој бицикл је доле.
总是	увек	Он увек рано стиже у канцеларију.
嘴	уста	Молим вас, отворите уста.
最后	последњи; на крају	На крају смо се сви сложили.
最近	недавно; у последње време	У последње време сам заузет.
作业	домаћи задатак; домаћи	Још нисам завршио домаћи.
