source_headword	KK	example_KK
thesis	диссертация	Оның диссертациясы онлайн оқытуды зерттейді.
thorough	мұқият	Мұқият тексеру ешқандай қате таппады.
thoroughly	мұқият	Жараны мұқият тазалаңыз.
thumb	басбармақ	Ол мақұлдау белгісі ретінде басбармағын көтерді.
timing	уақытты таңдау	Қоңырау шалу уақыты тамаша болды.
tissue	майлық	Ол әйнекті майлықпен сүртті.
ton	тонна	Жүк көлігі бір тонна құм тасыды.
tonne	тонна	Жүктің салмағы бір тонна болды.
tournament	турнир	Теннис турнирі ертең басталады.
trace	ізіне түсу	Ғалымдар вирус көзін анықтай алады.
trading	сауда	Биржалық сауда түсте тоқтатылды.
tragedy	трагедия	Апат сұмдық трагедия болды.
tragic	қайғылы	Апаттың қайғылы салдары болды.
trait	қасиет	Шыдамдылық - пайдалы қасиет.
transmit	тасымалдау	Масалар ауру тасымалдай алады.
transportation	көлік	Қоғамдық көлік бүгін лық толы.
trap	тұзаққа түсіру	Қорап жәндіктерді қауіпсіз түрде тұзаққа түсіре алады.
treasure	қазына	Ескі сандықта қазына болды.
tribe	тайпа	Тайпа өз дәстүрлерін сақтап қалды.
trigger	іске қосу	Түтін дабыл қаққышты іске қосуы мүмкін.
trillion	триллион	Қарыз бір триллион долларға жетті.
troop	әскерлер	Әскерлер шекараға қарай жылжыды.
tsunami	цунами	Цунами жағалаудағы үйлерді қиратты.
ultimate	түпкі	Түпкі мақсат - бейбітшілік.
unacceptable	қабылданбайтын	Кешігу жолаушылар үшін қабылданбайтын жағдай болды.
uncertainty	белгісіздік	Белгісіздік инвесторларды алаңдатты.
undergo	басынан өткізу	Ертең науқасқа ота жасалады.
undertake	қолға алу	Команда сауалнама жүргізуді қолға алады.
unfold	өрбу	Драма баяу өрби бастады.
unfortunate	өкінішті	Қателік өкінішті, бірақ түзетуге болатын еді.
unite	біріктіру	Көшбасшылар партияны біріктіруге тырысты.
unity	бірлік	Сөз ұлттық бірлікке шақырды.
universal	әмбебап	Қолданба әмбебап дизайнды пайдаланады.
urgent	шұғыл	Ауруханаға шұғыл қоңырау түсті.
usage	қолдану	Нұсқаулық дұрыс қолдануды түсіндіреді.
useless	пайдасыз	Сынған қуаттағыш пайдасыз.
valid	жарамды	Сіздің төлқұжатыңыз әлі де жарамды.
variation	ауытқу	Бағаларда үлкен ауытқу бар.
vertical	тік	Диаграмманың тік осі бар.
viewpoint	көзқарас	Оның көзқарасы пікірталастан кейін өзгерді.
visa	виза	Ол студенттік визаға өтініш берді.
visible	көрінетін	Белгі осы жерден көрінеді.
voluntary	ерікті	Курс ерікті семинарларды қамтиды.
voting	дауыс беру	Мерзімінен бұрын дауыс беру келесі аптада басталады.
wander	серуендеу	Туристер ескі базарда серуендейді.
warming	жылыну	Ғаламдық жылыну теңіз деңгейіне әсер етеді.
weekly	апталық	Команда апта сайынғы жиналыс өткізеді.
weird	оғаш	Дыбыс оғаш естілді.
welfare	әл-ауқат	Бағдарлама балалардың әл-ауқатын қолдайды.
wheat	бидай	Фермер бидай өсіреді.
whoever	кім болса да	Кім бірінші келсе, сыртта күтуі керек.
widespread	кең таралған	Дауыл ауқымды шығын әкелді.
wisdom	даналық	Әжесі тәжірибелік даналығымен бөлісті.
withdraw	қайтарып алу	Ол өтінішін қайтарып алуға шешім қабылдады.
workforce	жұмыс күші	Жұмыс күшіне жаңа дағдылар қажет.
workplace	жұмыс орны	Жұмыс орнында нақты қауіпсіздік ережелері бар.
workshop	семинар	Семинар сағат онда басталады.
worm	құрт	Құрт топырақтың үстімен жылжыды.
wrist	білек	Ол білегін ауыртып алды.
