source_headword	BG	example_BG
carbon	въглерод	Дърветата абсорбират въглерод от въздуха.
casual	небрежен	Той носеше ежедневни дрехи на работа.
cave	пещера	Туристите влязоха в пещерата.
certainty	сигурност	Не можем да знаем със сигурност.
certificate	сертификат	Тя получи сертификат за обучение.
challenging	предизвикателен	Курсът беше предизвикателен, но полезен.
championship	шампионат	Нашият отбор стигна до финала на шампионата.
charming	очарователен	Старата улица изглеждаше очарователна.
chase	преследване	Кучето гонеше топката.
cheek	буза	Сълза се стече по бузата ѝ.
cheer	възглас	Тълпата започна да аплодира силно.
choir	хор	Хорът пееше красиво.
chop	кълцам	Нарежете лука на малки парчета.
circuit	верига	Бегачът завърши обиколката.
civilization	цивилизация	Древната цивилизация е оформила този регион.
clarify	изяснявам	Моля, изяснете последната точка.
classify	класифицирам	Учените класифицират животните по видове.
clerk	чиновник	Служителят разпечата касовата бележка.
cliff	скала	Пътеката свършва близо до скала.
clinic	клиника	Клиниката отваря в осем.
clip	щипка	Тя прикрепи кламера към хартията.
coincidence	съвпадение	Срещата с него там беше съвпадение.
collector	колекционер	Колекционерът купи редки монети.
colony	колония	Мравките изградиха голяма колония.
colourful	цветен	Пазарът беше ярък и цветен.
comic	комикс	Комичната сцена ни разсмя.
commander	командир	Командирът даде ясни заповеди.
comparative	сравнителен	Есето използва сравнителни данни.
completion	завършване	Мостът е близо до завършване.
compose	съставям	Той ще композира музика за филма.
composer	композитор	Композиторът написа нова песен.
compound	съединение	Съединението съдържа два химикала.
comprehensive	изчерпателен	Ръководството дава изчерпателни инструкции.
comprise	обхващам	Екипът се състои от пет члена.
compulsory	задължителен	Присъствието е задължително за този клас.
concrete	бетон	Подът е направен от бетон.
confess	признавам	Той призна грешката на своя учител.
confusion	объркване	Закъснението предизвика объркване.
consequently	следователно	Заваля дъжд; следователно мачът беше спрян.
conservation	опазване	Опазването защитава редките животни.
considerable	значителен	Ремонтът отне значително време.
considerably	значително	Цените се повишиха значително тази година.
consistently	последователно	Тя се представя последователно добре.
conspiracy	конспирация	Полицията разследва конспирацията.
consult	консултирам се	Консултирайте се с вашия лекар, преди да приемете лекарство.
consultant	консултант	Консултантът предложи нова стратегия.
consumption	потребление	Потреблението на енергия спадна миналия месец.
controversial	противоречив	Политиката остава спорна.
controversy	спор	Решението предизвика противоречия.
convenience	удобство	Магазинът предлага голямо удобство.
convention	конвенция	Годишната конвенция започва в понеделник.
conventional	конвенционален	Той избра конвенционален дизайн.
convey	предавам	Съобщението предаде съчувствие.
convincing	убедителен	Нейното обяснение беше убедително.
cope	справям се	Тя се научи да се справя със стреса.
corporation	корпорация	Корпорацията отвори нов офис.
corridor	коридор	Коридорът беше тесен и тих.
counter (long flat surface)	плот	Ключовете са на кухненския плот.
coverage	покритие	Отразяването на новините продължи цяла вечер.
crack	пукнатина	В стената се появи пукнатина.
craft	занаят	Тя продава ръчно изработени занаятчийски изделия онлайн.
creativity	креативност	Креативността помага за решаването на проблеми.
critically	критично	Статията беше критично важна.
cruise	круиз	Те резервираха круиз до Гърция.
cue	знак	Актьорът пропусна своята реплика.
curious	любопитен	Детето беше любопитно за космоса.
curriculum	учебна програма	Училището актуализира своята учебна програма.
cute	сладък	Кученцето изглеждаше сладко.
dairy	мандра	Фермата произвежда млечни продукти.
dare	осмелявам се	Предизвиквам те да опиташ.
darkness	тъмнина	Стаята се изпълни с тъмнина.
database	база данни	Базата данни съхранява клиентски записи.
deadline	краен срок	Крайният срок е петък.
deadly	смъртоносен	Змията има смъртоносна отрова.
dealer	дилър	Дилърът на коли предложи отстъпка.
deck	палуба	Столовете са на верандата.
defender	защитник	Защитникът блокира удара.
delete	изтривам	Изтрий старото съобщение.
democracy	демокрация	Демокрацията зависи от свободни избори.
democratic	демократичен	Гласуването следваше демократични правила.
demonstration	демонстрация	Студентите се присъединиха към демонстрация.
depart	оттеглям се	Влакът ще замине по обяд.
dependent	зависим	Детето е зависимо от възрастни.
deposit	депозит	Тя плати депозит за апартамента.
depression	депресия	Депресията изисква професионална подкрепа.
derive	извличам	Много думи произлизат от латински.
desperately	отчаяно	Той отчаяно се нуждаеше от вода.
destruction	унищожение	Бурята причини широко разпространено разрушение.
determination	решителност	Нейната решителност впечатли треньора.
devote	посвещавам	Тя посвещава уикендите си на учене.
differ	различавам се	Техните мнения се различават рязко.
disability	увреждане	Сградата има достъп за хора с увреждания.
disabled	деактивиран	Спортистът с увреждания спечели медал.
disagreement	несъгласие	Срещата завърши с несъгласие.
disappoint	разочаровам	Резултатът може да разочарова феновете.
disappointment	разочарование	Той изпита дълбоко разочарование.
discourage	обезкуражавам	Не обезкуражавайте младите учащи.
disorder	разстройство	Лекарят диагностицира разстройство на съня.
distant	далечен	Планините изглеждаха далечни.
distinct	отчетлив	Двата звука са отчетливи.
distinguish	различавам	Можеш ли да различиш тези цветове?
distract	разсейвам	Шумът може да разсее учениците.
disturb	смущавам	Моля, не безпокойте пациента.
dive	гмуркане	Те ще се гмуркат близо до рифа.
diverse	разнообразен	Градът има разнообразни култури.
diversity	разнообразие	Ние празнуваме културното разнообразие.
divorce	развод	Разводът беше труден за всички.
dominant	доминиращ	Доминиращият отбор контролираше играта.
donation	дарение	Благотворителната организация получи дарение.
dot	точка	Постави точка след числото.
downtown	център	Срещнахме се в центъра на града след работа.
dramatically	драматично	Цената спадна драстично.
drought	суша	Сушата повреди реколтата.
dull	скучен	Лекцията беше скучна.
dump	захвърлям	Не изхвърляй боклука тук.
duration	продължителност	Продължителността на полета е три часа.
dynamic	динамичен	Класната стая се усещаше динамична.
economics	икономика	Тя учи икономика в университета.
economist	икономист	Икономистът прогнозира по-бавен растеж.
editorial	редакционен	Редакционната статия критикува закона.
efficiently	ефективно	Екипът работи ефективно.
elbow	лакът	Той нарани лакътя си.
electronics	електроника	Магазинът продава електроника.
elegant	елегантен	Роклята изглеждаше елегантна.
elementary	елементарен	Книгата обяснява елементарна граматика.
eliminate	елиминирам	Екипът отстрани няколко грешки.
embrace	прегръщам	Тя прегърна новата идея.
emission	емисия	Нивата на автомобилните емисии спаднаха.
emotionally	емоционално	Той говори емоционално за семейството си.
empire	империя	Империята просъществува с векове.
enjoyable	приятен	Пътуването беше приятно.
entertaining	забавен	Шоуто беше забавно.
entrepreneur	предприемач	Предприемачът отвори кафене.
envelope	плик	Сложи писмото в плик.
equip	оборудвам	Училището ще оборудва лабораторията.
equivalent	еквивалент	Един долар не е еквивалентен тук.
era	ера	Откритието постави началото на нова ера.
erupt	изригвам	Вулканът може да изригне скоро.
essentially	по същество	Двата метода са по същество идентични.
ethic	етика	Работната му етика е силна.
ethnic	етнически	Фестивалът празнува етнически традиции.
evaluation	оценка	Курсът включва финално оценяване.
evident	очевиден	Нервността му беше очевидна.
evolution	еволюция	Еволюцията обяснява много биологични промени.
evolve	развивам се	Езиците се развиват с времето.
exceed	надвишавам	Търсенето може да надвиши предлагането.
exception	изключение	Има едно изключение.
excessive	прекомерен	Прекомерният шум притеснява съседите.
exclude	изключвам	Списъкът изключва временните работници.
exhibit	експонат	Музеят ще изложи редки фотографии.
exit	изход	Изходът е зад сцената.
exotic	екзотичен	Магазинът продава екзотични плодове.
expansion	разширяване	Компанията планира разширяване.
expertise	експертиза	Нейната експертиза подобри проекта.
exploit	експлоатирам	Престъпниците използват слаби пароли.
exposure	излагане	Излагането на слънце може да увреди кожата.
extension	разширение	Удължаването на крайния срок помогна на всички.
extensive	обширен	Библиотеката има обширни ресурси.
extensively	обширно	Темата беше обстойно проучена.
extract	извлечение	Екстрактът от ванилия придава аромат.
fabric	плат	Платът се усеща мек.
fabulous	приказен	Храната беше невероятна.
failed	провален	Неуспешният опит ни научи на нещо.
fake	фалшив	Уебсайтът продаваше фалшиви билети.
fame	слава	Славата промени личния му живот.
fantasy	фантазия	Романът е фентъзи.
fare	такса	Билетът за автобуса поскъпна.
federal	федерален	Федералното правителство обяви финансиране.
fever	треска	Детето има температура.
firefighter	пожарникар	Пожарникарят спаси кучето.
firework	фойерверк	Фойерверк избухна над парка.
firm	твърд	Матракът е твърд.
firmly	твърдо	Тя затвори вратата здраво.
flavour	вкус	Супата има богат вкус.
fond	любящ	Той е голям почитател на джаза.
fool	глупак	Не се дръж като глупак.
forbid	забранявам	Законът забранява пушенето тук.
forecast	прогноза	Прогнозата предвижда дъжд.
format	формат	Използвайте правилния файлов формат.
formation	формирование	Образуването на облаците се променя бързо.
formerly	преди	Сградата някога е била училище.
fortunate	щастлив	Имахме късмета да пристигнем рано.
forum	форум	Форумът обсъди климатичната политика.
fossil	вкаменелост	Фосилът беше открит в камък.
foundation	основа	Къщата има здрава основа.
founder	основател	Основателят посрещна гостите.
fraction	част	Само малка част от студентите дойдоха.
fragment	фрагмент	На пода лежеше парче стъкло.
framework	рамка	Законът създава ясна рамка.
fraud	измама	Банката откри измама.
freely	свободно	Децата играеха свободно навън.
frequent	чест	Честите почивки подобряват концентрацията.
fulfil	изпълнявам	Надявам се да изпълня обещанието си.
full-time	на пълен работен ден	Тя има работа на пълен работен ден.
fundamentally	фундаментално	Планът е фундаментално различен.
furious	яростен	Той беше разярен заради закъснението.
gaming	игри	Геймингът може да подобри скоростта на реакция.
gay	гей	Той подкрепя правата на хомосексуалните.
gender	пол	Проучването питаше за пола.
gene	ген	Генът влияе на цвета на очите.
genetic	генетичен	Заболяването има генетични причини.
genius	гений	Младият пианист е гений.
genuine	истински	Усмивката ѝ изглеждаше искрена.
genuinely	искрено	Той искрено искаше да помогне.
gesture	жест	Тя направи приятелски жест.
gig	участие	Групата свири на концерт в центъра.
globalization	глобализация	Глобализацията засяга местния бизнес.
globe	глобус	Глобусът показва всеки континент.
golden	златен	Залезът стана златист.
goodness	доброта	Тя вярва в човешката доброта.
gorgeous	великолепен	Градината изглеждаше прекрасна.
governor	губернатор	Губернаторът подписа законопроекта.
graphic	графичен	Графичното изображение шокира зрителите.
graphics	графика	Играта има проста графика.
greatly	значително	Твоят съвет помогна значително.
greenhouse	оранжерия	Доматите растат в оранжерията.
grocery	хранителни стоки	Тя купи хранителни стоки след работа.
guideline	насока	Указанието обяснява безопасната практика.
habitat	местообитание	Гората е местообитание на птици.
harbour	пристанище	Лодката влезе в пристанището.
headquarters	щаб	Централата на компанията се премести в центъра.
