source_headword	TA	example_TA
discard	எறி	பயனுள்ள பதிவுகளை எறிந்து விடாதீர்கள்.
discharge	டிஸ்சார்ஜ் செய்	மருத்துவமனை அவரை நாளை டிஸ்சார்ஜ் செய்யும்.
disclose	வெளிப்படுத்து	அதிகாரிகள் புள்ளிவிவரங்களை வெளிப்படுத்த மறுத்துவிட்டனர்.
disclosure	வெளிப்படுத்தல்	இந்த வெளிப்படுத்தல் குழுவை அதிர்ச்சிக்குள்ளாக்கியது.
discourse	உரையாடல்	பொது உரையாடல் மிகவும் கண்ணியமாக மாறியது.
discretion	விவேகம்	முக்கியமான வழக்குகளில் உங்கள் விவேகத்தைப் பயன்படுத்துங்கள்.
discrimination	பாகுபாடு	சட்டம் வேலைவாய்ப்பில் பாகுபாட்டை தடை செய்கிறது.
dismissal	பணிநீக்கம்	அவர் பணிநீக்கம் செய்யப்பட்டது பொதுமக்களின் கோபத்தை ஏற்படுத்தியது.
displace	இடமாற்று	போர் ஆயிரக்கணக்கானோரை வெளியேற்றக்கூடும்.
disposal	அகற்றுதல்	கழிவுகளை அகற்றுவது ஒரு உள்ளூர் பிரச்சினையாகவே உள்ளது.
dispose	அகற்று	நிறுவனம் இரசாயனங்களை பாதுகாப்பாக அகற்ற வேண்டும்.
dispute	தகராறு	தகராறு பல மாதங்கள் நீடித்தது.
disrupt	இடையூறு செய்	சத்தம் கவனத்தை சிதறடிக்கக்கூடும்.
disruption	இடையூறு	வேலைநிறுத்தம் பெரிய இடையூறை ஏற்படுத்தியது.
dissolve	கரை	சர்க்கரை சூடான தேநீரில் கரையும்.
distinction	வேறுபாடு	அவற்றுக்கிடையேயான வேறுபாடு முக்கியமானது.
distinctive	தனித்துவமான	அவளுக்கு ஒரு தனித்துவமான குரல் உள்ளது.
distort	சிதை	கண்ணாடி உங்கள் பிம்பத்தை சிதைக்கக்கூடும்.
distress	மனவேதனை	அந்த அழைப்பு கடுமையான மனவேதனையை ஏற்படுத்தியது.
disturbing	தொந்தரவு செய்யும்	ஆவணப்படம் தொந்தரவு செய்யும் காட்சிகளைக் காட்டியது.
divert	திசைதிருப்பு	போக்குவரத்து காவல்துறையினர் வாகனங்களை திசைதிருப்ப வேண்டியிருந்தது.
divine	தெய்வீக	தேவாலயம் ஒரு தெய்வீக சூழலைக் கொண்டுள்ளது.
doctrine	கோட்பாடு	கட்சி பழைய கோட்பாட்டை நிராகரித்தது.
documentation	ஆவணமாக்கல்	தொடங்குவதற்கு முன் ஆவணமாக்கலை முடிக்கவும்.
domain	களம்	இணையதளம் பாதுகாப்பான டொமைனைப் பயன்படுத்துகிறது.
dominance	ஆதிக்கம்	அணியின் ஆதிக்கம் ஒரு தசாப்தமாக நீடித்தது.
donor	நன்கொடையாளர்	நன்கொடையாளர் இன்று ரத்தம் கொடுத்தார்.
dose	மருந்து அளவு	காலை உணவுக்குப் பிறகு ஒரு மருந்து அளவை எடுத்துக் கொள்ளுங்கள்.
drain	வடிகால்	தண்ணீர் ஆற்றில் வடிகாலாகிவிடும்.
drift	சறுக்கல்	சாலை முழுவதும் புகை சறுக்கத் தொடங்கியது.
driving	முக்கிய	தாமதத்திற்கு மழை முக்கிய காரணமாக இருந்தது.
drown	மூழ்க	நீரோட்டங்கள் உங்களை மூழ்கடிக்கும் இடத்தில் ஒருபோதும் நீந்த வேண்டாம்.
dual	இரட்டை	சாதனம் இரட்டை செயல்பாட்டைக் கொண்டுள்ளது.
dub	பெயரிடு	விமர்சகர்கள் இந்த நகரத்தை கலாச்சார தலைநகரம் என்று பெயரிடுகின்றனர்.
dumb	ஊமை	அது ஒரு முட்டாள்தனமான தவறு.
duo	இருவர்	நகைச்சுவை இருவர் ஐரோப்பாவில் சுற்றுப்பயணம் செய்தனர்.
eager	ஆர்வமாக	மாணவர்கள் தொடங்க ஆர்வமாக இருந்தனர்.
earnings	வருமானம்	நிறுவனத்தின் வருமானம் கடுமையாக உயர்ந்தது.
ease	எளிமை	புதிய சாலை போக்குவரத்தை எளிதாக்கும்.
echo	எதிரொலி	அவளது குரல் மண்டபத்தில் எதிரொலித்தது.
ecological	சுற்றுச்சூழல்	சுற்றுச்சூழல் தாக்கம் இன்னும் உறுதியாகத் தெரியவில்லை.
educator	கல்வியாளர்	கல்வியாளர் ஒரு புதிய பாடநெறியை வடிவமைத்தார்.
effectiveness	செயல்திறன்	தடுப்பூசியின் செயல்திறனை இந்த ஆய்வு அளவிட்டது.
efficiency	திறன்	சிறந்த மென்பொருள் திறனை மேம்படுத்தியது.
ego	அகங்காரம்	அவனது அகங்காரம் வேலையில் சிக்கல்களை ஏற்படுத்தியது.
elaborate	விரிவான	விரிவான ஆடைக்கு வாரங்கள் ஆனது.
electoral	தேர்தல்	தேர்தல் முறை கடந்த ஆண்டு மாறியது.
elevate	உயர்த்து	விருது அவளது சுயவிவரத்தை உயர்த்தும்.
eligible	தகுதியான	குடியிருப்பாளர்கள் மட்டுமே தள்ளுபடி பெற தகுதியானவர்கள்.
elite	உயரடுக்கு	உயரடுக்கினர் தனியார் அகாடமியில் பயிற்சி பெற்றனர்.
embark	தொடங்கு	அவர்கள் ஒரு நீண்ட பயணத்தை தொடங்குவார்கள்.
embarrassment	தர்மசங்கடம்	தனது தர்மசங்கடத்தை மறைக்க அவர் சிரித்தார்.
embassy	தூதரகம்	தூதரகம் புதிய பயண ஆலோசனையை வழங்கியது.
embed	உட்பொதி	பத்திரிகையாளர் இந்த பிரிவில் உட்பொதிவார்.
embody	உள்ளடக்கியது	இந்த சிலை தைரியத்தை உள்ளடக்கியதாக தெரிகிறது.
emergence	தோற்றம்	தொலைபேசிகளின் தோற்றம் அன்றாட வாழ்க்கையை மாற்றியது.
empirical	அனுபவபூர்வமான	அறிக்கை அனுபவபூர்வமான ஆதாரங்களை நம்பியுள்ளது.
empower	அதிகாரமளி	கல்வி உள்ளூர் சமூகங்களுக்கு அதிகாரமளிக்கும்.
enact	இயற்று	சீர்திருத்தத்தை இயற்ற நாடாளுமன்றம் வாக்களித்தது.
encompass	உள்ளடக்கு	பாடநெறி நவீன வரலாற்றை உள்ளடக்கும்.
encouragement	ஊக்கம்	அவளது ஊக்கம் அவரைத் தொடர உதவியது.
encouraging	ஊக்கமளிக்கும்	ஆரம்ப முடிவுகள் ஊக்கமளிப்பதாகத் தெரிகிறது.
endeavour	முயற்சி	மீட்பு ஒரு கடினமான முயற்சியாக இருந்தது.
endless	முடிவற்ற	பாலைவனம் முடிவற்றதாகத் தோன்றியது.
endorse	ஒப்புதல்	வேட்பாளருக்கு ஒப்புதல் அளிக்க சங்கம் மறுத்துவிட்டது.
endorsement	ஒப்புதல்	அவனது ஒப்புதல் அவளது பிரச்சாரத்தை மேம்படுத்தியது.
endure	சகித்துக்கொள்	தாவரங்கள் கடுமையான குளிர்காலத்தை சகித்துக்கொள்ளும்.
enforce	செயல்படுத்து	காவல்துறை வேக வரம்பை செயல்படுத்துகிறது.
enforcement	அமலாக்கம்	வலுவான அமலாக்கம் சட்டவிரோத குப்பைகளை குறைத்தது.
engagement	ஈடுபாடு	இந்த செமஸ்டரில் மாணவர் ஈடுபாடு மேம்பட்டது.
engaging	ஈர்க்கக்கூடிய	பேச்சாளர் ஈர்க்கக்கூடிய உரையை நிகழ்த்தினார்.
enquire	விசாரி	முன் மேசையில் விசாரிக்கவும்.
enrich	வளப்படுத்து	பயணம் உங்கள் புரிதலை வளப்படுத்தும்.
enrol	பதிவு செய்	செப்டம்பர் மாதத்திற்குள் மாணவர்கள் பதிவு செய்ய வேண்டும்.
ensue	தொடர்ந்து நடக்கும்	அறிவிப்புக்குப் பிறகு குழப்பம் தொடர்ந்து நடக்கலாம்.
enterprise	நிறுவனம்	நிறுவனம் உள்ளூர் கலைஞர்களைப் பயன்படுத்துகிறது.
enthusiast	ஆர்வலர்	சைக்கிள் ஓட்டும் ஒவ்வொரு ஆர்வலருக்கும் இந்த பாதை தெரியும்.
entitle	உரிமை அளி	டிக்கெட் உங்களுக்கு நுழைவதற்கான உரிமையை அளிக்கும்.
entity	நிறுவனம்	நிறுவனம் ஒரு தனி சட்ட நிறுவனம்.
epidemic	தொற்றுநோய்	தொற்றுநோய் பல பகுதிகளில் பரவியது.
equality	சமத்துவம்	இயக்கம் சமத்துவத்திற்காக போராடியது.
equation	சமன்பாடு	சமன்பாடு இரண்டு அறியப்படாதவற்றைக் கொண்டுள்ளது.
erect	நிமிர்த்து	தொழிலாளர்கள் புதிய வேலியை நிமிர்த்துவார்கள்.
escalate	தீவிரமடையும்	மோதல் விரைவாக தீவிரமடையக்கூடும்.
essence	சாரம்	கவிதை குழந்தை பருவத்தின் சாரத்தை படம்பிடிக்கிறது.
establishment	நிறுவனம்	நிறுவனம் சீர்திருத்தத்தை எதிர்த்தது.
eternal	நித்தியமான	அவர்கள் நித்தியமான நட்புக்கு உறுதியளித்தனர்.
evacuate	வெளியேற்று	குடியிருப்பாளர்களை பாதுகாப்பாக வெளியேற்ற தீயணைப்பு வீரர்கள் உதவினர்.
evoke	தூண்டு	பாடல் வலுவான நினைவுகளைத் தூண்டும்.
evolutionary	பரிணாம	புதைபடிவம் ஒரு பரிணாம மாற்றத்தைக் காட்டுகிறது.
exaggerate	மிகைப்படுத்து	உங்கள் அனுபவத்தை மிகைப்படுத்தாதீர்கள்.
excellence	சிறப்பு	பள்ளி கல்விச் சிறப்பிற்கு வெகுமதி அளிக்கிறது.
exceptional	விதிவிலக்கான	அவள் விதிவிலக்கான திறமையைக் காட்டினாள்.
excess	அதிகப்படியான	அதிகப்படியான நீர் நிலத்தடி அறையில் வெள்ளத்தை ஏற்படுத்தியது.
exclusion	விலக்குதல்	சமூக விலக்குதல் இளைஞர்களுக்கு தீங்கு விளைவிக்கிறது.
exclusive	பிரத்தியேகமான	கிளப் பிரத்தியேகமான அணுகலை வழங்குகிறது.
exclusively	பிரத்தியேகமாக	இந்த அறை பிரத்தியேகமாக ஊழியர்களால் பயன்படுத்தப்படுகிறது.
execute	செயல்படுத்து	அணி திட்டத்தை கவனமாக செயல்படுத்துவார்கள்.
execution	நிறைவேற்றுதல்	உத்தியை நிறைவேற்றுவதற்கு மாதங்கள் ஆனது.
exert	செலுத்து	நீங்கள் அதிக அழுத்தத்தை செலுத்த வேண்டும்.
exile	நாடு கடத்தல்	எழுத்தாளர் நாடு கடத்தப்பட்டு வாழ்ந்தார்.
expenditure	செலவு	கடந்த ஆண்டு பொதுச் செலவு அதிகரித்தது.
experimental	பரிசோதனை	சிகிச்சை இன்னும் பரிசோதனையில் உள்ளது.
expire	காலாவதியாகும்	எனது பாஸ்போர்ட் விரைவில் காலாவதியாகும்.
explicit	வெளிப்படையான	வழிமுறைகள் வெளிப்படையாக இருந்தன.
explicitly	வெளிப்படையாக	விதிகள் வெளிப்படையாக புகைப்பிடிப்பதை தடை செய்கின்றன.
exploitation	சுரண்டல்	தொழிலாளர் சுரண்டலை இந்த அறிக்கை அம்பலப்படுத்தியது.
explosive	வெடிக்கும்	வெடிக்கும் சாதனம் பாதுகாப்பாக அகற்றப்பட்டது.
extremist	தீவிரவாதி	தீவிரவாத குழு ஆதரவை இழந்தது.
facilitate	எளிதாக்கு	பயன்பாடு தொலைதூர கற்றலை எளிதாக்கும்.
faction	பிரிவு	ஒரு பிரிவு தலைவரை எதிர்த்தது.
faculty	ஆசிரியர்கள்	ஆசிரியர்கள் முன்மொழிவுக்கு ஒப்புதல் அளித்தனர்.
fade	மங்கு	சூரிய ஒளியில் வண்ணம் மங்கிவிடும்.
fairness	நியாயம்	ஒவ்வொரு போட்டியிலும் நியாயம் முக்கியம்.
fatal	ஆபத்தான	விபத்து ஆபத்தான காயங்களை ஏற்படுத்தியது.
fate	விதி	அவனது விதி யாருக்கும் தெரியாது.
favourable	சாதகமான	விமர்சனம் சாதகமானதாக இருந்தது.
feat	சாதனை	அந்த சிகரத்தில் ஏறியது ஒரு சாதனை.
feminist	பெண்ணியவாதி	பெண்ணிய இயக்கம் பொது விவாதத்தை மாற்றியது.
fibre	நார்	இந்த ரொட்டியில் கூடுதல் நார் உள்ளது.
fierce	கடுமையான	கடுமையான புயல் கூரைகளை சேதப்படுத்தியது.
film-maker	திரைப்பட தயாரிப்பாளர்	திரைப்பட தயாரிப்பாளர் பின்னர் கேள்விகளுக்கு பதிலளித்தார்.
filter	வடிகட்டி	வடிகட்டி காற்றிலிருந்து தூசியை நீக்குகிறது.
fine	அபராதம்	நிறுவனம் அபராதம் செலுத்தியது.
firearm	துப்பாக்கி	திருடப்பட்ட துப்பாக்கியை அதிகாரி மீட்டார்.
fit	பொருத்தம்	புதிய காலணிகள் சரியான பொருத்தம்.
fixture	நிலையான பொருள்	விளக்கு ஒரு நிலையான பொருளாகும்.
flaw	குறைபாடு	இந்த வடிவமைப்பில் ஒரு கடுமையான குறைபாடு உள்ளது.
flawed	குறைபாடுள்ள	குறைபாடுள்ள ஆய்வு தவறான முடிவுகளை அளித்தது.
flee	தப்பிச் செல்	குடும்பங்கள் சண்டையிலிருந்து தப்பிச் செல்ல வேண்டியிருந்தது.
fleet	கப்பற்படை	விமான நிறுவனம் அதன் விமானப் படையை புதுப்பித்தது.
flesh	சதை	முள் அவன் சதையைத் துளைத்தது.
flexibility	நெகிழ்வுத்தன்மை	தொலைதூர வேலை அதிக நெகிழ்வுத்தன்மையை வழங்குகிறது.
flourish	செழித்து வளர்	சிறு வணிகங்கள் இங்கே செழிக்க முடியும்.
fluid	திரவம்	உடற்பயிற்சிக்குப் பிறகு நிறைய திரவங்களை அருந்தவும்.
footage	காட்சிப்பதிவு	காட்சிப்பதிவு விபத்தை காட்டியது.
foreigner	வெளிநாட்டவர்	படிவம் நீங்கள் வெளிநாட்டவரா என்று கேட்கிறது.
forge	உருவாக்கு	அவர்கள் ஒரு புதிய கூட்டணியை உருவாக்க முயன்றனர்.
formula	சூத்திரம்	சூத்திரம் பிரச்சனையை தீர்த்தது.
formulate	வடிவமை	விஞ்ஞானிகள் ஒரு புதிய கோட்பாட்டை உருவாக்குகிறார்கள்.
forth	முன்னோக்கி	நதி படகை முன்னோக்கி கொண்டு சென்றது.
forthcoming	வரவிருக்கும்	வரவிருக்கும் அறிக்கை அனைத்தையும் விளக்கும்.
foster	வளர்ப்பது	இத்திட்டம் சுதந்திரத்தை வளர்க்க உதவுகிறது.
fragile	உடையக்கூடிய	உடையக்கூடிய குவளையை கவனமாக கையாள வேண்டும்.
franchise	உரிமை	இந்த உணவகம் ஒரு உலகளாவிய உரிமையாக மாறியது.
frankly	வெளிப்படையாக	வெளிப்படையாகச் சொன்னால், எங்களுக்கு அதிக நேரம் தேவை.
frustrated	விரக்தியடைந்த	தாமதத்தால் தொழிலாளர்கள் விரக்தியடைந்தனர்.
frustrating	விரக்தியூட்டும்	மெதுவான இணைய இணைப்பு விரக்தியூட்டுவதாக இருந்தது.
frustration	விரக்தி	கூட்டத்தின் போது விரக்தி அதிகரித்தது.
functional	செயல்படக்கூடிய	பழைய சமையலறை இன்னும் செயல்படுகிறது.
fundraising	நிதி திரட்டல்	நிதி திரட்டல் அடுத்த வாரம் தொடங்குகிறது.
funeral	இறுதிச் சடங்கு	இறுதிச் சடங்கு வெள்ளிக்கிழமை நடைபெற்றது.
gallon	கேலன்	தொட்டி ஒரு கேலன் கொள்ளளவு கொண்டது.
gambling	சூதாட்டம்	சூதாட்டம் சட்டத்தால் தடைசெய்யப்பட்டுள்ளது.
gathering	கூட்டமைப்பு	கூட்டம் அமைதியாக முடிந்தது.
gaze	பார்வை	அவள் அவனது பார்வையை சிறிது நேரம் பிடித்துக்கொண்டாள்.
gear	உபகரணங்கள்	ஏறுவதற்கு முன் பாதுகாப்பு உபகரணங்களை கட்டவும்.
generic	பொதுவான	பொதுவான பதிப்பின் விலை குறைவு.
genocide	இனப்படுகொலை	இனப்படுகொலை ஆழமான தேசிய அதிர்ச்சியை ஏற்படுத்தியது.
glance	பார்வை	அவன் ஒரு விரைவான பார்வை பார்த்தான்.
glimpse	ஒரு பார்வை	நான் கடலை ஒரு கணம் பார்த்தேன்.
glorious	புகழ்பெற்ற	அணி ஒரு புகழ்பெற்ற வெற்றியை கொண்டாடியது.
glory	பெருமை	அவள் ஒலிம்பிக் பெருமையை கனவு கண்டாள்.
governance	நிர்வாகம்	நல்ல நிர்வாகத்திற்கு வெளிப்படைத்தன்மை தேவை.
grace	கருணை	அவள் தோல்வியை கருணையுடன் ஏற்றுக்கொண்டாள்.
grasp	புரிந்துகொள்	கருத்தை புரிந்து கொள்ள அவன் தவறிவிட்டான்.
grave (for dead person)	கல்லறை	கல்லறை பூக்களால் மூடப்பட்டிருந்தது.
grave (serious)	கடுமையான	நிலைமை இன்னும் கடுமையாக உள்ளது.
gravity	ஈர்ப்பு விசை	ஈர்ப்பு விசை பொருட்களை பூமியை நோக்கி இழுக்கிறது.
grid	கட்டமைப்பு	வரைபடம் ஒரு எளிய கட்டமைப்பைப் பயன்படுத்துகிறது.
grief	துக்கம்	துக்கம் அவனது முழு குடும்பத்தையும் மாற்றியது.
grin	புன்னகை	சிறுவன் ஒரு பெரிய புன்னகையை வெளிப்படுத்தினான்.
grind	அரை	தொழிலாளர்கள் தினமும் காலையில் காபி விதைகளை அரைக்கிறார்கள்.
grip	பிடி	கயிற்றை உறுதியாக பிடித்துக் கொள்ளுங்கள்.
gross	மொத்த	மொத்த வருமானம் கடுமையாக உயர்ந்தது.
guerrilla	கெரில்லா	கெரில்லா போராளிகள் மலைகளில் மறைந்திருந்தனர்.
guidance	வழிகாட்டுதல்	வழிகாட்டி நடைமுறை வழிகாட்டுதலை வழங்குகிறார்.
guilt	குற்றவுணர்வு	பொய் சொன்ன பிறகு அவள் குற்றவுணர்ச்சியடைந்தாள்.
gut	குடல்	கடினமான தேர்வுகளில் உங்கள் உள்ளுணர்வை நம்புங்கள்.
hail	போற்று	கிராமவாசிகள் மருத்துவரை ஒரு வீராங்கனையாகப் போற்றினர்.
halfway	பாதி வழியில்	நாங்கள் மலையின் பாதி வழியில் நின்றோம்.
halt	நிறுத்து	ரயில் திடீரென நின்றது.
handful	ஒரு கைப்பிடி	ஒரு சில தொண்டர்கள் தாமதமாக இருந்தனர்.
handling	கையாளுதல்	சரியான கையாளுதல் சேதத்தை தடுக்கிறது.
handy	வசதியான	பழுதுபார்ப்பதற்கு இந்தக் கருவி மிகவும் வசதியானது.
harassment	தொல்லை	நிறுவனம் தொல்லை புகார்களை விசாரித்தது.
hardware	வன்பொருள்	கடை கணினி வன்பொருள்களை விற்கிறது.
harmony	நல்லிணக்கம்	பாடகர் குழு சரியான நல்லிணக்கத்துடன் பாடியது.
harsh	கடுமையான	நீதிபதி கடுமையான தண்டனை வழங்கினார்.
harvest	அறுவடை	அறுவடை செப்டம்பரில் தொடங்குகிறது.
haunt	அச்சுறுத்து	அந்த நினைவு அவனைத் தொடர்ந்து அச்சுறுத்தியது.
hazard	ஆபத்து	பனிச்சறுக்கு சாலையில் ஒரு கடுமையான ஆபத்து.
heighten	அதிகமாக்கு	உரை பதட்டங்களை அதிகரிக்கக்கூடும்.
heritage	பாரம்பரியம்	கோட்டை உள்ளூர் பாரம்பரியத்தின் ஒரு பகுதியாகும்.
hierarchy	படிநிலை	அலுவலக படிநிலை தெளிவாக வரையறுக்கப்பட்டுள்ளது.
high-profile	உயர்மட்ட	உயர்மட்ட வழக்கு செய்தியாளர்களை ஈர்த்தது.
hint	குறிப்பு	அவள் எனக்கு ஒரு பயனுள்ள குறிப்பை அளித்தாள்.
homeland	தாய்நாடு	அவன் தனது தாய்நாட்டிற்கு திரும்பினான்.
hopeful	நம்பிக்கையான	குணமடைவது பற்றி மருத்துவர்கள் நம்பிக்கையுடன் உள்ளனர்.
horizon	தொடுவானம்	சூரியன் தொடுவானத்திற்கு கீழே மறைந்தது.
horn	ஹாரன்	காரின் ஹாரன் அனைவரையும் எழுப்பியது.
