source_headword	TA	example_TA
activist	ஆர்வலர்	ஆர்வலர் பேரணியில் பேசினார்.
acute	கடுமையான	ஓடிய பிறகு அவளுக்கு கடுமையான வலி ஏற்பட்டது.
adaptation	தழுவல்	தழுவல் நாவலின் முடிவை மாற்றியது.
adhere	கடைப்பிடி	ஊழியர்கள் பாதுகாப்பு விதிகளை கடைப்பிடிக்க வேண்டும்.
adjacent	அருகிலுள்ள	ஹோட்டல் நிலையத்திற்கு அருகில் உள்ளது.
adjustment	சரிசெய்தல்	ஒரு சிறிய சரிசெய்தல் சிக்கலை சரிசெய்தது.
administer	நிர்வகி	செவிலியர்கள் தடுப்பூசியை கவனமாக நிர்வகிக்கிறார்கள்.
administrative	நிர்வாக	நிர்வாக ஊழியர்கள் படிவங்களைக் கையாளுகின்றனர்.
administrator	நிர்வாகி	நிர்வாகி எனது கடவுச்சொல்லை மீட்டமைத்தார்.
admission	அனுமதி	அருங்காட்சியகத்திற்கு அனுமதி இலவசம்.
adolescent	பதின்பருவத்தினர்	பதின்பருவத்தினருக்கு கூடுதல் ஆதரவு தேவைப்பட்டது.
adoption	தத்தெடுப்பு	தத்தெடுப்பு குழந்தைக்கு நிலையான வீட்டைக் கொடுத்தது.
adverse	பாதகமான	மருந்து பாதகமான விளைவுகளை ஏற்படுத்தியது.
advocate	வழக்கறிஞர்	வழக்கறிஞர் குத்தகைதாரர் உரிமைகளை ஆதரித்தார்.
aesthetic	அழகியல்	அறை அமைதியான அழகியல் பாணியைக் கொண்டுள்ளது.
affection	பாசம்	அவள் தன் குடும்பத்தின் மீது பாசம் காட்டினாள்.
aftermath	பின்விளைவு	புயலின் பின்விளைவு கடினமாக இருந்தது.
aggression	ஆக்கிரமிப்பு	ஆசிரியர் இடைவேளையின் போது ஆக்கிரமிப்பைக் கவனித்தார்.
agricultural	விவசாய	இந்த ஆண்டு விவசாய ஏற்றுமதி அதிகரித்தது.
aide	உதவியாளர்	உதவியாளர் அமைச்சரின் அட்டவணையை ஏற்பாடு செய்தார்.
albeit	ஆயினும்	திட்டம் வேலை செய்தது, ஆயினும் மெதுவாக.
alert	எச்சரி	தயவுசெய்து உடனடியாக ஊழியர்களை எச்சரிக்கவும்.
align	சீரமை	அம்புகள் சாலையுடன் சீரமைக்கப்பட்டுள்ளன.
alignment	சீரமைப்பு	சக்கர சீரமைப்பு காரின் கையாளுதலை மேம்படுத்தியது.
alike	ஒரே மாதிரியாக	இரட்டையர்கள் வார இறுதியில் ஒரே மாதிரியாக ஆடை அணிகிறார்கள்.
allegation	குற்றச்சாட்டு	குற்றச்சாட்டு செய்தித்தாளில் வெளியானது.
allege	குற்றம் சாட்டு	நிதி இழக்கப்பட்டதாக அவர்கள் குற்றம் சாட்டுகின்றனர்.
allegedly	கூறப்படும்	ஓட்டுநர் எச்சரிக்கையை புறக்கணித்ததாக கூறப்படுகிறது.
alliance	கூட்டணி	கட்சிகள் தற்காலிக கூட்டணியை உருவாக்கின.
allocate	ஒதுக்கு	நகரம் பள்ளிகளுக்கு பணம் ஒதுக்கும்.
allocation	ஒதுக்கீடு	இருக்கை ஒதுக்கீடு நியாயமற்றது.
allowance	கொடுப்பனவு	அவளது கொடுப்பனவு மதிய உணவு மற்றும் போக்குவரத்தை உள்ளடக்கியது.
ally	நட்பு நாடு	கனடா நெருங்கிய நட்பு நாடாக மாறியது.
aluminium	அலுமினியம்	சட்டம் அலுமினியத்தால் ஆனது.
amateur	அமெச்சூர்	ஒரு அமெச்சூர் புகைப்படக் கலைஞர் படம் எடுத்தார்.
ambassador	தூதர்	தூதர் உள்ளூர் மாணவர்களை சந்தித்தார்.
amend	திருத்து	சட்டத்தை திருத்த பாராளுமன்றம் வாக்களித்தது.
amendment	திருத்தம்	திருத்தம் ஒரு பத்தியை மாற்றியது.
amid	மத்தியில்	வளர்ந்து வரும் பதற்றத்திற்கு மத்தியில் உரை வந்தது.
analogy	ஒப்புமை	ஆசிரியர் ஒரு எளிய ஒப்புமையைப் பயன்படுத்தினார்.
anchor	நங்கூரம்	படகு தீவுக்கு அருகில் நங்கூரமிட்டது.
angel	தேவதை	குழந்தை ஒரு தேவதை உடையில் இருந்தது.
anonymous	அநாமதேய	புகார் அநாமதேயமாக இருந்தது.
apparatus	கருவி	ஆய்வக கருவியை சுத்தம் செய்ய வேண்டும்.
appealing	ஈர்க்கக்கூடிய	சலுகை மாணவர்களுக்கு ஈர்க்கக்கூடியதாகத் தெரிகிறது.
appetite	பசி	உடற்பயிற்சி அவனது பசியை அதிகரித்தது.
applaud	கைதட்டு	பார்வையாளர்கள் சத்தமாக கைதட்ட ஆரம்பித்தனர்.
applicable	பொருந்தக்கூடிய	தள்ளுபடி இன்று பொருந்தும்.
appoint	நியமி	வாரியம் ஒரு இயக்குநரை நியமிக்கும்.
appreciation	பாராட்டு	அவர் அவர்களின் உதவிக்கு பாராட்டு தெரிவித்தார்.
arbitrary	தன்னிச்சையான	காலக்கெடு ஊழியர்களுக்கு தன்னிச்சையாகத் தோன்றியது.
architectural	கட்டிடக்கலை	நகரம் அதன் கட்டிடக்கலை பாரம்பரியத்தை பாதுகாக்கிறது.
archive	காப்பகம்	காப்பகம் பழைய புகைப்படங்களை சேமிக்கிறது.
arena	அரங்கம்	விவாதம் பொது அரங்கில் நுழைந்தது.
arguably	விவாதிக்கக்கூடிய வகையில்	இது விவாதிக்கக்கூடிய வகையில் அவரது சிறந்த நாவலாகும்.
arm	ஆயுதமளி	காவலர்கள் கான்வாய்க்கு ஆயுதமளிப்பார்கள்.
array	வரிசை	கடை பலவிதமான கருவிகளை வழங்குகிறது.
articulate	தெளிவாக வெளிப்படுத்து	அவளால் சிக்கலான யோசனைகளை தெளிவாக வெளிப்படுத்த முடியும்.
ash	சாம்பல்	தீ விபத்துக்குப் பிறகு கார் மீது சாம்பல் மூடியது.
aspiration	அபிலாஷை	அறுவை சிகிச்சை நிபுணராக வேண்டும் என்பதே அவளது அபிலாஷை.
aspire	ஆசைப்படு	பல மாணவர்கள் வெளிநாட்டில் படிக்க ஆசைப்படுகிறார்கள்.
assassination	படுகொலை	படுகொலை நாட்டின் அரசியலை மாற்றியது.
assault	தாக்குதல்	தாக்குதல் நிலையத்திற்கு அருகில் நடந்தது.
assemble	ஒருங்கிணை	தொழிலாளர்கள் தளபாடங்களை கையால் ஒருங்கிணைக்கின்றனர்.
assembly	சபை	பள்ளி சபை ஒன்பது மணிக்கு தொடங்குகிறது.
assert	வலியுறுத்து	அவர் தனது அதிகாரத்தை வலியுறுத்த முயன்றார்.
assertion	வலியுறுத்தல்	அவளது வலியுறுத்தல் குழுவை ஆச்சரியப்படுத்தியது.
assurance	உத்தரவாதம்	மேலாளர் ஆதரவிற்கான உத்தரவாதம் அளித்தார்.
asylum	தஞ்சம்	குடும்பம் எல்லையில் தஞ்சம் கோரியது.
atrocity	அட்டூழியம்	படம் ஒரு போர்க்கால அட்டூழியத்தை விவரித்தது.
attain	அடை	சில ஓட்டப்பந்தய வீரர்கள் அந்த வேகத்தை அடைகிறார்கள்.
attendance	வருகை	அறிவிப்புக்குப் பிறகு வருகை மேம்பட்டது.
attorney	வழக்கறிஞர்	வழக்கறிஞர் சாட்சியிடம் கேள்வி எழுப்பினார்.
attribute	காரணம் கூறு	விஞ்ஞானிகள் இந்த எழுச்சிக்கு மாசுபாட்டை காரணம் கூறுகின்றனர்.
audit	தணிக்கை	தணிக்கையில் பல பிழைகள் கண்டறியப்பட்டன.
authentic	உண்மையான	உணவகம் உண்மையான பிராந்திய உணவை வழங்குகிறது.
authorize	அங்கீகரி	மேலாளர்கள் மட்டுமே பணத்தைத் திரும்பப்பெற அங்கீகரிக்க முடியும்.
auto	ஆட்டோ	ஆட்டோ தொழில் வேகமாக மாறியது.
autonomy	சுயாட்சி	இப்பகுதிக்கு அதிக சுயாட்சி தேவை.
availability	இருப்பு	இருக்கைகளின் இருப்பு குறைவாக உள்ளது.
await	காத்திருப்பு	பல செய்திகள் உங்கள் பதிலுக்காகக் காத்திருக்கின்றன.
backdrop	பின்னணி	மலைகள் ஒரு வியத்தகு பின்னணியை உருவாக்கின.
backing	ஆதரவு	இந்த முன்மொழிவு வாக்காளர்களின் ஆதரவைப் பெற்றது.
backup	காப்புப்பிரதி	கணினி தினமும் ஒரு காப்புப்பிரதியை உருவாக்குகிறது.
bail	ஜாமீன்	நீதிபதி மதியம் ஜாமீன் வழங்கினார்.
ballot	வாக்குச்சீட்டு	ஒவ்வொரு வாக்காளரும் ஒரு வாக்குச்சீட்டைப் பெற்றனர்.
banner	பதாகை	நுழைவாயிலுக்கு மேலே பதாகை தொங்கியது.
bare	வெற்று	அறையில் வெற்று சுவர்கள் இருந்தன.
barrel	பீப்பாய்	பீப்பாய் முழுதும் தண்ணீர் இருந்தது.
bass1	பாஸ்	பாஸ் ஒலி ஆழமாகவும் மென்மையாகவும் ஒலித்தது.
battlefield	போர்க்களம்	பழைய போர்க்களம் ஒரு நினைவிடமாக மாறியது.
bay	விரிகுடா	கிராமம் ஒரு அமைதியான விரிகுடா அருகே அமைந்துள்ளது.
beam	உத்திரம்	ஒரு எஃகு உத்திரம் கூரையைத் தாங்குகிறது.
beast	மிருகம்	கதை ஒரு கொடிய மிருகத்தை விவரிக்கிறது.
behalf	சார்பாக	அவர் தனது குழுவின் சார்பாகப் பேசினார்.
beloved	அன்பான	அன்பான ஆசிரியர் இன்று ஓய்வு பெற்றார்.
bench	பெஞ்ச்	அவர்கள் ஒரு மர பெஞ்சில் அமர்ந்தனர்.
benchmark	அளவுகோல்	இந்த சோதனை தொழில்துறையின் அளவுகோலாக மாறியது.
beneath	அடியில்	ஆவணங்கள் கோப்புறையின் அடியில் இருந்தன.
beneficiary	பயனாளிகள்	அவரது மகன் முக்கிய பயனாளியாக இருந்தார்.
betray	துரோகம்	உங்கள் நண்பரின் நம்பிக்கைக்குத் துரோகம் செய்யாதீர்கள்.
bind	கட்டுப்படுத்து	இந்த ஒப்பந்தம் இரு நிறுவனங்களையும் கட்டுப்படுத்தும்.
biography	சுயசரிதை	அவரது சுயசரிதையின் பல பிரதிகள் விற்பனையாகின.
bishop	பிஷப்	பிஷப் கிராமத்து தேவாலயத்திற்கு வருகை தந்தார்.
bizarre	விசித்திரமான	படத்தின் முடிவு விசித்திரமாக இருந்தது.
blade	பிளேடு	பிளேடு கயிற்றை அறுத்தது.
blast	வெடிப்பு	வெடிப்பில் அருகில் இருந்த ஜன்னல்கள் உடைந்தன.
bleed	இரத்தப்போக்கு	காயத்திலிருந்து கடுமையாக இரத்தம் கசியத் தொடங்கியது.
blend	கலவை	சாஸ் மென்மையாகும் வரை கலக்கவும்.
bless	ஆசீர்வதி	பாதிரியார் வீட்டை ஆசீர்வதிப்பார்.
blessing	ஆசீர்வாதம்	ஆதரவு கிடைத்தது ஒரு ஆசீர்வாதம்.
boast	பெருமை	அவர் பணத்தைப் பற்றிப் பெருமை பேச விரும்புகிறார்.
bonus	போனஸ்	ஊழியர்களுக்கு விடுமுறை போனஸ் கிடைத்தது.
boom	வளர்ச்சி	நகரம் கட்டுமான வளர்ச்சியைக் கண்டது.
bounce	துள்ளு	பந்து மிக உயரமாகத் துள்ளும்.
boundary	எல்லை	ஆறு எல்லையைக் குறிக்கிறது.
bow1	தலைவணங்கு	நடிகர் ஆழமாகத் தலைவணங்கினார்.
breach	மீறல்	மீறல் காரணமாகத் தனிப்பட்ட தரவுகள் கசிந்தன.
breakdown	முறிவு	அறிக்கையில் செலவு முறிவு அடங்கும்.
breakthrough	திருப்புமுனை	இந்தக் கண்டுபிடிப்பு ஒரு பெரிய திருப்புமுனையாக அமைந்தது.
breed	இனப்பெருக்கம்	இந்தப் பறவைகள் வசந்த காலத்தில் இனப்பெருக்கம் செய்கின்றன.
broadband	பிராட்பேண்ட்	அலுவலகத்திற்கு வேகமான பிராட்பேண்ட் தேவை.
browser	உலாவி	உள்நுழைவதற்கு முன் உங்கள் உலாவியைப் புதுப்பிக்கவும்.
brutal	கொடூரமான	தாக்குதல் கொடூரமானதாகவும் திடீரெனவும் இருந்தது.
buck	பக்	டிக்கெட்டின் விலை பத்து பக்ஸ்.
buddy	நண்பன்	அவனுடைய நண்பன் வெளியே காத்திருந்தான்.
buffer	தாங்கல்	மரங்கள் ஒரு சத்தத் தாங்கலை உருவாக்குகின்றன.
bulk	மொத்தமாக	அவர்கள் அரிசியை மொத்தமாக வாங்கினார்கள்.
burden	சுமை	கடன் ஒரு பெரிய சுமையாக மாறியது.
bureaucracy	அதிகாரத்துவம்	அதிகாரத்துவத்தால் அனுமதி தாமதமானது.
burial	அடக்கம்	அடக்கம் அதிகாலையில் நடந்தது.
burst	வெடிப்பு	அழுத்தத்தின் கீழ் குழாய் வெடிக்கலாம்.
cabinet	அமைச்சரவை	அமைச்சரவை இத்திட்டத்திற்கு ஒப்புதல் அளித்தது.
calculation	கணக்கீடு	கணக்கீட்டிற்குச் சில நிமிடங்கள் ஆனது.
canvas	கேன்வாஸ்	கலைஞர் ஒரு பெரிய கேன்வாஸில் ஓவியம் வரைந்தார்.
capability	திறன்	இந்தச் சாதனம் வயர்லெஸ் திறனைக் கொண்டுள்ளது.
capitalism	முதலாளித்துவம்	முதலாளித்துவம் நவீனப் பொருளாதாரத்தை வடிவமைத்தது.
capitalist	முதலாளித்துவ	முதலாளித்துவ அமைப்பு தனியார் முதலீட்டிற்கு வெகுமதி அளிக்கிறது.
cargo	சரக்கு	கப்பல் மருத்துவச் சரக்குகளை ஏற்றிச் சென்றது.
carriage	பெட்டி	ரயில் பெட்டி பெரும்பாலும் காலியாக இருந்தது.
carve	செதுக்கு	அவர் மரத்தைக் கவனமாகச் செதுக்குவார்.
casino	கேசினோ	ஹோட்டல் அருகே கேசினோ திறக்கப்பட்டது.
casualty	உயிரிழப்பு	விபத்தில் ஒருவர் உயிரிழந்தார்.
catalogue	பட்டியல்	பட்டியல் ஒவ்வொரு பொருளையும் காட்டுகிறது.
cater	வழங்கு	உணவகம் பெரிய நிகழ்வுகளுக்கு உணவளிக்க முடியும்.
cattle	கால்நடைகள்	கால்நடைகள் ஆற்றின் அருகே மேய்ந்தன.
caution	எச்சரிக்கை	பனி படர்ந்த சாலைகளில் எச்சரிக்கையாக இருங்கள்.
cautious	எச்சரிக்கையான	முதலீட்டாளர்கள் இந்த வாரம் எச்சரிக்கையாக உள்ளனர்.
cease	நிறுத்து	தொழிற்சாலை விரைவில் உற்பத்தியை நிறுத்தும்.
cemetery	கல்லறை	கல்லறை கடலைப் பார்க்கிறது.
chamber	அறை	வாக்களிப்பின் போது அறை அமைதியாக இருந்தது.
chaos	குழப்பம்	தாமதம் விமான நிலையத்தில் குழப்பத்தை ஏற்படுத்தியது.
characterize	குணாதிசயம்	வல்லுநர்கள் இந்தத் திட்டத்தை ஆபத்தானது என்று கூறுகிறார்கள்.
charm	வசீகரம்	நகரம் பழைய உலக வசீகரத்தைக் கொண்டுள்ளது.
charter	சாசனம்	சாசனம் அடிப்படை உரிமைகளைப் பாதுகாக்கிறது.
chronic	நாள்பட்ட	அவர் நாள்பட்ட முதுகுவலியால் அவதிப்படுகிறார்.
chunk	துண்டு	பாலாடைக்கட்டியை ஒரு துண்டாக வெட்டவும்.
circulate	சுற்றுக்கு விடு	நிகழ்ச்சி நிரலை இன்று பகிரவும்.
circulation	சுழற்சி	செய்தித்தாளின் சுழற்சி கடுமையாகச் சரிந்தது.
citizenship	குடியுரிமை	அவர் பிரெஞ்சு குடியுரிமைக்கு விண்ணப்பித்தார்.
civic	குடிமை	குடிமைத் தலைவர்கள் கூட்டத்தில் கலந்து கொண்டனர்.
civilian	சிவிலியன்	பல சிவிலியன் வீடுகள் சேதமடைந்தன.
clarity	தெளிவு	வரைபடம் அறிக்கைக்குத் தெளிவைச் சேர்த்தது.
clash	மோதல்	பேரணிக்குப் பிறகு மோதல் தொடங்கியது.
classification	வகைப்பாடு	வகைப்பாடு அளவைப் பொறுத்தது.
cling	ஒட்டிக்கொள்	ஈரமான ஆடைகள் சருமத்தில் ஒட்டிக்கொள்ளும்.
clinical	மருத்துவ	மருத்துவப் பரிசோதனை அடுத்த மாதம் தொடங்குகிறது.
closure	முடிவு	வழக்குக்குப் பிறகு குடும்பம் ஒரு முடிவை விரும்பியது.
cluster	கொத்து	வீடுகளின் கொத்து அருகில் நின்றது.
coalition	கூட்டணி	கூட்டணி தனது பெரும்பான்மையை இழந்தது.
coastal	கடலோர	கடலோரக் கிராமங்கள் வெள்ளத்திற்குத் தயாராகின.
cocktail	காக்டெய்ல்	அவள் ஒரு பழக் காக்டெய்ல் ஆர்டர் செய்தாள்.
cognitive	அறிவாற்றல்	பயிற்சியின் மூலம் அறிவாற்றல் திறன்கள் மேம்படும்.
coincide	ஒத்துப்போ	திருவிழா பட்டமளிப்பு விழாவுடன் ஒத்துப்போகும்.
collaborate	ஒத்துழை	அணிகள் மென்பொருளில் ஒத்துழைக்கின்றன.
collaboration	ஒத்துழைப்பு	அவர்களின் ஒத்துழைப்பு வலுவான முடிவுகளைத் தந்தது.
collective	கூட்டு	முடிவு ஒரு கூட்டு முயற்சியாகும்.
collision	மோதல்	மோதல் நெடுஞ்சாலையை மறித்தது.
colonial	காலனித்துவ	கட்டிடம் காலனித்துவ கட்டிடக்கலை கொண்டது.
columnist	கட்டுரையாளர்	கட்டுரையாளர் கொள்கையை விமர்சித்தார்.
combat	போர்	வீரர்கள் போருக்காகப் பயிற்சி பெற்றனர்.
commence	தொடங்கும்	விழா நண்பகலில் தொடங்கும்.
commentary	வர்ணனை	போட்டியின் வர்ணனை விறுவிறுப்பாக இருந்தது.
commentator	வர்ணனையாளர்	வர்ணனையாளர் முடிவை விளக்கினார்.
commerce	வர்த்தகம்	ஆன்லைன் வர்த்தகம் விரைவாக வளர்ந்தது.
commissioner	ஆணையர்	ஆணையர் புதிய விதிகளை அறிவித்தார்.
commodity	சரக்கு	கோதுமை ஒரு முக்கியமான சரக்கு.
communist	கம்யூனிஸ்ட்	கம்யூனிஸ்ட் கட்சி ஒரு கூட்டத்தை நடத்தியது.
companion	துணை	அவளது நாய் ஒரு விசுவாசமான துணை.
comparable	ஒப்பிடத்தக்க	இரண்டு நகரங்களும் அளவில் ஒப்பிடத்தக்கவை.
compassion	இரக்கம்	செவிலியர் மிகுந்த இரக்கத்தைக் காட்டினார்.
compel	கட்டாயப்படுத்து	சான்றுகள் பதிலளிக்க கட்டாயப்படுத்தலாம்.
compelling	கட்டாயமான	ஆவணப்படம் ஒரு கட்டாயமான வாதத்தை முன்வைத்தது.
compensate	இழப்பீடு வழங்கு	பாதிக்கப்பட்ட வாடிக்கையாளர்களுக்கு நிறுவனம் இழப்பீடு வழங்கும்.
compensation	இழப்பீடு	தொழிலாளர்கள் நியாயமான இழப்பீடு கேட்டனர்.
competence	திறன்	தேர்வு தொழில்முறை திறனை அளவிடுகிறது.
competent	திறமையான	அவள் ஒரு திறமையான பொறியியலாளர்.
compile	தொகு	ஆராய்ச்சியாளர்கள் மருத்துவமனைகளில் இருந்து தரவுகளைத் தொகுக்கின்றனர்.
complement	நிரப்பு	மது உணவை நிரப்பும்.
complexity	சிக்கல்	இத்திட்டத்தில் எதிர்பாராத சிக்கல் உள்ளது.
compliance	இணக்கம்	தணிக்கை சட்ட இணக்கத்தை சரிபார்த்தது.
complication	சிக்கல்	அறுவை சிகிச்சையில் ஒரு சிக்கல் இருந்தது.
comply	இணங்கு	நிறுவனங்கள் விதிமுறைகளுக்கு இணங்க வேண்டும்.
composition	கலவை	இசையமைப்பில் வயலின் மற்றும் பியானோ அடங்கும்.
compromise	சமரசம்	சமரசம் இரு தரப்பினரையும் திருப்திப்படுத்தியது.
compute	கணக்கிடு	நிரல் மொத்தத்தை கணக்கிட முடியும்.
conceal	மறை	அவர் சேதத்தை மறைக்க முயன்றார்.
concede	ஒப்புக்கொள்	அமைச்சர் தோல்வியை ஒப்புக்கொள்ள மறுத்துவிட்டார்.
conceive	கற்பனை செய்	அவர்களால் சிறந்த திட்டத்தை கற்பனை செய்ய முடியவில்லை.
conception	கருத்து	இப்படம் வரலாற்றைப் பற்றிய எனது கருத்தை மாற்றியது.
concession	சலுகை	நிறுவனம் ஒரு சலுகையை வழங்கியது.
condemn	கண்டனம் தெரிவி	தலைவர்கள் தாக்குதலை பகிரங்கமாக கண்டிக்கின்றனர்.
confer	வழங்கு	விருது கௌரவத்தை அளிக்கும்.
confession	வாக்குமூலம்	அவனது ஒப்புதல் வாக்குமூலம் நீதிமன்றத்தை ஆச்சரியப்படுத்தியது.
configuration	கட்டமைப்பு	கட்டமைப்பு பிணைய அணுகலைக் கட்டுப்படுத்துகிறது.
confine	வரம்புக்குட்படுத்து	விதிகள் நாய்களை இந்தப் பகுதிக்கு வரம்புக்குட்படுத்துகின்றன.
confirmation	உறுதிப்படுத்தல்	மின்னஞ்சல் மூலம் உறுதிப்படுத்தலைப் பெற்றோம்.
confront	எதிர்கொள்	அவள் பிரச்சினையை எதிர்கொள்ள முடிவு செய்தாள்.
confrontation	மோதல்	வன்முறையின்றி மோதல் முடிந்தது.
congratulate	வாழ்த்து	என் சகோதரியை வாழ்த்த அழைத்தேன்.
congregation	சபை	சபை ஒன்றாக பாடியது.
congressional	காங்கிரஸ்	காங்கிரஸ் விசாரணை பல மணி நேரம் நீடித்தது.
conquer	வெல்	அணி சந்தையை வெல்ல நம்புகிறது.
conscience	மனசாட்சி	அவன் மனசாட்சி பொய்களை அனுமதிக்காது.
consciousness	உணர்வு	விபத்து அவனது சுயநினைவை பாதித்தது.
consecutive	தொடர்ச்சியான	அவள் தொடர்ந்து மூன்று போட்டிகளில் வென்றாள்.
consensus	ஒருமித்த கருத்து	குழு விரைவில் ஒருமித்த கருத்தை எட்டியது.
consent	சம்மதம்	எழுத்துப்பூர்வ சம்மதம் தேவை.
conserve	பாதுகா	வறட்சியின் போது தண்ணீரை சேமிக்கிறோம்.
consistency	நிலைத்தன்மை	மொழி ஆய்வில் நிலைத்தன்மை முக்கியம்.
consolidate	ஒருங்கிணை	நிறுவனம் இரண்டு அலுவலகங்களை ஒருங்கிணைக்கும்.
constituency	தொகுதி	வேட்பாளர் ஒவ்வொரு தொகுதிக்கும் சென்றார்.
constitute	உருவாக்கு	குழுவில் பெண்கள் பாதி பேர் உள்ளனர்.
constitution	அரசியலமைப்பு	அரசியலமைப்பு சுதந்திரமான பேச்சுக்கு உத்தரவாதம் அளிக்கிறது.
constitutional	அரசியலமைப்பு சார்ந்த	நீதிமன்றம் அரசியலமைப்பு உரிமைகளை மதிப்பாய்வு செய்தது.
constraint	கட்டுப்பாடு	பட்ஜெட் கட்டுப்பாடு திட்டத்தை வரம்புக்குட்படுத்தியது.
consultation	ஆலோசனை	ஆலோசனை இரண்டு வாரங்கள் நீடித்தது.
contemplate	சிந்தித்துப்பார்	சலுகை குறித்து சிந்திக்க அவள் தயங்கினாள்.
contempt	அவமதிப்பு	அவர் விதிகளின் மீது அவமதிப்பைக் காட்டினார்.
contend	போட்டியிடு	பல நிறுவனங்கள் ஒப்பந்தத்திற்காக போட்டியிடுகின்றன.
contender	போட்டியாளர்	அவள் ஒரு வலுவான போட்டியாளர்.
content2	திருப்தி	அவர் முடிவில் திருப்தி அடைந்தார்.
contention	சர்ச்சை	முக்கிய சர்ச்சை நிதியுதவி பற்றியது.
continually	தொடர்ந்து	அமைப்பு தொடர்ந்து பிழைகளை சரிபார்க்கிறது.
contractor	ஒப்பந்ததாரர்	ஒப்பந்ததாரர் கூரையை சரிசெய்தார்.
contradiction	முரண்பாடு	அவரது அறிக்கையில் முரண்பாடு இருந்தது.
contrary	மாறான	மாறான சான்றுகள் வழக்கை மாற்றின.
contributor	பங்களிப்பாளர்	அவள் ஒரு வழக்கமான பங்களிப்பாளர்.
conversion	மாற்றம்	மாற்றம் டாலர்களை யூரோக்களாக மாற்றியது.
convict	குற்றவாளியென தீர்ப்பளி	நடுவர் மன்றம் சந்தேக நபரை குற்றவாளியாக்கலாம்.
conviction	குற்றத்தீர்ப்பு	அவர் மீதான குற்றத்தீர்ப்பு பொதுமக்களை அதிர்ச்சிக்குள்ளாக்கியது.
cooperate	ஒத்துழை	விசாரணைக்கு ஒத்துழைக்கவும்.
cooperative	ஒத்துழைக்கும்	ஊழியர்கள் ஒத்துழைப்புடனும் அமைதியாகவும் இருந்தனர்.
coordinate	ஒருங்கிணை	அவர்கள் தினமும் காலையில் விநியோகங்களை ஒருங்கிணைக்கிறார்கள்.
coordination	ஒருங்கிணைப்பு	நல்ல ஒருங்கிணைப்பு நேரத்தை மிச்சப்படுத்தியது.
coordinator	ஒருங்கிணைப்பாளர்	ஒருங்கிணைப்பாளர் ஒவ்வொரு பணியையும் ஒதுக்கினார்.
cop	போலீஸ்காரர்	நிலையத்திற்கு வெளியே ஒரு போலீஸ்காரர் நின்றார்.
copper	செம்பு	குழாய் செம்பினால் ஆனது.
copyright	பதிப்புரிமை	படம் பதிப்புரிமையால் பாதுகாக்கப்படுகிறது.
correction	திருத்தம்	ஆசிரியர் ஒரு திருத்தம் செய்தார்.
correlate	தொடர்புபடுத்து	அதிக மன அழுத்தம் நோயுடன் தொடர்புடையதாக இருக்கலாம்.
correlation	தொடர்பு	ஆய்வில் வலுவான தொடர்பு கண்டறியப்பட்டது.
