source_headword	KK	example_KK
metaphor	метафора	Өлеңде күшті метафора қолданылған.
miner	кенші	Кенші жер астында жұмыс істеді.
miserable	аянышты	Жаңбыр пикникті аянышты етті.
mode	режим	Камераны түнгі режимге ауыстырыңыз.
modest	қарапайым	Олар қарапайым үйде тұрады.
monster	құбыжық	Оқиғада қорқынышты құбыжық бар.
monthly	ай сайынғы	Біз жалдау ақысын ай сайын төлейміз.
monument	ескерткіш	Ескерткіш өзеннің жанында тұр.
moreover	сонымен қатар	Сонымен қатар, жоспар ақшаны үнемдейді.
mortgage	ипотека	Олар ипотекаға өтініш берді.
mosque	мешіт	Мешіт базарға жақын.
motion	қозғалыс	Сенсор қозғалысты анықтайды.
motivate	ынталандыру	Мақтау оқушыларды ынталандыра алады.
motivation	мотивация	Оның мотивациясы күшті болды.
moving	әсерлі	Сөз сөйлеу әсерлі болды.
myth	аңыз	Аңыз таудың атауын түсіндіреді.
naked	жалаңаш	Шомылғаннан кейін сәби жалаңаш болды.
nasty	нашар	Кесілген жер нашар көрінді.
navigation	навигация	Қолданба навигацияны жақсартады.
nearby	жақын	Жақындағы дәмхана ерте ашылады.
necessity	қажеттілік	Таза су - қажеттілік.
negotiate	келіссөз жүргізу	Олар ертең келісімшарт бойынша келіссөз жүргізеді.
negotiation	келіссөз	Келіссөз бүкіл таң бойы жалғасты.
neutral	бейтарап	Төреші бейтарап қалды.
newly	жаңадан	Жаңадан боялған есік ашық түсті болып көрінді.
norm	қалып	Қашықтан жұмыс істеу қалыпқа айналды.
notebook	дәптер	Жазбаларды дәптеріңізге жазыңыз.
novelist	романист	Романист өз кітабына қол қойды.
nowadays	қазіргі кезде	Қазіргі кезде көптеген адамдар онлайн жұмыс істейді.
nursing	мейірбике ісі	Ол мейірбике ісін оқып жатыр.
nutrition	тамақтану	Дұрыс тамақтану денсаулықты қолдайды.
obesity	семіздік	Семіздік денсаулыққа қауіп төндіреді.
observer	бақылаушы	Бақылаушы нәтижелерді жазып алды.
obstacle	кедергі	Құлаған ағаш кедергі болды.
occupation	кәсіп	Осында өз кәсібіңізді жазыңыз.
occupy	орналасу	Отбасы пәтерге орналасады.
offender	құқық бұзушы	Құқық бұзушы сотта кешірім сұрады.
ongoing	жалғасып жатқан	Тергеу жалғасып жатыр.
openly	ашық	Ол өз қорқыныштары туралы ашық айтты.
opera	опера	Біз Миланда опера көрдік.
operator	оператор	Оператор қоңырауды қосты.
optimistic	оптимистік	Ол болашаққа оптимистік көзқараспен қарайды.
orchestra	оркестр	Оркестр ақырын ойнады.
organic	органикалық	Олар органикалық көкөністер сатып алды.
outfit	киім	Оның киімі жағдайға сай болды.
output	өнімділік	Машинаның өнімділігі артты.
outstanding	көрнекті	Оның өнері көрнекті болды.
overcome	жеңу	Олар проблемаларды бірге жеңеді.
overnight	бір түнде	Сәлемдеме бір түнде келді.
overseas	шетелде	Ол шетелден жұмыс тапты.
ownership	меншік	Жерге меншік құқығы өзгерді.
oxygen	оттегі	Өсімдіктер оттегі бөледі.
packet	қорапша	Қорапшаны абайлап ашыңыз.
palm	алақан	Монетаны алақаныңызда ұстаңыз.
panic	дүрбелең	Дүрбелең халық арасында тарады.
parade	парад	Парад талтүсте басталды.
parallel	параллель	Жолдар параллель өтеді.
participation	қатысу	Сабаққа қатысу жақсарды.
partnership	серіктестік	Серіктестік екі компанияға да көмектесті.
part-time	толық емес жұмыс күні	Ол толық емес жұмыс күніне жұмыс тапты.
passionate	құмар	Ол музыкаға құмар.
password	құпия сөз	Мықты құпия сөз таңдаңыз.
patience	шыдамдылық	Жас балаларды оқыту шыдамдылықты қажет етеді.
pause	кідірту	Бейнені қазір кідіртіңіз.
peer	құрдас	Құрдастардың қысымы оның таңдауына әсер етті.
penalty	айыппұл	Ойыншыға айыппұл салынды.
perceive	қабылдау	Адамдар қауіпті әртүрлі қабылдайды.
perception	қабылдау	Оның қауіпті қабылдауы өзгерді.
permanently	біржолата	Дүкен біржолата жабылды.
pill	дәрі	Таңғы астан кейін бір дәрі ішіңіз.
pity	өкініш	Бұл өкінішті.
placement	орналасу	Диванның орналасуы маңызды.
portion	үлес	Күріштің кішкене үлесін ұсыныңыз.
potentially	ықтимал	Бұл өзгеріс ықтимал пайдалы болуы мүмкін.
precede	ізашар болу	Қара бұлттар жиі жаңбырдың ізашары болады.
precious	бағалы	Сақина бағалы.
precise	нақты	Нұсқаулар нақты болды.
precisely	дәл	Қашықтықты дәл өлшеңіз.
predictable	болжауға болатын	Соңы болжауға болатын еді.
preference	қалау	Ол шай ішуді қалайтынын білдірді.
pride	мақтаныш	Ол аяқтағаннан кейін мақтаныш сезімде болды.
primarily	негізінен	Курс негізінен онлайн.
principal	директор	Директор жаңа оқушыларды қарсы алды.
prior	алдын ала	Бізге алдын ала рұқсат қажет.
probability	ықтималдық	Жаңбыр жауу ықтималдығы жоғары.
probable	ықтимал	Бүгін түнде жаңбыр жаууы ықтимал.
proceed	өту	Келесі бөлмеге өтіңіз.
programming	бағдарламалау	Бағдарламалау тәжірибені қажет етеді.
progressive	прогрессивті	Саясат өз уақыты үшін прогрессивті болды.
prohibit	тыйым салу	Ережелер шылым шегуге тыйым салады.
promising	үміт күттірерлік	Нәтижелер үміт күттірерлік болып көрінеді.
promotion	жоғарылату	Ол жұмыста қызметінен жоғарылады.
prompt	жедел	Жедел жауап уақытты үнемдеді.
proportion	үлес	Үлкен үлес жақтап дауыс берді.
protein	ақуыз	Бұршақтардың құрамында ақуыз бар.
protester	наразылық білдіруші	Наразылық білдіруші плакат ұстап тұрды.
psychological	психологиялық	Апат психологиялық күйзеліс тудырды.
publicity	жариялылық	Іс-шара жариялылыққа ие болды.
publishing	баспа ісі	Ол баспа ісінде жұмыс істейді.
punk	панк	Онда панк музыкасы танымал болды.
purely	тек қана	Бұл таңдау тек қана практикалық болды.
pursuit	іздеу	Ол әділеттілікті іздеуін жалғастырды.
puzzle	басқатырғыш	Басқатырғыш бір сағатты алды.
questionnaire	сауалнама	Сауалнаманы толтырыңыз.
racial	нәсілдік	Баяндамада нәсілдік теңсіздік талқыланды.
racism	нәсілшілдік	Нәсілшілдік қоғамдарға зиян тигізеді.
racist	нәсілшіл	Пікір нәсілшіл болды.
radiation	радиация	Радиация жасушаларды зақымдауы мүмкін.
rail	таяныш	Баспалдақтағы таяныштан ұстаңыз.
random	кездейсоқ	Компьютер кездейсоқ санды таңдады.
rat	егеуқұйрық	Егеуқұйрық қоқыс жәшіктерінің артына жүгіріп кетті.
rating	рейтинг	Қонақүйдің рейтингі жоғары.
reasonably	ақылға қонымды	Бөлме айтарлықтай таза болды.
rebuild	қайта құру	Олар көпірді қайта салады.
receiver	қабылдаушы	Қабылдаушы допты ұстап алды.
recession	рецессия	Рецессия шығындарды азайтты.
reckon	есептеу	Мен пойыз кешігеді деп ойлаймын.
recognition	мойындау	Ол өз жұмысы үшін құрметке ие болды.
recovery	сауығу	Сауығу бірнеше аптаға созылды.
recruit	жұмысқа қабылдау	Компания инженерлерді жұмысқа қабылдайды.
recruitment	жалдау	Жұмысқа қабылдау келесі дүйсенбіде басталады.
referee	төреші	Төреші матчты тоқтатты.
refugee	босқын	Босқын қауіпсіз үй тапты.
registration	тіркеу	Тіркеу жұма күні жабылады.
regulate	реттеу	Заң шығарындыларды реттейтін болады.
reinforce	нығайту	Қосымша арқалықтар шатырды нығайтады.
relieve	жеңілдету	Дәрі ауырсынуды басады.
relieved	жеңілдеген	Ол қоңыраудан кейін жеңілдеп қалды.
remarkable	керемет	Қалпына келу керемет болды.
remarkably	таңқаларлықтай	Ол өте тез сауығып кетті.
reporting	есеп беру	Дәл есеп беру маңызды.
resign	отставкаға кету	Менеджер ертең жұмыстан шығады.
resolution	ажыратымдылық	Экранның ажыратымдылығы жоғары.
restore	қалпына келтіру	Жұмысшылар ескі суретті қалпына келтіреді.
restrict	шектеу	Ережелер көлік тұрағын шектейді.
restriction	шектеу	Шектеу ертең аяқталады.
retail	бөлшек сауда	Бөлшек сауда көлемі артты.
retirement	зейнеткерлік	Ол зейнеткерлікке шығуын мұқият жоспарлады.
revenue	кіріс	Билеттен түскен табыс жөндеу жұмыстарын өтеді.
revision	қайталау	Емтихан алдында қайталау көмектесті.
ridiculous	күлкілі	Бағасы күлкілі болды.
risky	қауіпті	Жоспар қауіпті болып көрінді.
rival	бәсекелес	Бәсекелесіміз жаңа дүкен ашты.
rob	тонау	Ер адамдар банкті тонауға тырысты.
robbery	тонау	Тонау түнде болды.
rocket	зымыран	Зымыран сәтті ұшырылды.
romance	романтика	Романда романтика бар.
rose	раушан	Қоршау жанында қызыл раушан гүлдеді.
roughly	шамамен	Шамамен жиырма адам қатысты.
ruin	бұзу	Жаңбыр пикникті бұзуы мүмкін.
satisfaction	қанағаттану	Тұтынушылардың қанағаттануы жақсарды.
scandal	жанжал	Жанжал оның мансабына нұқсан келтірді.
scare	қорқыту	Қатты шу мені қорқытты.
scenario	сценарий	Ең жаман сценарий екіталай.
scholar	ғалым	Ғалым ежелгі мәтіндерді зерттеді.
scholarship	стипендия	Ол стипендия жеңіп алды.
scratch	тырнау	Мысық тырнап алды.
screening	скрининг	Аурухана қатерлі ісік скринингін ұсынады.
seeker	іздеуші	Жұмыс іздеуші өтініштер жіберді.
seminar	семинар	Семинар сағат тоғызда басталады.
settler	қоныстанушы	Қоныстанушы шағын ферма салды.
severely	қатты	Дауыл жолдарды қатты зақымдады.
sexy	сексуалды	Көйлек сексуалды деп саналды.
shocking	таңқаларлық	Бұл жаңалық таңқаларлық болды.
shore	жағалау	Біз жағамен жүрдік.
shortage	тапшылық	Қалада су тапшылығы болды.
shortly	көп ұзамай	Автобус түстен кейін көп ұзамай келді.
short-term	қысқа мерзімді	Жоспардың қысқа мерзімді артықшылықтары бар.
sibling	бауыр	Әрбір бауыр сыйлық алды.
signature	қол	Қолыңызды қойыңыз.
significance	маңыздылық	Жаңалықтың маңызы зор.
skilled	білікті	Білікті жұмысшылар шатырды жөндеді.
slogan	ұран	Науқанда қарапайым ұран қолданылды.
so-called	деп аталатын	Деп аталатын сарапшы қателіктер жіберді.
somehow	әйтеуір	Кілттер әйтеуір жоғалып кетті.
sometime	бір күні	Келесі аптада бір күні бізге келіңіз.
sophisticated	күрделі	Бағдарламалық жасақтама өте күрделі.
spare	қосалқы	Біз қосалқы кілтті сақтаймыз.
specialize	мамандану	Дәрігерлер әртүрлі салаларда маманданады.
specify	көрсету	Келу уақытыңызды көрсетіңіз.
spectacular	әсерлі	Отшашулар әсерлі болды.
spectator	көрермен	Әрбір көрерменге бағдарлама берілді.
speculate	болжау	Сарапшылар себеп туралы болжайды.
speculation	болжам	Мақала болжамдарды ынталандырды.
spice	дәмдеуіш	Дәмдеуіштерді бір-бірлеп қосыңыз.
spill	төгу	Шырынды төгіп алмаңыз.
spite	қарамастан	Ол мәселелерге қарамастан табысқа жетті.
spoil	бұзу	Тұздың көп болуы сорпаны бұзуы мүмкін.
spokesman	баспасөз хатшысы	Баспасөз хатшысы сұрақтарға жауап берді.
spokesperson	өкіл	Өкіл мәлімдеме оқыды.
spokeswoman	баспасөз хатшысы	Баспасөз хатшысы баспасөзге сөз сөйледі.
sponsorship	демеушілік	Командаға демеушілік қажет.
sporting	спорттық	Қалада спорттық іс-шаралар өтеді.
stall	дүңгіршек	Базардағы дүңгіршек жеміс сатады.
stance	ұстаным	Министр өз ұстанымын өзгертті.
starve	ашығу	Азық-түліксіз жануарлар ашығуы мүмкін.
steadily	тұрақты түрде	Компания тұрақты түрде өсті.
steam	бу	Сорпадан бу шықты.
stimulate	ынталандыру	Ашық түстер қызығушылықты оятуы мүмкін.
