source_headword	TA	example_TA
landlord	வீட்டு உரிமையாளர்	வீட்டு உரிமையாளர் வெப்பமாக்கல் அமைப்பை சரிசெய்தார்.
landmark	முக்கிய இடம்	கோபுரம் நகரின் முக்கிய இடமாக மாறியது.
lap	மடி	குழந்தை அவள் மடியில் அமர்ந்தது.
large-scale	பெரிய அளவிலான	நகரம் பெரிய அளவிலான பழுதுபார்ப்புகளைத் திட்டமிட்டது.
laser	லேசர்	லேசர் தூரத்தை அளந்தது.
latter	பிந்தைய	பிந்தைய விருப்பம் பாதுகாப்பானதாகத் தெரிகிறது.
lawn	புல்வெளி	குழந்தைகள் புல்வெளியில் விளையாடினர்.
lawsuit	வழக்கு	நிறுவனம் வழக்கை பைசல் செய்தது.
layout	தளவமைப்பு	பக்கத் தளவமைப்பு தெளிவாகத் தெரிகிறது.
leak	கசிவு	குழாய் கசிவு சமையலறையில் வெள்ளத்தை ஏற்படுத்தியது.
leap	பாய்ச்சல்	விற்பனை திடீர் பாய்ச்சலைச் செய்தது.
legacy	பாரம்பரியம்	அவரது பாரம்பரியம் பல்கலைக்கழகத்தை வடிவமைத்தது.
legendary	புகழ்பெற்ற	புகழ்பெற்ற பாடகர் மீண்டும் மேடைக்குத் திரும்பினார்.
legislation	சட்டம்	புதிய சட்டம் குத்தகைதாரர்களைப் பாதுகாக்கிறது.
legislative	சட்டமன்ற	சட்டமன்றக் குழு இன்று கூடியது.
legislature	சட்டமன்றம்	சட்டமன்றம் பட்ஜெட்டுக்கு ஒப்புதல் அளித்தது.
legitimate	சட்டபூர்வமான	அவர்கள் சட்டபூர்வமான கவலைகளை எழுப்பினர்.
lengthy	நீண்ட	நீண்ட விவாதம் வாக்கெடுப்பைத் தாமதப்படுத்தியது.
lesbian	தன்பாலின ஈர்ப்பாளர்	தன்பாலின ஈர்ப்பாளர் செயற்பாட்டாளர் மன்றத்தில் பேசினார்.
lesser	குறைவான	குறைவான அபாயத்தைத் தேர்வுசெய்யவும்.
lethal	மரணத்தை விளைவிக்கும்	ரசாயனம் மரணத்தை விளைவிக்கும்.
liable	பொறுப்பான	சேதங்களுக்கு ஓட்டுநர்களே பொறுப்பு.
liberal	தாராளவாத	அவர் தாராளவாத சமூகக் கொள்கைகளை ஆதரிக்கிறார்.
liberation	விடுதலை	விடுதலை நாட்டின் எதிர்காலத்தை மாற்றியது.
liberty	சுதந்திரம்	சட்டம் தனிப்பட்ட சுதந்திரத்தைப் பாதுகாக்கிறது.
license	உரிமம் வழங்கு	அரசு புதிய கிளினிக்குகளுக்கு உரிமம் வழங்கலாம்.
lifelong	வாழ்நாள்	அவள் அங்கே வாழ்நாள் நண்பர்களை உருவாக்கினாள்.
likelihood	சாத்தியம்	மழை பெய்வதற்கான சாத்தியம் அதிகரித்துள்ளது.
limb	உறுப்பு	காயமடைந்த உறுப்பு மெதுவாக குணமடைந்தது.
linear	நேரியல்	வரைபடம் ஒரு நேரியல் போக்கைக் காட்டுகிறது.
line-up	வரிசை	திருவிழா வரிசையில் உள்ளூர் இசைக்குழுக்கள் அடங்கும்.
linger	தங்கியிரு	வாசனை மணிக்கணக்கில் தங்கியிருக்கலாம்.
listing	பட்டியல்	அபார்ட்மெண்ட் பட்டியல் துல்லியமாகத் தெரிந்தது.
literacy	எழுத்தறிவு	வயது வந்தோர் எழுத்தறிவுத் திட்டங்கள் விரிவுபடுத்தப்பட்டன.
liver	கல்லீரல்	கல்லீரல் தீங்கு விளைவிக்கும் பொருட்களை வடிகட்டுகிறது.
lobby	காத்திருப்பு அறை	நண்பகலுக்குப் பிறகு காத்திருப்பு அறை கூட்டமாக இருந்தது.
log	பதிவு	கணினி தினசரி பதிவை வைத்திருக்கிறது.
logic	தர்க்கம்	அவரது வாதத்தின் தர்க்கம் தோல்வியடைந்தது.
long-standing	நீண்டகால	அவர்கள் ஒரு நீண்டகால தகராறைத் தீர்த்தனர்.
long-time	நீண்டகால	அவர் ஒரு நீண்டகால தன்னார்வலர்.
loom	தோன்று	பள்ளத்தாக்கின் மீது கருமேகங்கள் தோன்றுகின்றன.
loop	வளையம்	பாதை ஒரு வளையத்தை உருவாக்குகிறது.
loyalty	விசுவாசம்	அவரது விசுவாசம் அணியை ஈர்த்தது.
machinery	இயந்திரங்கள்	தொழிற்சாலை புதிய இயந்திரங்களை நிறுவியது.
magical	மாயாஜாலமான	தோட்டம் இரவில் மாயாஜாலமாக காட்சியளித்தது.
magistrate	மாஜிஸ்திரேட்	மாஜிஸ்திரேட் வழக்கை விசாரித்தார்.
magnetic	காந்த	காந்தப்புலம் திசைகாட்டி மீது தாக்கத்தை ஏற்படுத்தியது.
magnitude	அளவு	சேதத்தின் அளவு தெளிவாக இருந்தது.
mainland	பிரதான நிலப்பரப்பு	படகு தீவுகளை பிரதான நிலப்பரப்புடன் இணைக்கிறது.
mainstream	முக்கிய நீரோட்டம்	இந்த யோசனை முக்கிய நீரோட்ட அரசியலுக்குள் நுழைந்தது.
maintenance	பராமரிப்பு	வழக்கமான பராமரிப்பு பழுதுகளைத் தடுக்கிறது.
mandate	ஆணை	ஜனாதிபதி ஒரு வலுவான ஆணையைக் கோரினார்.
mandatory	கட்டாயமான	பயிற்சியாளர்களுக்கு வருகை கட்டாயமாகும்.
manifest	வெளிப்படு	அறிகுறிகள் வாரங்களுக்குப் பிறகு வெளிப்படலாம்.
manipulate	கையாளு	கணக்கெடுப்பு முடிவுகளை கையாள வேண்டாம்.
manipulation	கையாளுதல்	தரவு கையாளுதல் கண்டுபிடிக்கப்பட்டது.
manuscript	கையெழுத்துப் பிரதி	வெளியீட்டாளர் அவரது கையெழுத்துப் பிரதியை ஏற்றுக்கொண்டார்.
march	அணிவகுத்துச் செல்	போராட்டக்காரர்கள் நகர மையத்திற்கு அணிவகுத்துச் செல்வார்கள்.
marginal	சிறிய	மாற்றத்தால் சிறிய நன்மைகளே கிடைத்தன.
marine	கடல்	கடல்வாழ் உயிரினங்களுக்கு சுத்தமான தண்ணீர் தேவை.
marketplace	சந்தை	ஆன்லைன் சந்தை விரைவாக விரிவடைந்தது.
mask	முகமூடி	தொழிலாளர்கள் முகமூடி அணிய வேண்டும்.
massacre	படுகொலை	படுகொலை முழு பிராந்தியத்தையும் அதிர்ச்சிக்குள்ளாக்கியது.
mathematical	கணித	கணித மாதிரி தேவையை கணித்தது.
mature	முதிர்ந்த	முதிர்ந்த மரங்கள் நிழல் தருகின்றன.
maximize	அதிகப்படுத்து	புதுப்பிப்பு பேட்டரி ஆயுளை அதிகப்படுத்தும்.
meaningful	அர்த்தமுள்ள	அவர்கள் ஒரு அர்த்தமுள்ள உரையாடலை நடத்தினர்.
meantime	இதற்கிடையில்	இதற்கிடையில், வெளியே காத்திருக்கவும்.
medieval	இடைக்கால	கோட்டையில் இடைக்கால சுவர்கள் உள்ளன.
meditation	தியானம்	தினசரி தியானம் அவள் மனதை அமைதிப்படுத்துகிறது.
melody	மெல்லிசை	மெல்லிசை என் தலையில் தங்கியிருந்தது.
memo	குறிப்பாணை	குறிப்பாணை கொள்கையை விளக்கியது.
memoir	நினைவுக்குறிப்பு	அவரது நினைவுக்குறிப்பு குழந்தைப்பருவ நாடுகடத்தலை விவரிக்கிறது.
memorial	நினைவிடம்	நினைவிடம் உள்ளூர் வீரர்களை கௌரவிக்கிறது.
mentor	வழிகாட்டி	அவரது வழிகாட்டி முன்மொழிவை மதிப்பாய்வு செய்தார்.
merchant	வியாபாரி	வியாபாரி பட்டு மற்றும் மசாலாப் பொருட்களை விற்றார்.
mercy	கருணை	நீதிபதி கருணை காட்டினார்.
mere	வெறும்	ஒரு வெறும் பார்வை பிழையை வெளிப்படுத்தியது.
merely	வெறுமனே	அவள் வெறுமனே வழிமுறைகளைத் திரும்பக் கூறினாள்.
merge	இணை	இரண்டு நிறுவனங்களும் இணையவுள்ளன.
merger	இணைப்பு	இணைப்பு ஒரு பெரிய வங்கியை உருவாக்கியது.
merit	தகுதி	முன்மொழிவில் தெளிவான தகுதி உள்ளது.
methodology	முறைமை	ஆய்வு அதன் முறைமையை விளக்குகிறது.
midst	மத்தியில்	அவர்கள் குழப்பத்தின் மத்தியில் வேலை செய்தனர்.
migration	இடம்பெயர்வு	பருவகால இடம்பெயர்வு உள்ளூர் வேலைகளை பாதிக்கிறது.
militant	தீவிரவாதி	தீவிரவாதக் குழு பேச்சுவார்த்தையை நிராகரித்தது.
militia	போராளிகள்	போராளிகள் சாலையை கட்டுப்படுத்தினர்.
mill	ஆலை	பழைய ஆலை ஒரு அருங்காட்சியகமாக மாறியது.
minimal	குறைந்தபட்ச	திட்டத்திற்கு குறைந்தபட்ச முயற்சி தேவை.
minimize	குறை	தேவையற்ற ஆபத்தை நாம் குறைக்க வேண்டும்.
mining	சுரங்கத் தொழில்	சுரங்கத் தொழில் நதி பள்ளத்தாக்கை சேதப்படுத்தியது.
ministry	அமைச்சகம்	அமைச்சகம் புதிய விதிகளை அறிவித்தது.
minute2	மிகச்சிறிய	கண்ணாடியில் ஒரு மிகச்சிறிய விரிசல் தோன்றியது.
miracle	அற்புதம்	அவர் குணமடைந்தது ஒரு அற்புதம் போல் தெரிந்தது.
misery	துன்பம்	அகதிகள் பல வருடங்கள் துன்பத்தை அனுபவித்தனர்.
misleading	தவறான வழிகாட்டும்	தவறான வழிகாட்டும் விளக்கப்படம் வாசகர்களைக் குழப்பியது.
missile	ஏவுகணை	ஏவுகணை சோதனை பதட்டங்களை அதிகரித்தது.
mob	கும்பல்	கோபமான கும்பல் போக்குவரத்தை தடுத்தது.
mobility	இயக்கம்	சிறந்த பேருந்துகள் நகர்ப்புற இயக்கத்தை மேம்படுத்துகின்றன.
mobilize	திரட்டு	தலைவர்கள் தன்னார்வலர்களை விரைவாக திரட்டுகிறார்கள்.
moderate	மிதமான	வேட்பாளர் மிதமான கருத்துக்களைக் கொண்டுள்ளார்.
modification	மாற்றம்	வடிவமைப்பிற்கு ஒரு மாற்றம் தேவை.
momentum	உத்வேகம்	பிரச்சாரம் விரைவாக உத்வேகம் பெற்றது.
monk	துறவி	துறவி மௌனமாக வாழ்ந்தார்.
monopoly	முற்றுரிமை	நிறுவனம் முற்றுரிமை கொண்டிருந்தது.
morality	ஒழுக்கம்	பாடநெறி பொது ஒழுக்கத்தை ஆராய்கிறது.
motive	நோக்கம்	காவல்துறை அவரது நோக்கத்தை கேள்வி எழுப்பியது.
motorist	வாகன ஓட்டி	வாகன ஓட்டி சிவப்பு விளக்கில் நிறுத்தினார்.
municipal	நகராட்சி	இந்த ஆண்டு நகராட்சி சேவைகள் மேம்பட்டன.
mutual	பரஸ்பர	அவர்கள் ஒரு பரஸ்பர ஒப்பந்தத்தை எட்டினர்.
namely	அதாவது	ஒரு பிரச்சனை உள்ளது, அதாவது நிதி.
nationwide	நாடு தழுவிய	வேலைநிறுத்தம் நாடு தழுவிய தாமதங்களை ஏற்படுத்தியது.
naval	கடற்படை	கடற்படை தளம் கடந்த ஆண்டு மூடப்பட்டது.
neglect	புறக்கணி	அடிப்படை பாதுகாப்பை புறக்கணிக்காதீர்கள்.
neighbouring	அண்டை	அண்டை நகரங்கள் மருத்துவமனையைப் பகிர்ந்து கொண்டன.
nest	கூடு	பறவை ஒரு கூட்டைக் கட்டியது.
net	நிகர	நிகர லாபம் கூர்மையாக உயர்ந்தது.
newsletter	செய்திமடல்	செய்திமடல் ஒவ்வொரு வெள்ளிக்கிழமையும் வரும்.
niche	முக்கிய இடம்	நிறுவனம் ஒரு லாபகரமான முக்கிய இடத்தைக் கண்டுபிடித்தது.
noble	உன்னதமான	அவளது உன்னதமான செயல் அனைவரையும் கவர்ந்தது.
nod	தலையசை	உங்களுக்குப் புரிந்தால் தயவுசெய்து தலையசைக்கவும்.
nominate	பரிந்துரை	அவர்கள் ஒரு புதிய தலைவரைப் பரிந்துரைப்பார்கள்.
nomination	பரிந்துரை	அவரது பரிந்துரை குழுவை ஆச்சரியப்படுத்தியது.
nominee	பரிந்துரைக்கப்பட்டவர்	பரிந்துரைக்கப்பட்டவர் கடினமான கேள்விகளுக்கு பதிலளித்தார்.
nonetheless	இருப்பினும்	இருப்பினும், திட்டம் முன்னேறியது.
non-profit	இலாப நோக்கற்ற	அவர் ஒரு இலாப நோக்கற்ற கிளினிக்கில் பணிபுரிகிறார்.
nonsense	முட்டாள்தனம்	அந்த வதந்தி ஒரு முழுமையான முட்டாள்தனம்.
noon	நண்பகல்	கூட்டம் நண்பகலில் தொடங்குகிறது.
notable	குறிப்பிடத்தக்க	அறிக்கை குறிப்பிடத்தக்க முன்னேற்றத்தை ஏற்படுத்தியது.
notably	குறிப்பாக	குறிப்பாக, மே மாதத்தில் செலவுகள் குறைந்தன.
notify	தெரிவி	வெளியேறுவதற்கு முன் ஊழியர்களுக்குத் தெரிவிக்கவும்.
notorious	இழிபுகழ்பெற்ற	இந்த சாலை விபத்துக்களுக்கு இழிபுகழ்பெற்றது.
novel	புதிய	அவர்கள் ஒரு புதிய தீர்வை முன்மொழிந்தனர்.
nursery	மழலையர் பள்ளி	மழலையர் பள்ளி குழந்தைகளை கவனித்துக்கொள்கிறது.
objection	ஆட்சேபனை	வழக்கறிஞர் ஆட்சேபனை தெரிவித்தார்.
oblige	கடமைப்படுத்து	விதிகள் ஓட்டுனர்களை நிறுத்த கட்டாயப்படுத்துகின்றன.
obsess	வெறி	சிறிய பிழைகளை நினைத்து வெறிகொள்ள வேண்டாம்.
obsession	வெறி	அவரது வெறி அவரது வேலையை பாதித்தது.
occasional	அவ்வப்போது	அவ்வப்போது தாமதங்கள் எதிர்பார்க்கப்படுகின்றன.
occurrence	நிகழ்வு	அத்தகைய நிகழ்வு அரிதானது.
odds	வாய்ப்புகள்	வெற்றிக்கான வாய்ப்புகள் மேம்பட்டன.
offering	சலுகை	பல்கலைக்கழகம் அதன் சலுகையை விரிவுபடுத்தியது.
offspring	சந்ததி	நரி அதன் சந்ததியைப் பாதுகாத்தது.
operational	செயல்பாட்டு	புதிய அமைப்பு செயல்பாட்டில் உள்ளது.
opt	தேர்வு செய்	பல மாணவர்கள் ஆன்லைன் வகுப்புகளைத் தேர்வு செய்கிறார்கள்.
optical	ஒளியியல்	ஒளியியல் லென்ஸை சுத்தம் செய்ய வேண்டும்.
optimism	சுபநம்பிக்கை	அறிவிப்புக்கு பிறகு சுபநம்பிக்கை திரும்பியது.
oral	வாய்வழி	வாய்வழி தேர்வு நாளை தொடங்குகிறது.
organizational	நிறுவன	நிறுவன மாற்றங்கள் உடனடியாக தொடங்கின.
orientation	நோக்குநிலை	பட்டறையில் பணியாளர் நோக்குநிலை இடம்பெற்றது.
originate	தோன்றும்	பல மரபுகள் கிராமப்புற கிராமங்களில் இருந்து தோன்றுகின்றன.
outbreak	வெடிப்பு	வெடிப்பு நகரம் முழுவதும் பரவியது.
outing	உல்லாசப் பயணம்	வகுப்பு அருங்காட்சியக உல்லாசப் பயணத்தை அனுபவித்தது.
outlet	விற்பனையகம்	விற்பனையகம் தள்ளுபடி செய்யப்பட்ட ஆடைகளை விற்கிறது.
outlook	கண்ணோட்டம்	பொருளாதார கண்ணோட்டம் நிச்சயமற்றதாகவே உள்ளது.
outrage	ஆத்திரம்	இந்த முடிவு பொதுமக்களின் ஆத்திரத்தை ஏற்படுத்தியது.
outsider	வெளியாள்	ஒரு வெளியாளாக, அவள் பிரச்சினைகளை கவனித்தாள்.
overlook	கவனிக்கத் தவறு	சிறிய விவரங்களை கவனிக்கத் தவறாதீர்கள்.
overly	அதிகப்படியான	வழிமுறைகள் மிகவும் சிக்கலானவை.
oversee	மேற்பார்வை செய்	அவர் திட்டத்தை மேற்பார்வையிடுவார்.
overturn	ரத்து செய்	நீதிமன்றம் தீர்ப்பை ரத்து செய்யலாம்.
overwhelm	திணறடி	அதிகமான தகவல்கள் கற்பவர்களை திணறடிக்கலாம்.
overwhelming	பெரும்	சான்றுகள் பெருமளவில் இருந்தன.
pad	திண்டு	முழங்கால்களைப் பாதுகாக்க திண்டைப் பயன்படுத்தவும்.
parameter	அளவுரு	ஒரு நேரத்தில் ஒரு அளவுருவை சரிசெய்யவும்.
parental	பெற்றோர்	பெற்றோர் ஆதரவு வருகையை மேம்படுத்தியது.
parish	திருச்சபை	திருச்சபை தொண்டு இரவு உணவை ஏற்பாடு செய்தது.
parliamentary	நாடாளுமன்ற	நாடாளுமன்ற விவாதம் மணிக்கணக்கில் நீடித்தது.
partial	பகுதி	அறிக்கை ஒரு பகுதி பதிலை அளித்தது.
partially	ஓரளவு	ஜன்னல் ஓரளவு திறந்திருந்தது.
passing	இறப்பு	அவளது இறப்பு திடீரென நிகழ்ந்தது.
passive	செயலற்ற	செயலற்ற முதலீட்டாளர்கள் நிலையான வருமானத்தை ஏற்றுக்கொண்டனர்.
pastor	போதகர்	போதகர் குடும்பத்தை பார்வையிட்டார்.
patch	ஒட்டு	ஜாக்கெட்டுக்கு ஒரு சிறிய ஒட்டு தேவை.
patent	காப்புரிமை	நிறுவனம் ஒரு காப்புரிமையை தாக்கல் செய்தது.
pathway	பாதை	இந்த பாதை சான்றிதழுக்கு வழிவகுக்கிறது.
patrol	ரோந்து	இரவில் போலீசார் அப்பகுதியில் ரோந்து செல்கின்றனர்.
patron	புரவலர்	அருங்காட்சியகம் அதன் புரவலருக்கு நன்றி தெரிவித்தது.
peak	உச்சம்	தேவை குளிர்கால உச்சத்தை எட்டியது.
peasant	விவசாயி	விவசாயிக்கு கொஞ்சம் நிலம் இருந்தது.
peculiar	விசித்திரமான	அறையில் ஒரு விசித்திரமான வாசனை இருந்தது.
persist	தொடர்கிறது	அறிகுறிகள் பல நாட்களுக்கு தொடரலாம்.
persistent	தொடர்ச்சியான	ஒரு தொடர்ச்சியான இருமலுக்கு கவனம் தேவை.
personnel	பணியாளர்	பணியாளர் பதிவுகள் ரகசியமானவை.
petition	மனு	இந்த மனு ஆயிரக்கணக்கான கையெழுத்துக்களை சேகரித்தது.
philosopher	தத்துவவாதி	தத்துவவாதி பொதுவான அனுமானங்களை கேள்வி எழுப்பினார்.
philosophical	தத்துவார்த்த	விவாதம் தத்துவார்த்தமானது.
physician	மருத்துவர்	மருத்துவர் இரத்த பரிசோதனைகளுக்கு உத்தரவிட்டார்.
pioneer	முன்னோடி	அவர் மருத்துவத்தில் ஒரு முன்னோடியாக ஆனார்.
pipeline	குழாய்	குழாய் நிலத்தடியில் வாயுவை கொண்டு செல்கிறது.
pirate	கடற்கொள்ளையர்	கடற்கொள்ளையர் கப்பல் கரையில் தோன்றியது.
pit	குழி	தொழிலாளர்கள் ஆழமான குழியை தோண்டினர்.
plea	வேண்டுகோள்	உதவிக்கான அவரது வேண்டுகோள் புறக்கணிக்கப்பட்டது.
plead	குற்றத்தை ஒப்புக்கொள்	சந்தேகநபர் குற்றத்தை ஒப்புக்கொள்வார்.
pledge	உறுதிமொழி	சீர்திருத்தங்களுக்கு ஆதரவளிக்க அவர்கள் உறுதிமொழி அளிக்கின்றனர்.
plug	செருகு	கேபிளை சாக்கெட்டில் செருகவும்.
plunge	வீழ்ச்சி	ஊழலுக்குப் பிறகு விலைகள் வீழ்ச்சியடையலாம்.
pole	கம்பம்	ஒரு கம்பத்தில் கொடி தொங்கியது.
poll	வாக்கெடுப்பு	வாக்கெடுப்பு மாறும் கருத்துக்களைக் காட்டியது.
pond	குளம்	உறைந்த குளத்தை வாத்துகள் கடந்தன.
pop	வெடி	கூர்மையான பொருட்களின் அருகே பலூன்கள் வெடிக்கின்றன.
portfolio	இலாகா	அவரது இலாகாவில் பல ஸ்டார்ட்அப்கள் உள்ளன.
portray	சித்தரிக்கும்	இந்த திரைப்படம் கிராமப்புற வாழ்க்கையை சித்தரிக்கும்.
postpone	ஒத்திவை	அவர்கள் விசாரணையை ஒத்திவைக்க முடிவு செய்தனர்.
post-war	போருக்குப் பிந்தைய	போருக்குப் பிந்தைய வீட்டுவசதி அவசரமாக தேவைப்பட்டது.
practitioner	பயிற்சியாளர்	பயிற்சியாளர் சிகிச்சையை விளக்கினார்.
preach	போதி	போதகர் ஞாயிற்றுக்கிழமை போதிப்பார்.
precedent	முன்னுதாரணம்	தீர்ப்பு ஒரு முக்கியமான முன்னுதாரணத்தை அமைத்தது.
precision	துல்லியம்	இயந்திரம் துல்லியமாக வெட்டுகிறது.
predator	வேட்டையாடும் விலங்கு	வேட்டையாடும் விலங்கு ஆற்றின் அருகே காத்திருந்தது.
predecessor	முன்னோடி	அவரது முன்னோடி விரிவான குறிப்புகளை விட்டுச் சென்றார்.
predominantly	முக்கியமாக	இப்பகுதி முக்கியமாக குடியிருப்பு ஆகும்.
pregnancy	கர்ப்பம்	கர்ப்பத்திற்கு வழக்கமான மருத்துவ பராமரிப்பு தேவைப்படுகிறது.
prejudice	பாரபட்சம்	பிரச்சாரம் இன பாரபட்சத்திற்கு சவால் விட்டது.
preliminary	ஆரம்ப	ஆரம்ப முடிவுகள் நம்பிக்கைக்குரியதாகத் தெரிகின்றன.
premier	பிரதமர்	பிரதமர் இன்று நாடாளுமன்றத்தில் உரையாற்றினார்.
