source_headword	SL	example_SL
bail	varščina	Sodnik je opoldne določil varščino.
ballot	glasovnica	Vsak volivec je prejel glasovnico.
banner	transparent	Transparent je visel nad vhodom.
bare	gol	Soba je imela gole stene.
barrel	sod	Sod je bil poln vode.
bass1	bas	Bas je zvenel globoko in toplo.
battlefield	bojišče	Staro bojišče je postalo spomenik.
bay	zaliv	Vas leži ob mirnem zalivu.
beam	gred	Jeklena gred podpira streho.
beast	zver	Zgodba opisuje kruto zver.
behalf	v imenu	Govorila je v imenu svoje ekipe.
beloved	ljubljen	Ljubljeni učitelj se je danes upokojil.
bench	klop	Sedla sta na leseno klop.
benchmark	merilo	Test je postal merilo industrije.
beneath	pod	Dokumenti so bili pod mapo.
beneficiary	upravičenec	Njen sin je bil glavni upravičenec.
betray	izdati	Ne izdaj zaupanja svojega prijatelja.
bind	zavezovati	Sporazum bo zavezal obe podjetji.
biography	biografija	Njegova biografija je bila prodana v mnogih izvodih.
bishop	škof	Škof je obiskal vaško cerkev.
bizarre	bizaren	Film je imel bizaren konec.
blade	rezilo	Rezilo je prerezalo vrv.
blast	eksplozija	Eksplozija je razbila bližnja okna.
bleed	krvaveti	Ureznina je začela močno krvaveti.
blend	zmešati	Zmešaj omako do gladkega.
bless	blagosloviti	Duhovnik bo blagoslovil hišo.
blessing	blagoslov	Imeti podporo je bil blagoslov.
boast	hvaliti se	Rad se hvali z denarjem.
bonus	bonus	Zaposleni so prejeli praznični bonus.
boom	razcvet	Mesto je doživelo gradbeni razcvet.
bounce	odskočiti	Žoga lahko zelo visoko odskoči.
boundary	meja	Reka označuje mejo.
bow1	priklon	Igralec se je globoko priklonil.
breach	kršitev	Vdor je razkril zasebne podatke.
breakdown	razčlenitev	Poročilo vključuje razčlenitev stroškov.
breakthrough	preboj	Odkritje je bil velik preboj.
breed	razmnoževati se	Te ptice se razmnožujejo spomladi.
broadband	širokopasovni internet	Pisarna potrebuje hitrejši širokopasovni internet.
browser	brskalnik	Posodobite svoj brskalnik pred prijavo.
brutal	brutalen	Napad je bil brutalen in nenaden.
buck	dolar	Vstopnica stane deset dolarjev.
buddy	kolega	Njegov prijatelj je čakal zunaj.
buffer	blažilnik	Drevesa ustvarjajo blažilnik hrupa.
bulk	na debelo	Riž so kupili na debelo.
burden	breme	Dolg je postal težko breme.
bureaucracy	birokracija	Birokracija je zamujala z dovoljenjem.
burial	pokop	Pokop je potekal ob zori.
burst	počiti	Cev lahko pod pritiskom poči.
cabinet	kabinet	Kabinet je odobril plan.
calculation	izračun	Izračun je trajal nekaj minut.
canvas	platno	Umetnik je slikal na veliko platno.
capability	zmogljivost	Naprava ima brezžično zmogljivost.
capitalism	kapitalizem	Kapitalizem je oblikoval moderno gospodarstvo.
capitalist	kapitalističen	Kapitalistični sistem nagrajuje zasebne naložbe.
cargo	tovor	Ladja je prevažala medicinski tovor.
carriage	vagon	Železniški vagon je bil skoraj prazen.
carve	izrezljati	Previdno bo izrezljal les.
casino	igralnica	Igralnica se je odprla blizu hotela.
casualty	žrtev	Nesreča je povzročila eno žrtev.
catalogue	katalog	Katalog navaja vsak izdelek.
cater	postreči	Restavracija lahko postreže na velikih dogodkih.
cattle	govedo	Govedo se je paslo ob reki.
caution	previdnost	Bodite previdni na poledenelih cestah.
cautious	previden	Vlagatelji ostajajo previdni ta teden.
cease	prenehati	Tovarna bo kmalu prenehala s proizvodnjo.
cemetery	pokopališče	Pokopališče gleda na morje.
chamber	dvorana	Dvorana je bila med glasovanjem tiha.
chaos	kaos	Zamuda je povzročila kaos na letališču.
characterize	označiti	Strokovnjaki načrt označujejo kot tvegan.
charm	šarm	Mesto ima starosvetni šarm.
charter	listina	Listina varuje osnovne pravice.
chronic	kroničen	Trpi za kroničnimi bolečinami v hrbtu.
chunk	kos	Nareži sir na kos.
circulate	razposlati	Prosim, še danes razpošlji dnevni red.
circulation	naklada	Naklada časopisa je močno padla.
citizenship	državljanstvo	Prijavila se je za francosko državljanstvo.
civic	državljanski	Državljanski voditelji so se udeležili sestanka.
civilian	civilen	Poškodovanih je bilo več civilnih domov.
clarity	jasnost	Diagram je poročilu dodal jasnost.
clash	spopad	Spopad se je začel po pohodu.
classification	klasifikacija	Klasifikacija je odvisna od velikosti.
cling	oprijeti se	Mokra oblačila se oprimejo kože.
clinical	kliničen	Klinično preskušanje se začne naslednji mesec.
closure	zaključek	Družina je želela zaključek po primeru.
cluster	skupina	V bližini je stala skupina hiš.
coalition	koalicija	Koalicija je izgubila večino.
coastal	obalen	Obalne vasi so se pripravile na poplave.
cocktail	koktajl	Naročila je sadni koktajl.
cognitive	kognitiven	Kognitivne spretnosti se izboljšajo z vajo.
coincide	sovpadati	Festival bo sovpadal z maturo.
collaborate	sodelovati	Ekipe sodelujejo pri programski opremi.
collaboration	sodelovanje	Njihovo sodelovanje je obrodilo močne rezultate.
collective	kolektiven	Odločitev je bila kolektivni napor.
collision	trčenje	Trčenje je blokiralo avtocesto.
colonial	kolonialen	Stavba ima kolonialno arhitekturo.
columnist	kolumnist	Kolumnist je kritiziral politiko.
combat	boj	Vojaki so se usposabljali za boj.
commence	začeti se	Slovesnost se bo začela opoldne.
commentary	komentar	Komentar tekme je bil živahen.
commentator	komentator	Komentator je pojasnil odločitev.
commerce	trgovina	Spletna trgovina je hitro rasla.
commissioner	komisar	Komisar je napovedal nova pravila.
commodity	blago	Pšenica je pomembno blago.
communist	komunističen	Komunistična partija je imela sestanek.
companion	spremljevalec	Njen pes je zvest spremljevalec.
comparable	primerljiv	Mesti sta primerljivi po velikosti.
compassion	sočutje	Medicinska sestra je pokazala veliko sočutje.
compel	prisiliti	Dokazi lahko prisilijo k odgovoru.
compelling	prepričljiv	Dokumentarec je predstavil prepričljive argumente.
compensate	odškodovati	Podjetje bo odškodovalo prizadete stranke.
compensation	odškodnina	Delavci so zahtevali pošteno odškodnino.
competence	usposobljenost	Test meri strokovno usposobljenost.
competent	sposoben	Ona je sposobna inženirka.
compile	zbrati	Raziskovalci zbirajo podatke iz bolnišnic.
complement	dopolniti	Vino bo dopolnilo obrok.
complexity	kompleksnost	Projekt ima nepričakovano kompleksnost.
compliance	skladnost	Revizija je preverila zakonsko skladnost.
complication	zaplet	Operacija je imela en zaplet.
comply	ravnati v skladu	Podjetja morajo ravnati v skladu s predpisi.
composition	sestava	Sestava vključuje violino in klavir.
compromise	kompromis	Kompromis je zadovoljil obe strani.
compute	izračunati	Program lahko izračuna skupni znesek.
conceal	prikriti	Poskušal je prikriti škodo.
concede	priznati	Minister ni hotel priznati poraza.
conceive	zamisliti si	Niso si mogli zamisliti boljšega načrta.
conception	pojmovanje	Film je spremenil moje pojmovanje zgodovine.
concession	ugodnost	Podjetje je ponudilo eno ugodnost.
condemn	obsoditi	Voditelji javno obsojajo napad.
confer	podeliti	Nagrada bo podelila ugled.
confession	priznanje	Njegovo priznanje je presenetilo sodišče.
configuration	konfiguracija	Konfiguracija nadzoruje dostop do omrežja.
confine	omejiti	Pravila omejujejo pse na to območje.
confirmation	potrditev	Potrditev smo prejeli po elektronski pošti.
confront	soočiti se	Odločila se je soočiti s problemom.
confrontation	soočenje	Soočenje se je končalo brez nasilja.
congratulate	čestitati	Poklical sem, da bi čestital sestri.
congregation	kongregacija	Kongregacija je pela skupaj.
congressional	kongresni	Kongresno zaslišanje je trajalo več ur.
conquer	osvojiti	Ekipa upa, da bo osvojila trg.
conscience	vest	Njegova vest ni dopuščala laži.
consciousness	zavest	Nesreča je vplivala na njegovo zavest.
consecutive	zaporedni	Zmagala je v treh zaporednih dvobojih.
consensus	konsenz	Odbor je hitro dosegel konsenz.
consent	privolitev	Potrebna je pisna privolitev.
conserve	varčevati	Med sušami varčujemo z vodo.
consistency	doslednost	Doslednost je pomembna pri študiju jezika.
consolidate	združiti	Podjetje bo združilo dve pisarni.
constituency	volilna enota	Kandidat je obiskal vsako volilno enoto.
constitute	predstavljati	Ženske predstavljajo polovico odbora.
constitution	ustava	Ustava zagotavlja svobodo govora.
constitutional	ustaven	Sodišče je preučilo ustavne pravice.
constraint	omejitev	Proračunska omejitev je omejila projekt.
consultation	posvetovanje	Posvetovanje je trajalo dva tedna.
contemplate	razmisliti	Ustavila se je, da bi razmislila o ponudbi.
contempt	prezir	Pokazal je prezir do pravil.
contend	potegovati se	Več podjetij se poteguje za pogodbo.
contender	kandidat	Ona je močna kandidatka.
content2	zadovoljen	Bil je zadovoljen z rezultatom.
contention	spor	Glavni spor se nanaša na financiranje.
continually	nenehno	Sistem nenehno preverja napake.
contractor	izvajalec	Izvajalec je popravil streho.
contradiction	protislovje	Njegova izjava je vsebovala protislovje.
contrary	nasproten	Nasprotni dokazi so spremenili primer.
contributor	sodelavec	Ona je redna sodelavka.
conversion	pretvorba	Pretvorba je spremenila dolarje v evre.
convict	obsoditi	Porota lahko obsodi osumljenca.
conviction	obsodba	Njegova obsodba je šokirala javnost.
cooperate	sodelovati	Prosimo, da sodelujete pri preiskavi.
cooperative	kooperativen	Osebje je bilo kooperativno in mirno.
coordinate	koordinirati	Vsako jutro koordinirajo dostave.
coordination	usklajevanje	Dobro usklajevanje je prihranilo čas.
coordinator	koordinator	Koordinator je dodelil vsako nalogo.
cop	policaj	Policaj je stal pred postajo.
copper	baker	Cev je narejena iz bakra.
copyright	avtorske pravice	Slika je zaščitena z avtorskimi pravicami.
correction	popravek	Učitelj je naredil en popravek.
correlate	korelirati	Visok stres lahko korelira z boleznijo.
correlation	korelacija	Študija je pokazala močno korelacijo.
correspond	ustrezati	Te številke ustrezajo oznakam.
correspondence	dopisovanje	Njuno dopisovanje je trajalo leta.
correspondent	dopisnik	Dopisnik je poročal iz Kaira.
corresponding	ustrezen	Vsak gumb ima ustrezno lučko.
corrupt	korumpiran	Korumpirani uradnik je sprejel denar.
corruption	korupcija	Korupcija je oslabila zaupanje javnosti.
costly	drag	Napaka je bila za ekipo draga.
councillor	svetnik	Svetnik je odgovarjal na vprašanja stanovalcev.
counselling	svetovanje	Po nesreči je bila deležna svetovanja.
counsellor	svetovalec	Svetovalec je pomagal novim študentom.
counter (argue against)	ugovarjati	Poskušala je ugovarjati njegovemu argumentu.
counterpart	kolega	Srečal je svojega japonskega kolego.
countless	nešteto	Pri iskanju je sodelovalo nešteto prostovoljcev.
coup	državni udar	Državni udar je odstranil predsednika.
courtesy	vljudnost	Zahvalila se jim je za njihovo vljudnost.
