simplified	MY	example_MY	KM	example_KM	LO	example_LO
倍	ဆ; အကြိမ်	ကျွန်တော်တို့ကျောင်းရှိ နိုင်ငံခြားကျောင်းသား အရေအတွက်က မနှစ်ကထက် တစ်ဆ ပိုလာသည်။	ដង; គុណ	ចំនួននិស្សិតបរទេសនៅសាលាយើងកើនឡើងទ្វេដងបើធៀបនឹងឆ្នាំមុន។	ເທົ່າ; ຄູນ	ຈຳນວນນັກຮຽນຕ່າງປະເທດໃນໂຮງຮຽນຂອງພວກເຮົາເພີ່ມເປັນສອງເທົ່າທຽບກັບປີກາຍ.
本来	မူလက; အစက	မူလက ကျွန်တော် ဖျော်ဖြေပွဲ သွားကြည့်မလို့၊ ဒါပေမဲ့ ရုတ်တရက် ကိစ္စရှိလို့ မသွားနိုင်တော့ဘူး။	ដើមឡើយ; ពីដំបូង	ដើមឡើយខ្ញុំចង់ទៅមើលការសម្តែង ប៉ុន្តែភ្លាមៗមានការងារ ទៅមិនបាន។	ເດີມທີ; ແຕ່ຕົ້ນ	ເດີມທີຂ້ອຍຈະໄປເບິ່ງການສະແດງ ແຕ່ຈູ່ໆມີທຸລະເລີຍໄປບໍ່ໄດ້.
笨	မိုက်မဲသော; ဉာဏ်မကောင်းသော	မင်း မမိုက်ပါဘူး၊ ပိုကြိုးစားဖို့ပဲ လိုတယ်။	ល្ងង់; មិនឆ្លាត	អ្នកមិនល្ងង់ទេ គ្រាន់តែត្រូវខំប្រឹងជាងមុន។	ໂງ່; ບໍ່ສະຫຼາດ	ເຈົ້າບໍ່ໄດ້ໂງ່ ພຽງແຕ່ຕ້ອງພະຍາຍາມຫຼາຍຂຶ້ນ.
比如	ဥပမာ; ဥပမာအားဖြင့်	ကျွန်တော့်မှာ ဝါသနာများစွာရှိတယ်၊ ဥပမာ ရေကူးခြင်းနဲ့ စာဖတ်ခြင်း။	ឧទាហរណ៍; ដូចជា	ខ្ញុំមានចំណូលចិត្តច្រើន ដូចជា ហែលទឹក និងអានសៀវភៅ។	ຕົວຢ່າງ; ເຊັ່ນ	ຂ້ອຍມີຄວາມມັກຫຼາຍຢ່າງ ເຊັ່ນ ລອຍນ້ຳ ແລະ ອ່ານປື້ມ.
毕业	ဘွဲ့ရသည်; ကျောင်းပြီးသည်	ဒီနှစ် ကျွန်တော် တတိယနှစ်တက်နေပြီး နောက်နှစ် ဘွဲ့ရမည်။	បញ្ចប់ការសិក្សា	ឆ្នាំនេះខ្ញុំរៀនឆ្នាំទីបី ហើយឆ្នាំក្រោយនឹងបញ្ចប់ការសិក្សា។	ຮຽນຈົບ; ສຳເລັດການສຶກສາ	ປີນີ້ຂ້ອຍຮຽນປີທີສາມ ແລະ ປີໜ້າຈະຮຽນຈົບ.
遍	တစ်ကြိမ်; အကြိမ်	သူက အကြောင်းအရာကို တစ်ကြိမ် ပြန်ပြောသည်။	ដង; ម្តង	គាត់បាននិយាយរឿងនោះម្តងទៀត។	ເທື່ອ; ຄັ້ງ	ລາວເລົ່າເລື່ອງນັ້ນອີກເທື່ອໜຶ່ງ.
标准	စံ; စံနှုန်း	မင်းရဲ့ မန်ဒရင်စကား ပြောတာ အလွန်စံကျသည်။	ស្តង់ដារ; លក្ខណៈវិនិច្ឆ័យ	អ្នកនិយាយភាសាម៉ាន់ដារីនបានស្តង់ដារណាស់។	ມາດຕະຖານ	ເຈົ້າເວົ້າພາສາຈີນກາງໄດ້ມາດຕະຖານຫຼາຍ.
表格	ပုံစံစာရွက်; ဇယား	ကျေးဇူးပြု၍ ပုံစံစာရွက်ထဲမှာ သင့်နာမည် ဖြည့်ပါ။	សំណុំបែបបទ; តារាង	សូមបំពេញឈ្មោះរបស់អ្នកក្នុងសំណុំបែបបទ។	ແບບຟອມ; ຕາຕະລາງ	ກະລຸນາຕື່ມຊື່ຂອງທ່ານໃນແບບຟອມ.
表示	ဖော်ပြသည်; ပြောသည်	ကျေးဇူးပြု၍ သူ့ကို ကျေးဇူးတင်ကြောင်း ပြောပါ။	បង្ហាញ; ថ្លែង	សូមថ្លែងអំណរគុណដល់គាត់។	ສະແດງ; ກ່າວ	ກະລຸນາກ່າວຂອບໃຈລາວ.
表演	ဖျော်ဖြေသည်; ဖျော်ဖြေမှု	သင်တို့ ဘာအစီအစဉ် ဖျော်ဖြေမလဲ။	សម្តែង; ការសម្តែង	អ្នករាល់គ្នានឹងសម្តែងកម្មវិធីអ្វី?	ສະແດງ; ການສະແດງ	ພວກເຈົ້າຈະສະແດງລາຍການຫຍັງ?
表扬	ချီးကျူးသည်	သူက ကျောင်းအုပ်ကြီး၏ ချီးကျူးမှုကို မကြာခဏ ရသည်။	សរសើរ; កោតសរសើរ	គាត់តែងតែទទួលបានការសរសើរពីនាយកសាលា។	ຍ້ອງຍໍ; ຊົມເຊີຍ	ລາວມັກໄດ້ຮັບຄຳຍ້ອງຍໍຈາກຜູ້ອຳນວຍການໂຮງຮຽນ.
饼干	ဘီစကွတ်; ကွတ်ကီး	ကျွန်တော် ဘီစကွတ် ဝယ်လာတယ်၊ နည်းနည်းစားပါ။	នំប៊ីស្គី; នំខូគី	ខ្ញុំបានទិញនំប៊ីស្គី មកញ៉ាំបន្តិចទៅ។	ຂະໜົມບິສກິດ; ຄຸກກີ້	ຂ້ອຍຊື້ຂະໜົມບິສກິດມາ ກິນໜ້ອຍໜຶ່ງເຖີດ.
并且	ထို့အပြင်; လည်း	သူမက ဉာဏ်ကောင်းပြီး အလွန်ကြိုးစားလည်း ကြိုးစားသည်။	ហើយក៏; លើសពីនេះ	នាងឆ្លាតណាស់ ហើយក៏ខំប្រឹងណាស់ដែរ។	ແລະຍັງ; ນອກຈາກນັ້ນ	ນາງສະຫຼາດຫຼາຍ ແລະຍັງພະຍາຍາມຫຼາຍດ້ວຍ.
博士	ဒေါက်တာ; ပါရဂူဘွဲ့ရ	မိတ်ဆက်ပေးပါရစေ၊ ဒီသူက လီဒေါက်တာပါ။	បណ្ឌិត; ដុកទ័រ	សូមណែនាំ នេះគឺលោកបណ្ឌិតលី។	ດອກເຕີ; ປະລິນຍາເອກ	ຂໍແນະນຳ ນີ້ແມ່ນດອກເຕີຫຼີ.
不过	သို့သော်; ဒါပေမဲ့	သူက အလွန်တော်တယ်၊ ဒါပေမဲ့ ကုမ္ပဏီရဲ့ ခန့်အပ်ရေးသတ်မှတ်ချက်နဲ့ မကိုက်ညီဘူး။	ប៉ុន្តែ; ទោះយ៉ាងណា	គាត់ល្អឆ្នើមណាស់ ប៉ុន្តែមិនត្រូវនឹងលក្ខខណ្ឌជ្រើសរើសរបស់ក្រុមហ៊ុនទេ។	ແຕ່; ແນວໃດກໍຕາມ	ລາວເກັ່ງຫຼາຍ ແຕ່ບໍ່ຕົງກັບເງື່ອນໄຂການຮັບພະນັກງານຂອງບໍລິສັດ.
不得不	မဖြစ်မနေ; မလုပ်မနေရ	အပြင်မှာ မိုးအကြီးအကျယ်ရွာနေ၍ ကျွန်တော် အိမ်မှာပဲ နေရမည်။	ចាំបាច់ត្រូវ; គ្មានជម្រើសក្រៅពី	ខាងក្រៅភ្លៀងខ្លាំង ខ្ញុំចាំបាច់ត្រូវនៅផ្ទះ។	ຈຳເປັນຕ້ອງ; ບໍ່ມີທາງເລືອກນອກຈາກ	ຂ້າງນອກຝົນຕົກໜັກ ຂ້ອຍຈຳເປັນຕ້ອງຢູ່ບ້ານ.
不管	ဘာပဲဖြစ်ဖြစ်; မည်သို့ပင်ဖြစ်စေ	ရာသီဥတု ဘယ်လိုဖြစ်ဖြစ် ကျွန်တော် တောင်တက်ရမည်။	មិនថា; ទោះបីជា	មិនថាអាកាសធាតុយ៉ាងណា ខ្ញុំក៏ត្រូវឡើងភ្នំដែរ។	ບໍ່ວ່າ; ບໍ່ສົນວ່າ	ບໍ່ວ່າອາກາດຈະເປັນແນວໃດ ຂ້ອຍກໍຈະປີນພູ.
不仅	သာမက	ကျွန်တော် အဲဒီမြို့ကို သွားဖူးရုံသာမက အကြိမ်များစွာလည်း သွားဖူးသည်။	មិនត្រឹមតែ	ខ្ញុំមិនត្រឹមតែធ្លាប់ទៅទីក្រុងនោះទេ ថែមទាំងធ្លាប់ទៅជាច្រើនដងផងដែរ។	ບໍ່ພຽງແຕ່	ຂ້ອຍບໍ່ພຽງແຕ່ເຄີຍໄປເມືອງນັ້ນ ແຕ່ຍັງເຄີຍໄປຫຼາຍຄັ້ງດ້ວຍ.
部分	အပိုင်း; ကဏ္ဍ	ဆောင်းပါး၏ အရေးကြီးဆုံးအပိုင်းမှာ တတိယပိုဒ် ဖြစ်သည်။	ផ្នែក; ចំណែក	ផ្នែកសំខាន់បំផុតនៃអត្ថបទគឺកថាខណ្ឌទីបី។	ສ່ວນ; ພາກ	ສ່ວນທີ່ສຳຄັນທີ່ສຸດຂອງບົດຄວາມແມ່ນວັກທີສາມ.
擦	သုတ်သည်; ဖျက်သည်	ကျွန်တော် ပြတင်းပေါက်တွေကို သန့်ရှင်းအောင် သုတ်ပြီးပြီ။	ជូត; លុប	ខ្ញុំបានជូតបង្អួចឱ្យស្អាតរួចហើយ។	ເຊັດ; ລຶບ	ຂ້ອຍເຊັດປ່ອງຢ້ຽມໃຫ້ສະອາດແລ້ວ.
猜	ခန့်မှန်းသည်	မင်းအတွက် ဘာမွေးနေ့လက်ဆောင် ပြင်ထားလဲ ခန့်မှန်းကြည့်။	ទាយ; ស្មាន	ទាយមើល ខ្ញុំបានរៀបចំអំណោយខួបកំណើតអ្វីឱ្យអ្នក?	ທາຍ; ເດົາ	ລອງທາຍເບິ່ງ ຂ້ອຍກຽມຂອງຂວັນວັນເກີດຫຍັງໃຫ້ເຈົ້າ?
材料	ပစ္စည်း; စာရွက်စာတမ်း	စာရင်းပေးရန် ဘာစာရွက်စာတမ်းတွေ လိုသလဲ။	សម្ភារៈ; ឯកសារ	ត្រូវការឯកសារអ្វីខ្លះសម្រាប់ចុះឈ្មោះ?	ວັດຖຸດິບ; ເອກະສານ	ການລົງທະບຽນຕ້ອງການເອກະສານຫຍັງແດ່?
参观	သွားရောက်လည်ပတ်သည်	စနေ၊ တနင်္ဂနွေမှာ မဟာတံတိုင်းကို သွားလည်ချင်သည်။	ទស្សនា; ទៅមើល	ខ្ញុំចង់ទៅទស្សនាកំពែងចិននៅចុងសប្តាហ៍។	ໄປຢ້ຽມຊົມ; ໄປເບິ່ງ	ຂ້ອຍຢາກໄປຢ້ຽມຊົມກຳແພງເມືອງຈີນໃນທ້າຍອາທິດ.
餐厅	စားသောက်ဆိုင်; ထမင်းစားခန်း	ကျောင်းနားမှာ စားသောက်ဆိုင်အသစ်တစ်ဆိုင် ဖွင့်ထားသည်။	ភោជនីយដ្ឋាន; បន្ទប់បរិភោគអាហារ	នៅជិតសាលាបានបើកភោជនីយដ្ឋានថ្មីមួយ។	ຮ້ານອາຫານ; ຫ້ອງອາຫານ	ມີຮ້ານອາຫານໃໝ່ເປີດຢູ່ໃກ້ໂຮງຮຽນ.
厕所	အိမ်သာ	အမျိုးသားအိမ်သာက ပထမထပ်မှာ ရှိသည်။	បង្គន់; បន្ទប់ទឹក	បង្គន់បុរសនៅជាន់ទីមួយ។	ຫ້ອງນ້ຳ; ຫ້ອງສ້ວມ	ຫ້ອງນ້ຳຜູ້ຊາຍຢູ່ຊັ້ນໜຶ່ງ.
差不多	နီးပါး; ခန့်	ကျွန်တော် နေ့တိုင်း ခုနစ်နာရီခန့် အိပ်ရာထသည်။	ប្រហែល; ជិត	ខ្ញុំក្រោកពីគេងប្រហែលម៉ោងប្រាំពីររាល់ថ្ងៃ។	ເກືອບ; ປະມານ	ຂ້ອຍຕື່ນນອນປະມານເຈັດໂມງທຸກມື້.
尝	မြည်းသည်; စမ်းစားသည်	ကျွန်တော်ချက်ထားတဲ့ ဟင်းတွေကို မြန်မြန်လာမြည်းပါ၊ အရသာ ဘယ်လိုလဲ။	ភ្លក់; សាកល្បង	មកភ្លក់ម្ហូបដែលខ្ញុំធ្វើមើល រសជាតិយ៉ាងម៉េច?	ຊິມ; ລອງຊິມ	ມາຊິມອາຫານທີ່ຂ້ອຍເຮັດເບິ່ງ ລົດຊາດເປັນແນວໃດ?
长城	မဟာတံတိုင်း	စနေ၊ တနင်္ဂနွေမှာ မဟာတံတိုင်းကို သွားလည်ချင်သည်။	កំពែងចិន	ខ្ញុំចង់ទៅទស្សនាកំពែងចិននៅចុងសប្តាហ៍។	ກຳແພງເມືອງຈີນ	ຂ້ອຍຢາກໄປຢ້ຽມຊົມກຳແພງເມືອງຈີນໃນທ້າຍອາທິດ.
长江	ယန်စီမြစ်	ယန်စီမြစ်သည် တရုတ်နိုင်ငံ၏ အကြီးဆုံးမြစ် ဖြစ်သည်။	ទន្លេយ៉ាងសេ	ទន្លេយ៉ាងសេជាទន្លេធំបំផុតរបស់ចិន។	ແມ່ນ້ຳຢາງຈື	ແມ່ນ້ຳຢາງຈືແມ່ນແມ່ນ້ຳທີ່ໃຫຍ່ທີ່ສຸດຂອງຈີນ.
场	ပွဲများအတွက် အရေအတွက်ပြ စကားလုံး; နေရာ	ဒီမိုးက အချိန်ကိုက် ရွာလာသည်။	ពាក្យរាប់សម្រាប់ព្រឹត្តិការណ៍; កន្លែង	ភ្លៀងលើកនេះធ្លាក់បានទាន់ពេលណាស់។	ຄຳລັກສະນະນາມສຳລັບເຫດການ; ບ່ອນ	ຝົນຄັ້ງນີ້ຕົກມາທັນເວລາພໍດີ.
超过	ကျော်လွန်သည်; ပိုသည်	နေ့စဉ် လေယာဉ်ခရီးစဉ် သုံးရာကျော် ဤနေရာမှ ထွက်ခွာသည်။	លើស; ហួស	រាល់ថ្ងៃមានជើងហោះហើរលើសបីរយចេញពីទីនេះ។	ເກີນ; ຫຼາຍກວ່າ	ທຸກມື້ມີຖ້ຽວບິນເກີນສາມຮ້ອຍຖ້ຽວອອກຈາກທີ່ນີ້.
乘坐	စီးနင်းသည်	ဤလေယာဉ်ခရီးစဉ်ကို စီးနင်းလာသည့်အတွက် ကြိုဆိုပါသည်။	ជិះ; ធ្វើដំណើរដោយ	សូមស្វាគមន៍ដែលបានជិះជើងហោះហើរនេះ។	ໂດຍສານ; ນັ່ງພາຫະນະ	ຍິນດີຕ້ອນຮັບທ່ານທີ່ໂດຍສານຖ້ຽວບິນນີ້.
成功	အောင်မြင်မှု; အောင်မြင်သည်	ကြိုးစားမှုသည် အောင်မြင်မှုရရှိရန် အာမခံချက် ဖြစ်သည်။	ជោគជ័យ; ទទួលបានជោគជ័យ	ការខិតខំគឺជាការធានានៃជោគជ័យ។	ຄວາມສຳເລັດ; ສຳເລັດ	ຄວາມພະຍາຍາມແມ່ນຫຼັກປະກັນຂອງຄວາມສຳເລັດ.
成为	ဖြစ်လာသည်	ငယ်စဉ်ကတည်းက ရဲတစ်ယောက် ဖြစ်ချင်ခဲ့သည်။	ក្លាយជា	ខ្ញុំចង់ក្លាយជាប៉ូលិសតាំងពីតូច។	ກາຍເປັນ	ຂ້ອຍຢາກກາຍເປັນຕຳຫຼວດຕັ້ງແຕ່ນ້ອຍ.
诚实	ရိုးသားသော; ရိုးသားမှု	ရိုးသားသောလူများသည် ကျွန်ုပ်တို့၏ လေးစားမှုကို ထိုက်တန်သည်။	ស្មោះត្រង់; ភាពស្មោះត្រង់	មនុស្សស្មោះត្រង់សមនឹងទទួលការគោរពពីយើង។	ຊື່ສັດ; ຄວາມຊື່ສັດ	ຄົນຊື່ສັດຄວນຄ່າໃຫ້ພວກເຮົາເຄົາລົບ.
吃惊	အံ့ဩသည်; ထိတ်လန့်သည်	ဒီသတင်းကို ကြားပြီး သူ အလွန်အံ့ဩသွားသည်။	ភ្ញាក់ផ្អើល; រន្ធត់	ពេលឮដំណឹងនេះ គាត់ភ្ញាក់ផ្អើលណាស់។	ຕົກໃຈ; ແປກໃຈ	ໄດ້ຍິນຂ່າວນີ້ແລ້ວ ລາວຕົກໃຈຫຼາຍ.
重新	ပြန်လည်; နောက်တစ်ကြိမ်	သူက အကြောင်းအရာကို ပြန်လည်ပြောပြသည်။	ម្តងទៀត; ឡើងវិញ	គាត់បាននិយាយរឿងនោះឡើងវិញ។	ອີກຄັ້ງ; ໃໝ່ອີກ	ລາວເລົ່າເລື່ອງນັ້ນໃໝ່ອີກຄັ້ງ.
抽烟	ဆေးလိပ်သောက်သည်	တောင်းပန်ပါတယ်၊ ဆေးရုံထဲမှာ ဆေးလိပ်မသောက်ရပါ။	ជក់បារី	សូមទោស មិនអនុញ្ញាតឱ្យជក់បារីនៅក្នុងមន្ទីរពេទ្យទេ។	ສູບຢາ	ຂໍໂທດ ຢູ່ໃນໂຮງໝໍຫ້າມສູບຢາ.
出差	အလုပ်ခရီးသွားသည်	အဖေ အလုပ်ခရီးသွားနေတာ တစ်လကျော်ပြီ။	ទៅបំពេញបេសកកម្មការងារ	ប៉ាបានទៅបំពេញបេសកកម្មការងារជាងមួយខែហើយ។	ໄປວຽກຕ່າງແຂວງ; ໄປທຸລະກິດ	ພໍ່ໄປວຽກທຸລະກິດມາເກີນໜຶ່ງເດືອນແລ້ວ.
出发	ထွက်ခွာသည်; စတင်ထွက်သည်	ကျွန်တော် ပေကျင်းမှ ထွက်ခွာပြီး ရှန်ဟိုင်းသို့ သွားသည်။	ចេញដំណើរ	ខ្ញុំចេញដំណើរពីប៉េកាំងទៅសៀងហៃ។	ອອກເດີນທາງ	ຂ້ອຍອອກເດີນທາງຈາກປັກກິ່ງໄປຊຽງໄຮ.
出生	မွေးဖွားသည်	ကျွန်တော် မြို့ငယ်တစ်မြို့မှာ မွေးဖွားခဲ့သည်။	កើត; កំណើត	ខ្ញុំកើតនៅទីក្រុងតូចមួយ។	ເກີດ	ຂ້ອຍເກີດຢູ່ເມືອງນ້ອຍເມືອງໜຶ່ງ.
出现	ပေါ်လာသည်; ဖြစ်ပေါ်သည်	ကျွန်တော်တို့ အလုပ်ထဲမှာ ပြဿနာများစွာ ပေါ်လာသည်။	លេចឡើង; កើតមាន	មានបញ្ហាជាច្រើនកើតឡើងក្នុងការងាររបស់យើង។	ປາກົດ; ເກີດຂຶ້ນ	ໃນວຽກຂອງພວກເຮົາມີບັນຫາຫຼາຍຢ່າງເກີດຂຶ້ນ.
厨房	မီးဖိုချောင်	အသီးဓားက မီးဖိုချောင်ထဲမှာ ရှိသည်။	ផ្ទះបាយ	កាំបិតផ្លែឈើនៅក្នុងផ្ទះបាយ។	ເຮືອນຄົວ	ມີດປອກໝາກໄມ້ຢູ່ໃນເຮືອນຄົວ.
传真	ဖက်စ်	ကျေးဇူးပြု၍ ဖက်စ်တစ်စောင် ပို့ပေးပါ။	ហ្វាក់ស៍	សូមជួយផ្ញើហ្វាក់ស៍មួយច្បាប់ឱ្យខ្ញុំ។	ແຟັກ	ກະລຸນາຊ່ວຍສົ່ງແຟັກໃຫ້ຂ້ອຍສະບັບໜຶ່ງ.
窗户	ပြတင်းပေါက်	ကျွန်တော် ပြတင်းပေါက်တွေကို သန့်ရှင်းအောင် သုတ်ပြီးပြီ။	បង្អួច	ខ្ញុំបានជូតបង្អួចឱ្យស្អាតរួចហើយ។	ປ່ອງຢ້ຽມ	ຂ້ອຍເຊັດປ່ອງຢ້ຽມໃຫ້ສະອາດແລ້ວ.
词语	စကားလုံး; အသုံးအနှုန်း	ကျေးဇူးပြု၍ ဒီစကားလုံးတွေကို သုံးပြီး ဝါကျအနည်းငယ် ပြောပါ။	ពាក្យ; កន្សោមពាក្យ	សូមប្រើពាក្យទាំងនេះនិយាយប្រយោគពីរបី។	ຄຳສັບ; ສຳນວນ	ກະລຸນາໃຊ້ຄຳສັບເຫຼົ່ານີ້ເວົ້າປະໂຫຍກສອງສາມປະໂຫຍກ.
从来	အမြဲ; တစ်ခါမှ	ကျွန်တော် သူ့ကို တစ်ခါမှ မတွေ့ဖူးဘူး။	តែងតែ; មិនដែលពីមុន	ខ្ញុំមិនដែលឃើញគាត់ពីមុនទេ។	ເຄີຍ; ບໍ່ເຄີຍມາກ່ອນ	ຂ້ອຍບໍ່ເຄີຍເຫັນລາວມາກ່ອນ.
粗心	ပေါ့ဆသော; သတိမရှိသော	မင်း တကယ်ကို ပေါ့ဆလွန်းတယ်။	ធ្វេសប្រហែស; មិនប្រុងប្រយ័ត្ន	អ្នកពិតជាធ្វេសប្រហែសពេកហើយ។	ປະໝາດ; ບໍ່ລະວັງ	ເຈົ້າປະໝາດເກີນໄປແທ້ໆ.
存	အပ်နှံသည်; သိမ်းထားသည်	ကျွန်တော် ငွေကို ဘဏ်ထဲ အပ်ထားသည်။	ដាក់ប្រាក់; រក្សាទុក	ខ្ញុំបានដាក់ប្រាក់ចូលធនាគារ។	ຝາກ; ເກັບໄວ້	ຂ້ອຍຝາກເງິນເຂົ້າທະນາຄານ.
错误	အမှား; မှားယွင်းသော	ကျွန်တော့်အမှားကို ထောက်ပြပေးလို့ ကျေးဇူးတင်ပါတယ်။	កំហុស; ខុស	អរគុណដែលបានចង្អុលបង្ហាញកំហុសរបស់ខ្ញុំ។	ຄວາມຜິດ; ຜິດ	ຂອບໃຈທີ່ຊີ້ບອກຄວາມຜິດຂອງຂ້ອຍ.
答案	အဖြေ	မင်းရဲ့အဖြေက မှန်တယ်။	ចម្លើយ	ចម្លើយរបស់អ្នកត្រឹមត្រូវ។	ຄຳຕອບ	ຄຳຕອບຂອງເຈົ້າຖືກຕ້ອງ.
打扮	ဝတ်စားပြင်ဆင်သည်	သူမက ရိုးရိုးလေး ပြင်ဆင်ပြီး အပြင်ထွက်သွားသည်။	តុបតែងខ្លួន; ស្លៀកពាក់ស្អាត	នាងតុបតែងខ្លួនបន្តិចហើយចេញទៅក្រៅ។	ແຕ່ງຕົວ	ນາງແຕ່ງຕົວງ່າຍໆແລ້ວອອກໄປ.
打扰	အနှောင့်အယှက်ပေးသည်; ဒုက္ခပေးသည်	တောင်းပန်ပါတယ်၊ ခဏလောက် အနှောင့်အယှက်ပေးပါရစေ။	រំខាន; រំខានចិត្ត	សូមទោស ខ្ញុំរំខានអ្នកបន្តិច។	ລົບກວນ	ຂໍໂທດ ຂໍລົບກວນເຈົ້າຈັກໜ້ອຍ.
打印	ပုံနှိပ်သည်	ဒီစာရွက်စာတမ်းတွေကို ပုံနှိပ်ပြီးပြီ။	បោះពុម្ព	ឯកសារទាំងនេះបានបោះពុម្ពរួចហើយ។	ພິມ	ເອກະສານເຫຼົ່ານີ້ພິມສຳເລັດແລ້ວ.
