simplified	SR	example_SR
承受	издржати	Не могу да издржим толики притисак.
程度	ниво; степен	Његов ниво кинеског је веома висок.
程序	процедура; поступак	Молим вас, поступите по процедури.
诚恳	искрен	Његов став је веома искрен.
吃亏	бити на губитку	Пре куповине добро погледај, да не будеш на губитку.
持续	трајати	Киша је трајала три дана.
池塘	рибњак; језерце	У језерцету има много риба.
迟早	пре или касније	Пре или касније ћеш разумети.
尺子	лењир	Молим те, измери лењиром.
翅膀	крило	Птици је повређено крило.
充电器	пуњач	Мој пуњач је покварен.
充分	пун; довољан	Направили смо довољне припреме.
充满	бити пун	Соба је била пуна смеха.
冲	испрати; налити водом	Молим те, испери чашу водом.
重复	поновити	Молим те, немој понављати исту грешку.
宠物	кућни љубимац	Она има пса као кућног љубимца.
抽屉	фиока	Кључ је у фиоци.
抽象	апстрактан	Овај појам је превише апстрактан.
丑	ружан	Ова фотографија је мало ружна.
臭	смрдљив	Смеће веома смрди.
出版	објавити	Ова књига је објављена прошле године.
出口	излаз	Излаз је напред.
出色	изванредан	Њен наступ је изванредан.
出示	показати	Молим вас, покажите пасош.
出席	присуствовати	Он ће присуствовати састанку.
初级	почетни	Учам кинески у почетној групи.
除非	осим ако	Осим ако буде кише, сутра идемо на планинарење.
除夕	новогодишње вече	За новогодишње вече цела породица једе заједно.
处理	решити; обрадити	Ја ћу решити овај проблем.
传播	ширити се	Ова вест се веома брзо проширила.
传染	заразити; преносити се	Прехлада се лако преноси.
传说	легенда	Ово је древна легенда.
传统	традиција; традиционалан	Пролећни фестивал је традиционални кинески празник.
窗帘	завеса	Молим те, размакни завесе.
闯	проћи на силу; улетети	Случајно је прошао кроз црвено светло.
创造	створити	Људи су створили нове алате.
吹	дувати	Ветар јако дува.
词汇	речник; лексика	Ова реч се често користи.
辞职	дати отказ	Одлучио је да да отказ.
此外	осим тога	Осим тога, имам још једно питање.
刺激	узбудљив; подстаћи	Ова игра је веома узбудљива.
次要	споредан	Овај проблем је споредан.
匆忙	ужурбан	Ужурбано је напустио кућу.
从此	од тада	Од тада вежба сваки дан.
从而	тиме; стога	Вредно је учио и тиме положио испит.
从前	раније; некада	Раније овде није било метроа.
从事	бавити се	Она се бави образовањем.
粗糙	груб; храпав	Овај лист папира је веома храпав.
促进	унапредити; подстаћи	Вежбање може да унапреди здравље.
促使	подстаћи	Ова ствар га је подстакла да промени план.
醋	сирће	У јело је додато сирће.
催	пожуривати	Мама ме пожурује да брже изађем.
存在	постојати	Овај проблем и даље постоји.
措施	мера	Школа је предузела безбедносне мере.
答应	обећати; пристати	Пристао је да ми помогне.
达到	достићи	Његове оцене су достигле стандард.
打工	радити хонорарно	Током летњег распуста ради хонорарно у ресторану.
打交道	имати посла са	Често имам посла са клијентима.
打喷嚏	кијати	Прехладио се и стално кија.
打听	распитати се	Желео бих да се распитам о картама за воз.
大方	великодушан	Она је веома великодушна с новцем.
大厦	велика зграда	Та велика зграда је веома висока.
大象	слон	Деца гледају слонове у зоолошком врту.
大型	велики; великог обима	Овде ће се градити велики тржни центар.
呆	остати; туп	Он остаје код куће и чита књигу.
代表	представљати; представник	Овај цвет представља пријатељство.
代替	заменити	Данас ћу ја уместо њега ићи на састанак.
待遇	услови; примања	Услови у овој компанији су добри.
贷款	кредит	Поднели су захтев за стамбени кредит.
单纯	једноставан; чист	Њена идеја је врло једноставна.
单调	монотон	Овај посао је мало монотон.
单独	сам; насамо	Желим да разговарам с тобом насамо.
单位	јединица; установа	Он ради у једној јавној установи.
单元	лекција; целина	Данас учимо трећу целину.
担任	обављати дужност	Она је задужена за ову активност.
耽误	одложити; губити време	Не губи време свима.
胆小鬼	кукавица	Не зови га кукавицом.
淡	благ; слаб	Ова супа је мало блага.
当地	локални	Локални људи сви воле ову пијацу.
当心	пазити	Пут је клизав, пази мало.
挡	блокирати; сметати	Овај ауто блокира улаз.
倒霉	немати среће	Данас стварно немам среће, изгубио сам телефон.
导演	режисер; режирати	Овај режисер је веома познат.
导致	довести до	Јака киша је довела до саобраћајне гужве.
岛屿	острво	Ова земља има много острва.
到达	стићи	Воз је стигао у Шангај на време.
道德	морал	Човек треба да има морална начела.
道理	смисао; разлог	То што је рекао има много смисла.
登记	регистровати се	Молим вас, најпре се региструјте на рецепцији.
等待	чекати	Чекамо резултат.
等于	бити једнако	Пет плус пет једнако је десет.
滴	кап	Кап воде је пала на сто.
敌人	непријатељ	Они нису непријатељи.
的确	заиста	Ова ствар је заиста важна.
地道	аутентичан	Он говори аутентичним пекиншким говором.
地理	географија	Веома ме занима кинеска географија.
地区	област; регион	Ова област је зими веома хладна.
地毯	тепих	У дневној соби је прострт тепих.
地位	положај; статус	Образовање има важан положај у друштву.
地震	земљотрес	Синоћ се овде догодио земљотрес.
递	предати; додати	Молим те, предај ово писмо учитељу.
点心	ужина; посластица	Поподне смо јели ужину.
电池	батерија	Овој играчки су потребне две батерије.
电台	радио-станица	Он води емисију на радио-станици.
钓	пецање; пецати	Деда воли да иде на реку да пеца.
顶	врх; класификатор за шешире	Носи црни шешир.
冻	смрзнути се	Напољу је толико хладно да се вода смрзла.
动画片	цртани филм	Деца гледају цртани филм.
洞	рупа	На зиду је мала рупа.
豆腐	тофу	Ово јело од тофуа је укусно.
逗	задиркивати; насмејати	Његове речи су насмејале све.
独立	независан	Она жели да живи независно.
独特	јединствен	Овај град има јединствену културу.
度过	провести	Празник смо провели на мору.
断	прекинути се; пукнути	Овај конопац је пукао.
堆	гомила; нагомилати	На столу је нагомилано много докумената.
兑换	разменити	Желео бих да разменим нешто кинеских јуана.
对比	упоредити	Молим вас, упоредите ова два плана.
对待	односити се према	Треба праведно да се односимо према свима.
对方	друга страна	Молим те, најпре саслушај мишљење друге стране.
对手	противник	Његов противник је веома јак.
对象	предмет; циљ	Предмет истраживања су студенти.
吨	тона	Овај камион може да превезе три тоне робе.
蹲	чучати; чучнути	Он чучи на земљи и тражи кључеве.
顿	оброк; пауза; класификатор за оброке	Вечерали смо заједно.
多亏	захваљујући; срећом	Захваљујући твојој помоћи, завршио сам задатак.
多余	сувишан; непотребан	Ова реченица је сувишна.
朵	класификатор за цветове	На столу стоји један цвет.
躲藏	сакрити се; крити се	Маче се крије испод кревета.
恶劣	лош; суров; неповољан	Време је данас веома лоше.
耳环	минђуша	Она носи пар минђуша.
发表	објавити; изнети	Он је на састанку изнео своје мишљење.
发愁	бринути се	Не брини због ове ситнице.
发达	развијен; напредан	Саобраћај у овом граду је веома развијен.
发抖	дрхтати	Дрхти од хладноће.
发挥	искористити; испољити	Молим вас, искористите своју машту.
发明	изум; изумети	Електрична сијалица је важан изум.
发票	рачун; фактура	Молим вас, издајте ми рачун.
发言	говорити; изнети мишљење	Он је говорио на састанку.
罚款	новчана казна; казнити новчано	За непрописно паркирање плаћа се новчана казна.
法院	суд	Овај случај је предат суду.
翻	окренути; преврнути	Молим вас, окрените књигу на десету страну.
繁荣	процветати; просперитетан	Привреда постепено напредује.
反而	напротив; уместо тога	Није се наљутио, већ се насмејао.
反复	више пута; изнова	Ову реченицу треба вежбати више пута.
反应	реакција; реаговати	Његова реакција је брза.
反映	одражавати; приказивати	Овај извештај одражава стварно стање.
反正	у сваком случају; ионако	У сваком случају, сутра имам времена.
范围	обим; распон; граница	Молим вас, немојте излазити из овог оквира.
方	квадратан; страна; правац	Молим вас, нацртајте квадрат на папиру.
方案	план; предлог; решење	Овај план је прилично разуман.
方式	начин; стил	Овај начин учења је веома ефикасан.
妨碍	ометати; спречавати	Молим вас, не ометајте друге у раду.
仿佛	као да; изгледати као	Изгледа као да све зна.
非	не-; мора	Ово се не може урадити без тебе.
肥皂	сапун	При прању руку треба користити сапун.
废话	бесмислица; празна прича	Мање празне приче, почнимо брзо.
分别	растати се; разликовати	Растали су се на станици.
分布	распоредити се; расподела	Ове продавнице су распоређене по целом граду.
分配	доделити; расподелити	Наставник је доделио нови задатак.
分手	раскинути; растати се	Раскинули су прошле године.
分析	анализа; анализирати	Треба да анализирамо разлоге.
纷纷	један за другим; редом	Сви су један за другим изразили слагање.
奋斗	борити се; трудити се	Млади треба да се боре за своје снове.
疯狂	луд; махнит	Навијачи су махнито клицали.
风格	стил	Стил овог ресторана је веома посебан.
风景	пејзаж; призор	Пејзаж на планини је веома леп.
风俗	обичај	Свако место има своје обичаје.
风险	ризик	Улагање носи одређени ризик.
讽刺	исмевати; сатира; иронија	Овај чланак је сатирично приказао друштвене проблеме.
否定	негирати; одричан	Он је негирао ту тврдњу.
否认	порицати	Он је порекао да је погрешио.
幅	класификатор за слике и тканине; ширина	На зиду виси једна слика.
扶	придржати; помоћи	Молим вас, помозите старијој особи да пређе улицу.
服装	одећа; костим	Ова продавница продаје дечју одећу.
辅导	подучавати; давати допунску наставу	Наставник после часа подучава ученике.
复制	копирати; умножити	Молим вас, копирајте овај документ.
妇女	жена; жене	Ова болница пружа услуге женама.
改革	реформа; реформисати	Школа спроводи реформу наставе.
改进	унапредити; побољшати	Треба да унапредимо квалитет услуге.
改善	побољшати	Вежбање може да побољша сан.
改正	исправити	Молим вас, благовремено исправите грешке.
概括	сажети; уопштити	Молим вас, укратко сажмите садржај чланка.
概念	појам; концепт	Овај појам није баш лако разумети.
盖	поклопац; покрити	Молим те, добро поклопи шољу.
干脆	једноставно; отворено	Онда једноставно немој данас да идеш.
干燥	сув	Зиме на северу су веома суве.
感激	бити захвалан	Веома сам захвалан на твојој помоћи.
感受	осећај; осетити	Могу да разумем твоја осећања.
感想	утисак; размишљање	Молим те, реци своје утиске.
赶紧	пожурити	Касно је, пожури и крени.
赶快	брзо; одмах	Брзо затвори врата.
干活儿	радити физички посао	Он ради у дворишту.
钢铁	челик	Овај мост је направљен од челика.
高档	високе класе; луксузан	Ово је хотел високе класе.
高级	напредан; високог нивоа	Она је уписала напредни курс кинеског.
搞	радити; организовати	Какву активност организујеш?
告别	опростити се	На аеродрому смо се опростили од пријатеља.
格外	посебно; нарочито	Небо је данас посебно плаво.
隔壁	суседан; поред	У суседном стану живи један наставник.
个别	појединачан; неки	Неколико појединачних ученика још није предало домаћи задатак.
个人	лични; појединац	Ово је моје лично мишљење.
个性	личност; индивидуалност	Она има изражену личност.
各自	свако свој; појединачно	Свако завршава свој задатак.
根	корен; класификатор за дуге танке предмете	Испод стола је једна жица.
根本	основни; уопште	Овај проблем уопште није тежак.
公布	објавити; јавно саопштити	Школа је објавила резултате испита.
公开	јаван; јавно објавити	Овај састанак је јаван.
公平	праведан; фер	Такмичење треба да буде праведно.
公寓	стан; стамбена зграда	Она је изнајмила мали стан.
公元	нова ера	Ова година је две хиљаде двадесет шеста година нове ере.
公主	принцеза	Девојчица воли приче о принцезама.
功能	функција; могућност	Овај софтвер има много функција.
工厂	фабрика	Ова фабрика производи аутомобиле.
工程师	инжењер	Мој старији брат је инжењер.
工具	алат; оруђе	За поправку бицикла потребан је алат.
工人	радник	Радници поправљају пут.
工业	индустрија	Овај град се углавном ослања на индустрију.
恭喜	честитати; честитке	Честитам ти што си положио испит.
贡献	допринос; допринети	Он је дао допринос компанији.
沟通	комуникација; комуницирати	Добра комуникација је веома важна.
构成	чинити; сачињавати	Ови делови чине целину.
姑姑	тетка по оцу	За викенд идем да посетим тетку.
姑娘	девојка; млада жена	Та девојка је веома срдачна.
古代	стара времена; антика	У стара времена није било мобилних телефона.
古典	класичан	Волим класичну музику.
股票	акција; деоница	Купио је неколико акција.
骨头	кост	Ова кост је веома тврда.
鼓舞	охрабрити; подстаћи	Ова вест је веома охрабрујућа.
鼓掌	аплаудирати; тапшати	Публика је аплаудирала глумцима.
固定	фиксан; сталан	Имам фиксно радно време.
挂号	регистровати се код лекара	Пре прегледа треба прво да се региструјеш.
乖	послушан; добар	Ово дете је веома послушно.
拐弯	скренути	На раскрсници испред скрени десно.
怪不得	није ни чудо; зато	Није ни чудо што си тако уморан.
关闭	затворити; искључити	Молим вас, искључите рачунар пре одласка.
官	службеник; чиновник	Он је млад службеник.
观察	посматрати	Лекар посматра стање пацијента.
观点	гледиште; став	Слажем се са твојим ставом.
观念	идеја; схватање	Схватања младих се мењају.
管子	цев; цевчица	Ова цев цури.
冠军	шампион; првак	Она је освојила прво место на такмичењу.
光滑	гладак	Површина овог стола је веома глатка.
光临	доћи; указати част доласком	Добро дошли и следећи пут.
光明	светао; светлост	Будућност је светла.
光盘	оптички диск	Молим вас, сачувајте материјале на диск.
广场	трг	На тргу има много људи.
广大	широк; бројан	Ова вест је наишла на добар пријем код великог броја студената.
广泛	широк; опсежан	Ова књига има широк утицај.
归纳	сажети; извести закључак	Наставник нам је помогао да сажмемо главне тачке.
规矩	правило; ред	Деца треба да знају правила понашања.
规律	правилност; ритам; законитост	Живот треба да има редован ритам.
规模	обим; размере	Ова компанија је великог обима.
规则	правило; пропис	Правила такмичења су врло јасна.
柜台	пулт; шалтер	Молим вас, платите на шалтеру.
滚	кључати; котрљати се	Вода је већ прокључала.
锅	лонац; шерпа	У лонцу је врућа супа.
国庆节	Дан државности	За Дан државности имамо одмор.
国王	краљ	Краљ живи у палати.
果然	као што се очекивало; заиста	Стигао је тачно на време, као што се очекивало.
果实	плод; резултат	Дрво је пуно плодова.
过分	претеран	Његов захтев је помало претеран.
过敏	алергија; бити алергичан	Алергичан сам на полен.
过期	истећи; бити ван рока	Ова флаша млека је већ истекла.
哈	ха; узвик смеха	Ха, коначно сам разумео.
海关	царина	Стајали смо у реду на царини ради контроле.
海鲜	морски плодови	Морски плодови у овом ресторану су веома свежи.
喊	викати; дозивати	Не вичи гласно у учионици.
行业	делатност; индустрија	Туристичка делатност се брзо развија.
豪华	луксузан	Они бораве у луксузном хотелу.
好客	гостољубив	Мештани су веома гостољубиви.
好奇	радознао	Деца су веома радознала према свету.
何必	нема потребе; зашто би	Зашто се љутити због ситнице?
何况	а камоли; тим пре	Данас је хладно, а уз то још и пада киша.
合法	законит; легалан	Овај уговор је законит.
合理	разуман; правичан	Ова цена је разумна.
合同	уговор	Потписали су уговор.
合影	заједничка фотографија	На дипломирању смо направили заједничку фотографију.
合作	сарадња; сарађивати	Пројекат смо завршили сарадњом.
和平	мир	Свако се нада миру.
核心	језгро; суштина	Поверење је суштина сарадње.
恨	мрзети; жалити	Жали што се није раније више трудио.
猴子	мајмун	У зоолошком врту има неколико мајмуна.
后背	леђа	Мало га боле леђа.
后果	последица	Треба да размислиш о последицама.
呼吸	дисати	Молим вас, дубоко удахните.
忽然	изненада	Небо се изненада смрачило.
忽视	занемарити; игнорисати	Не занемаруј овај проблем.
壶	чајник; бокал	На столу је чајник са чајем.
糊涂	збуњен; сметен	Данас сам мало збуњен.
胡说	говорити глупости	Не говори глупости, то није истина.
胡同	уличица; хутонг	У Пекингу има много старих уличица.
蝴蝶	лептир	У врту је један лептир.
花生	кикирики	Он воли да једе кикирики.
华裔	Кинез по пореклу	Она је списатељица кинеског порекла.
滑	клизав; клизити	Под је клизав, буди пажљив.
划	веслати	Када се возе чамцем, он је задужен да весла.
化学	хемија	На универзитету је студирала хемију.
话题	тема	Ова тема је веома занимљива.
怀念	чежњиво се сећати; недостајати	Веома ми недостаје студентски живот.
怀孕	бити трудна	Трудна је три месеца.
缓解	ублажити	Одмор може да ублажи стрес.
幻想	машта; маштати	Често машта о путовању у свемир.
慌张	успаничен; збуњен	Не паничи када наиђеш на проблем.
黄金	злато	Цена злата је поново порасла.
恢复	опоравити се; обновити	Његово тело се опоравља.
挥	махнути	Она је махнула руком.
灰	пепео; сив	Небо је сиво.
灰尘	прашина	На столу има много прашине.
灰心	обесхрабрити се	Не губи храброст чак и ако не успеш.
汇率	девизни курс	Колики је данашњи девизни курс?
婚礼	венчање	Њихово венчање је било веома једноставно.
婚姻	брак	Брак захтева међусобно разумевање.
活跃	активан	Он је веома активан на часу.
伙伴	партнер; сапутник	Он је мој најбољи партнер.
火柴	шибица	У кутији је остала само једна шибица.
或许	можда	Можда ће сутра падати киша.
基本	основни	Ово су основни захтеви.
机器	машина	Ова машина је покварена.
激烈	жесток; интензиван	Такмичење је било веома жестоко.
肌肉	мишић	После вежбања мишићи су ми мало упаљени.
及格	положити испит	Он је положио овај испит.
急忙	ужурбано; хитно	Ужурбано је истрчао из учионице.
急诊	хитна помоћ; ургентно одељење	Пацијент је послат у ургентно одељење.
极其	изузетно	Ово питање је изузетно важно.
集合	окупити се; скуп	Молим вас, окупите се на улазу у осам сати.
集体	колектив; група	Ово је групна активност.
集中	усредсредити; концентрисати	На часу треба да усредсредиш пажњу.
寂寞	усамљен	Живот у самоћи понекад може бити усамљен.
系领带	везати кравату	Сваког дана пре посла везује кравату.
纪录	рекорд	Оборио је школски рекорд.
纪律	дисциплина	Дисциплина у учионици је веома важна.
纪念	обележити; сећати се	Фотографисали смо се да обележимо овај дан.
计算	израчунати	Молим вас, израчунајте укупан трошак.
记录	забележити; запис	Молим вас, забележите садржај састанка.
记忆	сећање; памћење	Ово сећање је веома драгоцено.
嘉宾	почасни гост	Данашњи гост је један писац.
夹子	штипаљка; копча	Молим вас, причврстите документе штипаљком.
家庭	породица; домаћинство	Породица је веома важна за децу.
家务	кућни послови	За викенд морам да радим кућне послове.
家乡	родни крај	Веома ми недостаје родни крај.
假如	ако; претпоставимо	Ако сутра буде падала киша, нећемо ићи.
假设	претпоставка; претпоставити	Претпоставимо да си наставник, шта би урадио?
假装	претварати се	Претварао се да није чуо.
甲	први; прва страна	Прва страна треба да плати на време.
价值	вредност	Ова књига је веома вредна.
嫁	удати се	Она ће се следеће године удати за свог момка.
驾驶	возити; управљати	Када возиш ауто, вози пажљиво.
兼职	посао са непуним радним временом	Увече ради посао са непуним радним временом.
坚决	одлучан; чврст	Он се чврсто не слаже са овом одлуком.
坚强	снажан; јак	Она је снажна особа.
肩膀	раме	Повредио је раме.
艰巨	тежак; захтеван	Ово је веома захтеван задатак.
艰苦	тежак; напоран	Прошли су кроз тежак живот.
剪刀	маказе	Молим те, додај ми маказе.
捡	покупити	Покупио је новчаник са земље.
简历	радна биографија	Пре тражења посла треба припремити радну биографију.
简直	просто; заиста	Ова вест је просто шокантна.
健身	вежбати; бити у форми	Иде на тренинг три пута недељно.
建立	успоставити; основати	Успоставили смо нови однос.
建设	изградња; градити	Урбана изградња се брзо развија.
建筑	зграда; грађевина	Ова зграда има препознатљиве одлике.
键盘	тастатура	Моју тастатуру треба очистити.
讲究	обраћати посебну пажњу; захтеван	Кинези много пажње посвећују храни.
讲座	предавање	Вечерас има предавање о кинеском језику.
酱油	соја-сос	Додај мало соја-соса у јело.
交换	разменити	Разменили смо бројеве телефона.
交际	комуникација; друштвени контакти	Када учиш језик, треба да вежбаш и комуникацију.
交往	забављати се; дружити се	Забављали су се две године.
浇	залити	Молим те, заливај цвеће сваки дан.
胶水	лепак	Лепком сам залепио фотографију.
狡猾	лукав	Та лисица је веома лукава.
角度	угао; гледиште	Погледајмо проблем из другог угла.
教材	уџбеник; наставни материјал	Овај уџбеник је веома практичан.
教练	тренер	Тренер тражи да стигнемо на време.
教训	лекција; поука	Овај неуспех је поука.
接触	контакт; доћи у додир	Ово је мој први додир са кинеском културом.
接待	примити; дочекати	Компанија је одредила посебну особу да дочека госте.
接近	приближити се; близу	Празник пролећа је све ближи.
结实	чврст; издржљив	Овај кофер је веома чврст.
阶段	фаза; етапа	Учење је подељено у три фазе.
结构	структура	Овај чланак има јасну структуру.
结合	спојити; повезати	Учење треба повезати са праксом.
结论	закључак	Његов закључак је веома убедљив.
结账	платити рачун	После јела смо отишли да платимо рачун.
节省	уштедети	Вожња метроом може да уштеди време.
借口	изговор	Престани да тражиш изговоре.
届	издање; циклус	Ово је треће издање такмичења.
戒	оставити; одвикнути се	Лекар му је саветовао да остави пушење.
戒指	прстен	Она носи прстен.
金属	метал	Гвожђе је врста метала.
尽快	што пре	Молим вас, одговорите на имејл што пре.
紧急	хитан	Ово је хитна ситуација.
谨慎	опрезан	Пре улагања треба бити опрезан.
尽力	дати све од себе	Даћу све од себе да ти помогнем.
尽量	колико год је могуће	Молим те, покушај да стигнеш што раније.
近代	новије доба	У Кини новијег доба догодило се много промена.
进步	напредак; напредовати	Његов кинески брзо напредује.
进口	увезен; увозити	Овај ауто је увезен.
精力	енергија	Деца имају много енергије.
精神	дух; расположење	Данас је добро расположен.
经典	класичан; класик	Ово је класичан филм.
经商	бавити се трговином; пословати	Његов отац послује у иностранству.
经营	водити; управљати	Она води малу продавницу.
酒吧	бар	Увече су отишли у бар.
救	спасити	Лекар му је спасао живот.
救护车	хитна помоћ	Хитна помоћ је брзо стигла.
舅舅	ујак	Мој ујак живи у Нанђингу.
居然	неочекивано; чак	Чак је заборавио сопствени рођендан.
桔子	мандарина	На столу има неколико мандарина.
俱乐部	клуб	Учланила се у пливачки клуб.
具备	имати; поседовати	Он има искуство у управљању.
具体	конкретан	Молим те, буди мало конкретнији.
巨大	огроман	Овај пројекат захтева огромно улагање.
据说	кажу да; наводно	Кажу да се већ вратио у своју земљу.
捐	донирати; приложити	Сви су спремни да донирају новац.
决赛	финале	Сутра је фудбалско финале.
决心	одлучност; одлука	Одлучио је да добро научи кинески.
绝对	апсолутно	Ово се апсолутно не сме заборавити.
角色	улога; лик	Она у филму игра важну улогу.
军事	војни; војна питања	Веома га занима војна историја.
均匀	равномеран	Молим вас, нанесите боју равномерно.
卡车	камион	Један камион је паркиран испред улаза.
开发	развити; развојно искористити	Компанија развија нови производ.
开放	отворити; бити отворен	Парк се отвара сваког јутра у шест.
开幕式	церемонија отварања	Церемонија отварања одржаће се сутра увече.
开水	прокувана вода	Молим вас, дајте ми чашу прокуване воде.
砍	сећи; одсећи	Радник сече гране.
看不起	презирати; гледати с висине	Не гледај никога с висине.
看望	посетити	За викенд ћу посетити деду и баку.
靠	наслонити се; ослањати се	Наслонио се на зид да се одмори.
颗	класификатор за ситне округле предмете	На ноћном небу је једна звезда.
可见	видљиво је; јасно је	Јасно је да је овај метод веома ефикасан.
可靠	поуздан	Он је поуздан пријатељ.
可怕	страшан	Овај сан је био превише страшан.
克	грам	Молим вас, додајте два грама соли.
克服	савладати; превазићи	Морамо да превазиђемо тешкоће.
刻苦	вредан; марљив	Он учи веома марљиво.
客观	објективан	Молим вас, објективно анализирајте проблем.
课程	курс; предмет	Овај курс је веома користан.
