source_headword	DA	example_DA
cautious	forsigtig	Investorer forbliver forsigtige i denne uge.
cease	at ophøre	Fabrikken vil snart ophøre med produktionen.
cemetery	en kirkegård	Kirkegården har udsigt over havet.
chamber	en sal	Salen var stille under afstemningen.
chaos	et kaos	Forsinkelsen forårsagede kaos i lufthavnen.
characterize	at karakterisere	Eksperter karakteriserer planen som risikabel.
charm	en charme	Byen har gammeldags charme.
charter	et charter	Charteret beskytter grundlæggende rettigheder.
chronic	kronisk	Han lider af kroniske rygsmerter.
chunk	et stykke	Skær osten i et stykke.
circulate	at cirkulere	Send venligst dagsordenen rundt i dag.
circulation	et oplag	Avisens oplag faldt kraftigt.
citizenship	et statsborgerskab	Hun ansøgte om fransk statsborgerskab.
civic	borgerlig	Civile ledere deltog i mødet.
civilian	en civil	Flere civile hjem blev beskadiget.
clarity	en klarhed	Diagrammet tilføjede klarhed til rapporten.
clash	et sammenstød	Sammenstødet begyndte efter marchen.
classification	en klassifikation	Klassifikationen afhænger af størrelse.
cling	at klynge sig til	Vådt tøj klynger sig til huden.
clinical	klinisk	Det kliniske forsøg starter i næste måned.
closure	en afslutning	Familien ønskede afslutning efter sagen.
cluster	en klynge	En klynge huse stod i nærheden.
coalition	en koalition	Koalitionen mistede sit flertal.
coastal	kystnær	Kystlandsbyer forberedte sig på oversvømmelse.
cocktail	en cocktail	Hun bestilte en frugtcocktail.
cognitive	kognitiv	Kognitive evner forbedres med øvelse.
coincide	at falde sammen	Festivalen vil falde sammen med dimissionen.
collaborate	at samarbejde	Holdene samarbejder om software.
collaboration	et samarbejde	Deres samarbejde gav stærke resultater.
collective	kollektiv	Beslutningen var en kollektiv indsats.
collision	en kollision	Sammenstødet blokerede motorvejen.
colonial	kolonial	Bygningen har kolonial arkitektur.
columnist	en klummeskriver	Klummeskriveren kritiserede politikken.
combat	en kamp	Soldater trænede til kamp.
commence	begynde	Ceremonien vil begynde klokken tolv.
commentary	en kommentar	Kampens kommentarspor var livligt.
commentator	en kommentator	Kommentatoren forklarede beslutningen.
commerce	en handel	Online handel voksede hurtigt.
commissioner	en kommissær	Kommissæren annoncerede nye regler.
commodity	en råvare	Hvede er en vigtig råvare.
communist	kommunistisk	Det kommunistiske parti holdt et møde.
companion	en ledsager	Hendes hund er en loyal ledsager.
comparable	sammenlignelig	De to byer er sammenlignelige i størrelse.
compassion	en medfølelse	Sygeplejersken viste stor medfølelse.
compel	tvinge	Beviserne kan tvinge et svar frem.
compelling	overbevisende	Dokumentaren fremlagde en overbevisende sag.
compensate	kompensere	Virksomheden vil kompensere de berørte kunder.
compensation	en kompensation	Arbejderne krævede fair kompensation.
competence	en kompetence	Testen måler professionel kompetence.
competent	kompetent	Hun er en kompetent ingeniør.
compile	samle	Forskere samler data fra hospitaler.
complement	supplere	Vinen vil supplere måltidet.
complexity	en kompleksitet	Projektet har en uventet kompleksitet.
compliance	en overholdelse	Revisionen tjekkede juridisk overholdelse.
complication	en komplikation	Operationen havde en komplikation.
comply	overholde	Virksomheder skal overholde reglerne.
composition	en komposition	Kompositionen inkluderer violin og klaver.
compromise	et kompromis	Kompromiset tilfredsstillede begge parter.
compute	beregne	Programmet kan beregne totalen.
conceal	skjule	Han forsøgte at skjule skaden.
concede	indrømme	Ministeren nægtede at indrømme nederlag.
conceive	udtænke	De kunne ikke udtænke en bedre plan.
conception	en opfattelse	Filmen ændrede min opfattelse af historien.
concession	en indrømmelse	Virksomheden tilbød en indrømmelse.
condemn	fordømme	Ledere fordømmer angrebet offentligt.
confer	tildele	Prisen vil tildele prestige.
confession	en tilståelse	Hans tilståelse overraskede retten.
configuration	en konfiguration	Konfigurationen styrer netværksadgangen.
confine	begrænse	Reglerne begrænser hunde til dette område.
confirmation	en bekræftelse	Vi modtog bekræftelse via e-mail.
confront	konfrontere	Hun besluttede at konfrontere problemet.
confrontation	en konfrontation	Konfrontationen endte uden vold.
congratulate	lykønske	Jeg ringede for at lykønske min søster.
congregation	en menighed	Menigheden sang sammen.
congressional	kongresmæssig	Kongreshøringen varede i timevis.
conquer	erobre	Holdet håber at erobre markedet.
conscience	en samvittighed	Hans samvittighed ville ikke tillade løgne.
consciousness	en bevidsthed	Ulykken påvirkede hans bevidsthed.
consecutive	på hinanden følgende	Hun vandt tre på hinanden følgende kampe.
consensus	en konsensus	Udvalget nåede hurtigt til konsensus.
consent	et samtykke	Skriftligt samtykke er påkrævet.
conserve	spare på	Vi sparer på vandet under tørke.
consistency	en konsistens	Konsistens er vigtig i sprogstudier.
consolidate	konsolidere	Virksomheden vil konsolidere to kontorer.
constituency	en valgkreds	Kandidaten besøgte hver valgkreds.
constitute	udgøre	Kvinder udgør halvdelen af udvalget.
constitution	en forfatning	Forfatningen garanterer ytringsfrihed.
constitutional	forfatningsmæssig	Retten gennemgik de forfatningsmæssige rettigheder.
constraint	en begrænsning	Budgetbegrænsninger begrænsede projektet.
consultation	en konsultation	Konsultationen varede i to uger.
contemplate	overveje	Hun holdt en pause for at overveje tilbuddet.
contempt	en foragt	Han viste foragt for reglerne.
contend	kæmpe	Flere firmaer kæmper om kontrakten.
contender	en udfordrer	Hun er en stærk udfordrer.
content2	tilfreds	Han følte sig tilfreds med resultatet.
contention	en strid	Hovedstriden angår finansiering.
continually	kontinuerligt	Systemet tjekker kontinuerligt for fejl.
contractor	en entreprenør	Entreprenøren reparerede taget.
contradiction	en modsigelse	Hans udtalelse indeholdt en modsigelse.
contrary	modsat	De modsatte beviser ændrede sagen.
contributor	en bidragyder	Hun er en regelmæssig bidragyder.
conversion	en konvertering	Konverteringen ændrede dollars til euro.
convict	dømme	Nævnet kan dømme den mistænkte.
conviction	en domfældelse	Hans domfældelse chokerede offentligheden.
cooperate	samarbejde	Vær venlig at samarbejde med efterforskningen.
cooperative	samarbejdsvillig	Personalet var samarbejdsvilligt og roligt.
coordinate	koordinere	De koordinerer leverancer hver morgen.
coordination	en koordination	God koordination sparede tid.
coordinator	en koordinator	Koordinatoren fordelte hver opgave.
cop	en betjent	En betjent stod uden for stationen.
copper	et kobber	Røret er lavet af kobber.
copyright	en ophavsret	Billedet er beskyttet af ophavsret.
correction	en rettelse	Læreren lavede én rettelse.
correlate	korrelere	Høj stress kan korrelere med sygdom.
correlation	en korrelation	Undersøgelsen fandt en stærk korrelation.
correspond	svare til	Disse tal svarer til etiketterne.
correspondence	en korrespondance	Deres korrespondance varede i årevis.
correspondent	en korrespondent	Korrespondenten rapporterede fra Kairo.
corresponding	tilsvarende	Hver knap har et tilsvarende lys.
corrupt	korrupt	Den korrupte embedsmand modtog penge.
corruption	en korruption	Korruption svækkede offentlighedens tillid.
costly	kostbar	Fejlen var kostbar for holdet.
councillor	et byrådsmedlem	Byrådsmedlemmet besvarede beboernes spørgsmål.
counselling	en rådgivning	Hun modtog rådgivning efter ulykken.
counsellor	en rådgiver	Rådgiveren hjalp nye studerende.
counter (argue against)	imødegå	Hun forsøgte at imødegå hans argument.
counterpart	en modpart	Han mødte sin japanske modpart.
countless	utallig	Utallige frivillige deltog i søgningen.
coup	et kup	Kuppet fjernede præsidenten.
courtesy	en høflighed	Hun takkede dem for deres høflighed.
