supportLang,targetLang,supportFolder,pairFolder,thumbnailPath,youtubeVideoId,youtubeVideoUrl,channelHandle,targetLabel,topic,subtitle
"EN","KN","EN__English","EN__KN__English_to_Kannada","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__KN__English_to_Kannada/youtube_thumbnail.jpg","wf3AsF8SItk","https://www.youtube.com/watch?v=wf3AsF8SItk","@flashcardsluna","Kannada A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","KO","EN__English","EN__KO__English_to_Korean","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__KO__English_to_Korean/youtube_thumbnail.jpg","svVPa8Qz5F0","https://www.youtube.com/watch?v=svVPa8Qz5F0","@flashcardsluna","Korean A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","LO","EN__English","EN__LO__English_to_Lao","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__LO__English_to_Lao/youtube_thumbnail.jpg","hibykM27WgU","https://www.youtube.com/watch?v=hibykM27WgU","@flashcardsluna","Lao A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","LT","EN__English","EN__LT__English_to_Lithuanian","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__LT__English_to_Lithuanian/youtube_thumbnail.jpg","FZ3SzwfQfR4","https://www.youtube.com/watch?v=FZ3SzwfQfR4","@flashcardsluna","Lithuanian A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","LV","EN__English","EN__LV__English_to_Latvian","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__LV__English_to_Latvian/youtube_thumbnail.jpg","JKZQe1UcPFo","https://www.youtube.com/watch?v=JKZQe1UcPFo","@flashcardsluna","Latvian A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","ML","EN__English","EN__ML__English_to_Malayalam","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__ML__English_to_Malayalam/youtube_thumbnail.jpg","UhDSSCIDJKo","https://www.youtube.com/watch?v=UhDSSCIDJKo","@flashcardsluna","Malayalam A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","MS","EN__English","EN__MS__English_to_Malay","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__MS__English_to_Malay/youtube_thumbnail.jpg","0TQEbKfXBMs","https://www.youtube.com/watch?v=0TQEbKfXBMs","@flashcardsluna","Malay A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","MY","EN__English","EN__MY__English_to_Burmese","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__MY__English_to_Burmese/youtube_thumbnail.jpg","lOt1cl-AsTY","https://www.youtube.com/watch?v=lOt1cl-AsTY","@flashcardsluna","Burmese A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","NB","EN__English","EN__NB__English_to_Norwegian-Bokmal","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__NB__English_to_Norwegian-Bokmal/youtube_thumbnail.jpg","WXJibqBNXqs","https://www.youtube.com/watch?v=WXJibqBNXqs","@flashcardsluna","Norwegian Bokmål A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","NE","EN__English","EN__NE__English_to_Nepali","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__NE__English_to_Nepali/youtube_thumbnail.jpg","1hVuPRClu8E","https://www.youtube.com/watch?v=1hVuPRClu8E","@flashcardsluna","Nepali A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","NL","EN__English","EN__NL__English_to_Dutch","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__NL__English_to_Dutch/youtube_thumbnail.jpg","-A6mb3Dibnk","https://www.youtube.com/watch?v=-A6mb3Dibnk","@flashcardsluna","Dutch A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","NO","EN__English","EN__NO__English_to_Norwegian-Bokmal","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__NO__English_to_Norwegian-Bokmal/youtube_thumbnail.jpg","WXJibqBNXqs","https://www.youtube.com/watch?v=WXJibqBNXqs","","Norwegian Bokmål A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","PL","EN__English","EN__PL__English_to_Polish","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__PL__English_to_Polish/youtube_thumbnail.jpg","wLsZpNYP9es","https://www.youtube.com/watch?v=wLsZpNYP9es","@flashcardsluna","Polish A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","PT","EN__English","EN__PT__English_to_Portuguese","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__PT__English_to_Portuguese/youtube_thumbnail.jpg","BDN76sq5tq4","https://www.youtube.com/watch?v=BDN76sq5tq4","@flashcardsluna","Portuguese A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","PT-BR","EN__English","EN__PT-BR__English_to_Portuguese-Brazil","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__PT-BR__English_to_Portuguese-Brazil/youtube_thumbnail.jpg","aGQkcshoG0o","https://www.youtube.com/watch?v=aGQkcshoG0o","","Portuguese (Brazil) A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","RO","EN__English","EN__RO__English_to_Romanian","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__RO__English_to_Romanian/youtube_thumbnail.jpg","9w2umqdB0Ps","https://www.youtube.com/watch?v=9w2umqdB0Ps","","Romanian A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","RU","EN__English","EN__RU__English_to_Russian","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__RU__English_to_Russian/youtube_thumbnail.jpg","QqIz-Ve9fjw","https://www.youtube.com/watch?v=QqIz-Ve9fjw","@flashcardsluna","Russian A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","RU,PL,CS,SK","EN__English","EN__RU,PL,CS,SK__English_to_RU-PL-CS-SK","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__RU,PL,CS,SK__English_to_RU-PL-CS-SK/youtube_thumbnail.jpg","Mp85wLaIfAw","https://www.youtube.com/watch?v=Mp85wLaIfAw","","RU,PL,CS,SK A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","SI","EN__English","EN__SI__English_to_Sinhala","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__SI__English_to_Sinhala/youtube_thumbnail.jpg","JMOfHwsV9uY","https://www.youtube.com/watch?v=JMOfHwsV9uY","","Sinhala A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","SK","EN__English","EN__SK__English_to_Slovak","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__SK__English_to_Slovak/youtube_thumbnail.jpg","dk-HgqR1hck","https://www.youtube.com/watch?v=dk-HgqR1hck","","Slovak A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","SL","EN__English","EN__SL__English_to_Slovenian","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__SL__English_to_Slovenian/youtube_thumbnail.jpg","OfcwOC3celY","https://www.youtube.com/watch?v=OfcwOC3celY","","Slovenian A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","SR","EN__English","EN__SR__English_to_Serbian-Latin","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__SR__English_to_Serbian-Latin/youtube_thumbnail.jpg","gxXxZtdq8Nc","https://www.youtube.com/watch?v=gxXxZtdq8Nc","","Serbian (Latin) A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","SV","EN__English","EN__SV__English_to_Swedish","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__SV__English_to_Swedish/youtube_thumbnail.jpg","kNX9fDBIVks","https://www.youtube.com/watch?v=kNX9fDBIVks","","Swedish A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","ZH","EN__English","EN__ZH__English_to_Chinese","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__ZH__English_to_Chinese/youtube_thumbnail.jpg","CyN-cdSjkrU","https://www.youtube.com/watch?v=CyN-cdSjkrU","@flashcardsluna","Chinese A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN","ZH,JA,KO","EN__English","EN__ZH,JA,KO__English_to_ZH-JA-KO","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN__English/EN__ZH,JA,KO__English_to_ZH-JA-KO/youtube_thumbnail.jpg","o8hsruftFcY","https://www.youtube.com/watch?v=o8hsruftFcY","","ZH,JA,KO A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","DA","EN-GB__English-United-Kingdom","EN-GB__DA__English-United-Kingdom_to_Danish","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__DA__English-United-Kingdom_to_Danish/youtube_thumbnail.jpg","ftQEUH5G9bQ","https://www.youtube.com/watch?v=ftQEUH5G9bQ","@flashcardsluna","Danish A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","DE","EN-GB__English-United-Kingdom","EN-GB__DE__English-United-Kingdom_to_German","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__DE__English-United-Kingdom_to_German/youtube_thumbnail.jpg","MSc8aoSBN9A","https://www.youtube.com/watch?v=MSc8aoSBN9A","@flashcardsluna","German A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","EN","EN-GB__English-United-Kingdom","EN-GB__EN__English-United-Kingdom_to_English","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__EN__English-United-Kingdom_to_English/youtube_thumbnail.jpg","_CWbNB9M7Eg","https://www.youtube.com/watch?v=_CWbNB9M7Eg","@flashcardsluna","English A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","ES","EN-GB__English-United-Kingdom","EN-GB__ES__English-United-Kingdom_to_Spanish","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__ES__English-United-Kingdom_to_Spanish/youtube_thumbnail.jpg","u1yEwN7ZCQ8","https://www.youtube.com/watch?v=u1yEwN7ZCQ8","@flashcardsluna","Spanish A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","ES-419","EN-GB__English-United-Kingdom","EN-GB__ES-419__English-United-Kingdom_to_Spanish-Latin-America","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__ES-419__English-United-Kingdom_to_Spanish-Latin-America/youtube_thumbnail.jpg","fDxDXx09Vds","https://www.youtube.com/watch?v=fDxDXx09Vds","@flashcardsluna","Spanish (Latin America) A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","ES,FR,DE,IT","EN-GB__English-United-Kingdom","EN-GB__ES,FR,DE,IT__English-United-Kingdom_to_ES-FR-DE-IT","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__ES,FR,DE,IT__English-United-Kingdom_to_ES-FR-DE-IT/youtube_thumbnail.jpg","Vb8Q1ryU4iE","https://www.youtube.com/watch?v=Vb8Q1ryU4iE","","ES,FR,DE,IT A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","ES,FR,IT,PT","EN-GB__English-United-Kingdom","EN-GB__ES,FR,IT,PT__English-United-Kingdom_to_ES-FR-IT-PT","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__ES,FR,IT,PT__English-United-Kingdom_to_ES-FR-IT-PT/youtube_thumbnail.jpg","EdPLBoUBSGs","https://www.youtube.com/watch?v=EdPLBoUBSGs","","ES,FR,IT,PT A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","ET","EN-GB__English-United-Kingdom","EN-GB__ET__English-United-Kingdom_to_Estonian","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__ET__English-United-Kingdom_to_Estonian/youtube_thumbnail.jpg","lXOmgK5og6k","https://www.youtube.com/watch?v=lXOmgK5og6k","@flashcardsluna","Estonian A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","FI","EN-GB__English-United-Kingdom","EN-GB__FI__English-United-Kingdom_to_Finnish","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__FI__English-United-Kingdom_to_Finnish/youtube_thumbnail.jpg","vtTfpX7-uHU","https://www.youtube.com/watch?v=vtTfpX7-uHU","","Finnish A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","FR","EN-GB__English-United-Kingdom","EN-GB__FR__English-United-Kingdom_to_French","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__FR__English-United-Kingdom_to_French/youtube_thumbnail.jpg","jg038qdFjQE","https://www.youtube.com/watch?v=jg038qdFjQE","","French A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","HI","EN-GB__English-United-Kingdom","EN-GB__HI__English-United-Kingdom_to_Hindi","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__HI__English-United-Kingdom_to_Hindi/youtube_thumbnail.jpg","4lYVgtg3SK0","https://www.youtube.com/watch?v=4lYVgtg3SK0","","Hindi A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","HY","EN-GB__English-United-Kingdom","EN-GB__HY__English-United-Kingdom_to_Armenian","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__HY__English-United-Kingdom_to_Armenian/youtube_thumbnail.jpg","avAXnM9DsSo","https://www.youtube.com/watch?v=avAXnM9DsSo","","Armenian A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","IT","EN-GB__English-United-Kingdom","EN-GB__IT__English-United-Kingdom_to_Italian","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__IT__English-United-Kingdom_to_Italian/youtube_thumbnail.jpg","QF3uCrsaxQU","https://www.youtube.com/watch?v=QF3uCrsaxQU","","Italian A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","KK","EN-GB__English-United-Kingdom","EN-GB__KK__English-United-Kingdom_to_Kazakh","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__KK__English-United-Kingdom_to_Kazakh/youtube_thumbnail.jpg","gCcW9__iw7Q","https://www.youtube.com/watch?v=gCcW9__iw7Q","","Kazakh A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","KM","EN-GB__English-United-Kingdom","EN-GB__KM__English-United-Kingdom_to_Khmer","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__KM__English-United-Kingdom_to_Khmer/youtube_thumbnail.jpg","j4uHU4I8ScU","https://www.youtube.com/watch?v=j4uHU4I8ScU","","Khmer A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","KN","EN-GB__English-United-Kingdom","EN-GB__KN__English-United-Kingdom_to_Kannada","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__KN__English-United-Kingdom_to_Kannada/youtube_thumbnail.jpg","wf3AsF8SItk","https://www.youtube.com/watch?v=wf3AsF8SItk","","Kannada A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","KO","EN-GB__English-United-Kingdom","EN-GB__KO__English-United-Kingdom_to_Korean","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__KO__English-United-Kingdom_to_Korean/youtube_thumbnail.jpg","svVPa8Qz5F0","https://www.youtube.com/watch?v=svVPa8Qz5F0","","Korean A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","LO","EN-GB__English-United-Kingdom","EN-GB__LO__English-United-Kingdom_to_Lao","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__LO__English-United-Kingdom_to_Lao/youtube_thumbnail.jpg","hibykM27WgU","https://www.youtube.com/watch?v=hibykM27WgU","","Lao A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","LT","EN-GB__English-United-Kingdom","EN-GB__LT__English-United-Kingdom_to_Lithuanian","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__LT__English-United-Kingdom_to_Lithuanian/youtube_thumbnail.jpg","FZ3SzwfQfR4","https://www.youtube.com/watch?v=FZ3SzwfQfR4","","Lithuanian A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","LV","EN-GB__English-United-Kingdom","EN-GB__LV__English-United-Kingdom_to_Latvian","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__LV__English-United-Kingdom_to_Latvian/youtube_thumbnail.jpg","JKZQe1UcPFo","https://www.youtube.com/watch?v=JKZQe1UcPFo","","Latvian A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","NL","EN-GB__English-United-Kingdom","EN-GB__NL__English-United-Kingdom_to_Dutch","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__NL__English-United-Kingdom_to_Dutch/youtube_thumbnail.jpg","-A6mb3Dibnk","https://www.youtube.com/watch?v=-A6mb3Dibnk","","Dutch A1","Kitchenware Basics","Cookware and utensils. Basic level."
"EN-GB","NO","EN-GB__English-United-Kingdom","EN-GB__NO__English-United-Kingdom_to_Norwegian-Bokmal","/Users/lali/Documents/LUNA2/outputs/design-prototypes/youtube-thumbnail-home_kitchen_cookware_pilot_01-ordinary-target-language-large-pair-folders-20260704/by-support/EN-GB__English-United-Kingdom/EN-GB__NO__English-United-Kingdom_to_Norwegian-Bokmal/youtube_thumbnail.jpg","WXJibqBNXqs","https://www.youtube.com/watch?v=WXJibqBNXqs","","Norwegian Bokmål A1","Kitchenware Basics","Cookware and utensils. Basic level."
